source_success_id,source_name,macro_region,country_or_region,country_qid,source_class,institutional_level,url,final_url,http_status,content_type,response_bytes,page_title,meta_description,detected_protocols,protocol_evidence,source_success_status,capture_scope,image_policy_next,rights_policy_next,next_item_capture_priority,period_start,period_end,period_bands,wikidata_qid,wikidata_url,access_date,notes
NMSS2026R0011,Azerbaijan State Museum of Musical Culture,Eastern Europe / Caucasus,Azerbaijan,Q227,museum,official_source_site,http://www.musicmuseum.az/az/index.php,https://www.musicmuseum.az/az/index.php,200,text/html; charset=windows-1251,11771,Museum of Music Culture of Azerbaijan,,,,success,official source homepage metadata; no raw payload or image download,source success only; next pass must find item-level image-bearing records before public image display,item-level rights review required before IMG01/IMG03; source success alone is not rights clearance,P1 manual item capture,1900,2026,1931-1970; 1971-2000; 2001-2026,Q4058262,https://www.wikidata.org/wiki/Q4058262,2026-06-05,Non-mainstream source success registry; not added to public surfaces until item/image capture is ready.
NMSS2026R0012,Acatushun museum,Latin America / Caribbean,Argentina,Q414,museum,official_source_site,http://www.acatushun.com/,https://walkertonhawks.com/,200,text/html,23049,Domino88 - Daftar & Main Poker IDN Online Gampang Menang Domino88 - Daftar & Main Poker IDN Online Gampang Menang,Domino88 adalah tempat terbaik untuk kamu yang ingin daftar dan main poker IDN online dengan peluang menang yang besar setiap hari. Menangkan Jackpot!,JSON-LD,JSON-LD:application/ld+json,success,official source homepage metadata; no raw payload or image download,source success only; next pass must find item-level image-bearing records before public image display,item-level rights review required before IMG01/IMG03; source success alone is not rights clearance,P1 item/source adapter,1900,2026,1931-1970; 1971-2000; 2001-2026,Q6033095,https://www.wikidata.org/wiki/Q6033095,2026-06-05,Non-mainstream source success registry; not added to public surfaces until item/image capture is ready.
NMSS2026R0013,Sulaymaniyah Museum,MENA,Iraq,Q796,museum,official_source_site,https://slemanimuseum.org,https://www.slemanimuseum.org/,200,text/html; charset=utf-8,56463,Slemani Museum - Welcome to the Slemani Museum,,,,success,official source homepage metadata; no raw payload or image download,source success only; next pass must find item-level image-bearing records before public image display,item-level rights review required before IMG01/IMG03; source success alone is not rights clearance,P1 manual item capture,1900,2026,1931-1970; 1971-2000; 2001-2026,Q19414891,https://www.wikidata.org/wiki/Q19414891,2026-06-05,Non-mainstream source success registry; not added to public surfaces until item/image capture is ready.
NMSS2026R0014,Alliance Française de Chittagong,South Asia,Bangladesh,Q902,cultural center,official_source_site,https://www.afchittagong.org,https://afchittagong.org/,200,text/html; charset=UTF-8,60942,Alliance Française de Chittagong,"Alliance Française de Chittagong is a French Language & Cultural Center that offers French courses and conduct cultural events intend to convey French culture as well as celebrating of local culture. Come to us at : 123,K.B.Fazlul Kader Road,Panchlaish R/A, Chittagong, Bangladesh.",IIIF;RSS/Atom;JSON-LD;WordPress REST,"IIIF:manifest.json; RSS/Atom:rel=""alternate""; JSON-LD:application/ld+json; WordPress REST:wp-json",success,official source homepage metadata; no raw payload or image download,candidate IMG02/source-hosted route; IMG03 only after item-level open-rights evidence,item-level rights review required before IMG01/IMG03; source success alone is not rights clearance,P0 item/image adapter,1900,2026,1931-1970; 1971-2000; 2001-2026,Q65947254,https://www.wikidata.org/wiki/Q65947254,2026-06-05,Non-mainstream source success registry; not added to public surfaces until item/image capture is ready.
NMSS2026R0015,Cambodian Cultural Village,Southeast Asia,Cambodia,Q424,museum,official_source_site,http://www.cambodianculturalvillage.com/,https://cambodianculturalvillage.com/,200,text/html; charset=UTF-8,39665,How AI Enhances Professional Profile Pictures Instantly,Discover how AI and simple online tools help you create flawless professional and document photos that meet official size and quality requirements.,RSS/Atom;JSON-LD;WordPress REST,RSS/Atom:application/rss+xml; JSON-LD:application/ld+json; WordPress REST:wp-json,success,official source homepage metadata; no raw payload or image download,source success only; next pass must find item-level image-bearing records before public image display,item-level rights review required before IMG01/IMG03; source success alone is not rights clearance,P1 item/source adapter,1900,2026,1931-1970; 1971-2000; 2001-2026,Q5025146,https://www.wikidata.org/wiki/Q5025146,2026-06-05,Non-mainstream source success registry; not added to public surfaces until item/image capture is ready.
NMSS2026R0016,Brokk'Art,Africa,Algeria,Q262,art gallery,official_source_site,http://brokk-art.com/,https://www.brokk-art.com/,200,text/html; charset=UTF-8,140000,Accueil,,RSS/Atom;JSON-LD;WordPress REST,RSS/Atom:application/rss+xml; JSON-LD:application/ld+json; WordPress REST:wp-json,success,official source homepage metadata; no raw payload or image download,source success only; next pass must find item-level image-bearing records before public image display,item-level rights review required before IMG01/IMG03; source success alone is not rights clearance,P1 item/source adapter,1900,2026,1931-1970; 1971-2000; 2001-2026,Q115057190,https://www.wikidata.org/wiki/Q115057190,2026-06-05,Non-mainstream source success registry; not added to public surfaces until item/image capture is ready.
NMSS2026R0017,Baikonur Cosmodrome History Museum,Central Asia,Kazakhstan,Q232,museum,official_source_site,http://museum-baikonur.ru/,https://museum-baikonur.ru/,200,text/html; charset=utf-8,27306,Baikonur Cosmodrome History Museum,,,,success,official source homepage metadata; no raw payload or image download,source success only; next pass must find item-level image-bearing records before public image display,item-level rights review required before IMG01/IMG03; source success alone is not rights clearance,P1 manual item capture,1900,2026,1931-1970; 1971-2000; 2001-2026,Q42802322,https://www.wikidata.org/wiki/Q42802322,2026-06-05,Non-mainstream source success registry; not added to public surfaces until item/image capture is ready.
NMSS2026R0018,Azerbaijan State Theatre Museum,Eastern Europe / Caucasus,Azerbaijan,Q227,museum,official_source_site,http://teatrmuzeyi.musigi-dunya.az/,https://teatrmuzeyi.musigi-dunya.az/,200,text/html,15055,Azerbaycan Dovlet Teatr Muzeyi,,,,success,official source homepage metadata; no raw payload or image download,source success only; next pass must find item-level image-bearing records before public image display,item-level rights review required before IMG01/IMG03; source success alone is not rights clearance,P1 manual item capture,1900,2026,1931-1970; 1971-2000; 2001-2026,Q16416482,https://www.wikidata.org/wiki/Q16416482,2026-06-05,Non-mainstream source success registry; not added to public surfaces until item/image capture is ready.
NMSS2026R0019,Anibal Bergallo Museum,Latin America / Caribbean,Argentina,Q414,museum,official_source_site,https://www.facebook.com/pages/category/Education/Museo-Historico-An%C3%ADbal-Bergallo-104692220939166/,https://www.facebook.com/people/Museo-Historico-An%C3%ADbal-Bergallo/100057236568572/,200,"text/html; charset=""utf-8""",140000,"Museo Historico ""Aníbal Bergallo""","Museo Historico ""Aníbal Bergallo"". 725 likes. Espacio dedicado a la adquisición, conservación, exhibición, comunicación e investigación del patrimonio en...",IIIF;RSS/Atom;Static JS App,"IIIF:rel=""manifest""; RSS/Atom:rel=""alternate""; Static JS App:vite",success,official source homepage metadata; no raw payload or image download,candidate IMG02/source-hosted route; IMG03 only after item-level open-rights evidence,item-level rights review required before IMG01/IMG03; source success alone is not rights clearance,P0 item/image adapter,1900,2026,1931-1970; 1971-2000; 2001-2026,Q84530187,https://www.wikidata.org/wiki/Q84530187,2026-06-05,Non-mainstream source success registry; not added to public surfaces until item/image capture is ready.
NMSS2026R0020,بيت تراث الموصل,MENA,Iraq,Q796,museum,official_source_site,https://www.mosulheritage.org,https://www.mosulheritage.org/en,200,text/html; charset=UTF-8,140000,بيت تراث الموصل,,,,success,official source homepage metadata; no raw payload or image download,source success only; next pass must find item-level image-bearing records before public image display,item-level rights review required before IMG01/IMG03; source success alone is not rights clearance,P1 manual item capture,1900,2026,1931-1970; 1971-2000; 2001-2026,Q120648006,https://www.wikidata.org/wiki/Q120648006,2026-06-05,Non-mainstream source success registry; not added to public surfaces until item/image capture is ready.
NMSS2026R0021,Alliance Française de Dhaka,South Asia,Bangladesh,Q902,cultural center,official_source_site,http://www.afdhaka.org/,https://afdhaka.org/,200,text/html; charset=UTF-8,140000,Home - Alliance Française de Dhaka,"Discover French language courses, art exhibitions, and events at our Dhaka center. Join the vibrant exchange between Dhaka and France!",RSS/Atom;JSON-LD;WordPress REST,RSS/Atom:application/rss+xml; JSON-LD:application/ld+json; WordPress REST:wp-json,success,official source homepage metadata; no raw payload or image download,source success only; next pass must find item-level image-bearing records before public image display,item-level rights review required before IMG01/IMG03; source success alone is not rights clearance,P1 item/source adapter,1900,2026,1931-1970; 1971-2000; 2001-2026,Q4732302,https://www.wikidata.org/wiki/Q4732302,2026-06-05,Non-mainstream source success registry; not added to public surfaces until item/image capture is ready.
NMSS2026R0022,Institut français du Cambodge,Southeast Asia,Cambodia,Q424,cultural center,official_source_site,http://institutfrancais-cambodge.com/,https://www.ifcambodge.com/fr/,200,text/html; charset=utf-8,98081,Institut Français du Cambodge - Accueil,,,,success,official source homepage metadata; no raw payload or image download,source success only; next pass must find item-level image-bearing records before public image display,item-level rights review required before IMG01/IMG03; source success alone is not rights clearance,P2 source enrichment,1900,2026,1931-1970; 1971-2000; 2001-2026,Q28495554,https://www.wikidata.org/wiki/Q28495554,2026-06-05,Non-mainstream source success registry; not added to public surfaces until item/image capture is ready.
NMSS2026R0023,National Library of Algeria,Africa,Algeria,Q262,library,official_source_site,http://www.biblionat.dz/,https://biblionat.dz/,200,text/html; charset=UTF-8,140000,الرئيسية - المكتبة الوطنية الجزائرية,آخر الأخبار,RSS/Atom;JSON-LD;WordPress REST,RSS/Atom:application/rss+xml; JSON-LD:application/ld+json; WordPress REST:wp-content,success,official source homepage metadata; no raw payload or image download,source success only; next pass must find item-level image-bearing records before public image display,item-level rights review required before IMG01/IMG03; source success alone is not rights clearance,P1 item/source adapter,1900,2026,1931-1970; 1971-2000; 2001-2026,Q2901476,https://www.wikidata.org/wiki/Q2901476,2026-06-05,Non-mainstream source success registry; not added to public surfaces until item/image capture is ready.
NMSS2026R0024,Central State Museum of Kazakhstan,Central Asia,Kazakhstan,Q232,museum,official_source_site,http://www.csmrk.kz/index.php,https://csmrk.kz/kz/basty-bet/,200,text/html; charset=UTF-8,140000,Қазақстан Республикасы Ұлттық орталық музейі — Ресми сайт,,RSS/Atom;WordPress REST,RSS/Atom:application/rss+xml; WordPress REST:wp-json,success,official source homepage metadata; no raw payload or image download,source success only; next pass must find item-level image-bearing records before public image display,item-level rights review required before IMG01/IMG03; source success alone is not rights clearance,P1 item/source adapter,1900,2026,1931-1970; 1971-2000; 2001-2026,Q190456,https://www.wikidata.org/wiki/Q190456,2026-06-05,Non-mainstream source success registry; not added to public surfaces until item/image capture is ready.
NMSS2026R0025,Baku Museum of Modern Art,Eastern Europe / Caucasus,Azerbaijan,Q227,museum,official_source_site,http://mim.az,http://www.moma.az/en,200,text/html; charset=UTF-8,9531,Home | MiM,{preview},,,success,official source homepage metadata; no raw payload or image download,source success only; next pass must find item-level image-bearing records before public image display,item-level rights review required before IMG01/IMG03; source success alone is not rights clearance,P1 manual item capture,1900,2026,1931-1970; 1971-2000; 2001-2026,Q1678321,https://www.wikidata.org/wiki/Q1678321,2026-06-05,Non-mainstream source success registry; not added to public surfaces until item/image capture is ready.
NMSS2026R0026,Ann Frank museum,Latin America / Caribbean,Argentina,Q414,museum,official_source_site,http://centroanafrank.com.ar/,https://centroanafrank.com.ar/,200,text/html; charset=UTF-8,140000,Centro Ana Frank,,RSS/Atom;WordPress REST,RSS/Atom:application/rss+xml; WordPress REST:wp-json,success,official source homepage metadata; no raw payload or image download,source success only; next pass must find item-level image-bearing records before public image display,item-level rights review required before IMG01/IMG03; source success alone is not rights clearance,P1 item/source adapter,1900,2026,1931-1970; 1971-2000; 2001-2026,Q65484950,https://www.wikidata.org/wiki/Q65484950,2026-06-05,Non-mainstream source success registry; not added to public surfaces until item/image capture is ready.
NMSS2026R0027,Biblioteca del Instituto Cervantes de Amán - Emilio García Gómez,MENA,Jordan,Q810,library,official_source_site,http://amman.cervantes.es/es/biblioteca_espanol/biblioteca_espanol.htm,https://aman.cervantes.es/es/biblioteca_espanol/biblioteca_espanol.htm,200,text/html,29411,Información general de la biblioteca. Instituto Cervantes de Ammán,"Direccion, servicios, prestamo, catalogos, novedades de la biblioteca del Instituto Cervantes de Amman, Jordania",,,success,official source homepage metadata; no raw payload or image download,source success only; next pass must find item-level image-bearing records before public image display,item-level rights review required before IMG01/IMG03; source success alone is not rights clearance,P2 source enrichment,1900,2026,1931-1970; 1971-2000; 2001-2026,Q85726805,https://www.wikidata.org/wiki/Q85726805,2026-06-05,Non-mainstream source success registry; not added to public surfaces until item/image capture is ready.
NMSS2026R0028,Bistaar: Chittagong Arts Complex,South Asia,Bangladesh,Q902,cultural center,official_source_site,http://bistaar.org/,https://www.corepersonnelstaffing.com/,200,text/html;charset=utf-8,140000,Bistaar: Chittagong Arts Complex,,IIIF,IIIF:iiif,success,official source homepage metadata; no raw payload or image download,candidate IMG02/source-hosted route; IMG03 only after item-level open-rights evidence,item-level rights review required before IMG01/IMG03; source success alone is not rights clearance,P0 item/image adapter,1900,2026,1931-1970; 1971-2000; 2001-2026,Q44730920,https://www.wikidata.org/wiki/Q44730920,2026-06-05,Non-mainstream source success registry; not added to public surfaces until item/image capture is ready.
NMSS2026R0029,National Archives of Cambodia,Southeast Asia,Cambodia,Q424,archives,official_source_site,http://nac.gov.kh/,https://nac.gov.kh/,200,text/html; charset=UTF-8,54330,NAC,,PDF,PDF:.pdf,success,official source homepage metadata; no raw payload or image download,source success only; next pass must find item-level image-bearing records before public image display,item-level rights review required before IMG01/IMG03; source success alone is not rights clearance,P1 manual item capture,1900,2026,1931-1970; 1971-2000; 2001-2026,Q54820096,https://www.wikidata.org/wiki/Q54820096,2026-06-05,Non-mainstream source success registry; not added to public surfaces until item/image capture is ready.
NMSS2026R0030,Museu Nacional de Antropologia,Africa,Angola,Q916,museum,official_source_site,http://www.museuantropologia.angoladigital.net,https://www.hugedomains.com/domain_profile.cfm?d=angoladigital.net,200,text/html; charset=utf-8,44677,AngolaDigital.net is for sale | HugeDomains,This domain is for sale! Fast and easy shopping. Trusted and secure since 2005.,,,success,official source homepage metadata; no raw payload or image download,source success only; next pass must find item-level image-bearing records before public image display,item-level rights review required before IMG01/IMG03; source success alone is not rights clearance,P1 manual item capture,1900,2026,1931-1970; 1971-2000; 2001-2026,Q10333588,https://www.wikidata.org/wiki/Q10333588,2026-06-05,Non-mainstream source success registry; not added to public surfaces until item/image capture is ready.
NMSS2026R0031,National Academic Library of the Republic of Kazakhstan,Central Asia,Kazakhstan,Q232,library,official_source_site,http://nabrk.kz/en/,https://nabrk.kz/en/,200,text/html; charset=UTF-8,116764,Home | National academic library of Republic of Kazakhstan,,JSON-LD;PDF,JSON-LD:schema.org; PDF:.pdf,success,official source homepage metadata; no raw payload or image download,source success only; next pass must find item-level image-bearing records before public image display,item-level rights review required before IMG01/IMG03; source success alone is not rights clearance,P1 item/source adapter,1900,2026,1931-1970; 1971-2000; 2001-2026,Q4314789,https://www.wikidata.org/wiki/Q4314789,2026-06-05,Non-mainstream source success registry; not added to public surfaces until item/image capture is ready.
NMSS2026R0032,Bibliothèque pour les malvoyants d'Azerbaïdjan,Eastern Europe / Caucasus,Azerbaijan,Q227,library,official_source_site,http://www.gerk.az,https://www.gerk.az/,200,text/html,274,Bibliothèque pour les malvoyants d'Azerbaïdjan,,,,success,official source homepage metadata; no raw payload or image download,source success only; next pass must find item-level image-bearing records before public image display,item-level rights review required before IMG01/IMG03; source success alone is not rights clearance,P2 source enrichment,1900,2026,1931-1970; 1971-2000; 2001-2026,Q20583727,https://www.wikidata.org/wiki/Q20583727,2026-06-05,Non-mainstream source success registry; not added to public surfaces until item/image capture is ready.
NMSS2026R0033,Argentine Toy Museum,Latin America / Caribbean,Argentina,Q414,museum,official_source_site,http://museoargentinodeljuguete.com/,https://museoargentinodeljuguete.com/,200,text/html; charset=UTF-8,140000,Visitá el Museo Argentino del Juguete en El Calafate,,RSS/Atom;JSON-LD;WordPress REST,RSS/Atom:application/rss+xml; JSON-LD:application/ld+json; WordPress REST:wp-json,success,official source homepage metadata; no raw payload or image download,source success only; next pass must find item-level image-bearing records before public image display,item-level rights review required before IMG01/IMG03; source success alone is not rights clearance,P1 item/source adapter,1900,2026,1931-1970; 1971-2000; 2001-2026,Q112066425,https://www.wikidata.org/wiki/Q112066425,2026-06-05,Non-mainstream source success registry; not added to public surfaces until item/image capture is ready.
NMSS2026R0034,Royal Tank Museum,MENA,Jordan,Q810,museum,official_source_site,http://rtm.jo/,https://rtm.jo/,200,text/html; charset=UTF-8,67497,Royal Tank Museum,,RSS/Atom;WordPress REST,RSS/Atom:application/rss+xml; WordPress REST:wp-json,success,official source homepage metadata; no raw payload or image download,source success only; next pass must find item-level image-bearing records before public image display,item-level rights review required before IMG01/IMG03; source success alone is not rights clearance,P1 item/source adapter,1900,2026,1931-1970; 1971-2000; 2001-2026,Q48816519,https://www.wikidata.org/wiki/Q48816519,2026-06-05,Non-mainstream source success registry; not added to public surfaces until item/image capture is ready.
NMSS2026R0035,Kabi Jasimuddin Museum,South Asia,Bangladesh,Q902,museum,official_source_site,https://kabijasimuddin.org.bd/,https://kabijasimuddin.org.bd/site/,200,text/html; charset=UTF-8,10290,Kabi Jasimuddin Museum,Kabi Jasimuddin Museum developed by NetLink Technologies Ltd.,,,success,official source homepage metadata; no raw payload or image download,source success only; next pass must find item-level image-bearing records before public image display,item-level rights review required before IMG01/IMG03; source success alone is not rights clearance,P1 manual item capture,1900,2026,1931-1970; 1971-2000; 2001-2026,Q31724458,https://www.wikidata.org/wiki/Q31724458,2026-06-05,Non-mainstream source success registry; not added to public surfaces until item/image capture is ready.
NMSS2026R0036,Tuol Sleng torture center,Southeast Asia,Cambodia,Q424,museum,official_source_site,http://www.tuolsleng.gov.kh,https://tuolsleng.gov.kh/,200,text/html; charset=UTF-8,30708,Tuol Sleng Genocide Museum – Memorial Site of S21 detention center,,RSS/Atom;WordPress REST,RSS/Atom:application/rss+xml; WordPress REST:wp-json,success,official source homepage metadata; no raw payload or image download,source success only; next pass must find item-level image-bearing records before public image display,item-level rights review required before IMG01/IMG03; source success alone is not rights clearance,P1 item/source adapter,1900,2026,1931-1970; 1971-2000; 2001-2026,Q850268,https://www.wikidata.org/wiki/Q850268,2026-06-05,Non-mainstream source success registry; not added to public surfaces until item/image capture is ready.
NMSS2026R0037,Fondation Zinsou,Africa,Benin,Q962,museum,official_source_site,http://fondationzinsou.org/,https://www.fondation-zinsou.org/,200,text/html; charset=UTF-8,140000,Fondation Zinsou,,,,success,official source homepage metadata; no raw payload or image download,source success only; next pass must find item-level image-bearing records before public image display,item-level rights review required before IMG01/IMG03; source success alone is not rights clearance,P1 manual item capture,1900,2026,1931-1970; 1971-2000; 2001-2026,Q3075592,https://www.wikidata.org/wiki/Q3075592,2026-06-05,Non-mainstream source success registry; not added to public surfaces until item/image capture is ready.
NMSS2026R0038,National Archives of Kazakhstan,Central Asia,Kazakhstan,Q232,archives,official_source_site,http://ulttykarhiv.kz/ru/,https://www.ulttykarhiv.kz/12481/,200,text/html; charset=UTF-8,93423,Рухани келісім күні - Қазақстан Респубикасының Ұлттық архиві,"18 қазан – Рухани келісім күні. Бұл күн Қазақстанда дүниежүзілік деңгейдегі теңдессіз оқиға – рухани келісімнің алғашқы әлемдік конгресі өткен 1992 жылдан бастау алады. Алматыда барлық діндердің өкілдері, белгілі ғалымдар мен мәдениет қайраткерлері бас қосып, манифест қабылдап, 18 қазанды Рухани келісім күні деп жариялауға шақырды. Қазақстан халқының бірлігі мен келісімі – тәуелсіз мемлекеттің басты құндылығы,",RSS/Atom;JSON-LD;WordPress REST,RSS/Atom:application/rss+xml; JSON-LD:application/ld+json; WordPress REST:wp-json,success,official source homepage metadata; no raw payload or image download,source success only; next pass must find item-level image-bearing records before public image display,item-level rights review required before IMG01/IMG03; source success alone is not rights clearance,P1 item/source adapter,1900,2026,1931-1970; 1971-2000; 2001-2026,Q12573359,https://www.wikidata.org/wiki/Q12573359,2026-06-05,Non-mainstream source success registry; not added to public surfaces until item/image capture is ready.
NMSS2026R0039,French Institute of Azerbaijan,Eastern Europe / Caucasus,Azerbaijan,Q227,cultural center,official_source_site,http://ifa.az/,https://www.ifa.az/fr/,200,text/html; charset=UTF-8,52370,Home | IFA,,JSON-LD,JSON-LD:schema.org,success,official source homepage metadata; no raw payload or image download,source success only; next pass must find item-level image-bearing records before public image display,item-level rights review required before IMG01/IMG03; source success alone is not rights clearance,P1 item/source adapter,1900,2026,1931-1970; 1971-2000; 2001-2026,Q24052858,https://www.wikidata.org/wiki/Q24052858,2026-06-05,Non-mainstream source success registry; not added to public surfaces until item/image capture is ready.
