experimental_candidate_id,candidate_name,source_id,source_name,region,record_type,test_purpose,expected_rights_state,expected_image_zone,expected_record_policy,expected_display_policy,likely_fields,risks,shortlist_status,notes,scope_cell_id,scope_role,primary_region,secondary_region,hn_ids,movement_ids,event_ids,source_family_id,record_family,default_image_zone,rights_review_level,protocol_sensitive,manual_review_required,query_profile_id,target_record_count,required_fields,expected_surface_type
EIC012,SAOA vernacular-script periodical issue,,South Asia Open Archives,South Asia,periodical issue record,Test multilingual issue metadata and link-out to external platform access,open-access but image-copy rights complex,IMG00,metadata_only,source_link_only,title; issue; language; subject; collection link,Open access may be misread as image-copy permission,pending,Link-first.,,,,,,,,,,,,,,,,,
EIC013,Memoria Chilena poster / graphic item,,Memoria Chilena,Chile,national library graphic item record,High-value link-only test for rights-protected graphic materials,protected work,IMG00,link_only,source_link_only,title; BN code; system number; subject; collection,Explicit authorization requirement,pending,Link-only required.,,,,,,,,,,,,,,,,,
EIC014,BNDigital illustrated magazine record,,BNDigital,Brazil,periodical/page record,Latin American ingest case with incomplete downstream rights audit,uncertain / mixed,IMG00,manual_review_required,source_link_only,title; issue; source URL; publication date; collection,Source-level downstream display terms incomplete,pending,Manual review before any image display.,,,,,,,,,,,,,,,,,
EIC015,SAHA struggle poster record,,SAHA Poster Collection,South Africa,community/archive poster record,Counterpublic source and test of call numbers metadata and rights warnings,complex / third-party rights,IMG00,link_only,source_link_only,call number; identifier; title; creator; format; rights note,Political sensitivity and copyright fragmentation,pending,Link-only and protocol/citation rich.,,,,,,,,,,,,,,,,,
EIC016,PGDA contributor submission,SRC016,People's Graphic Design Archive,global,community archive contribution,Test community-submitted record modeling and provenance without local image copying,uncertain,IMG00,link_only,source_link_only,title; contributor; date; tags; URL,Rights and authorship may be user-supplied and uneven,pending,Link-only required.,,,,,,,,,,,,,,,,,
EIC017,Fonts In Use use-entry,SRC029,Fonts In Use,global,typography platform entry,Born-digital link-only test for rich descriptive text tied to third-party images,rights-complex,IMG00,link_only,source_link_only,entry URL; title; typeface; tags; source attribution; license note,Third-party image rights often all-rights-reserved,pending,Link-only required.,,,,,,,,,,,,,,,,,
EIC018,Letterform Archive online item,SRC027,Letterform Archive,global design history,design archive item,High-value provenance record with restricted image display absent permission,uncertain / permission-based,IMG00,link_only,source_link_only,title; creator; date; object URL; collection context,Reproductions are request-based not blanket-open,pending,Link-only required.,,,,,,,,,,,,,,,,,
EIC019,MoMA dataset row matched to collection page,SRC012,MoMA Collection,US / global,dataset plus public page,Metadata-only reconciliation case joining dataset row to non-open image page,metadata lower-risk; image constrained,IMG00,metadata_only,metadata_only,object/artist data; dates; medium; page URL,Temptation to infer image rights from dataset openness,pending,No image display.,,,,,,,,,,,,,,,,,
EIC020,Cooper Hewitt born-digital website/code object,SRC002,Cooper Hewitt API,US,born-digital collection object,Stress test for non-paper design history software/code provenance and no image-centric fallback,complex,IMG00,metadata_only,metadata_only,object URL; department; title; born-digital notes; API metadata,Preservation copy and interface rights may diverge,pending,Metadata-first.,,,,,,,,,,,,,,,,,
EIC021,Internet Archive CC-licensed design periodical/book,,Internet Archive,global,digitized repository item,Test license harvesting from item metadata,explicit CC / PD on some items,IMG03,open_image_allowed,open_image_with_license,identifier; title; contributor; usage/license; files; OCR,License quality varies by uploader,pending,Only for explicit CC/PD item evidence.,,,,,,,,,,,,,,,,,
EIC022,Internet Archive Wayback-captured design-studio website,,Internet Archive Wayback Machine,global,web archive capture,Web-history test for interface/platform records,rights-complex,IMG00,link_only,source_link_only,capture URL; timestamp; original URL; archive metadata,Archived access does not equal republication rights,pending,Metadata and link only.,,,,,,,,,,,,,,,,,
EIC023,Wikidata + VIAF + Getty authority cluster for a Japanese designer,,Wikidata / VIAF / Getty,global,authority/vocabulary record set,Non-Latin-script authority normalization test without image risk,open metadata,IMG00,metadata_only,metadata_only,QID; VIAF URI; Getty ID; multilingual labels; aliases,Authority merges can be wrong and need confidence scoring,pending,Test authority resolution events and appellations.,,,,,,,,,,,,,,,,,
EIC024,V&A collection record with image field but terms-bound use,SRC005,V&A Collections API,UK / global,museum object record,Test API-rich but image-cautious behavior on a major design collection,terms-bound / non-commercially framed,IMG00,manual_review_required,source_link_only,object number; title; maker; image field; identifiers,Future project commercialization could change permissibility,pending,Do not display image by default.,,,,,,,,,,,,,,,,,
EIC025,Bauhaus / 1919 founding first-ingest cell,SRC001,The Met Open Access + authority cluster,Western/Central Europe,Met object/API records and authority records,Canonical modernist normalization test with school/person/publication/object relations.,mixed; OA only per record,IMG00,manual_review_required,source_link_only,source id; object id; title raw/normalized; maker raw/normalized; date; HN; movement; rights evidence,Open-museum false positives; over-canonical bias.,pending,Selective IMG03 only when record-level OA/CC0 is explicit.,C01,first_ingest_scope,REG001,,HN008; HN014,RM075,REN049,MET_OA_AUTHORITY,object; authority,IMG00,record_level,false,true,bauhaus,4,source id; object id; title; maker; date; rights evidence,SOURCE sheet + NORMALIZED card
EIC026,Polish Poster School first-ingest cell,SRC036,Poster Museum / V&A / Culture.pl + authority,Eastern Europe,poster records and institutional/context records,Poster-specific socialist-context link-only test.,unclear item image rights,IMG00,link_only,source_link_only,poster title; designer; event/client; date; place; source note; rights note,Poster authorship and image rights often inconsistent.,pending,Keep link-only unless item-level permission exists.,C02,first_ingest_scope,REG002,,HN009; HN010; HN013,RM076,REN050,POSTER_MUSEUM_AUTHORITY,poster; authority,IMG00,manual,false,true,polish_poster,2,poster title; designer; event/client; date; rights note,loose-leaf poster sheet
EIC027,IBM corporate design first-ingest cell,SRC037,IBM History + Cooper Hewitt + authority,North America,corporate archive pages; design object records; authority records,Institution-designer-manual-object relation test.,corporate copyright,IMG00,metadata_only,source_link_only,institution; designer; manual/object distinction; date range; role labels; rights note,Corporate manuals and archives remain copyright-sensitive.,pending,No local image display by default.,C03,first_ingest_scope,REG003,,HN011; HN010,RM077,REN051,IBM_CH_AUTHORITY,corporate archive; object; authority,IMG00,manual,false,true,ibm_design,4,institution; designer; manual/object distinction; date range; role labels,registration card + appendix
EIC028,Taller de Grafica Popular first-ingest cell,SRC001,The Met + Internet Archive + authority,Latin America,museum objects; periodicals/books; authority records,"Collective printshop, political print, and publication/object separation test.",mixed museum and publication rights,IMG00,manual_review_required,source_link_only,collective name; member names; printer/publisher roles; publication/object distinction; rights evidence,Collective vs individual creator ambiguity.,pending,Selective IMG03 only for explicit OA/public-domain records.,C04,first_ingest_scope,REG004,,HN009; HN012; HN013,RM078,REN052,MET_IA_AUTHORITY,print; publication; authority,IMG00,record_level,false,true,tgp,4,collective; printer; publisher; object/publication distinction; rights evidence,SOURCE sheet + RELATIONS appendix
EIC029,Brigadas Ramona Parra first-ingest cell,SRC051,Memoria Chilena + authority,Latin America and Caribbean,thematic dossier; item citation; authority records,Counterpublic collective-authorship and unstable mural/source boundary test.,protected work,IMG00,link_only,source_link_only,collective; date; event relation; publication source; language; citation,Murals often survive through reproductions; object/source boundary unstable.,pending,Link-only required.,C05,first_ingest_scope,REG004,,HN009; HN012; HN013,RM079,REN053,MEMORIA_AUTHORITY,event; dossier; source sheet,IMG00,manual,false,true,brp,3,collective; date; event relation; citation,event card + source sheet
EIC030,World Design Conference 1960 / NDC first-ingest cell,SRC038,M+ / NDC / NDL,Japan / East Asia transnational,archive ephemera; institutional pages; bibliographic records,Japanese-language event/person/institution/work relation test.,restricted archival ephemera,IMG00,metadata_only,source_link_only,event name; event dates; participant names; ephemera type; source language; transliteration,Transliteration variance and restricted archival images.,pending,Metadata and source links only.,C06,first_ingest_scope,REG005,REG007,HN010; HN011; HN014,RM080,REN054,MPLUS_NDC_NDL,event ephemera; institution; bibliography,IMG00,manual,false,true,wodeco,4,event date; participant names; ephemera type; source language,event registration card
EIC031,Shanghai Sketch / yuefenpai first-ingest cell,SRC025,Internet Archive + British Museum + authority,Mainland China,periodical issue/page records and object records,Chinese-language issue/page hierarchy plus commercial/vernacular overlap test.,mixed periodical scan and museum rights,IMG00,metadata_only,source_link_only,issue title; issue date; page no.; script; translation; advertisement/editorial flag,OCR/transliteration noise; issue/page duplication.,pending,Periodical scans default link-only.,C07,first_ingest_scope,REG008,,HN005; HN007; HN013,RM081,REN055,IA_BRITISH_MUSEUM_AUTHORITY,periodical issue; page; object,IMG00,record_level,false,true,shanghai_manhua,4,issue title; issue date; page; script; ad/editorial flag,periodical issue sheet + page sheet
EIC032,Minjung / Kwangju poster first-ingest cell,SRC006,Library of Congress + authority,Korea,poster records; guides; authority records,Korean-script event-linked protest poster test.,sensitive political material; sparse image rights,IMG00,metadata_only,source_link_only,title; creator if known; event relation; political keyword; Korean script; rights advisory,Sensitive context and advisory-not-warranty rights.,pending,Keep LOC records link-only unless reviewed.,C08,first_ingest_scope,REG006,,HN009; HN012; HN014,RM082,REN056,LOC_AUTHORITY,poster; guide; authority,IMG00,manual,false,true,minjung,3,title; creator; event relation; Korean script; rights advisory,poster sheet + event appendix
EIC033,Singapore multilingual poster/logotype first-ingest cell,SRC041,NLB Singapore OneSearch / BiblioAsia,Southeast Asia,catalogue records and collection essays,Four-language public campaign and source/object distinction test.,catalogue rights; depositor rights,IMG00,metadata_only,source_link_only,campaign title; agency/institution; languages present; object type; source institution,Catalogue presence may be mistaken for image permission.,pending,IMG01 only after dataset thumbnail review.,C09,first_ingest_scope,REG011,,HN009; HN010; HN011,RM083,REN057,NLB_SG,catalogue; article,IMG00,manual,false,true,sg_posters,3,campaign title; agency; languages; object type,SOURCE sheet
EIC034,NID development communication first-ingest cell,SRC053,NID + Internet Archive + authority,South Asia,institutional pages; publications; authority records,"State-building, pedagogy, design education, and multilingual India test.",institutional/archive image uncertainty,IMG00,metadata_only,source_link_only,institution; founders/related figures; programme/publication title; date; place,Archival dispersion and weak object-level rights.,pending,Metadata-first.,C10,first_ingest_scope,REG012,,HN010; HN011; HN014,RM084,REN058,NID_IA_AUTHORITY,institution; publication; authority,IMG00,manual,false,true,nid,3,institution; founders; programme/publication; date; place,registration card
EIC035,Iranian modern poster design first-ingest cell,SRC042,Encyclopaedia Iranica + authority,MENA,reference records; publication records; authority records,Persian-script and transliteration test for regional modern graphic design.,limited verified image licensing,IMG00,metadata_only,source_link_only,designer name variants; Persian script; date; event/publication relation; citation,Author-name transliteration variance.,pending,Citation-first.,C11,first_ingest_scope,REG013,,HN010; HN011; HN014,RM085,REN059,IRANICA_AUTHORITY,authority; source sheet,IMG00,manual,false,true,iran_poster,2,designer variants; Persian script; date; citation,authority card + source sheet
EIC036,Medu / Culture and Resistance first-ingest cell,SRC052,SAHA + SAHO,Africa,poster records; collection inventories; essays,"Collective authorship, exile, anti-apartheid, and call-number metadata test.",politically sensitive; copyright fragmented,IMG00,link_only,source_link_only,poster title; call no.; origination; place; date; collective member; source link,Community archive and movement sensitivity.,pending,No local image.,C12,first_ingest_scope,REG014,,HN009; HN012,RM086,REN060,SAHA_SAHO,poster; inventory; essay,IMG00,manual,false,true,medu,4,poster title; call no.; origination; date; collective member,loose-leaf poster sheet + appendix
EIC037,NAIDOC / land-rights posters first-ingest cell,SRC045,AIATSIS + Trove + NAIDOC,Oceania / Indigenous,protocol-sensitive records and poster-gallery records,ICIP/protocol-sensitive metadata test.,ICIP and cultural sensitivity,IMG00,manual_review_required,source_link_only,title; year; artist/community; ICIP flag; sensitivity flag; source link,Access does not imply reuse or display permission.,pending,Suppress thumbnails when sensitivity is flagged.,C13,first_ingest_scope,REG015,,HN012; HN013; HN015,RM087,REN061,AIATSIS_TROVE_NAIDOC,registration; protocol appendix,IMG00,protocol_review,true,true,naidoc_land_rights,3,title; year; artist/community; ICIP flag; sensitivity flag,registration card + protocol appendix
EIC038,Gran Fury / ACT UP first-ingest cell,SRC046,ACT UP archive + MoMA + NLM,North America / transnational,archive records; museum records; medical/public-health records,"Collective authorship, campaign relation, and queer counterpublic graphics test.",copyright and community sensitivity,IMG00,link_only,source_link_only,collective; campaign; date; place; source archive; rights note,Historically central but rights-sensitive.,pending,Link-only.,C14,first_ingest_scope,REG003,GEO001,HN012; HN013,RM088,REN062,ACTUP_MOMA_NLM,protest graphic; archive; essay,IMG00,manual,false,true,gran_fury_actup,3,collective; campaign; date; source archive; rights note,protest-graphics card
EIC039,Early web / CSS / GeoCities first-ingest cell,SRC048,CERN + W3C + Wayback + Internet Archive,Global digital,web standards pages and archived captures,Born-digital source/capture timestamp and archived-rights test.,archived pages remain copyrighted,IMG00,link_only,source_link_only,original URL; capture timestamp; page title; standard/version; source type; rights note,Unstable captures and screenshot-vs-HTML rights confusion.,pending,Store source snapshot records; no local screenshots.,C15,first_ingest_scope,REG007,GEO001,HN015; HN014,RM089,REN063,CERN_W3C_WAYBACK_IA,web source; snapshot; standard,IMG00,manual,false,true,early_web_css_geocities,2,original URL; capture timestamp; title; standard/version,web-source sheet
