surface_id,capture_id,candidate_role,recommended_next_action,calibration_confidence,calibration_reason,preview_status,source_family,source_name,title,period_band,region,risk_flags,positive_flags
SURF-CCT2026R03560,CCT2026R03560,card_context,downgrade_to_card_candidate,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,confirmed_preview_only_not_apply_ready,Wikimedia Commons,Wikimedia Commons file source / Stamp Fiji 1959 2 6 Nadi Airport.jpg / page 16187525,Stamp Fiji 1959 2 6 Nadi Airport.jpg,1930_1970,Fiji,stamp_or_philatelic:philatelic; stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication
SURF-CRG2026R1653,CRG2026R1653,card_context,downgrade_to_card_candidate,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,confirmed_preview_only_not_apply_ready,Wikimedia Commons,Wikimedia Commons file source / Israeli stamps 1963 - series of wall and tower - 1.jpg / page 33595268,Israeli stamps 1963 - series of wall and tower - 1.jpg,1930_1970,Global / transnational,stamp_or_philatelic:philatelic; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication
SURF-CCT2026R03102,CCT2026R03102,card_context,downgrade_to_card_candidate,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,confirmed_preview_only_not_apply_ready,Wikimedia Commons,Wikimedia Commons file source / The East Ghor Canal Project.jpg / page 32432690,The East Ghor Canal Project.jpg,1930_1970,Jordan,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication
SURF-CCT2026R04246,CCT2026R04246,card_context,downgrade_to_card_candidate,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,confirmed_preview_only_not_apply_ready,Wikimedia Commons,Wikimedia Commons file source / Stamp of Laos (1962) - Savang Vatthana.jpg / page 125441210,Stamp of Laos (1962) - Savang Vatthana.jpg,1930_1970,Laos,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication
SURF-CCT2026R02529,CCT2026R02529,card_context,downgrade_to_card_candidate,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,confirmed_preview_only_not_apply_ready,Wikimedia Commons,Wikimedia Commons file source / Stamp of Peru - 1936 - Colnect 437914 - Mines.jpeg / page 114987600,Stamp of Peru - 1936 - Colnect 437914 - Mines.jpeg,1930_1970,Latin America and the Caribbean,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication
SURF-CAW2026R02303,CAW2026R02303,card_context,downgrade_to_card_candidate,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,confirmed_preview_only_not_apply_ready,Wikimedia Commons,Wikimedia Commons file source / Riga 1950 60kop USSR.jpg / page 8458163,Riga 1950 60kop USSR.jpg,1930_1970,Latvia,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; commons_file_source,design; graphic; visual communication
SURF-CAW2026R01736,CAW2026R01736,card_context,downgrade_to_card_candidate,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,confirmed_preview_only_not_apply_ready,Wikimedia Commons,"Wikimedia Commons file source / Lithuanian postage stamps with Žemaitė, 1933.jpg / page 125378328","Lithuanian postage stamps with Žemaitė, 1933.jpg",1930_1970,Lithuania,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication
SURF-CCT2026R00503,CCT2026R00503,card_context,downgrade_to_card_candidate,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,confirmed_preview_only_not_apply_ready,Wikimedia Commons,Wikimedia Commons file source / Stamp MA 1950 15+10 Fr.jpg / page 158873186,Stamp MA 1950 15+10 Fr.jpg,1930_1970,Middle East and North Africa,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication
SURF-CAW2026R02114,CAW2026R02114,card_context,downgrade_to_card_candidate,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,confirmed_preview_only_not_apply_ready,Wikimedia Commons,Wikimedia Commons file source / Stamp of Moldova - 2012 - Colnect 272865 - Mihai Dolgan 1942-2008 Singer and Composer.jpeg / page 115752134,Stamp of Moldova - 2012 - Colnect 272865 - Mihai Dolgan 1942-2008 Singer and Composer.jpeg,1930_1970,Moldova,weak_context:anniversary; stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication
SURF-CAW2026R02242,CAW2026R02242,card_context,downgrade_to_card_candidate,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,confirmed_preview_only_not_apply_ready,Wikimedia Commons,Wikimedia Commons file source / USSR-communicationmeeting-1958.jpg / page 2834140,USSR-communicationmeeting-1958.jpg,1930_1970,Mongolia,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication
SURF-CAW2026R01710,CAW2026R01710,card_context,downgrade_to_card_candidate,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,confirmed_preview_only_not_apply_ready,Wikimedia Commons,Wikimedia Commons file source / Stamp of Peru - 1932 - Colnect 846134 - Number 2.jpeg / page 114985153,Stamp of Peru - 1932 - Colnect 846134 - Number 2.jpeg,1930_1970,Mozambique,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,advertisement; design; graphic; visual communication
SURF-CAW2026R02336,CAW2026R02336,card_context,downgrade_to_card_candidate,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,confirmed_preview_only_not_apply_ready,Wikimedia Commons,"Wikimedia Commons file source / Myanmar in 1951 art, from- Burma Civil Liberties Poster - NARA - 5729921 (cropped).jpg / page 84930875","Myanmar in 1951 art, from- Burma Civil Liberties Poster - NARA - 5729921 (cropped).jpg",1930_1970,North America,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; commons_file_source,design; graphic; poster; visual communication
SURF-CCT2026R03487,CCT2026R03487,card_context,downgrade_to_card_candidate,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,confirmed_preview_only_not_apply_ready,Wikimedia Commons,Wikimedia Commons file source / Australianstamp 1442.jpg / page 12597156,Australianstamp 1442.jpg,1930_1970,Oceania and Pacific,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication
SURF-CAW2026R02166,CAW2026R02166,card_context,downgrade_to_card_candidate,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,confirmed_preview_only_not_apply_ready,Wikimedia Commons,Wikimedia Commons file source / Zanzibaralbusaid1944.jpg / page 6525200,Zanzibaralbusaid1944.jpg,1930_1970,Oman,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication
SURF-CAW2026R02169,CAW2026R02169,card_context,downgrade_to_card_candidate,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,confirmed_preview_only_not_apply_ready,Wikimedia Commons,Wikimedia Commons file source / Stamp of Aegean Islands - 1944 - Colnect 413750 - Pro sinistrati di guerra.jpeg / page 115644899,Stamp of Aegean Islands - 1944 - Colnect 413750 - Pro sinistrati di guerra.jpeg,1930_1970,Papua New Guinea,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication
SURF-CAW2026R02768,CAW2026R02768,card_context,downgrade_to_card_candidate,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,confirmed_preview_only_not_apply_ready,Wikimedia Commons,Wikimedia Commons file source / Stamp of Rwanda - 1969 - Colnect 988101 - The Moneylender and his Wife by Quentin Matsys.jpeg / page 115808898,Stamp of Rwanda - 1969 - Colnect 988101 - The Moneylender and his Wife by Quentin Matsys.jpeg,1930_1970,Rwanda,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication
SURF-CAW2026R02697,CAW2026R02697,card_context,downgrade_to_card_candidate,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,confirmed_preview_only_not_apply_ready,Wikimedia Commons,Wikimedia Commons file source / Stamp of Zanzibar - 1966 - Colnect 465791 - Education.jpeg / page 115889903,Stamp of Zanzibar - 1966 - Colnect 465791 - Education.jpeg,1930_1970,Serbia,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication
SURF-CAW2026R02548,CAW2026R02548,card_context,downgrade_to_card_candidate,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,confirmed_preview_only_not_apply_ready,Wikimedia Commons,Wikimedia Commons file source / Ironworks-in-Sisak.jpg / page 147140712,Ironworks-in-Sisak.jpg,1930_1970,Slovenia,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication
SURF-CAW2026R02711,CAW2026R02711,card_context,downgrade_to_card_candidate,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,confirmed_preview_only_not_apply_ready,Wikimedia Commons,Wikimedia Commons file source / FrankLloydWright1966USstamp.jpg / page 698792,FrankLloydWright1966USstamp.jpg,1930_1970,Solomon Islands,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication
SURF-CCT2026R03741,CCT2026R03741,card_context,downgrade_to_card_candidate,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,confirmed_preview_only_not_apply_ready,Wikimedia Commons,Wikimedia Commons file source / Stamp of India - 1950 - Colnect 986625 - 1 - Quill ink well and verse.jpeg / page 98491515,Stamp of India - 1950 - Colnect 986625 - 1 - Quill ink well and verse.jpeg,1930_1970,South Asia,weak_context:inauguration; stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication
SURF-CCT2026R04325,CCT2026R04325,card_context,downgrade_to_card_candidate,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,confirmed_preview_only_not_apply_ready,Wikimedia Commons,Wikimedia Commons file source / Dinopium everetti 1969 stamp of the Philippines.jpg / page 49655801,Dinopium everetti 1969 stamp of the Philippines.jpg,1930_1970,Southeast Asia,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication
SURF-CCT2026R03193,CCT2026R03193,card_context,downgrade_to_card_candidate,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,confirmed_preview_only_not_apply_ready,Wikimedia Commons,Wikimedia Commons file source / Stamp Alexandretta 4pi.jpg / page 1561433,Stamp Alexandretta 4pi.jpg,1930_1970,Syria,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication
SURF-CAW2026R01740,CAW2026R01740,card_context,downgrade_to_card_candidate,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,confirmed_preview_only_not_apply_ready,Wikimedia Commons,Wikimedia Commons file source / Stamp of Aegean Islands - 1933 - Colnect 177601 - Rodi - Symbolical of Flight.jpeg / page 115644051,Stamp of Aegean Islands - 1933 - Colnect 177601 - Rodi - Symbolical of Flight.jpeg,1930_1970,Tunisia,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication
SURF-CAW2026R02729,CAW2026R02729,card_context,downgrade_to_card_candidate,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,confirmed_preview_only_not_apply_ready,Wikimedia Commons,Wikimedia Commons file source / Sheik-Rashid-bin-Said 1967 stamps of Dubai.jpg / page 169092346,Sheik-Rashid-bin-Said 1967 stamps of Dubai.jpg,1930_1970,United Arab Emirates,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication
SURF-IR1970R016,IR1970R016,card_context,downgrade_to_card_candidate,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,confirmed_preview_only_not_apply_ready,Wellcome Collection,Wellcome Collection Catalogue API,"A tuberculosis stamp showing children singing Christmas carols; advertising the sale of tuberculosis stamps. Colour lithograph (?), 1940.",1930_1970,Unresolved region,stamp_or_philatelic:stamp; stamp_or_philatelic:stamps,advertising; catalogue; poster
SURF-IR1970R034,IR1970R034,card_context,downgrade_to_card_candidate,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,confirmed_preview_only_not_apply_ready,Wellcome Collection,Wellcome Collection Catalogue API,"A radiologist conducting a chest x-ray of a young man in order to detect early signs of tuberculosis. Colour lithograph after A. Wilquin, 1949.",1930_1970,Western and Central Europe,stamp_or_philatelic:stamp; stamp_or_philatelic:stamps,campaign; catalogue; poster
SURF-CAW2026R01681,CAW2026R01681,card_context,downgrade_to_card_candidate,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,confirmed_preview_only_not_apply_ready,Wikimedia Commons,Wikimedia Commons file source / Stamp of Belgian Congo - 1931 - Colnect 156572 - Sir Henry Morton Stanley.jpeg / page 115853451,Stamp of Belgian Congo - 1931 - Colnect 156572 - Sir Henry Morton Stanley.jpeg,1930_1970,Western and Central Europe,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication
SURF-CAW2026R02733,CAW2026R02733,card_context,downgrade_to_card_candidate,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,confirmed_preview_only_not_apply_ready,Wikimedia Commons,Wikimedia Commons file source / Stamps Mahra state 1967 world scout meeting 03.jpg / page 174228778,Stamps Mahra state 1967 world scout meeting 03.jpg,1930_1970,Yemen,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication
SURF-CCT2026R00644,CCT2026R00644,card_context,downgrade_to_card_candidate,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,confirmed_preview_only_not_apply_ready,Wikimedia Commons,"Wikimedia Commons file source / South Africa 1986 variable value stamp 00,14 Mi 1.2.jpg / page 98255414","South Africa 1986 variable value stamp 00,14 Mi 1.2.jpg",1970_2000,Africa,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication
SURF-CAW2026R03268,CAW2026R03268,card_context,downgrade_to_card_candidate,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,confirmed_preview_only_not_apply_ready,Wikimedia Commons,Wikimedia Commons file source / Stamp of Albania - 1993 - Colnect 369475 - The green stone painting by Edi Hila.jpeg / page 98410847,Stamp of Albania - 1993 - Colnect 369475 - The green stone painting by Edi Hila.jpeg,1970_2000,Albania,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication
SURF-CAW2026R02867,CAW2026R02867,card_context,downgrade_to_card_candidate,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,confirmed_preview_only_not_apply_ready,Wikimedia Commons,Wikimedia Commons file source / Ford A5264 NLGRF photo contact sheet (1975-06-27)(Gerald Ford Library).jpg / page 23393482,Ford A5264 NLGRF photo contact sheet (1975-06-27)(Gerald Ford Library).jpg,1970_2000,Angola,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; commons_file_source,design; graphic; visual communication
SURF-CAW2026R03041,CAW2026R03041,card_context,downgrade_to_card_candidate,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,confirmed_preview_only_not_apply_ready,Wikimedia Commons,Wikimedia Commons file source / Ivo Andrić 1983 Yugoslavia stamp.jpg / page 34326448,Ivo Andrić 1983 Yugoslavia stamp.jpg,1970_2000,Bosnia and Herzegovina,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; commons_file_source,design; graphic; visual communication
SURF-CCT2026R00320,CCT2026R00320,card_context,downgrade_to_card_candidate,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,confirmed_preview_only_not_apply_ready,Wikimedia Commons,Wikimedia Commons file source / Stamp CAM 1972 40f.jpg / page 146814459,Stamp CAM 1972 40f.jpg,1970_2000,Cameroon,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication
SURF-CAW2026R03380,CAW2026R03380,card_context,downgrade_to_card_candidate,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,confirmed_preview_only_not_apply_ready,Wikimedia Commons,Wikimedia Commons file source / Stamp of Indonesia - 1998 - Colnect 254744 - Folk Tales.jpeg / page 114799444,Stamp of Indonesia - 1998 - Colnect 254744 - Folk Tales.jpeg,1970_2000,Croatia,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication
SURF-CAW2026R02874,CAW2026R02874,card_context,downgrade_to_card_candidate,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,confirmed_preview_only_not_apply_ready,Wikimedia Commons,Wikimedia Commons file source / Kissinger and Nguza Karl-I-Bond toasting (1976-04-28)(A9606 NLGRF Gerald Ford Library).jpg / page 82776635,Kissinger and Nguza Karl-I-Bond toasting (1976-04-28)(A9606 NLGRF Gerald Ford Library).jpg,1970_2000,Democratic Republic of the Congo,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; commons_file_source,design; graphic; visual communication
SURF-CCT2026R01294,CCT2026R01294,card_context,downgrade_to_card_candidate,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,confirmed_preview_only_not_apply_ready,Wikimedia Commons,Wikimedia Commons file source / Korea stamp type B8A.jpg / page 17348630,Korea stamp type B8A.jpg,1970_2000,East Asia,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication
SURF-CCT2026R00831,CCT2026R00831,card_context,downgrade_to_card_candidate,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,confirmed_preview_only_not_apply_ready,Wikimedia Commons,Wikimedia Commons file source / Russia stamp 2011 № 1542list.jpg / page 133249949,Russia stamp 2011 № 1542list.jpg,1970_2000,"Eastern Europe, Balkans, and Central/Eastern socialist contexts",stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication
SURF-CAW2026R02880,CAW2026R02880,card_context,downgrade_to_card_candidate,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,confirmed_preview_only_not_apply_ready,Wikimedia Commons,Wikimedia Commons file source / StampUSSR1974 4366.jpg / page 7977842,StampUSSR1974 4366.jpg,1970_2000,Estonia,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; commons_file_source,design; graphic; visual communication
SURF-CRG2026R2965,CRG2026R2965,card_context,downgrade_to_card_candidate,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,confirmed_preview_only_not_apply_ready,Wikimedia Commons,Wikimedia Commons file source / Stamps 001 ua0028.jpg / page 94265589,Stamps 001 ua0028.jpg,1970_2000,Global / transnational,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication
SURF-CAW2026R02885,CAW2026R02885,card_context,downgrade_to_card_candidate,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,confirmed_preview_only_not_apply_ready,Wikimedia Commons,Wikimedia Commons file source / Ford A2204 NLGRF photo contact sheet (1974-11-29)(Gerald Ford Library).jpg / page 23376013,Ford A2204 NLGRF photo contact sheet (1974-11-29)(Gerald Ford Library).jpg,1970_2000,Jordan,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; commons_file_source,design; graphic; visual communication
SURF-CAW2026R03390,CAW2026R03390,card_context,downgrade_to_card_candidate,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,confirmed_preview_only_not_apply_ready,Wikimedia Commons,Wikimedia Commons file source / Stamp of Azerbaijan - 1998 - Colnect 289099 - Israel 98 - World Stamp Exhibition.jpeg / page 98439476,Stamp of Azerbaijan - 1998 - Colnect 289099 - Israel 98 - World Stamp Exhibition.jpeg,1970_2000,Kiribati,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; exhibition; graphic; visual communication
SURF-CAW2026R02850,CAW2026R02850,card_context,downgrade_to_card_candidate,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,confirmed_preview_only_not_apply_ready,Wikimedia Commons,Wikimedia Commons file source / Stamp of Peru - 1971 - Colnect 352795 - Group of 77.jpeg / page 115009040,Stamp of Peru - 1971 - Colnect 352795 - Group of 77.jpeg,1970_2000,Laos,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,advertisement; design; graphic; visual communication
