candidate_id,source_name,macro_region,country_or_region,source_class,period_intent,url,http_status,final_url,content_type,response_bytes,page_title,meta_description,detected_protocols,protocol_evidence,capture_priority,capture_intent,recommended_image_policy,recommended_text_policy,rights_risk,discovery_channel,probe_status,failure_reason,raw_probe_path,access_date,notes
IAS014,DesignDB / KIDP,East Asia,Korea,government/professional design portal,postwar-present,https://www.designdb.com/,200,https://www.designdb.com/?menuno=668,text/html;charset=utf-8,176388,"세상의 디자인을 만나다, 디자인DB","연간 100만 명 이상 방문, 총 콘텐츠 수 36만 건의 국내 최대 디자인정보 포털사이트. 실시간 업데이트 되는 디자인 및 산업 전반 트렌드와 이슈, 글로벌 시장변화, 소비자동향 등 디자이너를 위한 모든 정보를 제공합니다.",,,P1_underrepresented_region,Korean design context/source registry,IMG00_or_IMG02_after_source_terms,extract_about_context_and_item_metadata; no AI-generated evidence,medium,professional design portal,ok,,data/source_probe_independent_asia_v1_raw/IAS014.html.txt,2026-06-01,Likely HTML; use as citation layer first.
IAS015,Korean Film Archive,East Asia,Korea,government film archive,pre-WWII-present,https://www.koreafilm.or.kr/,200,https://www.koreafilm.or.kr/,text/html;charset=UTF-8,2442,한국영상자료원,,,,P1_underrepresented_region,film poster and publicity records,IMG00_or_IMG02_after_source_terms,extract_about_context_and_item_metadata; no AI-generated evidence,medium,government archive,ok,,data/source_probe_independent_asia_v1_raw/IAS015.html.txt,2026-06-01,Already in broad probe; included here for regional poster priority.
IAS016,M+ Collections and Archives,East Asia,Hong Kong,museum/archive,postwar-present,https://www.mplus.org.hk/en/collection/archives/,,,,,,,,,P4_hold_or_manual,Hong Kong and Asian design archive context,IMG00_until_endpoint_verified,manual_context_only,high,museum/archive,http_error,HTTP 404: Not Found,,2026-06-01,High authority; image reuse restricted.
IAS017,Hong Kong Memory,East Asia,Hong Kong,government/community memory archive,pre-WWII-present,https://www.hkmemory.hk/,200,https://www.hkmemory.hk/tc/index.html,text/html,180000,香港記憶 | Hong Kong Memory,「香港記憶」是多媒體數碼平台，讓互聯網用家免費瀏覽香港的歷史和文化資料，包括文獻、圖片、海報、錄音、電影及錄像。「香港記憶」分三個主要部分：專題特藏 －「香港記憶」是原始資料儲藏庫。儲藏庫內有多個特藏，按內容和資料的性質分為不同專題。展覽－香港記憶內不同的專題特藏有很多有趣的主題和故事，這些主題和故事經過挑選、整理而成為展覽。口述歷史－「香港記憶」特設「香港留聲」口述歷史檔案庫，收集、保存香港人的經歷和記憶，透過互動平台，讓不同世代的人從聲音記錄認識香港過去的生活面貌。,,,P2_source_registry_then_adapter,"Hong Kong print, advertising, public culture",IMG02_source_hosted_or_IMG00_until_item_rights,extract_about_context_and_item_metadata; no AI-generated evidence,high,local memory archive,ok,,data/source_probe_independent_asia_v1_raw/IAS017.html.txt,2026-06-01,Metadata and images require item review.
IAS018,Shanghai Library,East Asia,China,municipal library,pre-WWII-present,https://www.library.sh.cn/,200,https://www.library.sh.cn/,text/html; charset=utf-8,67007,首页 - 上海图书馆,上海图书馆,,,P2_source_registry_then_adapter,Shanghai print/commercial design source context,IMG00_or_IMG02_after_source_terms,extract_about_context_and_item_metadata; no AI-generated evidence,medium,local library archive,ok,,data/source_probe_independent_asia_v1_raw/IAS018.html.txt,2026-06-01,Already probed generally; needs item-level pathway.
IAS019,National Cultural Memory Bank Taiwan,East Asia,Taiwan,government/community memory archive,pre-WWII-present,https://memory.culture.tw/,,,,,,,,,P4_hold_or_manual,Taiwan visual culture and public graphic records,IMG00_until_endpoint_verified,manual_context_only,high,national memory archive,failed,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>",,2026-06-01,Good non-museum voice; item rights vary.
IAS020,National Archives of Singapore,Southeast Asia,Singapore,government archive,pre-WWII-present,https://www.nas.gov.sg/archivesonline/,202,https://www.nas.gov.sg/archivesonline/,text/html; charset=UTF-8,2184,,,,,P1_underrepresented_region,"Singapore public information, posters, campaign graphics",IMG00_or_IMG02_after_source_terms,extract_about_context_and_item_metadata; no AI-generated evidence,medium,government archive,ok,,data/source_probe_independent_asia_v1_raw/IAS020.html.txt,2026-06-01,Viewer and reproduction permissions differ.
IAS021,NewspaperSG,Southeast Asia,Singapore,national library newspaper archive,pre-WWII-present,https://eresources.nlb.gov.sg/newspapers/,202,https://eresources.nlb.gov.sg/newspapers/,text/html; charset=UTF-8,2192,,,,,P1_underrepresented_region,advertising/layout/OCR source,IMG00_or_IMG02_after_source_terms,extract_about_context_and_item_metadata; no AI-generated evidence,medium,newspaper archive,ok,,data/source_probe_independent_asia_v1_raw/IAS021.html.txt,2026-06-01,Search/OCR source; images link-first.
IAS022,BookSG / Print Heritage,Southeast Asia,Singapore,national library digital collection,pre-WWII-present,https://eresources.nlb.gov.sg/printheritage/,202,https://eresources.nlb.gov.sg/printheritage/,text/html; charset=UTF-8,2192,,,,,P1_underrepresented_region,"Singapore book, ephemera, print culture",IMG00_or_IMG02_after_source_terms,extract_about_context_and_item_metadata; no AI-generated evidence,medium,digital print collection,ok,,data/source_probe_independent_asia_v1_raw/IAS022.html.txt,2026-06-01,May return 202 challenge; record as source family.
IAS023,National Library of Vietnam,Southeast Asia,Vietnam,national library,pre-WWII-present,https://nlv.gov.vn/,200,https://nlv.gov.vn/,text/html; charset=utf-8,79034,THƯ VIỆN QUỐC GIA VIỆT NAM,"THƯ VIỆN QUỐC GIA VIỆT NAM (NATIONAL LIBRARY OF VIETNAM)SỐ: 31 - PHỐ TRÀNG THI - QUẬN HOÀN KIẾM - HÀ NỘIĐT: 04-38255397, FAX: 04-38253357E-MAIL: info@nlv.gov.vn",,,P1_underrepresented_region,Vietnamese print and publication context,IMG00_or_IMG02_after_source_terms,extract_about_context_and_item_metadata; no AI-generated evidence,medium,government library,ok,,data/source_probe_independent_asia_v1_raw/IAS023.html.txt,2026-06-01,Likely HTML/catalogue; link-first.
IAS024,Vietnam National Archives,Southeast Asia,Vietnam,national archive,pre-WWII-present,https://luutru.gov.vn/,200,https://luutru.gov.vn/home.htm,text/html; charset=utf-8,52489,Trang chủ - Cổng thông tin điện tử Cục Văn thư và Lưu trữ nhà nước,,,,P1_underrepresented_region,"Vietnamese posters, notices, periodicals context",IMG00_or_IMG02_after_source_terms,extract_about_context_and_item_metadata; no AI-generated evidence,medium,government archive,ok,,data/source_probe_independent_asia_v1_raw/IAS024.html.txt,2026-06-01,Likely HTML; source registry first.
IAS025,Digital Library of Lao Manuscripts,Southeast Asia,Laos,library/cultural heritage,pre-WWII-present,https://www.laomanuscripts.net/,200,https://digital.crossasia.org/digital-library-of-lao-manuscripts/?lang=en,text/html; charset=UTF-8,83540,Digital Library of Lao Manuscripts - CrossAsia Digital,,WordPress REST/RSS;IIIF;JSON-LD;RSS/Atom,WordPress REST/RSS:wp-json;IIIF:iiif;JSON-LD:application/ld+json;RSS/Atom:application/rss+xml,P1_underrepresented_region,Lao writing/print precursor and visual culture context,IMG02_source_viewer_or_IIIF_after_record_review,extract_about_context_and_item_metadata; no AI-generated evidence,medium,cultural heritage archive,ok,,data/source_probe_independent_asia_v1_raw/IAS025.html.txt,2026-06-01,Not pure graphic design; use sparingly as historical context.
IAS026,National Library of the Philippines,Southeast Asia,Philippines,national library,pre-WWII-present,https://web.nlp.gov.ph/,200,https://web.nlp.gov.ph/,text/html; charset=UTF-8,180000,"National Library of the Philippines – The National Library of the Philippines (NLP) is the repository of the printed and recorded cultural heritage of the country and other intellectual, literary resources and informatio",,WordPress REST/RSS;PDF;RSS/Atom,WordPress REST/RSS:wp-json;PDF:.pdf;RSS/Atom:application/rss+xml,P1_underrepresented_region,Philippine print/poster/publication context,IMG00_or_IMG02_after_source_terms,extract_about_context_and_item_metadata; no AI-generated evidence,medium,government library,ok,,data/source_probe_independent_asia_v1_raw/IAS026.html.txt,2026-06-01,Probe access; likely manual/search source.
IAS027,Ateneo Rizal Library Digital Archives,Southeast Asia,Philippines,university archive,pre-WWII-present,https://rizal.library.ateneo.edu/,200,https://rizal.library.ateneo.edu/,text/html; charset=UTF-8,38842,Home | Rizal Library,,WordPress REST/RSS;JSON-LD;RSS/Atom,WordPress REST/RSS:application/rss+xml;JSON-LD:schema.org;RSS/Atom:application/rss+xml,P1_underrepresented_region,Philippine periodical and print culture source,IMG00_or_IMG02_after_source_terms,extract_about_context_and_item_metadata; no AI-generated evidence,medium,university archive,ok,,data/source_probe_independent_asia_v1_raw/IAS027.html.txt,2026-06-01,Already reachable; good university/local source.
IAS028,Khastara Perpusnas Indonesia,Southeast Asia,Indonesia,national library digital collection,pre-WWII-present,https://khastara.perpusnas.go.id/,200,https://khastara.perpusnas.go.id/,text/html,31946,Khastara Perpusnas,Khasanah Pustaka Nusantara,Next/static JS,Next/static JS:__next_data__,P1_underrepresented_region,Indonesian publications and visual culture,IMG00_or_IMG02_after_source_terms,extract_about_context_and_item_metadata; no AI-generated evidence,medium,government library,ok,,data/source_probe_independent_asia_v1_raw/IAS028.html.txt,2026-06-01,Likely HTML; source registry and selected records.
IAS029,IVAA Indonesian Visual Art Archive,Southeast Asia,Indonesia,community art archive,postwar-present,https://ivaa-online.org/,,,,,,,,,P4_hold_or_manual,Indonesian design/art print context,IMG00_until_endpoint_verified,manual_context_only,high,community visual archive,http_error,HTTP 403: Forbidden,,2026-06-01,Community archive; rights review required.
IAS030,ANRI Arsip Nasional Republik Indonesia,Southeast Asia,Indonesia,national archive,pre-WWII-present,https://anri.go.id/,,,,,,,,,P4_hold_or_manual,Indonesian public visual records,IMG00_until_endpoint_verified,manual_context_only,high,government archive,http_error,HTTP 403: Forbidden,,2026-06-01,Already reachable; likely source registry first.
