coverage_id,node_id,region_id,coverage_status,priority,known_entry_points,source_needs,rights_risk,research_note
COV0001,HN001,REG001,seeded,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0043,HN013,REG003,seeded,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0044,HN014,REG003,seeded,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0045,HN015,REG003,seeded,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0046,HN001,REG004,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0047,HN002,REG004,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0048,HN003,REG004,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0049,HN004,REG004,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0050,HN005,REG004,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0051,HN006,REG004,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0052,HN007,REG004,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0053,HN008,REG004,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0054,HN009,REG004,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0055,HN010,REG004,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0056,HN011,REG004,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0057,HN012,REG004,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0058,HN013,REG004,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0059,HN014,REG004,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0060,HN015,REG004,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0061,HN001,REG005,launch_research_required,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0062,HN002,REG005,launch_research_required,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0063,HN003,REG005,launch_research_required,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0064,HN004,REG005,launch_research_required,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0065,HN005,REG005,launch_research_required,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0066,HN006,REG005,launch_research_required,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0067,HN007,REG005,launch_research_required,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0068,HN008,REG005,launch_research_required,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0069,HN009,REG005,launch_research_required,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0070,HN010,REG005,launch_research_required,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0071,HN011,REG005,launch_research_required,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0072,HN012,REG005,launch_research_required,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0073,HN013,REG005,launch_research_required,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0074,HN014,REG005,launch_research_required,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0075,HN015,REG005,launch_research_required,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0076,HN001,REG006,launch_research_required,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0077,HN002,REG006,launch_research_required,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0078,HN003,REG006,launch_research_required,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0079,HN004,REG006,launch_research_required,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0080,HN005,REG006,launch_research_required,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0081,HN006,REG006,launch_research_required,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0082,HN007,REG006,launch_research_required,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0083,HN008,REG006,launch_research_required,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0084,HN009,REG006,launch_research_required,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0085,HN010,REG006,launch_research_required,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0086,HN011,REG006,launch_research_required,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0087,HN012,REG006,launch_research_required,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0088,HN013,REG006,launch_research_required,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0089,HN014,REG006,launch_research_required,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0090,HN015,REG006,launch_research_required,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0091,HN001,REG007,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0092,HN002,REG007,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0093,HN003,REG007,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0094,HN004,REG007,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0095,HN005,REG007,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0096,HN006,REG007,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0097,HN007,REG007,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0098,HN008,REG007,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0099,HN009,REG007,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0100,HN010,REG007,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0101,HN011,REG007,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0102,HN012,REG007,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0103,HN013,REG007,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0104,HN014,REG007,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0105,HN015,REG007,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0106,HN001,REG008,launch_research_required,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0107,HN002,REG008,launch_research_required,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0108,HN003,REG008,launch_research_required,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0109,HN004,REG008,launch_research_required,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0110,HN005,REG008,launch_research_required,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0111,HN006,REG008,launch_research_required,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0112,HN007,REG008,launch_research_required,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0113,HN008,REG008,launch_research_required,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0114,HN009,REG008,launch_research_required,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0115,HN010,REG008,launch_research_required,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0116,HN011,REG008,launch_research_required,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0117,HN012,REG008,launch_research_required,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0118,HN013,REG008,launch_research_required,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0119,HN014,REG008,launch_research_required,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0120,HN015,REG008,launch_research_required,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0121,HN001,REG009,launch_research_required,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0122,HN002,REG009,launch_research_required,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0123,HN003,REG009,launch_research_required,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0124,HN004,REG009,launch_research_required,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0125,HN005,REG009,launch_research_required,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0126,HN006,REG009,launch_research_required,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0127,HN007,REG009,launch_research_required,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0128,HN008,REG009,launch_research_required,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0129,HN009,REG009,launch_research_required,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0130,HN010,REG009,launch_research_required,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0131,HN011,REG009,launch_research_required,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0132,HN012,REG009,launch_research_required,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0133,HN013,REG009,launch_research_required,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0134,HN014,REG009,launch_research_required,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0135,HN015,REG009,launch_research_required,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0136,HN001,REG010,launch_research_required,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0137,HN002,REG010,launch_research_required,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0138,HN003,REG010,launch_research_required,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0139,HN004,REG010,launch_research_required,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0140,HN005,REG010,launch_research_required,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0141,HN006,REG010,launch_research_required,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0142,HN007,REG010,launch_research_required,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0143,HN008,REG010,launch_research_required,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0144,HN009,REG010,launch_research_required,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0145,HN010,REG010,launch_research_required,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0146,HN011,REG010,launch_research_required,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0147,HN012,REG010,launch_research_required,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0148,HN013,REG010,launch_research_required,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0149,HN014,REG010,launch_research_required,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0150,HN015,REG010,launch_research_required,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0151,HN001,REG011,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0152,HN002,REG011,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0153,HN003,REG011,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0154,HN004,REG011,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0155,HN005,REG011,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0156,HN006,REG011,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0157,HN007,REG011,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0158,HN008,REG011,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0159,HN009,REG011,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0160,HN010,REG011,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0161,HN011,REG011,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0162,HN012,REG011,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0163,HN013,REG011,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0164,HN014,REG011,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0165,HN015,REG011,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0166,HN001,REG012,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0167,HN002,REG012,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0168,HN003,REG012,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0169,HN004,REG012,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0170,HN005,REG012,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0171,HN006,REG012,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0172,HN007,REG012,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0173,HN008,REG012,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0174,HN009,REG012,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0175,HN010,REG012,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0176,HN011,REG012,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0177,HN012,REG012,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
