candidate_id,source_name,macro_region,subregion,country_or_region,source_class,institutional_level,protocol_family,url,period_start,period_end,period_bands,expected_record_types,capture_route,recommended_adapter,recommended_image_policy,text_enrichment_path,rights_posture,risk_notes,priority,inclusion_status,notes,impact_score,impact_rating,impact_basis,new_source_basis
NLCV30025,Rwanda Archives and Library Services Authority,Africa,East Africa,Rwanda,national archive/library,national,HTML,https://ralsa.gov.rw/,1900,2026,1830-1930; 1931-1970; 1971-2000; 2001-2026,archives; books; public communication,source-level metadata and source-link discovery,html_metadata_adapter,IMG00/IMG02 only after item-level source and rights review; no IMG01/IMG03 automatic upgrade,"source title, description, collection scope, catalog terms, and stable links",source-hosted review,item rights vary; source-level discovery only,P1,candidate,,77,B,"region=Africa; class=national archive/library; protocol=HTML; internal triage only, not public authority or rights clearance","not present in existing source registry, global edge, contemporary scan, or v1 nonmainstream target URL/name keys"
NLCV30026,Rwanda Cultural Heritage Academy,Africa,East Africa,Rwanda,cultural heritage archive,national,HTML,https://www.rwandaheritage.gov.rw/,1900,2026,1830-1930; 1931-1970; 1971-2000; 2001-2026,heritage records; public communication; source registry,source-level metadata and source-link discovery,html_metadata_adapter,IMG00/IMG02 only after item-level source and rights review; no IMG01/IMG03 automatic upgrade,"source title, description, collection scope, catalog terms, and stable links",source-hosted review,item rights vary; source-level discovery only,P2,candidate,,73,B,"region=Africa; class=cultural heritage archive; protocol=HTML; internal triage only, not public authority or rights clearance","not present in existing source registry, global edge, contemporary scan, or v1 nonmainstream target URL/name keys"
NLCV30027,Eswatini National Archives,Africa,Southern Africa,Eswatini,national archive,national,HTML,https://www.gov.sz/,1900,2026,1830-1930; 1931-1970; 1971-2000; 2001-2026,archives; government print,source-level metadata and source-link discovery,manual_source_adapter,IMG00/IMG02 only after item-level source and rights review; no IMG01/IMG03 automatic upgrade,"source title, description, collection scope, catalog terms, and stable links",source-hosted review,item rights vary; source-level discovery only,P2,candidate,,73,B,"region=Africa; class=national archive; protocol=HTML; internal triage only, not public authority or rights clearance","not present in existing source registry, global edge, contemporary scan, or v1 nonmainstream target URL/name keys"
NLCV30028,Lesotho National Archives,Africa,Southern Africa,Lesotho,national archive,national,HTML,https://www.gov.ls/,1900,2026,1830-1930; 1931-1970; 1971-2000; 2001-2026,archives; government print,source-level metadata and source-link discovery,manual_source_adapter,IMG00/IMG02 only after item-level source and rights review; no IMG01/IMG03 automatic upgrade,"source title, description, collection scope, catalog terms, and stable links",source-hosted review,item rights vary; source-level discovery only,P2,candidate,,73,B,"region=Africa; class=national archive; protocol=HTML; internal triage only, not public authority or rights clearance","not present in existing source registry, global edge, contemporary scan, or v1 nonmainstream target URL/name keys"
NLCV30029,CeDInCI,Latin America / Caribbean,Southern Cone,Argentina,social history archive,research/nonprofit,HTML/catalog,http://cedinci.unsam.edu.ar/,1900,2026,1830-1930; 1931-1970; 1971-2000; 2001-2026,political posters; periodicals; ephemera; publications,source-level metadata and source-link discovery,html_metadata_adapter,IMG00/IMG02 only after item-level source and rights review; no IMG01/IMG03 automatic upgrade,"source title, description, collection scope, catalog terms, and stable links",community_or_cultural_review,item rights vary; source-level discovery only,P0,candidate,,91,A,"region=Latin America / Caribbean; class=social history archive; protocol=HTML/catalog; internal triage only, not public authority or rights clearance","not present in existing source registry, global edge, contemporary scan, or v1 nonmainstream target URL/name keys"
NLCV30030,Museo de Arte Moderno de Buenos Aires,Latin America / Caribbean,Southern Cone,Argentina,museum archive,museum,HTML,https://museomoderno.org/,1950,2026,1931-1970; 1971-2000; 2001-2026,exhibitions; design; visual culture; catalogues,source-level metadata and source-link discovery,html_metadata_adapter,IMG00/IMG02 only after item-level source and rights review; no IMG01/IMG03 automatic upgrade,"source title, description, collection scope, catalog terms, and stable links",source-hosted review,item rights vary; source-level discovery only,P2,candidate,,70,B,"region=Latin America / Caribbean; class=museum archive; protocol=HTML; internal triage only, not public authority or rights clearance","not present in existing source registry, global edge, contemporary scan, or v1 nonmainstream target URL/name keys"
NLCV30031,Archivo Nacional de Chile,Latin America / Caribbean,Southern Cone,Chile,national archive,national,HTML,https://www.archivonacional.gob.cl/,1830,2026,1830-1930; 1931-1970; 1971-2000; 2001-2026,archives; government print; photographs,source-level metadata and source-link discovery,html_metadata_adapter,IMG00/IMG02 only after item-level source and rights review; no IMG01/IMG03 automatic upgrade,"source title, description, collection scope, catalog terms, and stable links",source-hosted review,item rights vary; source-level discovery only,P1,candidate,,74,B,"region=Latin America / Caribbean; class=national archive; protocol=HTML; internal triage only, not public authority or rights clearance","not present in existing source registry, global edge, contemporary scan, or v1 nonmainstream target URL/name keys"
NLCV30032,Museo de la Memoria y los Derechos Humanos,Latin America / Caribbean,Southern Cone,Chile,memory museum archive,museum,HTML/catalog,https://web.museodelamemoria.cl/,1970,2026,1931-1970; 1971-2000; 2001-2026,posters; campaign graphics; documents; ephemera,source-level metadata and source-link discovery,html_metadata_adapter,IMG00/IMG02 only after item-level source and rights review; no IMG01/IMG03 automatic upgrade,"source title, description, collection scope, catalog terms, and stable links",community_or_cultural_review,item rights vary; source-level discovery only,P0,candidate,,91,A,"region=Latin America / Caribbean; class=memory museum archive; protocol=HTML/catalog; internal triage only, not public authority or rights clearance","not present in existing source registry, global edge, contemporary scan, or v1 nonmainstream target URL/name keys"
NLCV30033,Archivo General de la Nacion Uruguay,Latin America / Caribbean,Southern Cone,Uruguay,national archive,national,HTML,https://www.gub.uy/ministerio-educacion-cultura/archivo-general-nacion,1830,2026,1830-1930; 1931-1970; 1971-2000; 2001-2026,archives; photographs; government print,source-level metadata and source-link discovery,html_metadata_adapter,IMG00/IMG02 only after item-level source and rights review; no IMG01/IMG03 automatic upgrade,"source title, description, collection scope, catalog terms, and stable links",source-hosted review,item rights vary; source-level discovery only,P1,candidate,,74,B,"region=Latin America / Caribbean; class=national archive; protocol=HTML; internal triage only, not public authority or rights clearance","not present in existing source registry, global edge, contemporary scan, or v1 nonmainstream target URL/name keys"
NLCV30034,Biblioteca Nacional del Paraguay,Latin America / Caribbean,Southern Cone,Paraguay,national library,national,HTML,https://www.cultura.gov.py/,1830,2026,1830-1930; 1931-1970; 1971-2000; 2001-2026,books; newspapers; periodicals,source-level metadata and source-link discovery,manual_source_adapter,IMG00/IMG02 only after item-level source and rights review; no IMG01/IMG03 automatic upgrade,"source title, description, collection scope, catalog terms, and stable links",source-hosted review,item rights vary; source-level discovery only,P2,candidate,,68,B,"region=Latin America / Caribbean; class=national library; protocol=HTML; internal triage only, not public authority or rights clearance","not present in existing source registry, global edge, contemporary scan, or v1 nonmainstream target URL/name keys"
NLCV30035,Archivo Nacional de Asuncion,Latin America / Caribbean,Southern Cone,Paraguay,national archive,national,HTML,https://www.archivonacional.gov.py/,1830,2026,1830-1930; 1931-1970; 1971-2000; 2001-2026,archives; government print; newspapers,source-level metadata and source-link discovery,html_metadata_adapter,IMG00/IMG02 only after item-level source and rights review; no IMG01/IMG03 automatic upgrade,"source title, description, collection scope, catalog terms, and stable links",source-hosted review,item rights vary; source-level discovery only,P1,candidate,,82,A,"region=Latin America / Caribbean; class=national archive; protocol=HTML; internal triage only, not public authority or rights clearance","not present in existing source registry, global edge, contemporary scan, or v1 nonmainstream target URL/name keys"
NLCV30036,Repositorio Institucional BNP Peru,Latin America / Caribbean,Andean,Peru,national library repository,national,DSpace/HTML,https://repositorio.bnp.gob.pe/,1830,2026,1830-1930; 1931-1970; 1971-2000; 2001-2026,books; periodicals; digitized print,source-level metadata and source-link discovery,dspace_oai_or_rest_adapter,IMG00/IMG02 only after item-level source and rights review; no IMG01/IMG03 automatic upgrade,"source title, description, collection scope, catalog terms, and stable links",source-hosted review,item rights vary; source-level discovery only,P0,candidate,,76,B,"region=Latin America / Caribbean; class=national library repository; protocol=DSpace/HTML; internal triage only, not public authority or rights clearance","not present in existing source registry, global edge, contemporary scan, or v1 nonmainstream target URL/name keys"
NLCV30037,Archivo General de la Nacion Peru,Latin America / Caribbean,Andean,Peru,national archive,national,HTML,https://agn.gob.pe/,1830,2026,1830-1930; 1931-1970; 1971-2000; 2001-2026,archives; government print; photographs,source-level metadata and source-link discovery,html_metadata_adapter,IMG00/IMG02 only after item-level source and rights review; no IMG01/IMG03 automatic upgrade,"source title, description, collection scope, catalog terms, and stable links",source-hosted review,item rights vary; source-level discovery only,P1,candidate,,74,B,"region=Latin America / Caribbean; class=national archive; protocol=HTML; internal triage only, not public authority or rights clearance","not present in existing source registry, global edge, contemporary scan, or v1 nonmainstream target URL/name keys"
NLCV30038,Biblioteca Nacional de Colombia,Latin America / Caribbean,Andean,Colombia,national library,national,catalog/HTML,https://bibliotecanacional.gov.co/,1830,2026,1830-1930; 1931-1970; 1971-2000; 2001-2026,books; newspapers; periodicals; posters,source-level metadata and source-link discovery,bibliographic_adapter,IMG00/IMG02 only after item-level source and rights review; no IMG01/IMG03 automatic upgrade,"source title, description, collection scope, catalog terms, and stable links",source-hosted review,item rights vary; source-level discovery only,P1,candidate,,79,B,"region=Latin America / Caribbean; class=national library; protocol=catalog/HTML; internal triage only, not public authority or rights clearance","not present in existing source registry, global edge, contemporary scan, or v1 nonmainstream target URL/name keys"
NLCV30039,Biblioteca Digital de Bogota,Latin America / Caribbean,Andean,Colombia,city digital library,public,HTML/catalog,https://www.bibliotecadigitaldebogota.gov.co/,1830,2026,1830-1930; 1931-1970; 1971-2000; 2001-2026,posters; books; photographs; ephemera,source-level metadata and source-link discovery,html_metadata_adapter,IMG00/IMG02 only after item-level source and rights review; no IMG01/IMG03 automatic upgrade,"source title, description, collection scope, catalog terms, and stable links",source-hosted review,item rights vary; source-level discovery only,P0,candidate,,83,A,"region=Latin America / Caribbean; class=city digital library; protocol=HTML/catalog; internal triage only, not public authority or rights clearance","not present in existing source registry, global edge, contemporary scan, or v1 nonmainstream target URL/name keys"
NLCV30040,Senal Memoria Colombia,Latin America / Caribbean,Andean,Colombia,media archive,public,HTML,https://www.senalmemoria.co/,1950,2026,1931-1970; 1971-2000; 2001-2026,broadcast graphics; posters; public communication,source-level metadata and source-link discovery,html_metadata_adapter,IMG00/IMG02 only after item-level source and rights review; no IMG01/IMG03 automatic upgrade,"source title, description, collection scope, catalog terms, and stable links",source-hosted review,item rights vary; source-level discovery only,P1,candidate,,82,A,"region=Latin America / Caribbean; class=media archive; protocol=HTML; internal triage only, not public authority or rights clearance","not present in existing source registry, global edge, contemporary scan, or v1 nonmainstream target URL/name keys"
NLCV30041,Archivo General de la Nacion Colombia,Latin America / Caribbean,Andean,Colombia,national archive,national,HTML,https://www.archivogeneral.gov.co/,1830,2026,1830-1930; 1931-1970; 1971-2000; 2001-2026,archives; government print; photographs,source-level metadata and source-link discovery,html_metadata_adapter,IMG00/IMG02 only after item-level source and rights review; no IMG01/IMG03 automatic upgrade,"source title, description, collection scope, catalog terms, and stable links",source-hosted review,item rights vary; source-level discovery only,P1,candidate,,74,B,"region=Latin America / Caribbean; class=national archive; protocol=HTML; internal triage only, not public authority or rights clearance","not present in existing source registry, global edge, contemporary scan, or v1 nonmainstream target URL/name keys"
NLCV30042,Biblioteca Nacional del Ecuador,Latin America / Caribbean,Andean,Ecuador,national library,national,HTML/catalog,https://www.bibliotecanacional.gob.ec/,1830,2026,1830-1930; 1931-1970; 1971-2000; 2001-2026,books; newspapers; periodicals,source-level metadata and source-link discovery,bibliographic_adapter,IMG00/IMG02 only after item-level source and rights review; no IMG01/IMG03 automatic upgrade,"source title, description, collection scope, catalog terms, and stable links",source-hosted review,item rights vary; source-level discovery only,P1,candidate,,79,B,"region=Latin America / Caribbean; class=national library; protocol=HTML/catalog; internal triage only, not public authority or rights clearance","not present in existing source registry, global edge, contemporary scan, or v1 nonmainstream target URL/name keys"
NLCV30043,Archivo Nacional del Ecuador,Latin America / Caribbean,Andean,Ecuador,national archive,national,HTML,https://www.culturaypatrimonio.gob.ec/archivo-nacional-del-ecuador/,1830,2026,1830-1930; 1931-1970; 1971-2000; 2001-2026,archives; government print,source-level metadata and source-link discovery,html_metadata_adapter,IMG00/IMG02 only after item-level source and rights review; no IMG01/IMG03 automatic upgrade,"source title, description, collection scope, catalog terms, and stable links",source-hosted review,item rights vary; source-level discovery only,P2,candidate,,70,B,"region=Latin America / Caribbean; class=national archive; protocol=HTML; internal triage only, not public authority or rights clearance","not present in existing source registry, global edge, contemporary scan, or v1 nonmainstream target URL/name keys"
NLCV30044,Biblioteca y Archivo Historico de la Asamblea Legislativa Bolivia,Latin America / Caribbean,Andean,Bolivia,legislative archive,national,HTML,https://biblioteca.asambleanacional.gob.bo/,1830,2026,1830-1930; 1931-1970; 1971-2000; 2001-2026,documents; periodicals; government print,source-level metadata and source-link discovery,html_metadata_adapter,IMG00/IMG02 only after item-level source and rights review; no IMG01/IMG03 automatic upgrade,"source title, description, collection scope, catalog terms, and stable links",source-hosted review,item rights vary; source-level discovery only,P2,candidate,,78,B,"region=Latin America / Caribbean; class=legislative archive; protocol=HTML; internal triage only, not public authority or rights clearance","not present in existing source registry, global edge, contemporary scan, or v1 nonmainstream target URL/name keys"
