validation_sample_id,surface_id,capture_id,sample_target_marker,year,period,region,theme,medium,image_state,source_name,source_family,title,descriptive_unit,recommended_role,parent_candidate,relation_type,text_need_level,blocker_class,review_result,review_confidence,generalizable_rule,method_risk_flags,role_rationale,review_status,reviewer_notes
MSTV0020,SURF-SBC1970R0003,SBC1970R0003,anchor_if_editorial_text_added,1978,1970_1989,Aotearoa New Zealand,Midcentury modern graphic communication,Images,IMG03,Auckland Libraries Heritage Collections / CONTENTdm,Auckland Libraries Heritage Collections / CONTENTdm,"Gig poster and sign, Parnell, 1978",work_or_packet_anchor_candidate,main_needs_text,SURF-SBC1970R0003,packet_anchor_requires_text,low,none,pass,medium,editorial_text_needed_before_anchor_publication,no_subsheet_relation,The row can only function as main if a non-filler text sheet explains packet scope and evidence.,pending,
MSTV0021,SURF-SBC1970R0002,SBC1970R0002,anchor_if_editorial_text_added,1978,1970_1989,Aotearoa New Zealand,Postwar exhibition and cultural posters,Images,IMG03,Auckland Libraries Heritage Collections / CONTENTdm,Auckland Libraries Heritage Collections / CONTENTdm,"Bank window, Parnell, 1978",work_or_packet_anchor_candidate,main_needs_text,SURF-SBC1970R0002,packet_anchor_requires_text,low,none,pass,medium,editorial_text_needed_before_anchor_publication,no_subsheet_relation,The row can only function as main if a non-filler text sheet explains packet scope and evidence.,pending,
MSTV0022,SURF-DNZPOSTR029,DNZPOSTR029,anchor_if_editorial_text_added,1984,1970_1989,Aotearoa New Zealand,Postwar exhibition and cultural posters,; Poster; Unknown,IMG03,DigitalNZ,DigitalNZ,"Summer City poster, Asia Pacific Festival Kite Day",work_or_packet_anchor_candidate,main_needs_text,SURF-DNZPOSTR029,packet_anchor_requires_text,low,none,pass,medium,editorial_text_needed_before_anchor_publication,no_subsheet_relation,The row can only function as main if a non-filler text sheet explains packet scope and evidence.,pending,
MSTV0023,SURF-GSU2026R040,GSU2026R040,anchor_if_editorial_text_added,1987,1970_1989,Georgia,Midcentury modern graphic communication,application/pdf; application/pdf; Text,IMG02,Georgia State University Library Digital Collections / CONTENTdm,Georgia State CONTENTdm,"The Update, 1987-09",work_or_packet_anchor_candidate,main_needs_text,SURF-GSU2026R040,packet_anchor_requires_text,low,none,pass,medium,editorial_text_needed_before_anchor_publication,no_subsheet_relation,The row can only function as main if a non-filler text sheet explains packet scope and evidence.,pending,
MSTV0024,SURF-GSU2026R041,GSU2026R041,anchor_if_editorial_text_added,1989,1970_1989,Georgia,Travel and transport poster culture,application/pdf;; application/pdf;; text;,IMG02,Georgia State University Library Digital Collections / CONTENTdm,Georgia State CONTENTdm,"TWU Express, 1989-06-30",work_or_packet_anchor_candidate,main_needs_text,SURF-GSU2026R041,packet_anchor_requires_text,low,none,pass,medium,editorial_text_needed_before_anchor_publication,no_subsheet_relation,The row can only function as main if a non-filler text sheet explains packet scope and evidence.,pending,
MSTV0025,SURF-GSU2026R031,GSU2026R031,anchor_if_editorial_text_added,1982,1970_1989,Georgia,Midcentury modern graphic communication,application/pdf; application/pdf; Text,IMG02,Georgia State University Library Digital Collections / CONTENTdm,Georgia State CONTENTdm,"GAE Update, 1982-04",work_or_packet_anchor_candidate,main_needs_text,SURF-GSU2026R031,packet_anchor_requires_text,low,none,pass,medium,editorial_text_needed_before_anchor_publication,no_subsheet_relation,The row can only function as main if a non-filler text sheet explains packet scope and evidence.,pending,
MSTV0026,SURF-GSU2026R014,GSU2026R014,anchor_if_editorial_text_added,1972,1970_1989,Puerto Rico,Postwar exhibition and cultural posters,application/pdf;; application/pdf;; Stillimage,IMG02,Georgia State University Library Digital Collections / CONTENTdm,Georgia State CONTENTdm,"Poster: Mar y Sol; Easter in the Caribbean with Music and Friends, The First International Puerto<br>Rican Pop Festival, April 1-3, 1972",work_or_packet_anchor_candidate,manual_hold,,manual_relation_review,low,transnational_geography_manual,revise,low,editorial_text_needed_before_anchor_publication,transnational_region; no_subsheet_relation,The row can only function as main if a non-filler text sheet explains packet scope and evidence.,pending,
MSTV0027,SURF-GSU2026R032,GSU2026R032,anchor_if_editorial_text_added,1983,1970_1989,United States,Midcentury modern graphic communication,application/pdf; application/pdf; Text,IMG02,Georgia State University Library Digital Collections / CONTENTdm,Georgia State CONTENTdm,"March for Life, 1983-09",work_or_packet_anchor_candidate,main_needs_text,SURF-GSU2026R032,packet_anchor_requires_text,low,none,pass,medium,editorial_text_needed_before_anchor_publication,no_subsheet_relation,The row can only function as main if a non-filler text sheet explains packet scope and evidence.,pending,
MSTV0028,SURF-MX1970R038,MX1970R038,anchor_if_editorial_text_added,1970,1970_1989,United States,Modern typography and layout,digitized text / periodical,IMG02,Internet Archive / text and periodical collections,Internet Archive,Layout and graphic design,periodical_or_issue,main_needs_text,SURF-MX1970R038,packet_anchor_requires_text,low,none,pass,medium,editorial_text_needed_before_anchor_publication,no_subsheet_relation,The row can only function as main if a non-filler text sheet explains packet scope and evidence.,pending,
MSTV0029,SURF-LPC2026R008,LPC2026R008,anchor_if_editorial_text_added,1984,1970_1989,Aotearoa New Zealand,World War and public-information graphics,poster / printed public communication,IMG00,Te Papa Collections Online,Te Papa,"Poster, ""We begin bombing in five minutes""",source_cluster_member,manual_hold,,manual_relation_review,low,transnational_geography_manual,revise,low,editorial_text_needed_before_anchor_publication,transnational_region; large_cluster; no_subsheet_relation,The row can only function as main if a non-filler text sheet explains packet scope and evidence.,pending,
MSTV0030,SURF-GSU2026R044,GSU2026R044,anchor_if_editorial_text_added,1994,1990_1999,Georgia,Midcentury modern graphic communication,application/pdf; application/pdf; Text,IMG02,Georgia State University Library Digital Collections / CONTENTdm,Georgia State CONTENTdm,"The Update, 1994-03",work_or_packet_anchor_candidate,main_needs_text,SURF-GSU2026R044,packet_anchor_requires_text,low,none,pass,medium,editorial_text_needed_before_anchor_publication,no_subsheet_relation,The row can only function as main if a non-filler text sheet explains packet scope and evidence.,pending,
MSTV0031,SURF-GSU2026R045,GSU2026R045,anchor_if_editorial_text_added,1995,1990_1999,Georgia,Travel and transport poster culture,application/pdf; application/pdf; Text,IMG02,Georgia State University Library Digital Collections / CONTENTdm,Georgia State CONTENTdm,"Transit Times, 1995-04",work_or_packet_anchor_candidate,main_needs_text,SURF-GSU2026R045,packet_anchor_requires_text,low,none,pass,medium,editorial_text_needed_before_anchor_publication,no_subsheet_relation,The row can only function as main if a non-filler text sheet explains packet scope and evidence.,pending,
MSTV0032,SURF-GSU2026R043,GSU2026R043,anchor_if_editorial_text_added,1993,1990_1999,United States,Midcentury modern graphic communication,application/pdf; application/pdf; Text,IMG02,Georgia State University Library Digital Collections / CONTENTdm,Georgia State CONTENTdm,"The DeKalb Collegian, 1993-05-05",work_or_packet_anchor_candidate,main_needs_text,SURF-GSU2026R043,packet_anchor_requires_text,low,none,pass,medium,editorial_text_needed_before_anchor_publication,no_subsheet_relation,The row can only function as main if a non-filler text sheet explains packet scope and evidence.,pending,
MSTV0033,SURF-SBC1970R0034,SBC1970R0034,anchor_if_editorial_text_added,1995,1990_1999,United States,Midcentury modern graphic communication,image/tiff,IMG02,University of Miami Libraries Digital Collections / CONTENTdm,University of Miami Libraries Digital Collections / CONTENTdm,"""Cuba Libre: A Musical Celebration"" flyer and poster",work_or_packet_anchor_candidate,main_needs_text,SURF-SBC1970R0034,packet_anchor_requires_text,low,none,pass,medium,editorial_text_needed_before_anchor_publication,no_subsheet_relation,The row can only function as main if a non-filler text sheet explains packet scope and evidence.,pending,
MSTV0034,SURF-SBC1970R0006,SBC1970R0006,anchor_if_editorial_text_added,2009,2000_2009,Aotearoa New Zealand,Midcentury modern graphic communication,Images,IMG03,Auckland Libraries Heritage Collections / CONTENTdm,Auckland Libraries Heritage Collections / CONTENTdm,"Sky Tower, Auckland Central, 2009",work_or_packet_anchor_candidate,main_needs_text,SURF-SBC1970R0006,packet_anchor_requires_text,low,none,pass,medium,editorial_text_needed_before_anchor_publication,no_subsheet_relation,The row can only function as main if a non-filler text sheet explains packet scope and evidence.,pending,
MSTV0035,SURF-DNZPOSTR063,DNZPOSTR063,anchor_if_editorial_text_added,2000,2000_2009,Aotearoa New Zealand,Midcentury modern graphic communication,; Poster; Unknown,IMG03,DigitalNZ,DigitalNZ,Wellington's Inner City Character poster,work_or_packet_anchor_candidate,main_needs_text,SURF-DNZPOSTR063,packet_anchor_requires_text,low,none,pass,medium,editorial_text_needed_before_anchor_publication,no_subsheet_relation,The row can only function as main if a non-filler text sheet explains packet scope and evidence.,pending,
MSTV0036,SURF-LPC2026R087,LPC2026R087,anchor_if_editorial_text_added,2019,2010_2019,Japan,Midcentury modern graphic communication,digitized text / periodical / design discourse,IMG02,Internet Archive / text and periodical collections,Internet Archive,Worlds Of Amano,periodical_or_issue,manual_hold,,manual_relation_review,low,transnational_geography_manual,revise,low,editorial_text_needed_before_anchor_publication,transnational_region; no_subsheet_relation,The row can only function as main if a non-filler text sheet explains packet scope and evidence.,pending,
MSTV0037,SURF-EW1970R014,EW1970R014,anchor_if_editorial_text_added,2025,2020_2026,Switzerland,Corporate identity and design systems,Poster,IMG02,Another Graphic,Another Graphic,Anastasia Temirkhan,work_or_packet_anchor_candidate,main_needs_text,SURF-EW1970R014,packet_anchor_requires_text,low,none,pass,medium,editorial_text_needed_before_anchor_publication,no_subsheet_relation,The row can only function as main if a non-filler text sheet explains packet scope and evidence.,pending,
MSTV0038,SURF-IAC1990R013,IAC1990R013,anchor_if_editorial_text_added,2026,2020_2026,Taiwan,Midcentury modern graphic communication,Poster,IMG02,Another Graphic,Another Graphic,Hung Chang-Lien,work_or_packet_anchor_candidate,main_needs_text,SURF-IAC1990R013,packet_anchor_requires_text,low,none,pass,medium,editorial_text_needed_before_anchor_publication,no_subsheet_relation,The row can only function as main if a non-filler text sheet explains packet scope and evidence.,pending,
MSTV0039,SURF-GAX1970R051,GAX1970R051,packet_anchor_or_member_review,1874,1850_1899,France,Midcentury modern graphic communication,3 p. ; in-8; Nombre total de vues : 12,IMG03,Gallica / BnF APIs,Gallica / BnF APIs,A tous mes confrères de la littérature et de la typographie / [signé Joseph Boulmier],source_cluster_member,sub_under_packet,France|Midcentury modern graphic communication|Gallica / BnF APIs|1870s,member_of_source_cluster_packet,low,none,pass,medium,packet_member_with_cluster_can_be_sub_candidate,large_cluster; no_subsheet_relation,The row has a visible cluster relation and should be tested as packet member before main retention.,pending,
MSTV0040,SURF-GA1970R012,GA1970R012,packet_anchor_or_member_review,1872,1850_1899,France,Midcentury modern graphic communication,19 p. : pl. ; in-8; Nombre total de vues : 184,IMG03,Gallica / BnF APIs,Gallica / BnF APIs,"Patrons de broderie et de lingerie du XVIe siècle, reproduits par le procédé Lefman et Lourdel et publiés d'après les éditions conservées à la Bibliothèque Mazarine : recueil de documents graphiques pour servir à l'histoire des arts industr",source_cluster_member,sub_under_packet,France|Midcentury modern graphic communication|Gallica / BnF APIs|1870s,member_of_source_cluster_packet,low,none,pass,medium,packet_member_with_cluster_can_be_sub_candidate,large_cluster; no_subsheet_relation,The row has a visible cluster relation and should be tested as packet member before main retention.,pending,
MSTV0041,SURF-GAX1970R058,GAX1970R058,packet_anchor_or_member_review,1884,1850_1899,France,Midcentury modern graphic communication,1 vol. (57 p.) ; in-fol; Nombre total de vues : 73,IMG03,Gallica / BnF APIs,Gallica / BnF APIs,La typographie orientale à l'Imprimerie nationale et la publication de la collection orientale,source_cluster_member,sub_under_packet,France|Midcentury modern graphic communication|Gallica / BnF APIs|1880s,member_of_source_cluster_packet,medium,large_cluster_parentage_review,pass,medium,packet_member_with_cluster_can_be_sub_candidate,large_cluster; no_subsheet_relation,The row has a visible cluster relation and should be tested as packet member before main retention.,pending,
MSTV0042,SURF-GA1970R042,GA1970R042,packet_anchor_or_member_review,1923,1914_1945,France,Midcentury modern graphic communication,"1 est. ; 0,56 x 0,39 m; image/jpeg; Nombre total de vues : 1",IMG03,Gallica / BnF APIs,Gallica / BnF APIs,"Les noces Wesele, libre réalisation en trois phases du drame de Stanislas Wyspianski... Art et Action donnera sa 92e séance le dimanche 4 novembre 1923 en son studio... : [affiche] / [non signé] ; bois gravé non signé",source_cluster_member,sub_under_packet,France|Midcentury modern graphic communication|Gallica / BnF APIs|1920s,member_of_source_cluster_packet,medium,large_cluster_parentage_review,pass,medium,packet_member_with_cluster_can_be_sub_candidate,large_cluster; no_subsheet_relation,The row has a visible cluster relation and should be tested as packet member before main retention.,pending,
MSTV0043,SURF-GA1970R041,GA1970R041,packet_anchor_or_member_review,1923,1914_1945,France,Midcentury modern graphic communication,"1 est. ; 0,65 x 0,45 m; image/jpeg; Nombre total de vues : 1",IMG03,Gallica / BnF APIs,Gallica / BnF APIs,"Le dimanche 2 déc. 1923, Art et Action donnera sa 98ème séance... F. Divoire, la naissance du poème... Poème-dancing, terre de Chomette... Stéphane Mallarmé, un coup de dé jamais n'abolira le hazard... H.-M. Barzun, l'universel drame simult",source_cluster_member,sub_under_packet,France|Midcentury modern graphic communication|Gallica / BnF APIs|1920s,member_of_source_cluster_packet,medium,large_cluster_parentage_review,pass,medium,packet_member_with_cluster_can_be_sub_candidate,large_cluster; no_subsheet_relation,The row has a visible cluster relation and should be tested as packet member before main retention.,pending,
MSTV0044,SURF-GA1970R039,GA1970R039,packet_anchor_or_member_review,1922,1914_1945,France,Midcentury modern graphic communication,1 est. ; 155 x 116 cm; image/jpeg; Nombre total de vues : 1,IMG03,Gallica / BnF APIs,Gallica / BnF APIs,"Théâtre national de l'Opéra, Bal Molière, mardi 28 fevrier 1922 : [affiche]",source_cluster_member,sub_under_packet,France|Midcentury modern graphic communication|Gallica / BnF APIs|1920s,member_of_source_cluster_packet,medium,large_cluster_parentage_review,pass,medium,packet_member_with_cluster_can_be_sub_candidate,large_cluster; no_subsheet_relation,The row has a visible cluster relation and should be tested as packet member before main retention.,pending,
MSTV0045,SURF-MC1930R025,MC1930R025,packet_anchor_or_member_review,1936,1914_1945,United States,New Deal and civic poster programs,"1 print on board (poster) : silkscreen, color.",IMG01,Library of Congress loc.gov API,Library of Congress,[WPA poster design showing the head and hands of a woman holding flowers and wheat above a blank banner],source_cluster_member,sub_under_packet,United States|New Deal and civic poster programs|Library of Congress loc.gov API|1930s,member_of_source_cluster_packet,low,none,pass,medium,packet_member_with_cluster_can_be_sub_candidate,large_cluster; no_subsheet_relation,The row has a visible cluster relation and should be tested as packet member before main retention.,pending,
MSTV0046,SURF-GAPIT2026R005,GAPIT2026R005,packet_anchor_or_member_review,1940,1914_1945,Aotearoa New Zealand,Postwar exhibition and cultural posters,poster / printed public communication,IMG02,Te Papa Collections Online,Te Papa,"Poster, 'Giant of the Air'",packet_member_or_anchor_candidate,sub_under_packet,Aotearoa New Zealand|Postwar exhibition and cultural posters|Te Papa Collections Online|1940s,member_of_packet,low,none,pass,medium,packet_member_with_cluster_can_be_sub_candidate,no_subsheet_relation,The row has a visible cluster relation and should be tested as packet member before main retention.,pending,
MSTV0047,SURF-GAPIT2026R007,GAPIT2026R007,packet_anchor_or_member_review,1940,1914_1945,Aotearoa New Zealand,World War and public-information graphics,poster / printed public communication,IMG02,Te Papa Collections Online,Te Papa,"Poster, 'War traffic comes first'",source_cluster_member,manual_hold,,manual_relation_review,medium,transnational_geography_manual; large_cluster_parentage_review,revise,low,packet_anchor_or_member_with_blocker_requires_manual_review,transnational_region; large_cluster; no_subsheet_relation,"Parent/member status is visible but blocked by geography, source, event, stamp, or false-positive risk.",pending,
MSTV0048,SURF-GA1970R118,GA1970R118,packet_anchor_or_member_review,1966,1946_1969,France,Midcentury modern graphic communication,"1 estampe : lithographie ; 0,600 x 0,390 m; image/jpeg; Nombre total de vues : 1",IMG03,Gallica / BnF APIs,Gallica / BnF APIs,"Bal de l'X, le 1er décembre [1966] à l'Opéra... : [affiche] / [non signé]",source_cluster_member,sub_under_packet,France|Midcentury modern graphic communication|Gallica / BnF APIs|1960s,member_of_source_cluster_packet,low,none,pass,medium,packet_member_with_cluster_can_be_sub_candidate,large_cluster; no_subsheet_relation,The row has a visible cluster relation and should be tested as packet member before main retention.,pending,
MSTV0049,SURF-GA1970R113,GA1970R113,packet_anchor_or_member_review,1957,1946_1969,France,Midcentury modern graphic communication,"1 estampe : lithographie ; 0,400 x 0,300 m; image/jpeg; Nombre total de vues : 1",IMG03,Gallica / BnF APIs,Gallica / BnF APIs,"68e Bal de l'X, 9 mai 1957à lOpéra... : [affiche] / [non signé]",source_cluster_member,sub_under_packet,France|Midcentury modern graphic communication|Gallica / BnF APIs|1950s,member_of_source_cluster_packet,low,none,pass,medium,packet_member_with_cluster_can_be_sub_candidate,large_cluster; no_subsheet_relation,The row has a visible cluster relation and should be tested as packet member before main retention.,pending,
MSTV0050,SURF-GA1970R114,GA1970R114,packet_anchor_or_member_review,1961,1946_1969,France,Midcentury modern graphic communication,"1 estampe : lithographie ; 0,620 x 0,400 m; image/jpeg; Nombre total de vues : 1",IMG03,Gallica / BnF APIs,Gallica / BnF APIs,"72e Bal de l'X, à l'Opéra, 30 novembre 1961... : [affiche] / lithographie de M.-L. Lorin",source_cluster_member,sub_under_packet,France|Midcentury modern graphic communication|Gallica / BnF APIs|1960s,member_of_source_cluster_packet,low,none,pass,medium,packet_member_with_cluster_can_be_sub_candidate,large_cluster; no_subsheet_relation,The row has a visible cluster relation and should be tested as packet member before main retention.,pending,
MSTV0051,SURF-GA1970R119,GA1970R119,packet_anchor_or_member_review,1968,1946_1969,France,Midcentury modern graphic communication,1 est. : sérigr. ; 57 x 80 cm; image/jpeg; Nombre total de vues : 1,IMG03,Gallica / BnF APIs,Gallica / BnF APIs,"[Mai 1968]. Fer de lance de l'exploitation. La publicité, [août 1968]. Atelier populaire : [affiche] / [non identifié]",source_cluster_member,sub_under_packet,France|Midcentury modern graphic communication|Gallica / BnF APIs|1960s,member_of_source_cluster_packet,low,none,pass,medium,packet_member_with_cluster_can_be_sub_candidate,large_cluster; no_subsheet_relation,The row has a visible cluster relation and should be tested as packet member before main retention.,pending,
