redundancy_candidate_id,scope_cell_id,candidate_label,candidate_class,creator_or_institution,date_text,source_name,url_or_search_path,record_family,expected_image_zone,rights_risk,automation_feasibility,replace_failed_target
SRCAND0206,C02,Polish poster route in Museum of Modern Art in Warsaw / Zachęta ecosystem,search_path_only,Polish museum ecosystem,postwar,artmuseum.pl,site:artmuseum.pl Polish poster museum Warsaw collection,collection-search,IMG04,low,med,Stub
SRCAND0301,C03,"Memorandum Sheet, IBM — Paul Rand",exact_record,Paul Rand / Cooper Hewitt,1964,Smithsonian Collections Search,https://collections.si.edu/search/detail/edanmdm:chndm_1989-130-11,object,IMG01,med,high,Y
SRCAND0302,C03,"Vision, Mission, Goals and Objectives, IBM route",search_path_only,Paul Rand / Cooper Hewitt,late-20th c.,Smithsonian,"site:collections.si.edu IBM Paul Rand ""Vision, Mission, Goals and Objectives""",object-search,IMG01,med,high,Y
SRCAND0303,C03,"Resource Management, IBM route",search_path_only,Paul Rand / Cooper Hewitt,late-20th c.,Smithsonian,"site:collections.si.edu IBM ""Resource Management"" ""Paul Rand""",object-search,IMG01,med,high,Y
SRCAND0304,C03,Eye-Bee-M route,search_path_only,Paul Rand / Cooper Hewitt,1981,Smithsonian,"site:collections.si.edu IBM Paul Rand ""Eye-Bee-M""",object-search,IMG01,med,high,Y
SRCAND0305,C03,IBM logo/design history route,collection_level_record,IBM,20th c.,IBM History,site:ibm.com/history/exhibits design IBM logo Paul Rand,corporate-history,IMG04,low,med,Stub
SRCAND0306,C03,IBM design roots via MoMA and RIT/Cary route,bibliography_record,MoMA / RIT / IBM-linked sources,20th c.,mixed,site:moma.org IBM poster Paul Rand collection works,bibliography-search,IMG04,low,med,Stub
SRCAND0401,C04,Día internacional de la mujer,exact_record,Mercedes Quevedo / LOC,1960,Library of Congress,https://www.loc.gov/pictures/item/2004665907/,poster-object,IMG02,med,high,Y
SRCAND0402,C04,El taller de gráfica popular: doce años de obra artística colectiva,exact_record,TGP México / LOC,1949,Library of Congress,https://www.loc.gov/pictures/item/97166626/,book-object,IMG02,med,high,Y
SRCAND0403,C04,Grabados del Taller de Gráfica Popular,exact_record,Taller de Gráfica Popular / LOC,1956,Library of Congress,https://www.loc.gov/pictures/item/2010414174/,portfolio-object,IMG02,med,high,Y
SRCAND0404,C04,The Incident,exact_record,John Wilson; printer: TGP / Mia,1955,Minneapolis Institute of Art,https://collections.artsmia.org/art/139921,print-object,IMG01,med,high,Y
SRCAND0405,C04,Peasants,exact_record,José Chávez Morado; printer/publisher TGP / MoMA,1938,MoMA Collection,https://www.moma.org/collection/works/72917,print-object,IMG01,high,high,Y
SRCAND0406,C04,"Nazism, 9th Lecture: Races of the First and Second Class",exact_record,Ángel Bracho / MoMA,1942,MoMA Collection,https://www.moma.org/collection/works/72588,poster-object,IMG01,high,high,Y
SRCAND0501,C05,Brigadas Ramona Parra minisitio,collection_level_record,Biblioteca Nacional de Chile,thematic,Memoria Chilena,https://www.memoriachilena.gob.cl/602/w3-article-100581.html,thematic collection,IMG04,low,high,Stub
SRCAND0502,C05,Murales Brigada Ramona Parra,exact_record,Armindo Cardoso / BND Chile,1970,Biblioteca Nacional Digital de Chile,https://www.bibliotecanacionaldigital.gob.cl/bnd/637/w3-article-156874.html,photo-object,IMG02,high,high,Y
SRCAND0503,C05,Contra la dictadura ... pintaremos hasta el cielo!!,exact_record,Brigada Ramona Parra / BND Chile,[198-?],BND Chile,https://www.bibliotecanacionaldigital.gob.cl/bnd/649/w3-article-605531.html,poster-object,IMG02,high,high,Y
SRCAND0504,C05,[Jóvenes de la Brigada Ramona Parra pintando murallas],exact_record,BND Chile,1970s,BND Visor,https://www.bibliotecanacionaldigital.gob.cl/visor/BND%3A163996,album/viewer,IMG02,high,med,Y
SRCAND0505,C05,Mural de la Brigada Ramona Parra,bibliography_record,Araucaria de Chile / Memoria Chilena,1983,Memoria Chilena,https://www.memoriachilena.gob.cl/602/w3-article-126078.html,bibliography/image page,IMG01,med,high,Y
SRCAND0506,C05,"Brigadas Ramona Parra en el Estadio Nacional, 1972",bibliography_record,from Palabras escritas en un muro / Memoria Chilena,1972 image in 2001 publication,Memoria Chilena,https://www.memoriachilena.gob.cl/602/w3-article-126075.html,bibliography/image page,IMG01,med,high,Y
SRCAND0601,C06,世界デザイン会議議事録,exact_record,Proceedings editorial committee / NDL,"1961, conference 1960",NDL Search,https://ndlsearch.ndl.go.jp/en/books/R100000002-I000001036466,proceedings,IMG00,med,high,Y
SRCAND0602,C06,Authority record: 世界デザイン会議,authority_record,National Diet Library,authority created 1998,Web NDL Authorities,https://id.ndl.go.jp/auth/ndlna/00638273,authority,IMG04,low,high,N
SRCAND0603,C06,国際化のなかの日本IDと世界デザイン会議,bibliography_record,Japanese Society for the Science of Design,2009,NDL Search,https://ndlsearch.ndl.go.jp/books/R100000136-I1390282680386629760,article,IMG04,low,high,Y
SRCAND0604,C06,Hosoya Gan exhibition page referencing the 1960 WoDeCo pamphlet び,event_record,"National Art Center, Tokyo",2020s page discussing 1960 artifact,NACT Art Commons,https://nact.jp/english/artcommons/user/detail/71875,exhibition/event,IMG04,low,high,Stub
SRCAND0605,C06,世界デザイン会議報告 1960 route,search_path_only,WoDeCo Japan operations office,1960,NDL Search,"site:ndlsearch.ndl.go.jp ""世界デザイン会議報告"" 1960",bibliography-search,IMG00,med,med,Y
SRCAND0606,C06,世界デザイン会議報告書 ICSID ’89 Nagoya official report,exact_record,World Design Conference operations committee,1990,NDL Search,https://ndlsearch.ndl.go.jp/books/R100000002-I000002039068,report,IMG00,med,high,N
SRCAND0701,C07,上海漫畫 1928.11.17 第三十一期,exact_record,Shanghai Sketch / Internet Archive,1928-11-17,Internet Archive,https://archive.org/details/shmh-1928.11.17,periodical issue,IMG02,med,high,Y
SRCAND0702,C07,上海漫畫 1930.第97期,exact_record,Shanghai Sketch / Internet Archive,1930,Internet Archive,https://archive.org/details/shmh-wm-hr-1930.97qi,periodical issue,IMG02,med,high,Y
SRCAND0703,C07,Calendar Poster; 月份牌; Yuefenpai,exact_record,Hu Boxiang / British Museum,1930,British Museum,https://www.britishmuseum.org/collection/object/A_1993-0813-0-1,poster-object,IMG01,med,high,Y
SRCAND0704,C07,"Calendar poster, Shanghai 上海日曆海報",exact_record,HKU Libraries,early 20th c.,University of Hong Kong,https://digitalrepository.lib.hku.hk/catalog/x346kb50k,poster-object,IMG01,med,high,Y
SRCAND0705,C07,Calendar Poster for Shanghai Sanyou Co.,exact_record,Zheng Mantuo / Fukuoka Asian Art Museum,1910s–20s,Art Platform Japan,https://artplatform.go.jp/collections/W1324000,poster-object,IMG01,med,high,Y
SRCAND0706,C07,Hua Ying Yuefenpai 華英月份牌,exact_record,"Ethnologisches Museum, SMB",early 20th c.,Deutsche Digitale Bibliothek,https://ccc.deutsche-digitale-bibliothek.de/en/item/JD3ZD7EXY666V5KNSFZSRKGGJKTIQK3I,poster-object,IMG01,med,med,Y
SRCAND0801,C08,민중미술 15년 : 1980~1994,event_record,MMCA,exhibition covering 1980–94,MMCA,https://www.mmca.go.kr/exhibitions/exhibitionsDetail.do?exhId=200904050002593,exhibition,IMG01,med,high,Y
SRCAND0802,C08,《민족해방운동사 그림전》 포스터,exact_record,민족민중미술운동전국연합 etc. / MMCA archive,1991,MMCA Archive,https://www.mmca.go.kr/research/archiveSpInfo.do?collect_id=1000020&item_id=2013110600511&item_sno=1&museum_id=00001&series_id=2013102900006&series_sno=1&type=I,poster-object,IMG00,high,med,Y
SRCAND0803,C08,Choi Yul collection series for major Minjung groups,collection_level_record,MMCA archive,late 1970s–1980s,MMCA Archive,https://www.mmca.go.kr/research/archiveSpInfo.do?collect_id=1000020&museum_id=00001&series_id=2013102900001&series_sno=1&type=S,archive series,IMG04,low,high,Y
SRCAND0804,C08,한국민중판화모음전 포스터,exact_record,그림마당 민 / KDF Open Archive,[undated],Korea Democracy Foundation,https://archives.kdemo.or.kr/isad/view/01015877,poster-object,IMG02,high,high,Y
SRCAND0805,C08,광주의거자료집2-오월 그날이 다시오면,bibliography_record,천주교광주대교구정의평화위원회 / KDF,1987,KDF Open Archive,https://archives.kdemo.or.kr/isad/view/00856377,document,IMG02,high,high,Y
SRCAND0806,C08,5월 광주 / 봉선화 poster routes,search_path_only,KDF Open Archive,1998 / undated,KDF Search,"site:archives.kdemo.or.kr ""도미야마 다에코·홍성담 2인전 '5월 광주' 포스터""",object-search,IMG00,high,low,Verify
SRCAND0901,C09,Street sign of Jalan Pisang,exact_record,National Museum of Singapore,early–mid 20th c.,Roots.sg,https://www.roots.gov.sg/Collection-Landing/listing/1239614,street-sign object,IMG01,med,high,Y
SRCAND0902,C09,Street sign of River Valley Road,exact_record,National Museum of Singapore,early–mid 20th c.,Roots.sg,https://www.roots.gov.sg/Collection-Landing/listing/1235060,street-sign object,IMG01,med,high,Y
SRCAND0903,C09,Street sign of River Valley Road in Mandarin,exact_record,National Museum of Singapore,early–mid 20th c.,Roots.sg,https://www.roots.gov.sg/collection-landing/listing/1238399,multilingual sign object,IMG01,med,high,Y
SRCAND0904,C09,Lion’s head symbol,authority_record,NLB / Singapore state symbol history,1986 launch,NLB Article,https://www.nlb.gov.sg/main/article-detail?cmsuuid=e0407b9d-17b5-41ec-b17c-55723bf4599e,symbol-history,IMG04,low,high,N
SRCAND0905,C09,A&W drinking glass with restaurant logo,exact_record,National Museum of Singapore,1980s,Roots.sg,https://www.roots.gov.sg/Collection-Landing/listing/1274321,commercial-logo object,IMG01,med,high,Y
SRCAND0906,C09,White porcelain saucer with ‘Ong Sam Yong Tea Merchants Pte Ltd’ logo,exact_record,National Museum of Singapore,late 20th c.,Roots.sg,https://www.roots.gov.sg/collection-landing/listing/1106452,commercial-logo object,IMG01,med,high,Y
SRCAND1001,C10,History of NID,authority_record,National Institute of Design,founding 1961 onward,NID,https://www.nid.edu/about/history-of-nid,institutional history,IMG04,low,high,N
SRCAND1002,C10,NID Archives / CollectionsOnline,collection_level_record,NID Archives,modern design in India,NID Archives,https://www.archives.nid.edu/,archive portal,IMG00,med,low,Verify
SRCAND1003,C10,Young Designer ’08 archive route,event_record,NID,2008,Young Designers archive,https://youngdesigners.nid.edu/archive/yd08/SearchResult_SNDt.php?SID=237,student/archive event,IMG01,med,med,Y
SRCAND1004,C10,Alpavirama 2014,event_record,NID,2014,NID,https://nid.edu/alpavirama2014/,festival/event,IMG02,med,high,Y
SRCAND1005,C10,alpavirama 2018,event_record,NID,2018,NID,https://nid.edu/alpavirama2018/about.html,festival/event,IMG02,med,high,Y
SRCAND1006,C10,NID annual report with archives note,bibliography_record,NID,2021 PDF surfaced,NID publication,https://www.nid.edu/public/documents/h1vMMP18gp.pdf,institutional report,IMG04,low,high,Y
SRCAND1101,C11,"Tehran Touch, Iranian Graphic Design New Scene",exact_record,Homa Delvaray / Cooper Hewitt,2014,Smithsonian Collections Search,https://collections.si.edu/search/detail/edanmdm:chndm_s-e-1714,poster-object,IMG01,med,high,Y
SRCAND1102,C11,"Post Past, 250th Anniversary of the State Hermitage Museum",exact_record,Homa Delvaray / Cooper Hewitt,2013,Smithsonian Collections Search,https://collections.si.edu/search/detail/edanmdm:chndm_s-e-1712,poster-object,IMG01,med,high,Y
SRCAND1103,C11,Contemporary Iran: Poster Collection 35,bibliography_record,Poster House Research Library,2000s publication,Poster House Library,https://library.posterhouse.org/book/contemporary-iran-poster-collection-35/,bibliography,IMG04,low,high,Y
SRCAND1104,C11,50 years of Caligraphy and Typography in Iranian Graphic Design,bibliography_record,Poster House Research Library,2000s,Poster House Library,https://library.posterhouse.org/book/iranian-typography-50-years-of-caligraphy-and-typography-in-iranian-graphic-design/,bibliography,IMG04,low,high,Y
SRCAND1105,C11,The Collection of Posters by Ali Vazirian,bibliography_record,Poster House Research Library,2003,Poster House Library,https://library.posterhouse.org/book/the-collection-of-posters-by-ali-vazirian/,bibliography,IMG04,low,high,Y
SRCAND1106,C11,Calligraphic Paintings / Theatre Posters / Signs & Logos: Ebrahim Haghighi route,bibliography_record,Poster House Research Library,2006–2013 publications,Poster House Library,https://library.posterhouse.org/book/calligraphic-paintings-ebrahim-haghighi/,bibliography-cluster,IMG04,low,high,Y
SRCAND1201,C12,MEDU cultural work portal,collection_level_record,Wits Historical Papers,Medu active from 1978,Wits,https://historicalpapers-atom.wits.ac.za/medu-4,archive collection,IMG04,low,high,Y
SRCAND1202,C12,Medu cards / ephemera route,collection_level_record,Wits Historical Papers,1978 onward,Wits,https://historicalpapers-atom.wits.ac.za/4-6-2-2?sf_culture=en,archive series,IMG04,low,high,Y
SRCAND1203,C12,Medu posters: Images from exile,collection_level_record,SAHA,Medu period,SAHA,https://www.saha.org.za/medu_posters_images_from_exile.htm,thematic poster collection,IMG01,med,high,Y
SRCAND1204,C12,December 16: Heroes-Day,exact_record,Thami Mnyele / SAHA,1983,SAHA,https://www.saha.org.za/imagesofdefinace/december_16_heroes_day_2.htm,poster-object,IMG01,high,high,Y
SRCAND1205,C12,Now You Have Touched the Women...,exact_record,Judy Seidman / Medu / SAHA,1982,SAHA,https://www.saha.org.za/imagesofdefinace/now_you_have_touched_the_women_you_have_struck_a_rock_you_have_dislodged_a_boulder_you_will_be_crushed_2.htm,poster-object,IMG01,high,high,Y
SRCAND1206,C12,"Women Arise: Organise, Unite for People’s Power!",exact_record,ngwedi graphics – MEDU ARTS / SAHA,1986,SAHA,https://www.saha.org.za/imagesofdefinace/women_arise_organise_unite_for_peoples_power.htm,poster-object,IMG01,high,high,Y
SRCAND1301,C13,AIATSIS NAIDOC Week posters collection,collection_level_record,AIATSIS,collection ongoing,AIATSIS,https://aiatsis.gov.au/collection/featured-collections/naidoc-week-posters,official collection,IMG02,med,high,Y
SRCAND1302,C13,Official NAIDOC Poster Gallery,collection_level_record,NAIDOC,1972–present,NAIDOC,https://www.naidoc.org.au/posters/poster-gallery,official gallery,IMG02,med,high,Y
SRCAND1303,C13,NAIDOC history,authority_record,NAIDOC,1920s origins onward,NAIDOC,https://www.naidoc.org.au/about/history,movement history,IMG04,low,high,N
SRCAND1304,C13,AIATSIS collection portal,collection_level_record,AIATSIS,ongoing,AIATSIS,https://aiatsis.gov.au/collection,collection portal,IMG04,low,high,Stub
SRCAND1305,C13,AIATSIS collection search,search_path_only,AIATSIS,ongoing,AIATSIS,https://aiatsis.gov.au/collection/search-collection,search portal,IMG04,low,high,Stub
SRCAND1306,C13,AIATSIS annual report note on NAIDOC posters digitisation/exhibition,bibliography_record,AIATSIS,2004–05 report,AIATSIS PDF,https://aiatsis.gov.au/sites/default/files/research_pub/ar200405-04-chapter3-collections.pdf,report,IMG04,low,high,Y
SRCAND1401,C14,PAD/D Archive finding aid,collection_level_record,MoMA Archives,PAD/D archive,MoMA Archives,https://www.moma.org/research/archives/finding-aids/PADDf,archive finding aid,IMG04,low,high,Y
SRCAND1402,C14,PAD/D Gran Fury section,collection_level_record,MoMA research guide,1988–95 materials,MoMA Research Guides,https://research.moma.org/c.php?g=1294322&p=9521399,archive section,IMG04,low,high,Y
SRCAND1403,C14,"PAD/D AIDS/activism section citing Gran Fury, Read My Lips",exact_record,Gran Fury / MoMA Archives,late 1980s,MoMA Research Guides,https://research.moma.org/c.php?g=1294322&p=9505310,archival object reference,IMG04,low,high,Y
SRCAND1404,C14,Remembering New York City’s AIDS Crisis Together,event_record,MoMA Magazine,2025 article on AIDS crisis memory,MoMA Magazine,https://www.moma.org/magazine/articles/1222,essay/event support,IMG04,low,high,Stub
SRCAND1405,C14,Nightclubbing with first-person note on Kissing Doesn’t Kill,event_record,MoMA Inside/Out,2011,MoMA,https://www.moma.org/explore/inside_out/2011/03/28/nightclubbing/,contextual essay,IMG04,low,high,Stub
SRCAND1406,C14,Lola Flash artist page referencing ACT UP / Kissing Doesn’t Kill context,authority_record,MoMA artist page,contemporary page,MoMA Collection,https://www.moma.org/collection/artists/133450,artist authority,IMG04,low,high,N
SRCAND1501,C15,"Cascading Style Sheets, level 1",exact_record,W3C,1996-12-17,W3C,https://www.w3.org/TR/REC-CSS1-961217,technical spec,IMG04,low,high,Y
SRCAND1502,C15,W3C CSS1 press release,event_record,W3C,1996-12-17,W3C,https://www.w3.org/press-releases/1996/css1-rec/,press/event record,IMG04,low,high,Y
SRCAND1503,C15,W3C CSS history page,authority_record,W3C,retrospective,W3C,https://www.w3.org/Style/CSS/history.html,standards history,IMG04,low,high,N
SRCAND1504,C15,GeoCities Special Collection 2009,collection_level_record,Internet Archive / Archive Team rescue,2009,Internet Archive,https://archive.org/web/geocities.php,web-archive collection,IMG04,low,high,Y
SRCAND1505,C15,"GeoCities, Preserved!",event_record,Internet Archive Blog,2009-08-25,Internet Archive,https://blog.archive.org/2009/08/25/geocities-preserved/,preservation event,IMG04,low,high,Y
SRCAND1506,C15,Archived GeoCities homepage snapshot,exact_record,Yahoo! GeoCities / Wayback,2001 snapshot,Wayback Machine,https://wayback.archive.org/web/20010413160638/http%3A/geocities.yahoo.com/home/,archived webpage,IMG02,low,high,Y
