matrix_id,source_expansion_id,source_name,region,source_type,url,access_method,api_iiif_oai_data,record_family,period_1830_1930,period_1931_1970,period_1971_2000,period_2001_2026,image_value,text_value,rights_clarity,stable_identifier_quality,automation_feasibility,crawl_difficulty,default_image_zone,recommended_use,priority_1930_1970,source_status,deep_research_needed,use_notes
SEM109,GSE109,Digital Library of the Caribbean,Latin America and the Caribbean,Regional digital library,https://dloc.com/,Public search + downloads + web item pages,stable item pages; file/download behavior varies by partner,periodical_newspaper;poster_print_object;book_catalogue_text,secondary,strong,strong,secondary,High-viewer,High,Med,High,Med,medium,IMG02,launch,P1 text-rich crawl,candidate,no,"Caribbean periodicals, tourism graphics, labor/counterpublic print context"
SEM110,GSE110,Hemeroteca Digital Brasileira,Latin America and the Caribbean,Newspaper/periodical portal,https://bndigital.bn.gov.br/hemeroteca-digital/,Public search + viewer,viewer/OCR behavior; automation friction expected,periodical_newspaper;book_catalogue_text,secondary,strong,strong,secondary,High-viewer,High,Med,High,Low-Med,high,IMG02,launch,P1 text-rich crawl,candidate,no,"Brazilian periodical design, advertising, architecture/design magazines, public campaigns"
SEM111,GSE111,Hemeroteca Nacional Digital de Mexico,Latin America and the Caribbean,Newspaper/periodical portal,https://hndm.iib.unam.mx/,Public search + viewer,viewer/page access; API not assumed,periodical_newspaper;poster_print_object;book_catalogue_text,secondary,strong,strong,secondary,High-viewer,High,Med,High,Med,medium,IMG02,launch,P1 text-rich crawl,candidate,no,"Mexican periodicals, advertising, student movement and print culture context"
SEM112,GSE112,M68 Ciudadanias en Movimiento,Latin America and the Caribbean,Movement/community archive,https://m68.mx/,Public search + web item pages,repository behavior; item granularity requires probe,poster_print_object;book_catalogue_text;archive_finding_aid,secondary,strong,strong,secondary,High-viewer,High,Med,Med,Med,medium,IMG02,launch,P1 text-rich crawl,candidate,no,Mexican 1968 student movement graphics and political visual culture
SEM106,GSE106,Chinese Posters,Mainland China,Poster-specific archive,https://chineseposters.net/,Public search + web item pages,no public API/IIIF verified; stable item/theme pages,poster_print_object;book_catalogue_text;archive_finding_aid,secondary,strong,strong,secondary,High-restricted,High,Low-Med,High,Med,medium,IMG00,launch,P1 text-rich crawl,candidate,yes,high-yield mainland Chinese poster and campaign graphics connector
SEM092,GSE092,National Library of Israel,Middle East and North Africa,National library portal,https://www.nli.org.il/,Web + API routes to verify,metadata and digital collection routes require verification,periodical_newspaper;poster_print_object;book_catalogue_text;authority_context,secondary,strong,strong,secondary,High-viewer,High,Med,High,Med,low,IMG02,backup,P1 text-rich crawl,candidate,no,"Hebrew/Arabic publishing, posters, institutional graphics"
SEM041,GSE041,Harvard Art Museums API,North America,Museum API,https://harvardartmuseums.org/collections/api,API,REST API + IIIF manifests,poster_print_object;book_catalogue_text;authority_context,secondary,strong,strong,secondary,High-viewer,High,Med,High,High,low,IMG02,launch,P1 text-rich crawl,candidate,no,"Strong for posters, prints, books, object relations"
SEM033,GSE033,Library of Congress,North America,National library portal,https://www.loc.gov/,API + web,JSON/YAML API,periodical_newspaper;poster_print_object;book_catalogue_text;archive_finding_aid,secondary,strong,strong,secondary,Med,High,Med,High,High,low,IMG00,launch,P1 text-rich crawl,candidate,no,"Massive print, poster, book, periodical relevance"
SEM036,GSE036,NYPL Digital Collections,North America,Library portal,https://digitalcollections.nypl.org/,Web,Stable platform; IIIF shift,periodical_newspaper;poster_print_object,secondary,strong,strong,secondary,High-viewer,High,Med,High,High,low,IMG02,launch,P1 text-rich crawl,candidate,no,"Core source for posters, menus, ephemera, magazines"
SEM043,GSE043,Internet Archive Metadata API,North America / Global digital,Repository,https://archive.org/,API + web,MDAPI; public item metadata,periodical_newspaper;poster_print_object;book_catalogue_text;web_born_digital,secondary,strong,strong,strong,High-restricted,High,Low-Med,High,High,low,IMG01,backup,P1 text-rich crawl,candidate,no,Huge periodical and digitized print reservoir; rights highly mixed
SEM099,GSE099,Trove,Oceania and Pacific,National aggregator,https://trove.nla.gov.au/,API + web,API and newspaper text routes,periodical_newspaper;poster_print_object;book_catalogue_text;web_born_digital;archive_finding_aid,secondary,strong,strong,strong,High-restricted,High,Med,High,High,low,IMG00,launch,P1 text-rich crawl,candidate,no,"Australian print, advertising, public information and web culture"
SEM107,GSE107,South Asia Open Archives,South Asia,Periodical/text repository,https://www.jstor.org/site/saoa/,Public search + stable JSTOR item pages,viewer/PDF-like access; API not assumed,periodical_newspaper;poster_print_object;book_catalogue_text,secondary,strong,strong,secondary,Low-none,High,Med,High,Med,medium,IMG04,launch,P1 text-rich crawl,candidate,yes,"text-rich South Asian print, political, and publication context"
SEM010,GSE010,Delpher,Western/Central Europe,National library portal,https://www.delpher.nl/,Web + datasets,OAI-PMH + SRU (access-controlled manuals),periodical_newspaper;book_catalogue_text,secondary,strong,strong,secondary,High-viewer,High,Med,High,Med,low,IMG02,launch,P1 text-rich crawl,candidate,no,"Excellent for periodicals, ads, layout, typography history"
SEM012,GSE012,Delpher Magazines dataset,Western/Central Europe,Dataset,https://www.kb.nl/en/research-find/datasets/delpher-magazines,Dataset,KB dataset,periodical_newspaper,secondary,strong,strong,secondary,High-viewer,High,Med,High,High,low,IMG02,launch,P1 text-rich crawl,candidate,no,Strong for editorial and layout history
SEM011,GSE011,Delpher Newspapers dataset,Western/Central Europe,Dataset,https://www.kb.nl/en/research-find/datasets/delpher-newspapers,Dataset + API,OAI-PMH + SRU,periodical_newspaper;poster_print_object,secondary,strong,secondary,secondary,High-viewer,High,Med,High,High,low,IMG02,launch,P1 text-rich crawl,candidate,no,High-value ad and printed communication corpus
SEM007,GSE007,Deutsche Digitale Bibliothek,Western/Central Europe,National aggregator,https://www.deutsche-digitale-bibliothek.de/,API + web,REST API,periodical_newspaper;poster_print_object;book_catalogue_text;authority_context,secondary,strong,strong,secondary,High-restricted,High,High,High,High,low,IMG00,launch,P1 text-rich crawl,candidate,no,"Very good for posters, museum graphics, periodicals"
SEM001,GSE001,Europeana,Western/Central Europe,Metadata aggregator,https://www.europeana.eu/,API + web,Search/Record APIs,periodical_newspaper;poster_print_object;book_catalogue_text;archive_finding_aid,secondary,strong,strong,secondary,Med,High,Med,High,High,low,IMG00,launch,P1 text-rich crawl,candidate,no,"Cross-border discovery; posters, books, magazines, prints"
SEM003,GSE003,Gallica,Western/Central Europe,National library portal,https://gallica.bnf.fr/,Web + API,Search/document API + IIIF,periodical_newspaper;poster_print_object;book_catalogue_text,secondary,strong,strong,secondary,High-open,High,High,High,High,low,IMG03,launch,P1 text-rich crawl,candidate,no,"Very strong for print culture, posters, magazines"
SEM004,GSE004,Gallica Document API,Western/Central Europe,API endpoint,https://api.bnf.fr/fr/api-document-de-gallica,API,API + IIIF,periodical_newspaper;poster_print_object,secondary,strong,secondary,secondary,High-open,High,High,High,High,low,IMG03,launch,P1 text-rich crawl,candidate,no,Excellent for structured harvesting of periodicals/graphics
SEM008,GSE008,German Newspaper Portal,Western/Central Europe,Newspaper subportal,https://www.deutsche-digitale-bibliothek.de/newspaper,API + web,DDB API,periodical_newspaper;poster_print_object;book_catalogue_text,secondary,strong,secondary,secondary,High-viewer,High,High,High,High,low,IMG02,launch,P1 text-rich crawl,candidate,no,"Strong for advertising, layout, print culture"
SEM005,GSE005,Rijksmuseum Collection Online,Western/Central Europe,Museum collection,https://www.rijksmuseum.nl/en/collection,API + web,API; open high-res image program,poster_print_object;book_catalogue_text;archive_finding_aid,secondary,strong,strong,secondary,High-restricted,High,High,High,High,low,IMG04,launch,P1 text-rich crawl,candidate,no,"Strong for design objects, prints, typography-adjacent artifacts"
SEM006,GSE006,V&A Collections,Western/Central Europe,Museum collection,https://www.vam.ac.uk/collections,API + web,Search API; IIIF infrastructure,poster_print_object;book_catalogue_text;archive_finding_aid,secondary,strong,strong,secondary,High-viewer,High,Med,High,High,low,IMG02,launch,P1 text-rich crawl,candidate,no,Core design-history source
SEM115,GSE115,African Activist Archive,Africa,Community/political archive,https://africanactivist.msu.edu/,Public search + web item pages,manual/web-only,poster_print_object;book_catalogue_text;authority_context;archive_finding_aid,secondary,strong,strong,secondary,High-viewer,High,Med,High,Med,medium,IMG02,source probe,P2 global-balance manual or semi-manual,candidate,yes,"anti-apartheid and liberation solidarity graphics, newsletters, campaign materials"
SEM098,GSE098,Digital Innovation South Africa,Africa,Digital archive,https://disa.ukzn.ac.za/,Web,requires verification,periodical_newspaper;book_catalogue_text;archive_finding_aid,secondary,strong,strong,secondary,Low-none,High,Low-Med,Med,Low-Med,high,IMG04,deep research,P2 global-balance manual or semi-manual,candidate,yes,anti-apartheid periodical and campaign context
SEM116,GSE116,National Repository of Nigeria,Africa,National repository,https://nigeriareposit.nln.gov.ng/,Public search + downloads,Handle/URI and PDF behavior; API not assumed,periodical_newspaper;poster_print_object;book_catalogue_text,secondary,strong,strong,secondary,Low-none,High,Med,Med,Med,medium,IMG04,source probe,P2 global-balance manual or semi-manual,candidate,yes,"Nigeria Magazine, public communication, ministry print, post-independence visual culture"
SEM095,GSE095,South African History Archive,Africa,Community/political archive,https://www.saha.org.za/,Web,manual/catalogue pages,poster_print_object;archive_finding_aid,secondary,strong,strong,secondary,High-restricted,Med,Low-Med,Med,Low,high,IMG00,launch,P2 global-balance manual or semi-manual,candidate,yes,"anti-apartheid graphics, Medu posters, counterpublic design"
SEM097,GSE097,Wits Historical Papers / Medu Art Ensemble resources,Africa,University archive,https://www.wits.ac.za/,Web + finding aids,manual,poster_print_object;book_catalogue_text;archive_finding_aid,secondary,strong,strong,secondary,High-restricted,High,Low-Med,Med,Low,high,IMG00,backup,P2 global-balance manual or semi-manual,candidate,yes,Medu and anti-apartheid design context
SEM091,GSE091,Bibliotheca Alexandrina Digital Assets Repository,Middle East and North Africa,Digital library,https://dar.bibalex.org/,Web,requires verification,periodical_newspaper;book_catalogue_text,secondary,strong,strong,secondary,Med,High,Low-Med,Med,Low-Med,high,IMG00,deep research,P2 global-balance manual or semi-manual,candidate,yes,Arabic publishing and periodical design context
SEM093,GSE093,Encyclopaedia Iranica / Iranian poster contextual records,Middle East and North Africa,Reference text,https://iranicaonline.org/,Web,manual,poster_print_object;book_catalogue_text;authority_context,secondary,strong,strong,secondary,Low-none,High,Med,High,Low,high,IMG04,backup,P2 global-balance manual or semi-manual,candidate,yes,Iranian poster and typography context when object records are thin
SEM094,GSE094,Poster House Iranian design pages,Middle East and North Africa,Museum/exhibition text,https://posterhouse.org/,Web,manual,poster_print_object;book_catalogue_text;archive_finding_aid,secondary,strong,strong,secondary,Low-none,High,Med,Med,Low,high,IMG04,backup,P2 global-balance manual or semi-manual,candidate,yes,text-rich entry into Iranian poster design and typography
SEM101,GSE101,AIATSIS NAIDOC poster collection,Oceania and Pacific,Indigenous/community collection,https://aiatsis.gov.au/,Web + manual protocol review,manual,poster_print_object;archive_finding_aid,secondary,strong,strong,secondary,High-open,Low-Med,Med,Med,Low,high,IMG03,launch,P2 global-balance manual or semi-manual,candidate,no,Indigenous poster and public communication history
SEM102,GSE102,PANDORA / Australian Web Archive,Oceania and Pacific,Web archive,https://pandora.nla.gov.au/,Web,search interface; web archive rules,web_born_digital;archive_finding_aid,secondary,strong,strong,strong,Med,Med,Med,Med,Low-Med,high,IMG00,backup,P2 global-balance manual or semi-manual,candidate,no,born-digital Australian design and public communication
SEM121,GSE121,Papers Past,Oceania and Pacific,Newspaper/periodical portal,https://paperspast.natlib.govt.nz/,Public search + OCR + open-data subset,METS/ALTO metadata for older newspapers; viewer,periodical_newspaper;poster_print_object;book_catalogue_text,secondary,strong,secondary,secondary,High-viewer,High,Med,High,Med,medium,IMG02,source probe,P2 global-balance manual or semi-manual,candidate,no,"Aotearoa/New Zealand advertising, public notices, typography and periodical layout"
SEM127,GSE127,State Library of NSW Collection,Oceania and Pacific,State library collection,https://collection.sl.nsw.gov.au/,Public web item pages,item pages with copyright status and image behavior,poster_print_object;book_catalogue_text;archive_finding_aid,secondary,strong,strong,secondary,High-open,High,Med-High,High,Med,medium,IMG03,source probe,P2 global-balance manual or semi-manual,candidate,no,"Australian poster, exhibition, cinema, festival, and public campaign graphics"
SEM122,GSE122,Te Papa Collections Online,Oceania and Pacific,Museum collection,https://collections.tepapa.govt.nz/,Public web item pages,item-level image and rights behavior; API not assumed,poster_print_object;book_catalogue_text;archive_finding_aid,secondary,strong,strong,secondary,High-open,High,Med-High,High,Med,medium,IMG03,source probe,P2 global-balance manual or semi-manual,candidate,no,"New Zealand posters, design objects, protest/campaign graphics, exhibition records"
SEM089,GSE089,Design in India / India Design Council references,South Asia,Institutional/design policy source,https://www.indiadesigncouncil.org/,Web,manual,book_catalogue_text;authority_context,secondary,strong,secondary,secondary,Low-none,High,Med,Med,Low,high,IMG04,backup,P2 global-balance manual or semi-manual,candidate,yes,design policy and professionalization context
SEM087,GSE087,NID Archives and institutional publications,South Asia,Design school archive,https://www.nid.edu/,Web + manual PDF,manual,book_catalogue_text;authority_context;archive_finding_aid,secondary,strong,secondary,secondary,Low-none,High,Med,Med,Low-Med,high,IMG04,launch,P2 global-balance manual or semi-manual,candidate,yes,postcolonial design education and development communication
SEM086,GSE086,National Digital Library of India,South Asia,National aggregator,https://ndl.iitkgp.ac.in/,Web + search,access model requires verification,book_catalogue_text;authority_context,secondary,strong,strong,secondary,Low-none,High,Low-Med,Med,Low-Med,high,IMG04,deep research,P2 global-balance manual or semi-manual,candidate,yes,"design education, NID-related texts, public communication references"
SEM085,GSE085,National Library of India,South Asia,National library portal,https://www.nationallibrary.gov.in/,Web,catalogue and digital-resource routes require verification,periodical_newspaper;book_catalogue_text;authority_context,secondary,strong,secondary,secondary,Med,High,Low-Med,Med,Low,high,IMG00,deep research,P2 global-balance manual or semi-manual,candidate,yes,"Indian publishing, multilingual typography, public communication context"
SEM113,GSE113,Tasveer Ghar,South Asia,Visual culture archive/essay source,https://www.tasveerghar.net/,Public search + web pages,manual/web-only,poster_print_object;book_catalogue_text;authority_context;archive_finding_aid,secondary,strong,strong,secondary,High-restricted,High,Low,Med,Low-Med,high,IMG00,source probe,P2 global-balance manual or semi-manual,candidate,yes,South Asian popular visual culture and commercial print context
SEM071,GSE071,Korean Newspaper Archive,East Asia,Newspaper portal,https://www.nl.go.kr/EN/contents/EN35200000000.do,Web,Archive interface,periodical_newspaper,secondary,strong,secondary,secondary,High-viewer,High,Med,Med,Med,medium,IMG02,backup,P2 source probe,candidate,no,Strong for Korean ad/layout history
SEM065,GSE065,NDL Image Bank,East Asia,Visual subset,https://www.ndl.go.jp/en/imagebank,Web,Curated visual resource,periodical_newspaper;poster_print_object;book_catalogue_text,secondary,strong,strong,secondary,High-open,High,Med,Med,Med,medium,IMG03,backup,P2 source probe,candidate,no,Good starter set for visual culture and exhibition-context ingest
SEM119,GSE119,Shibusawa Shashi Database,East Asia,Corporate history/bibliographic database,https://shashi.shibusawa.or.jp/,Public search + web pages,manual/web-only,book_catalogue_text;authority_context,secondary,strong,strong,secondary,Low-none,High,Med,Med,Med,medium,IMG04,source probe,P2 source probe,candidate,no,"Japanese corporate identity, packaging, advertising, and company-history context"
SEM024,GSE024,Czech Digital Library,Eastern Europe,National portal,https://ceskadigitalniknihovna.cz/,Web,Kramerius-based,periodical_newspaper;poster_print_object;book_catalogue_text,secondary,strong,strong,secondary,High-viewer,High,Med,Med,Med,medium,IMG02,launch,P2 source probe,candidate,no,Strong for periodicals and print culture
SEM027,GSE027,DIGAR,Eastern Europe,National digital archive/library,https://www.digar.ee/,Web,Open data note; stable record URLs,periodical_newspaper;poster_print_object;book_catalogue_text;archive_finding_aid,secondary,strong,strong,secondary,High-viewer,High,Low-Med,Med,Med,medium,IMG02,backup,P2 source probe,candidate,yes,Useful for Estonian print and poster context
SEM123,GSE123,Hungaricana,Eastern Europe,National/regional aggregator,https://hungaricana.hu/,Public search + web item pages,searchable text/images; API not assumed,periodical_newspaper;poster_print_object;book_catalogue_text;archive_finding_aid,secondary,strong,strong,secondary,High-viewer,High,Med,High,Med,medium,IMG02,source probe,P2 source probe,candidate,no,"Hungarian socialist/post-socialist periodicals, posters, local collections"
SEM029,GSE029,Slovakiana,Eastern Europe,National cultural portal,https://www.slovakiana.sk/,Web,Record-level URN:NBN pages,periodical_newspaper;poster_print_object,secondary,strong,secondary,secondary,High-viewer,High,High,High,Med,medium,IMG02,backup,P2 source probe,candidate,no,Very useful for object-level rights and identifiers
SEM023,GSE023,Szukaj w Archiwach,Eastern Europe,National archives portal,https://www.szukajwarchiwach.gov.pl/,Web,Large scan + description portal,poster_print_object;book_catalogue_text;authority_context;archive_finding_aid,secondary,strong,strong,secondary,High-viewer,High,Med,Med,Med,medium,IMG02,backup,P2 source probe,candidate,no,"High for institutional, propaganda, poster, leaflet context"
SEM031,GSE031,ePaveldas,Eastern Europe,National digital heritage portal,https://www.epaveldas.lt/,Web + downloadable metadata endpoints,RightsStatements/CC markers in records,periodical_newspaper;poster_print_object,secondary,strong,strong,secondary,High-open,High,Med-High,Med,Med,medium,IMG03,backup,P2 source probe,candidate,no,Good for Baltic print/design history where item rights are exposed
SEM114,GSE114,Endangered Archives Programme,Global / web / transnational,Project-based digital archive,https://eap.bl.uk/,Public search + IIIF/source viewer,Universal Viewer/IIIF on sampled files,periodical_newspaper;poster_print_object;book_catalogue_text;archive_finding_aid,secondary,strong,strong,secondary,High-viewer,High,Med,High,Med,medium,IMG02,source probe,P2 source probe,candidate,no,regional print cultures and underdocumented periodical/newspaper materials
SEM047,GSE047,BNDigital,Latin America,National library portal,https://bndigital.bn.gov.br/,Web,Portal with rights statement,periodical_newspaper;poster_print_object;book_catalogue_text,secondary,strong,strong,secondary,High-open,High,Med,Med,Med,medium,IMG03,backup,P2 source probe,candidate,no,High relevance for Brazilian print culture and visual communication
SEM052,GSE052,BNd Periódicos,Latin America,Specialized subcollection,https://www.bibliotecanacionaldigital.gob.cl/bnd/633/w3-channel.html,Web,Section pages,periodical_newspaper;archive_finding_aid,secondary,strong,secondary,secondary,High-viewer,High,Med,Med,Med,medium,IMG02,backup,P2 source probe,candidate,no,Strong for editorial design and advertising
SEM054,GSE054,Biblioteca Digital Mexicana,Latin America,Multi-institutional portal,https://bdmx.mx/,Web,Stable institutional pages,poster_print_object;book_catalogue_text;authority_context,secondary,strong,strong,secondary,High-viewer,High,Med,Med,Med,medium,IMG02,backup,P2 source probe,candidate,no,Good contextual and bibliographic layer
SEM050,GSE050,Biblioteca Nacional Digital de Chile,Latin America,National digital portal,https://www.bibliotecanacionaldigital.gob.cl/,Web,Stable collection pages,periodical_newspaper;archive_finding_aid,secondary,strong,strong,secondary,High-viewer,High,Med,Med,Med,medium,IMG02,backup,P2 source probe,candidate,no,"Strong for magazines, graphics, photo and music archives"
SEM120,GSE120,National Archives of Singapore Poster Collections,Southeast Asia,National archive/poster collection,https://www.nas.gov.sg/archivesonline/,Public search + web item pages + permissions workflow,viewer/item pages; reuse permissions vary,poster_print_object;book_catalogue_text;archive_finding_aid,secondary,strong,strong,secondary,High-viewer,High,Med,High,Med,medium,IMG02,source probe,P2 source probe,candidate,no,Singapore multilingual public-information and civic campaign graphics
SEM075,GSE075,NewspaperSG,Southeast Asia,Newspaper portal,https://eresources.nlb.gov.sg/newspapers/,Web,Stable issue/article pages,periodical_newspaper;poster_print_object,secondary,strong,secondary,secondary,High-viewer,High,Low-Med,High,Med,medium,IMG02,backup,P2 source probe,candidate,yes,Excellent for Singapore/Malaya advertising and print culture
SEM083,GSE083,Southeast Asia Digital Library,Southeast Asia,Regional aggregator,https://sea.lib.niu.edu/,Web,Aggregated repository,authority_context,secondary,strong,strong,secondary,Med,Low-Med,Med,Med,Med,medium,IMG00,backup,P2 source probe,candidate,no,Good discovery layer beyond Singapore
SEM020,GSE020,ANNO,Western/Central Europe,Newspaper portal,https://anno.onb.ac.at/,Web,Stable portal pages,periodical_newspaper;poster_print_object,strong,strong,strong,secondary,High-viewer,High,Med,Med,Med,medium,IMG02,backup,P2 source probe,candidate,no,Strong for print culture and ads in Central Europe
SEM018,GSE018,ETH E-Pics,Western/Central Europe,University image archive,https://e-pics.ethz.ch/,Web,Stable record pages; record-level rights,poster_print_object;book_catalogue_text;authority_context;archive_finding_aid,secondary,strong,secondary,secondary,High-viewer,High,Med,Med,Med,medium,IMG02,backup,P2 source probe,candidate,no,Useful for Swiss graphic/print and visual culture context
SEM013,GSE013,bavarikon,Western/Central Europe,Regional aggregator,https://www.bavarikon.de/,Web,Stable object pages; portal partner model,poster_print_object;archive_finding_aid,secondary,strong,strong,secondary,High-viewer,Med,Med,Med,Med,medium,IMG02,backup,P2 source probe,candidate,no,"Good for print, graphics, local poster/ephemera trails"
SEM019,GSE019,ÖNB Digital,Western/Central Europe,National library portal,https://www.onb.ac.at/en/digital-offers,Web,Digital portal,poster_print_object;archive_finding_aid,secondary,strong,strong,secondary,High-viewer,Med,Med,Med,Med,medium,IMG02,backup,P2 source probe,candidate,no,"Good for print, image archive, posters, postcards"
SEM039,GSE039,Art Institute of Chicago API,North America,Museum API,https://api.artic.edu/,API,JSON API + IIIF manifests,poster_print_object,secondary,strong,strong,secondary,High-restricted,Low-Med,High,High,High,low,IMG04,launch,P3 already sampled; use for targeted gap fill only,sampled_in_active_preview,no,Strong for poster and print history
SEM126,GSE126,VIAF,Global / web / transnational,Authority service,https://viaf.org/,Public service/API ecosystem,authority clusters,authority_context,secondary,strong,secondary,secondary,Low-none,Med,High,High,High,low,IMG04,authority only,P3 authority enrichment,context_or_authority,no,"designer, studio, institution, and variant-name reconciliation"
SEM105,GSE105,WorldCat / library authority discovery,Global / web / transnational,Bibliographic discovery,https://www.worldcat.org/,Web/API availability varies,authority and bibliographic discovery only,periodical_newspaper;book_catalogue_text,secondary,strong,secondary,secondary,Low-none,High,"High for citation, not image",High,Low-Med,low,IMG04,authority only,P3 authority enrichment,context_or_authority,no,"source-finding layer for books, catalogues, manuals, periodicals"
SEM058,GSE058,Biblioteca Digital del Patrimonio Iberoamericano,Latin America / Transregional,Aggregator,https://www.iberoamericadigital.net/,Web,Aggregated digital holdings,periodical_newspaper;book_catalogue_text,secondary,strong,strong,secondary,Med,High,Low-Med,Med,Med,medium,IMG00,authority only,P3 authority enrichment,context_or_authority,yes,Useful non-Anglophone discovery layer
SEM009,GSE009,Archive Portal-D,Western/Central Europe,Archival subportal,https://www.archivportal-d.de/,API + web,DDB-linked,poster_print_object;book_catalogue_text;authority_context;archive_finding_aid,secondary,strong,secondary,secondary,Med,High,Med,High,High,low,IMG00,authority only,P3 authority enrichment,context_or_authority,no,"Good contextual layer for institutions, printers, agencies"
SEM063,GSE063,NDL Search,East Asia,National discovery service,https://iss.ndl.go.jp/,API + web,"OAI-PMH, SRU, formats incl. JSON/TSV",authority_context,secondary,strong,secondary,secondary,Med,Low-Med,High,High,High,low,IMG00,launch,P3 manual/link-only,candidate,no,Excellent metadata-first backbone
SEM073,GSE073,National Library of China,East Asia,National library portal,https://www.nlc.cn/enweb/,Web,"Digital resources, but access mixed",periodical_newspaper;book_catalogue_text,strong,strong,secondary,secondary,Med,High,Low-Med,Med,Low-Med,high,IMG01,backup,P3 manual/link-only,candidate,yes,High cultural value; mixed remote access and rights
SEM028,GSE028,Periodika.lv,Eastern Europe,Periodical portal,https://periodika.lv/,Web,Portal pages,periodical_newspaper;poster_print_object,secondary,strong,secondary,secondary,Med,High,Low,Med,Low-Med,high,IMG01,backup,P3 manual/link-only,candidate,yes,Valuable for Baltic print and ad history
