source_name,region,object_count,first_year,last_year
Te Papa Collections Online,Aotearoa New Zealand,56,1940,2019
Library of Congress Prints and Photographs API,Switzerland,54,1920,1978
Georgia State University Library Digital Collections / CONTENTdm,United States,53,1936,2013
Creator-contributed record via Wikimedia Commons,Indonesia,52,1939,2026
Library of Congress Prints and Photographs API,Denmark,52,1937,1979
Library of Congress Prints and Photographs API,Netherlands,52,1897,1977
U.S. National Archives via Wikimedia Commons,Malaysia,52,1950,1953
Library of Congress Prints and Photographs API,Sweden,51,1964,1979
NAIDOC Poster Gallery,Australia / Indigenous,49,1974,2026
Art Institute of Chicago API,Russia,45,1912,1945
Creator-contributed record via Wikimedia Commons,Cuba / transnational,44,1960,2024
Creator-contributed record via Wikimedia Commons,Vietnam,44,2008,2025
Art Institute of Chicago API,France,43,1891,2015
Colnect via Wikimedia Commons,South Africa,43,1877,1986
Creator-contributed record via Wikimedia Commons,Bosnia and Herzegovina,43,1830,2018
Creator-contributed record via Wikimedia Commons,Zimbabwe,43,2005,2014
Library of Congress Prints and Photographs API,Ireland,42,1965,1978
V&A Collections API,France,42,1872,2002
Colnect via Wikimedia Commons,Belgium,41,1928,1939
Creator-contributed record via Wikimedia Commons,Uruguay,41,1892,2025
Princeton University Library Digital Collections / Figgy,United States,41,1892,1950
Private collection scan via Wikimedia Commons,Latin America,41,1850,1983
Colnect via Wikimedia Commons,Latin America,40,1894,1992
Colnect via Wikimedia Commons,Angola,39,1870,1951
Library of Congress Prints and Photographs API,Japan,39,1930,1978
Library of Congress loc.gov API,United States,39,1812,1941
Private collection scan via Wikimedia Commons,Lithuania,39,1919,1991
Creator-contributed record via Wikimedia Commons,Armenia,38,1912,2026
Creator-contributed record via Wikimedia Commons,Tunisia,37,2008,2026
Pacific Community Digital Library,Wallis and Futuna,37,2007,2023
Creator-contributed record via Wikimedia Commons,Bangladesh,36,1881,2026
Library of Congress Prints and Photographs API,Portugal,36,1965,1979
Colnect via Wikimedia Commons,Kenya,35,1956,1971
Nationaal Museum van Wereldculturen via Wikimedia Commons,Indonesia,35,1900,1945
Creator-contributed record via Wikimedia Commons,Latin America,34,1880,2025
Creator-contributed record via Wikimedia Commons,Venezuela,34,1951,2026
V&A Collections API,Italy,34,1949,2006
Colnect via Wikimedia Commons,Aotearoa New Zealand,33,1903,1927
Creator-contributed record via Wikimedia Commons,Georgia,33,1919,2025
Creator-contributed record via Wikimedia Commons,Australia / Indigenous,32,1882,2026
Creator-contributed record via Wikimedia Commons,Chile,32,1948,2023
Creator-contributed record via Wikimedia Commons,Philippines,32,1881,2026
Library of Congress Prints and Photographs API,Israel / Palestine,31,1948,1978
Yale University Art Gallery Linked Art,Japan,31,2002,2018
Creator-contributed record via Wikimedia Commons,Argentina,30,1879,2025
Creator-contributed record via Wikimedia Commons,Iran,30,1899,2025
Private collection scan via Wikimedia Commons,Colombia,30,1850,1992
Victoria and Albert Museum Collections API,Japan,30,1937,2018
Colnect via Wikimedia Commons,Malaysia,29,1882,1969
Creator-contributed record via Wikimedia Commons,Morocco,29,1852,2025
Creator-contributed record via Wikimedia Commons,Taiwan,29,1970,2024
V&A Collections API,Russia,29,1928,1980
Art Institute of Chicago API,Turkey,28,2020,2020
Indiana State Library via Wikimedia Commons,India,28,1880,1905
WNS Stamps via Wikimedia Commons,Indonesia,28,2004,2009
Creator-contributed record via Wikimedia Commons,Azerbaijan,27,1919,2026
Victoria and Albert Museum Collections API,Switzerland,27,1908,1981
Creator-contributed record via Wikimedia Commons,Colombia,26,1951,2024
Creator-contributed record via Wikimedia Commons,Global / transnational,26,1863,2025
Georgia State University Library Digital Collections / CONTENTdm,Georgia,26,1931,2010
Colnect via Wikimedia Commons,Albania,25,1924,2011
Library of Congress Prints and Photographs API,South Africa,25,1965,1978
Library of Congress Prints and Photographs API,Aotearoa New Zealand,24,1960,1979
Creator-contributed record via Wikimedia Commons,Madagascar,23,1906,2026
Creator-contributed record via Wikimedia Commons,Poland,23,1915,2025
Creator-contributed record via Wikimedia Commons,Uganda,23,2008,2026
Library of Congress Prints and Photographs API,Belgium,23,1896,1973
PhilPost via Wikimedia Commons,Philippines,23,1866,2024
Private collection scan via Wikimedia Commons,India,23,1869,2008
Private collection scan via Wikimedia Commons,Slovenia,23,1919,1920
Private collection scan via Wikimedia Commons,South Africa,23,1926,1975
Victoria and Albert Museum Collections API,Belgium,23,1896,2013
Museum of South Texas History via Wikimedia Commons,Global / transnational,22,1898,1918
Pacific Community Digital Library,Federated States of Micronesia,22,2005,2021
Private collection scan via Wikimedia Commons,Bosnia and Herzegovina,22,1914,1950
Colnect via Wikimedia Commons,Tanzania,21,1967,1969
Digital Public Library of America via Wikimedia Commons,Global / transnational,21,1910,1944
Library of Congress Prints and Photographs API,Mexico,21,1939,1979
Library of Congress Prints and Photographs API,Vietnam,21,1965,1975
Private collection scan via Wikimedia Commons,Latvia,21,1863,1994
eBay Singapore via Wikimedia Commons,Argentina,21,1927,1944
Creator-contributed record via Wikimedia Commons,Nepal,20,1907,2026
Creator-contributed record via Wikimedia Commons,Palestine / transnational,20,1864,2025
Creator-contributed record via Wikimedia Commons,Singapore,20,1993,2025
Wikimedia Commons contributor record via Wikimedia Commons,Morocco,20,1922,1954
Creator-contributed record via Wikimedia Commons,Kenya,19,2012,2025
Library of Congress Prints and Photographs API,Norway,19,1965,1979
Library of Congress Prints and Photographs API,Poland,19,1910,1985
Nasjonalmuseet Design collection / DigitaltMuseum,Norway,19,1897,1983
Private collection scan via Wikimedia Commons,Kazakhstan,19,1894,1993
Colnect via Wikimedia Commons,Rwanda,18,1966,1970
Creator-contributed record via Wikimedia Commons,Bulgaria,18,1942,2026
Creator-contributed record via Wikimedia Commons,Kuwait,18,2024,2026
Nasjonalmuseet Design collection / DigitaltMuseum,France,18,1889,1906
Pacific Community Digital Library,Vanuatu,18,2003,2024
Colnect via Wikimedia Commons,Moldova,17,1991,2020
Private collection scan via Wikimedia Commons,Australia / Indigenous,17,1894,1973
Private collection scan via Wikimedia Commons,Romania,17,1858,1987
Rijksmuseum Data Services,Netherlands,17,1873,1990
Art Institute of Chicago API,Canada,16,1918,2013
Creator-contributed record via Wikimedia Commons,Peru,16,1972,2026
Library of Congress via Wikimedia Commons,United States,16,1837,1965
Private collection scan via Wikimedia Commons,Croatia,16,1854,1957
Creator-contributed record via Wikimedia Commons,Aotearoa New Zealand,15,1905,2025
Creator-contributed record via Wikimedia Commons,Croatia,15,1859,2022
Private collection scan via Wikimedia Commons,Indonesia,15,1945,1993
U.S. National Archives via Wikimedia Commons,United States,15,1910,1974
Art Institute of Chicago API,Germany,14,1907,2017
Colnect via Wikimedia Commons,Morocco,14,1855,1935
Creator-contributed record via Wikimedia Commons,Thailand,14,1880,2023
Private collection scan via Wikimedia Commons,Russia,14,1864,1988
Private collection scan via Wikimedia Commons,Ukraine,14,1918,2008
StampWorld via Wikimedia Commons,Iraq,14,1918,1918
Colnect via Wikimedia Commons,Belarus,13,1996,2020
Colnect via Wikimedia Commons,Democratic Republic of the Congo,13,1886,1964
Cooper Hewitt Collection GraphQL API,United Kingdom,13,1890,1939
Creator-contributed record via Wikimedia Commons,Cameroon,13,1916,2024
Creator-contributed record via Wikimedia Commons,Korean Peninsula,13,1894,2020
Creator-contributed record via Wikimedia Commons,Nigeria,13,2010,2025
Library of Congress Prints and Photographs API,India,13,1965,1969
Nasjonalmuseet Design collection / DigitaltMuseum,United Kingdom,13,1894,1984
Pacific Community Digital Library,Solomon Islands,13,2006,2026
neuromat.numec.prp.usp.br via Wikimedia Commons,Brazil,13,2013,2023
Creator-contributed record via Wikimedia Commons,Malaysia,12,1955,2025
Creator-contributed record via Wikimedia Commons,Romania,12,1859,2019
Creator-contributed record via Wikimedia Commons,Serbia,12,1908,2025
Creator-contributed record via Wikimedia Commons,Tanzania,12,2013,2024
Library of Congress Prints and Photographs API,Australia,12,1965,1975
Library of Congress Prints and Photographs API,Canada,12,1965,1977
Pacific Community Digital Library,Cook Islands,12,2000,2021
Private collection scan via Wikimedia Commons,Armenia,12,1888,1992
Wikimedia Commons contributor record via Wikimedia Commons,Brazil,12,1929,2016
Cleveland Museum Open Access API,France,11,1875,1899
Creator-contributed record via Wikimedia Commons,Democratic Republic of the Congo,11,1890,2025
Creator-contributed record via Wikimedia Commons,Egypt,11,1863,2019
Creator-contributed record via Wikimedia Commons,Ghana,11,1957,2025
Creator-contributed record via Wikimedia Commons,Pakistan,11,1963,2023
Library of Congress Prints and Photographs API,Hungary,11,1965,1978
Private collection scan via Wikimedia Commons,China / Hong Kong,11,1874,2008
Private collection scan via Wikimedia Commons,Cuba / transnational,11,1898,1980
Private collection scan via Wikimedia Commons,Serbia,11,1916,2014
Wikimedia Commons contributor record via Wikimedia Commons,Argentina,11,1850,2011
Yale University Art Gallery Linked Art,Ghana,11,2002,2002
Auckland Libraries Heritage Collections / CONTENTdm,Aotearoa New Zealand,10,1970,2016
Colnect via Wikimedia Commons,Armenia,10,1923,2018
Colnect via Wikimedia Commons,Georgia,10,1923,2018
Cooper Hewitt Collection GraphQL API,France,10,1849,2010
Creator-contributed record via Wikimedia Commons,South Africa,10,1912,2025
Library of Congress Prints and Photographs API,Korean Peninsula,10,1948,1977
Museum of South Texas History via Wikimedia Commons,Mexico,10,1911,1915
Private collection scan via Wikimedia Commons,Korean Peninsula,10,1885,1982
Science History Institute via Wikimedia Commons,Uruguay,10,1840,1865
StampWorld via Wikimedia Commons,Romania,10,2020,2020
V&A Collections API,Japan,10,1965,1983
V&A Collections API,Netherlands,10,1940,2015
V&A Collections API,Romania,10,1958,1963
Wellcome Collection Catalogue API,United Kingdom,10,1937,1962
Yale University Art Gallery Linked Art,South Africa,10,2001,2006
Colnect via Wikimedia Commons,Papua New Guinea,9,1943,1990
Cooper Hewitt Collection GraphQL API,Germany,9,1928,1990
Creator-contributed record via Wikimedia Commons,Iraq,9,1972,2017
Hemeroteca Digital de Lisboa via Wikimedia Commons,Global / transnational,9,1913,1959
Pacific Community Digital Library,New Caledonia,9,2017,2026
Private collection scan via Wikimedia Commons,Turkey,9,1883,1890
Seattle Public Library via Wikimedia Commons,Vietnam,9,1969,1969
State Library of Queensland via Wikimedia Commons,Australia / Indigenous,9,1832,1942
Wikimedia Commons contributor record via Wikimedia Commons,Aotearoa New Zealand,9,1855,1938
Wikimedia Commons contributor record via Wikimedia Commons,Australia / Indigenous,9,2004,2016
flickr.com via Wikimedia Commons,Brazil,9,1933,2019
flickr.com via Wikimedia Commons,Mexico,9,1890,2021
Asian Film Archive,Singapore,8,2023,2026
Colnect via Wikimedia Commons,Germany,8,1901,1971
Colnect via Wikimedia Commons,United Arab Emirates,8,1970,1973
Letterform Archive,United States,8,2026,2026
Library of Congress Prints and Photographs API,Palestine / transnational,8,1939,1980
Library of Congress Prints and Photographs API,Romania,8,1965,1969
Nasjonalmuseet Design collection / DigitaltMuseum,Belgium,8,1894,1925
Pacific Community Digital Library,Kiribati,8,2003,2021
Pacific Community Digital Library,Samoa,8,2002,2017
Private collection scan via Wikimedia Commons,Estonia,8,1888,1990
Private collection scan via Wikimedia Commons,Kyrgyzstan,8,1864,1993
Private collection scan via Wikimedia Commons,Uruguay,8,1866,1978
University of Cape Town Digital Collections,South Africa,8,1945,2020
Wikimedia Commons contributor record via Wikimedia Commons,Global / transnational,8,1861,2007
Wikimedia Commons contributor record via Wikimedia Commons,Mexico,8,1857,2016
Yale University Art Gallery Linked Art,Ukraine,8,1990,1990
flickr.com via Wikimedia Commons,Global / transnational,8,1866,2007
Art Institute of Chicago API,Czech Republic,7,1896,1938
Colnect via Wikimedia Commons,Italy,7,1929,1940
Cooper Hewitt Collection GraphQL API,Japan,7,1970,1990
Cooper Hewitt Collection GraphQL API,Switzerland,7,1990,2009
Creator-contributed record via Wikimedia Commons,Senegal,7,2023,2024
Indiana State Library via Wikimedia Commons,Peru,7,1897,1901
Pacific Community Digital Library,Tonga,7,2002,2024
Private collection scan via Wikimedia Commons,Aotearoa New Zealand,7,1917,1971
Private collection scan via Wikimedia Commons,Bolivia,7,1911,1942
Private collection scan via Wikimedia Commons,Egypt,7,1866,1972
Stamp Kiev via Wikimedia Commons,Ukraine,7,1993,2001
V&A Collections API,China / Hong Kong,7,1913,2008
V&A Collections API,Switzerland,7,1948,1978
Art Institute of Chicago API,Italy,6,1920,2019
Colnect via Wikimedia Commons,Romania,6,1881,1993
Creator-contributed record via Wikimedia Commons,Albania,6,1978,2025
Creator-contributed record via Wikimedia Commons,Ethiopia,6,1980,2025
Creator-contributed record via Wikimedia Commons,Kazakhstan,6,1988,2022
Creator-contributed record via Wikimedia Commons,Slovenia,6,1867,2025
Creator-contributed record via Wikimedia Commons,Uzbekistan,6,1992,2025
Library of Congress Prints and Photographs API,Iran,6,1965,1979
Library of Congress Prints and Photographs API,Zimbabwe,6,1965,1972
Library of Congress via Wikimedia Commons,Indonesia,6,1842,1937
Lithuania Post via Wikimedia Commons,Lithuania,6,1924,1991
NDL Search / National Diet Library,Japan,6,2001,2001
Nasjonalmuseet Design collection / DigitaltMuseum,Germany,6,1896,1915
Nasjonalmuseet Design collection / DigitaltMuseum,Sweden,6,1895,1991
Pacific Community Digital Library,Fiji,6,2008,2024
Pacific Community Digital Library,Nauru,6,2004,2022
Private collection scan via Wikimedia Commons,Algeria,6,1900,1936
Private collection scan via Wikimedia Commons,Peru,6,1860,1934
Private collection scan via Wikimedia Commons,Venezuela,6,1896,1952
University of Washington Digital Collections / CONTENTdm,United States,6,1970,2014
Wikimedia Commons contributor record via Wikimedia Commons,China / Hong Kong,6,1877,2009
Wikimedia Commons contributor record via Wikimedia Commons,India,6,1850,2009
Wikimedia Commons contributor record via Wikimedia Commons,United States,6,1846,1950
flickr.com via Wikimedia Commons,Ireland,6,2023,2023
Colnect via Wikimedia Commons,Argentina,5,1912,1965
Colnect via Wikimedia Commons,Jordan,5,1949,1949
Colnect via Wikimedia Commons,Tajikistan,5,1992,1997
Colnect via Wikimedia Commons,Yemen,5,1967,1968
Cooper Hewitt Collection GraphQL API,Canada,5,1960,1970
Creator-contributed record via Wikimedia Commons,Benin,5,2021,2022
Gallica / BnF APIs,"Paris, France",5,1804,1817
Library of Congress Prints and Photographs API,Malaysia,5,1966,1968
Los Angeles Public Library Tessa / CONTENTdm,Mexico,5,1970,1986
Malaysian Design Archive,Malaysia,5,2022,2025
Nasjonalmuseet Design collection / DigitaltMuseum,Cuba / transnational,5,1969,1969
Nasjonalmuseet Design collection / DigitaltMuseum,Poland,5,1962,1983
Nasjonalmuseet Design collection / DigitaltMuseum,Spain,5,1896,1899
Nasjonalmuseet Design collection / DigitaltMuseum,United States,5,1895,1954
Pacific Community Digital Library,Marshall Islands,5,2005,2019
Private collection scan via Wikimedia Commons,Argentina,5,1883,1970
Private collection scan via Wikimedia Commons,Brazil,5,1906,1943
Private collection scan via Wikimedia Commons,Bulgaria,5,1889,1939
Smithsonian Open Access,United States,5,1830,1920
USC Digital Library via Wikimedia Commons,Korean Peninsula,5,1919,1919
University of Miami Libraries Digital Collections / CONTENTdm,United States,5,1970,1995
V&A Collections API,Cuba / transnational,5,1969,1983
Wellcome Collection Catalogue API,Netherlands,5,1932,1960
Wikimedia Commons contributor record via Wikimedia Commons,Philippines,5,1935,2006
Wikimedia Commons contributor record via Wikimedia Commons,Tunisia,5,1891,2012
Yale University Art Gallery Linked Art,Thailand,5,2000,2000
columbia.edu via Wikimedia Commons,India,5,1923,1961
American University of Beirut ScholarWorks,Lebanon,4,2007,2023
Archivportal-D via Wikimedia Commons,Algeria,4,1939,1939
Biblioteca del Congreso Nacional de Chile via Wikimedia Commons,Chile,4,1985,2005
Colnect via Wikimedia Commons,Cape Verde,4,1966,1971
Colnect via Wikimedia Commons,Ecuador,4,1949,1949
Colnect via Wikimedia Commons,Finland,4,1911,1986
Colnect via Wikimedia Commons,Mexico,4,1941,1969
Colnect via Wikimedia Commons,Syria,4,1925,1926
Creator-contributed record via Wikimedia Commons,Algeria,4,1971,2023
Creator-contributed record via Wikimedia Commons,Austria,4,1906,1906
Creator-contributed record via Wikimedia Commons,Bolivia,4,1887,2012
Creator-contributed record via Wikimedia Commons,Estonia,4,1990,2023
Creator-contributed record via Wikimedia Commons,Kyrgyzstan,4,1974,2023
Creator-contributed record via Wikimedia Commons,United States,4,1880,2022
Library of Congress Prints and Photographs API,Greece,4,1968,1970
Library of Congress Prints and Photographs API,Paraguay,4,1965,1967
Library of Congress via Wikimedia Commons,Global / transnational,4,1843,1970
Metropolitan Museum of Art via Wikimedia Commons,Global / transnational,4,1896,1896
Metropolitan Museum of Art via Wikimedia Commons,Nepal,4,1984,2004
Pacific Community Digital Library,Niue,4,2005,2015
Pacific Community Digital Library,Palau,4,2007,2015
Private collection scan via Wikimedia Commons,Ghana,4,1948,1957
Private collection scan via Wikimedia Commons,Global / transnational,4,1910,1974
Private collection scan via Wikimedia Commons,Mongolia,4,1948,1981
Private collection scan via Wikimedia Commons,Nigeria,4,1898,1946
Private collection scan via Wikimedia Commons,United Arab Emirates,4,1864,1972
Private collection scan via Wikimedia Commons,Uzbekistan,4,1988,2000
Private collection scan via Wikimedia Commons,Yemen,4,1950,1967
Science History Institute via Wikimedia Commons,China / Hong Kong,4,1860,1930
Smithsonian Open Access,Global / transnational,4,1880,1880
Stellenbosch University Scholar,South Africa,4,2009,2016
University of Ghana Digital Collections,Ghana,4,2010,2018
University of Pretoria Research Repository,South Africa,4,2004,2013
V&A Collections API,Brazil,4,1987,2009
WNS Stamps via Wikimedia Commons,Ukraine,4,2013,2013
Wellcome Collection Catalogue API,France,4,1933,1949
Wellcome Collection Catalogue API,Germany,4,1940,1970
Wellcome Collection Catalogue API,United States,4,1931,1943
Wikimedia Commons contributor record via Wikimedia Commons,Bahrain,4,2011,2011
Wikimedia Commons contributor record via Wikimedia Commons,Colombia,4,1853,1868
Wikimedia Commons contributor record via Wikimedia Commons,Egypt,4,1931,2011
Wikimedia Commons contributor record via Wikimedia Commons,Ethiopia,4,2022,2022
Wikimedia Commons contributor record via Wikimedia Commons,Palestine / transnational,4,1836,2003
Wikimedia Commons contributor record via Wikimedia Commons,Turkey,4,1913,2008
Wikimedia Commons contributor record via Wikimedia Commons,Vietnam,4,1968,2025
Wits University WiredSpace,South Africa,4,2008,2017
Yale University Art Gallery Linked Art,Canada,4,2000,2015
Yale University Art Gallery Linked Art,China / Hong Kong,4,2004,2007
Yale University Art Gallery Linked Art,Russia,4,1990,1993
flickr.com via Wikimedia Commons,Egypt,4,1949,2012
floranativadeuruguay.blogspot.com.ar via Wikimedia Commons,Uruguay,4,2013,2013
foi.gov.ph via Wikimedia Commons,Philippines,4,2016,2023
scienceimage.csiro.au via Wikimedia Commons,Australia / Indigenous,4,2000,2012
Art Institute of Chicago API,Argentina,3,1967,1994
Art Institute of Chicago API,Spain,3,1942,1948
Australian War Memorial via Wikimedia Commons,Australia / Indigenous,3,1917,1943
Biblioteca Nacional Digital de Chile / Memoria Chilena,Chile,3,1970,1983
Cleveland Museum of Art via Wikimedia Commons,India,3,1925,1925
Colnect via Wikimedia Commons,Egypt,3,1949,1949
Colnect via Wikimedia Commons,Fiji,3,1949,1949
Colnect via Wikimedia Commons,Pakistan,3,1949,1949
Colnect via Wikimedia Commons,Republic of the Congo,3,1970,1970
Colnect via Wikimedia Commons,United States,3,1963,1969
Cooper Hewitt Collection GraphQL API,Czech Republic,3,1900,1990
Creator-contributed record via Wikimedia Commons,Cape Verde,3,2022,2022
Creator-contributed record via Wikimedia Commons,Jordan,3,1959,2008
Creator-contributed record via Wikimedia Commons,Namibia,3,2011,2021
Creator-contributed record via Wikimedia Commons,Sri Lanka,3,2004,2021
Creator-contributed record via Wikimedia Commons,Syria,3,1920,2009
Creator-contributed record via Wikimedia Commons,Tajikistan,3,1990,1997
Creator-contributed record via Wikimedia Commons,Zambia,3,2019,2024
Library of Congress Prints and Photographs API,Argentina,3,1978,1978
Library of Congress Prints and Photographs API,Guatemala,3,1965,1976
Library of Congress Prints and Photographs API,Iraq,3,1968,1968
Library of Congress Prints and Photographs API,Lebanon,3,1967,1976
Library of Congress Prints and Photographs API,Nicaragua,3,1965,1979
Library of Congress Prints and Photographs API,Nigeria,3,1962,1969
Library of Congress Prints and Photographs API,Spain,3,1946,1965
Library of Congress loc.gov API,Mexico,3,1890,1912
Library of Congress via Wikimedia Commons,India,3,1899,2015
Mercado Libre via Wikimedia Commons,Argentina,3,1927,1964
Nasjonalmuseet Design collection / DigitaltMuseum,Russia,3,1930,1932
National Repository of Nigeria,Nigeria,3,1978,2022
Private collection scan via Wikimedia Commons,Benin,3,1913,1966
Private collection scan via Wikimedia Commons,Fiji,3,1910,1954
Private collection scan via Wikimedia Commons,Georgia,3,1966,1989
Private collection scan via Wikimedia Commons,Tajikistan,3,1988,1990
SMU Libraries Digital Collections / CONTENTdm,United States,3,1983,1995
Science History Institute via Wikimedia Commons,India,3,1865,1865
Science History Institute via Wikimedia Commons,Latin America,3,1865,1965
South African History Archive,South Africa,3,1982,1986
V&A Collections API,Belgium,3,1840,1949
Wellcome Collection Catalogue API,China / Hong Kong,3,1957,1963
Wikimedia Commons contributor record via Wikimedia Commons,Germany,3,1837,1915
Wikimedia Commons contributor record via Wikimedia Commons,Korean Peninsula,3,2013,2016
Wikimedia Commons contributor record via Wikimedia Commons,Latin America,3,1914,2012
Wikimedia Commons contributor record via Wikimedia Commons,Poland,3,1955,2007
Wikimedia Commons contributor record via Wikimedia Commons,United Kingdom,3,1800,1910
Yale University Art Gallery Linked Art,Germany,3,2003,2009
dl.ndl.go.jp via Wikimedia Commons,Global / transnational,3,1921,1928
flickr.com via Wikimedia Commons,Colombia,3,1939,2023
flickr.com via Wikimedia Commons,Kenya,3,2010,2012
flickr.com via Wikimedia Commons,Korean Peninsula,3,1929,2011
flickr.com via Wikimedia Commons,Peru,3,2012,2020
Art Institute of Chicago API,Belgium,2,1898,1899
Art Institute of Chicago API,Mexico,2,1945,1945
Bibliothèques spécialisées de Paris via Wikimedia Commons,Brazil,2,1905,1943
Bulgarian Archives State Agency via Wikimedia Commons,Bulgaria,2,1904,1904
Colnect via Wikimedia Commons,Austria,2,1965,1966
Colnect via Wikimedia Commons,Bulgaria,2,1882,1970
Colnect via Wikimedia Commons,Japan,2,1937,1937
Colnect via Wikimedia Commons,Russia,2,1995,1996
Colnect via Wikimedia Commons,Slovenia,2,1958,1958
Colnect via Wikimedia Commons,Switzerland,2,1949,1949
Colnect via Wikimedia Commons,Tunisia,2,1933,1989
Colnect via Wikimedia Commons,United Kingdom,2,1965,1967
Colnect via Wikimedia Commons,Uruguay,2,1888,1962
Colnect via Wikimedia Commons,Venezuela,2,1913,1983
Creator-contributed record via Wikimedia Commons,Germany,2,1900,2011
Creator-contributed record via Wikimedia Commons,Italy,2,1941,1970
Creator-contributed record via Wikimedia Commons,Lebanon,2,2000,2006
Creator-contributed record via Wikimedia Commons,Myanmar,2,2020,2020
Creator-contributed record via Wikimedia Commons,North Macedonia,2,2017,2018
Creator-contributed record via Wikimedia Commons,Rwanda,2,2024,2024
Creator-contributed record via Wikimedia Commons,Solomon Islands,2,2025,2025
Digital Commonwealth / Boston Public Library,United Kingdom,2,1805,1805
Digital Public Library of America via Wikimedia Commons,China / Hong Kong,2,1892,1892
Digital Public Library of America via Wikimedia Commons,United States,2,1847,1930
Gallica / BnF APIs,Germany,2,1810,1982
Gallica / BnF APIs,Spain,2,1953,1953
I Bolli via Wikimedia Commons,Serbia,2,1978,1990
Library of Congress Prints and Photographs API,Czech Republic,2,1969,1969
Library of Congress Prints and Photographs API,Dominican Republic,2,1975,1975
Library of Congress Prints and Photographs API,Indonesia,2,1965,1965
Library of Congress Prints and Photographs API,Ukraine,2,1920,1965
Library of Congress Prints and Photographs API,Uruguay,2,1942,1965
Library of Congress loc.gov API,"Boston, United States",2,1813,1813
Library of Congress loc.gov API,Brazil,2,1880,1934
Library of Congress via Wikimedia Commons,Latvia,2,1890,1890
Museum of New Zealand Te Papa Tongarewa via Wikimedia Commons,Aotearoa New Zealand,2,1899,1973
Nasjonalmuseet Design collection / DigitaltMuseum,Denmark,2,1896,1965
National Gallery of Australia via Wikimedia Commons,Australia / Indigenous,2,1907,1937
National Library of Australia / Trove via Wikimedia Commons,Australia / Indigenous,2,1881,1917
National Library of Australia / Trove via Wikimedia Commons,Global / transnational,2,1893,1970
National Library of Vietnam via Wikimedia Commons,Vietnam,2,1935,1935
PIASA auction via Wikimedia Commons,Global / transnational,2,1897,1902
Pacific Community Digital Library,Papua New Guinea,2,2006,2006
Pacific Community Digital Library,Tuvalu,2,2009,2009
Post of Serbia via Wikimedia Commons,China / Hong Kong,2,2021,2021
Private collection scan via Wikimedia Commons,Albania,2,1941,1968
Private collection scan via Wikimedia Commons,Ethiopia,2,1969,1970
Private collection scan via Wikimedia Commons,France,2,1928,1942
Private collection scan via Wikimedia Commons,Germany,2,1941,1965
Private collection scan via Wikimedia Commons,Italy,2,1923,1970
Private collection scan via Wikimedia Commons,Moldova,2,1989,1989
