retry_id,candidate_id,source_name,macro_region,subregion,country_or_region,source_class,source_url,final_url,http_status,probe_status,failure_family,failure_reason,candidate_priority,capture_priority_next,alternate_endpoint_hint,recommended_retry_route,rights_boundary,notes
RTV2-011,CSS0051,Chimurenga Library,Africa,Pan-African,South Africa / Pan-African,publication/archive project,https://chimurengalibrary.co.za/,,,failed,timeout,URLError: <urlopen error timed out>,P1,P2 retry/manual verification,manual source-registry review and alternate endpoint search,slow_retry_with_lower_rate_or_manual_browser_check,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
RTV2-012,CSS0044,Syrian Design Archive,MENA,Levant,Syria / diaspora,graphic design archive,https://syriandesignarchive.com/,,,failed,timeout,URLError: <urlopen error timed out>,P0,P2 retry/manual verification,manual source-registry review and alternate endpoint search,slow_retry_with_lower_rate_or_manual_browser_check,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
RTV2-013,CSS0108,Osianama,South Asia,India / South Asia,India,popular visual culture archive,https://osianama.com/,https://osianama.com/,401,http_error,auth_required_401,HTTP Error 401: Unauthorized,P0,P2 retry/manual verification,manual browser/source documentation review; respect access controls and terms,manual_source_registry_record; do not bypass access controls,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; major non-Western visual culture gap; treat images conservatively"
RTV2-014,CSS0052,Africa Commons,Africa,Pan-African,Africa,aggregated cultural archive,https://africacommons.net/,https://africacommons.net/,403,http_error,forbidden_403,HTTP Error 403: Forbidden,P2,P2 retry/manual verification,manual browser/source documentation review; respect access controls and terms,manual_source_registry_record; do not bypass access controls,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
RTV2-015,CSS0033,IVAA Indonesian Visual Art Archive,Southeast Asia,Indonesia,Indonesia,visual art archive,https://ivaa-online.org/,https://ivaa-online.org/,403,http_error,forbidden_403,HTTP Error 403: Forbidden,P1,P2 retry/manual verification,manual browser/source documentation review; respect access controls and terms,manual_source_registry_record; do not bypass access controls,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
RTV2-016,CSS0103,National Library of Indonesia,Southeast Asia,National library / archive,Indonesia,national library,https://www.perpusnas.go.id/,https://www.perpusnas.go.id/,403,http_error,forbidden_403,HTTP Error 403: Forbidden,P0,P2 retry/manual verification,manual browser/source documentation review; respect access controls and terms,manual_source_registry_record; do not bypass access controls,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; Southeast Asia coverage gap; prioritize source links and bibliographic records"
RTV2-017,CSS0117,Qatar Digital Library,MENA,Arab world / Middle East,MENA,digital library,https://www.qdl.qa/,https://www.qdl.qa/,403,http_error,forbidden_403,HTTP Error 403: Forbidden,P0,P2 retry/manual verification,manual browser/source documentation review; respect access controls and terms,manual_source_registry_record; do not bypass access controls,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; edge-source priority; do not infer rights from visible image availability"
RTV2-018,CSS0045,Palestinian Museum Digital Archive,MENA,Levant,Palestine,digital archive,https://palarchive.org/,https://palarchive.org/,429,http_error,rate_limited_429,HTTP Error 429: Too Many Requests,P0,P2 retry/manual verification,"look for collection search, IIIF manifest endpoint, or provider API from source root | manual browser/source documentation review; respect access controls and terms",manual_source_registry_record; do not bypass access controls,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
RTV2-019,CSS0099,MMCA Korea,East Asia,Japan / Korea,Korea,museum,https://www.mmca.go.kr/,,,failed,connection_reset,URLError: <urlopen error [Errno 54] Connection reset by peer>,P1,P2 retry/manual verification,manual source-registry review and alternate endpoint search,retry_later_or_manual_browser_source_check,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; priority East Asia source gap and authority/source-registry expansion"
RTV2-020,CSS0098,National Archives of Korea,East Asia,Japan / Korea,Korea,national archive,https://www.archives.go.kr/,,,failed,connection_reset,URLError: <urlopen error [Errno 54] Connection reset by peer>,P1,P2 retry/manual verification,manual source-registry review and alternate endpoint search,retry_later_or_manual_browser_source_check,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; priority East Asia source gap and authority/source-registry expansion"
RTV2-021,CSS0092,Academia Sinica Digital Resources,East Asia,China / Taiwan / Hong Kong,Taiwan,research archive aggregator,https://digitalarchives.sinica.edu.tw/,,,failed,dns_or_domain,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>",P1,P2 retry/manual verification,"verify current domain, moved project page, or institutional successor page",domain_successor_or_archival_source_note,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; priority East Asia source gap; source-return and bibliographic metadata first"
RTV2-022,CSS0060,Archivo Mexicano de Diseño,Latin America,Mexico,Mexico,design archive / history project,https://archivomexicanodediseno.com/,,,failed,dns_or_domain,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>",P1,P2 retry/manual verification,"verify current domain, moved project page, or institutional successor page",domain_successor_or_archival_source_note,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
RTV2-023,CSS0057,Archivo de Ilustración Argentina,Latin America,Southern Cone,Argentina,illustration archive,https://www.archivodeilustracion.com.ar/,,,failed,dns_or_domain,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>",P1,P2 retry/manual verification,"verify current domain, moved project page, or institutional successor page",domain_successor_or_archival_source_note,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
RTV2-024,CSS0089,CADAL,East Asia,China / Taiwan / Hong Kong,China,university digital library,https://www.cadal.edu.cn/,,,failed,dns_or_domain,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>",P0,P2 retry/manual verification,"verify current domain, moved project page, or institutional successor page",domain_successor_or_archival_source_note,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; priority East Asia source gap; source-return and bibliographic metadata first"
RTV2-025,CSS0026,Taiwan Cultural Memory Bank,East Asia,Taiwan,Taiwan,cultural heritage database,https://memory.culture.tw/,,,failed,dns_or_domain,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>",P0,P2 retry/manual verification,"verify current domain, moved project page, or institutional successor page",domain_successor_or_archival_source_note,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
RTV2-026,CSS0129,Biblioteca Nacional de Mexico,Latin America / Caribbean,National / community archives,Mexico,national library,https://bnm.iib.unam.mx/,,,failed,ssl_certificate,URLError: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1028)>,P0,P2 retry/manual verification,"look for collection search, IIIF manifest endpoint, or provider API from source root | manual browser check and canonical-domain verification before retry",canonical_domain_and_certificate_review_then_retry,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; strong region for non-US design history expansion and source triangulation"
RTV2-027,CSS0136,Biblioteca Nacional de Uruguay,Latin America / Caribbean,National / community archives,Uruguay,national library,https://www.bibna.gub.uy/,,,failed,ssl_certificate,URLError: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1028)>,P0,P2 retry/manual verification,"look for collection search, IIIF manifest endpoint, or provider API from source root | manual browser check and canonical-domain verification before retry",canonical_domain_and_certificate_review_then_retry,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; strong region for non-US design history expansion and source triangulation"
RTV2-028,CSS0024,National Library of Korea Digital Collections,East Asia,Korea,South Korea,national library digital collection,https://www.nl.go.kr/,,,failed,timeout,TimeoutError: The read operation timed out,P1,P2 retry/manual verification,look for OAI-PMH Identify/ListRecords endpoint from source documentation,slow_retry_with_lower_rate_or_manual_browser_check,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
RTV2-029,CSS0131,Brasiliana Fotografica,Latin America / Caribbean,National / community archives,Brazil,photo archive,https://brasilianafotografica.bn.gov.br/,https://brasilianafotografica.bn.gov.br/,403,http_error,forbidden_403,HTTP Error 403: Forbidden,P0,P2 retry/manual verification,"look for collection search, IIIF manifest endpoint, or provider API from source root | manual browser/source documentation review; respect access controls and terms",manual_source_registry_record; do not bypass access controls,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; strong region for non-US design history expansion and source triangulation"
RTV2-030,CSS0133,ICAA Documents,Latin America / Caribbean,National / community archives,Latin America,documents archive,https://icaa.mfah.org/,https://icaa.mfah.org/,403,http_error,forbidden_403,HTTP Error 403: Forbidden,P0,P2 retry/manual verification,"look for collection search, IIIF manifest endpoint, or provider API from source root | manual browser/source documentation review; respect access controls and terms",manual_source_registry_record; do not bypass access controls,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; strong region for non-US design history expansion and source triangulation"
RTV2-031,CSS0135,Caribbean Memory Project,Latin America / Caribbean,National / community archives,Caribbean,community archive,https://www.caribbeanmemoryproject.com/,https://www.caribbeanmemoryproject.com/,404,http_error,not_found_404,HTTP Error 404: Not Found,P0,P2 retry/manual verification,"try source root https://www.caribbeanmemoryproject.com/ | look for collection search, IIIF manifest endpoint, or provider API from source root",canonical_url_recheck_then_source_root_probe,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; strong region for non-US design history expansion and source triangulation"
RTV2-032,CSS0021,DNP Graphic Design Archives,East Asia,Japan,Japan,design archive,https://www.dnpfcp.jp/gallery/archives/,https://www.dnpfcp.jp/gallery/archives/,404,http_error,not_found_404,HTTP Error 404: Not Found,P0,P2 retry/manual verification,try source root https://www.dnpfcp.jp/,canonical_url_recheck_then_source_root_probe,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
RTV2-033,CSS0097,Tama Art University Library,East Asia,Japan / Korea,Japan,university library,https://www.tamabi.ac.jp/library/,https://www.tamabi.ac.jp/library/,404,http_error,not_found_404,HTTP Error 404: Not Found,P1,P2 retry/manual verification,try source root https://www.tamabi.ac.jp/,canonical_url_recheck_then_source_root_probe,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; priority East Asia source gap and authority/source-registry expansion"
RTV2-034,CSS0003,AIGA Eye on Design,Global,Independent web,United States / transnational,design media,https://eyeondesign.aiga.org/,,,failed,ssl_certificate,URLError: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1028)>,P1,P2 retry/manual verification,https://eyeondesign.aiga.org/wp-json/ | https://eyeondesign.aiga.org/feed/ | manual browser check and canonical-domain verification before retry,canonical_domain_and_certificate_review_then_retry,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
RTV2-035,CSS0073,ArchiveGrid,Global,Transregional,Global,archive finding aid aggregator,https://researchworks.oclc.org/archivegrid/,https://researchworks.oclc.org/archivegrid/,403,http_error,forbidden_403,HTTP Error 403: Forbidden,P1,P2 retry/manual verification,manual browser/source documentation review; respect access controls and terms,manual_source_registry_record; do not bypass access controls,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; broad source discovery for references and non-Western collection leads"
RTV2-036,CSS0072,DPLA,Global,Transregional,Global,cultural heritage aggregator,https://dp.la/,https://dp.la/,403,http_error,forbidden_403,HTTP Error 403: Forbidden,P1,P2 retry/manual verification,manual browser/source documentation review; respect access controls and terms,manual_source_registry_record; do not bypass access controls,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; broad source discovery for references and non-Western collection leads"
RTV2-037,CSS0066,World Digital Library / Library of Congress,Global,Transregional,Global,institutional aggregator,https://www.loc.gov/collections/world-digital-library/,https://www.loc.gov/collections/world-digital-library/,403,http_error,forbidden_403,HTTP Error 403: Forbidden,P1,P2 retry/manual verification,manual browser/source documentation review; respect access controls and terms,manual_source_registry_record; do not bypass access controls,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; broad source discovery for references and non-Western collection leads"
