queue_id,candidate_id,source_name,macro_region,subregion,country_or_region,source_class,protocol_lane,adapter_type,detected_protocols,adapter_hint,capture_priority_next,candidate_priority,recommended_text_policy_next,recommended_image_policy_next,rights_risk,next_action,image_capture_boundary,source_url,final_url,notes
P1V2-022,CSS0083,Creative Review,Global,Independent / media,Transregional,design media archive,WordPress REST / HTML,wordpress_rest_or_html_source_adapter,RSS/Atom;JSON-LD;WordPress REST,wordpress_rest_or_html_adapter,P1 text/source enrichment,P2,medium,IMG00/IMG02 after item rights review; no automatic thumbnail upgrade,standard_rights_review,"probe public REST/feed endpoints; extract titles, dates, source links, tags, citations, rights text only",do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://www.creativereview.co.uk/,https://www.creativereview.co.uk/,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; post-1990 independent source discovery; use as source lead, not image mirror"
P1V2-023,CSS0076,Design Observer,Global,Independent / media,Transregional,design criticism archive,WordPress REST / HTML,wordpress_rest_or_html_source_adapter,JSON-LD;WordPress REST,wordpress_rest_or_html_adapter,P1 text/source enrichment,P2,medium,IMG00/IMG02 after item rights review; no automatic thumbnail upgrade,standard_rights_review,"probe public REST/feed endpoints; extract titles, dates, source links, tags, citations, rights text only",do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://designobserver.com/,https://designobserver.com/,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; post-1990 independent source discovery; use as source lead, not image mirror"
P1V2-024,CSS0068,HathiTrust Digital Library,Global,Transregional,Global,library aggregator,WordPress REST / HTML,wordpress_rest_or_html_source_adapter,OAI-PMH;DSpace;WordPress REST;Static JS App,dspace_oai_or_rest_adapter,P1 adapter build,P1,medium,IMG00/IMG02 after item rights review; no automatic thumbnail upgrade,manual_rights_review,"probe public REST/feed endpoints; extract titles, dates, source links, tags, citations, rights text only",do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://www.hathitrust.org/,https://www.hathitrust.org/,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; broad source discovery for references and non-Western collection leads"
P1V2-025,CSS0071,OpenBibArt,Global,Transregional,Global,scholarly bibliography,WordPress REST / HTML,wordpress_rest_or_html_source_adapter,RSS/Atom;WordPress REST,wordpress_rest_or_html_adapter,P1 adapter build,P1,medium,IMG00/IMG02 after item rights review; no automatic thumbnail upgrade,manual_rights_review,"probe public REST/feed endpoints; extract titles, dates, source links, tags, citations, rights text only",do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://openbibart.fr/,https://openbibart.fr/,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; broad source discovery for references and non-Western collection leads"
P1V2-026,CSS0080,Revue Faire,Global,Independent / media,Transregional,design criticism publication,WordPress REST / HTML,wordpress_rest_or_html_source_adapter,RSS/Atom;WordPress REST,wordpress_rest_or_html_adapter,P1 text/source enrichment,P2,medium,IMG00/IMG02 after item rights review; no automatic thumbnail upgrade,standard_rights_review,"probe public REST/feed endpoints; extract titles, dates, source links, tags, citations, rights text only",do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://www.revue-faire.eu/,https://e-m-p-i-r-e.eu/categorie-produit/revue-faire/,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; post-1990 independent source discovery; use as source lead, not image mirror"
P1V2-027,CSS0004,Slanted,Global,Independent web,Germany / transnational,design publication / type culture,WordPress REST / HTML,wordpress_rest_or_html_source_adapter,RSS/Atom;JSON-LD;WordPress REST;Static JS App,wordpress_rest_or_html_adapter,P1 adapter build,P1,article text and issue metadata,IMG00/IMG02 after item rights review; no automatic thumbnail upgrade,standard_rights_review,"probe public REST/feed endpoints; extract titles, dates, source links, tags, citations, rights text only",do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://www.slanted.de/,https://www.slanted.de/,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
P1V2-028,CSS0078,Typographica,Global,Independent / media,Transregional,typography review archive,WordPress REST / HTML,wordpress_rest_or_html_source_adapter,RSS/Atom;WordPress REST,wordpress_rest_or_html_adapter,P1 text/source enrichment,P2,medium,IMG00/IMG02 after item rights review; no automatic thumbnail upgrade,standard_rights_review,"probe public REST/feed endpoints; extract titles, dates, source links, tags, citations, rights text only",do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://typographica.org/,https://typographica.org/,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; post-1990 independent source discovery; use as source lead, not image mirror"
P1V2-029,CSS0009,Design Reviewed,Europe,Independent archive,United Kingdom,private design archive / publication,WordPress REST / HTML,wordpress_rest_or_html_source_adapter,RSS/Atom;JSON-LD;WordPress REST;Static JS App,wordpress_rest_or_html_adapter,P1 text/source enrichment,P0,post text and tags,IMG00/IMG02 after item rights review; no automatic thumbnail upgrade,standard_rights_review,"probe public REST/feed endpoints; extract titles, dates, source links, tags, citations, rights text only",do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://designreviewed.com/,https://designreviewed.com/,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
P1V2-030,CSS0010,Letterform Archive Blog,North America,Independent archive,United States,typography archive / institution,WordPress REST / HTML,wordpress_rest_or_html_source_adapter,JSON-LD;WordPress REST;Static JS App;PDF,wordpress_rest_or_html_adapter,P1 adapter build,P1,article text; collection references,IMG00/IMG02 after item rights review; no automatic thumbnail upgrade,standard_rights_review,"probe public REST/feed endpoints; extract titles, dates, source links, tags, citations, rights text only",do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://letterformarchive.org/news/,https://letterformarchive.org/news/,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
P1V2-031,CSS0046,Arab Image Foundation,MENA,Levant,Lebanon / Arab world,photographic archive,RSS/Atom source feed,rss_atom_source_adapter,RSS/Atom;PDF,rss_atom_source_adapter,P1 adapter build,P1,metadata/context text,IMG00/IMG02 after item rights review; no automatic thumbnail upgrade,standard_rights_review,read feed metadata and canonical links; enrich source registry without media ingestion,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://arabimagefoundation.org/,https://arabimagefoundation.org/,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
P1V2-032,CSS0119,Egyptian National Library and Archives,MENA,Arab world / Middle East,Egypt,national library,RSS/Atom source feed,rss_atom_source_adapter,RSS/Atom,rss_atom_source_adapter,P1 text/source enrichment,P0,medium,IMG00/IMG02 after item rights review; no automatic thumbnail upgrade,standard_rights_review,read feed metadata and canonical links; enrich source registry without media ingestion,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://www.darelkotob.gov.eg/,https://www.darelkotob.gov.eg/ar-eg/Pages/Home.aspx,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; edge-source priority; do not infer rights from visible image availability"
P1V2-033,CSS0125,South African History Online,Africa,Africa / diaspora,South Africa,history archive,RSS/Atom source feed,rss_atom_source_adapter,RSS/Atom;JSON-LD;Static JS App,html_jsonld_adapter,P1 text/source enrichment,P0,medium,IMG00/IMG02 after item rights review; no automatic thumbnail upgrade,standard_rights_review,read feed metadata and canonical links; enrich source registry without media ingestion,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://www.sahistory.org.za/,https://sahistory.org.za/,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; main coverage gap; source relationship and cultural sensitivity review required"
P1V2-034,CSS0027,M+ Collections,East Asia,Hong Kong,Hong Kong,museum collection,RSS/Atom source feed,rss_atom_source_adapter,RSS/Atom;GraphQL;Static JS App,graphql_schema_probe_then_adapter,P1 text/source enrichment,P0,object metadata and curatorial text,IMG00/IMG02 after item rights review; no automatic thumbnail upgrade,standard_rights_review,read feed metadata and canonical links; enrich source registry without media ingestion,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://www.mplus.org.hk/en/collection/,https://www.mplus.org.hk/en/collection/,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
P1V2-035,CSS0093,NDL Search,East Asia,Japan / Korea,Japan,national library search,RSS/Atom source feed,rss_atom_source_adapter,RSS/Atom;JSON-LD,html_jsonld_adapter,P1 text/source enrichment,P0,medium,IMG00/IMG02 after item rights review; no automatic thumbnail upgrade,manual_rights_review,read feed metadata and canonical links; enrich source registry without media ingestion,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://ndlsearch.ndl.go.jp/,https://ndlsearch.ndl.go.jp/,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; priority East Asia source gap and authority/source-registry expansion"
P1V2-036,CSS0145,State Library NSW,Oceania / Indigenous,Australia / Aotearoa,Australia,state library,RSS/Atom source feed,rss_atom_source_adapter,RSS/Atom;JSON-LD,html_jsonld_adapter,P1 adapter build,P1,medium,IMG00/IMG02 after item rights review; no automatic thumbnail upgrade,community_or_cultural_review;manual_rights_review,read feed metadata and canonical links; enrich source registry without media ingestion,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://www.sl.nsw.gov.au/,https://www.sl.nsw.gov.au/,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; regional and Indigenous source discovery; cultural sensitivity review required"
P1V2-037,CSS0081,Alliance Graphique Internationale,Global,Independent / media,Transregional,designer organization,RSS/Atom source feed,rss_atom_source_adapter,,html_source_probe_then_manual_rules,P1 text/source enrichment,P2,medium,IMG00 until item rights and source terms are reviewed; IMG02 if source viewer exists,standard_rights_review,read feed metadata and canonical links; enrich source registry without media ingestion,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://a-g-i.org/,https://a-g-i.org/,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; post-1990 independent source discovery; use as source lead, not image mirror"
P1V2-038,CSS0085,Design Week,Global,Independent / media,Transregional,design media archive,RSS/Atom source feed,rss_atom_source_adapter,JSON-LD,html_jsonld_adapter,P1 text/source enrichment,P2,medium,IMG00 until item rights and source terms are reviewed; IMG02 if source viewer exists,standard_rights_review,read feed metadata and canonical links; enrich source registry without media ingestion,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://www.designweek.co.uk/,https://www.designweek.co.uk/,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; post-1990 independent source discovery; use as source lead, not image mirror"
P1V2-039,CSS0084,Eye Magazine,Global,Independent / media,Transregional,design magazine archive,RSS/Atom source feed,rss_atom_source_adapter,Static JS App,headless_metadata_probe_only,P1 text/source enrichment,P2,medium,IMG00 until item rights and source terms are reviewed; IMG02 if source viewer exists,standard_rights_review,read feed metadata and canonical links; enrich source registry without media ingestion,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://www.eyemagazine.com/,https://eyemagazine.com/,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; post-1990 independent source discovery; use as source lead, not image mirror"
P1V2-040,CSS0007,Fonts In Use,Global,Typography,Transnational,typography database,RSS/Atom source feed,rss_atom_source_adapter,RSS/Atom,rss_atom_source_adapter,P1 text/source enrichment,P0,title/typeface/industry/source metadata,IMG00/IMG02 after item rights review; no automatic thumbnail upgrade,standard_rights_review,read feed metadata and canonical links; enrich source registry without media ingestion,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://fontsinuse.com/,https://fontsinuse.com/,"Useful authority-like typography context, but not an image-rights authority."
P1V2-041,CSS0082,Graphic Design Festival Scotland,Global,Independent / media,Transregional,festival archive,RSS/Atom source feed,rss_atom_source_adapter,,html_source_probe_then_manual_rules,P1 text/source enrichment,P2,medium,IMG00 until item rights and source terms are reviewed; IMG02 if source viewer exists,standard_rights_review,read feed metadata and canonical links; enrich source registry without media ingestion,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://graphicdesignfestivalscotland.com/,https://graphicdesignfestivalscotland.com/2020/,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; post-1990 independent source discovery; use as source lead, not image mirror"
P1V2-042,CSS0079,Typewolf,Global,Independent / media,Transregional,typography reference,RSS/Atom source feed,rss_atom_source_adapter,RSS/Atom,rss_atom_source_adapter,P1 text/source enrichment,P2,medium,IMG00/IMG02 after item rights review; no automatic thumbnail upgrade,standard_rights_review,read feed metadata and canonical links; enrich source registry without media ingestion,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://www.typewolf.com/,https://www.typewolf.com/,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; post-1990 independent source discovery; use as source lead, not image mirror"
