capture_id,direction_id,direction_name,source_id,source_name,source_api_url,capture_status,source_identifier,source_record_url,source_title,source_creator,source_date_text,date_start,date_end,source_place_text,source_object_type,source_medium,source_collection,source_rights_text,rights_uri,rights_basis,image_presence_code,image_presence_basis,image_state_evaluation,image_state_confidence,rights_review_required,image_state_review_note,image_frame_behavior,image_url_detected,local_copy_permitted,iiif_or_viewer_available,fallback_required,fallback_reason,raw_json_path,access_date
ECAP011,D01,open_and_restricted_museum_poster_objects,SRC020,Art Institute of Chicago API,https://api.artic.edu/api/v1/artworks/search?q=poster&fields=id%2Ctitle%2Cartist_display%2Cdate_display%2Cplace_of_origin%2Cmedium_display%2Cclassification_titles%2Capi_link%2Cimage_id%2Cthumbnail%2Cis_public_domain%2Cartist_id%2Cdate_start%2Cdate_end&page=1&limit=15,captured,55093,https://www.artic.edu/artworks/55093,The Modern Poster,"William H. Bradley (American, 1868-1962)
printed and published by Charles Scribner's Sons (American, founded 19th century)",1895,1895,1895,United States,poster; print; prints and drawing,Zincograph in green and blue on cream wove paper,Art Institute of Chicago,"AIC image identifier exists, but search row does not report public-domain status.",,"AIC image identifier exists, but search row does not report public-domain status.",IMG00,"AIC image identifier exists, but search row does not report public-domain status.","IMG00: AIC image identifier exists, but search row does not report public-domain status.",high,true,Image frame should render empty with source link until item-level rights evidence upgrades it.,empty_rights_frame,"https://www.artic.edu/iiif/2/0d5db4d9-0725-7ecd-e44b-95d0750949a3/full/843,/0/default.jpg",false,"https://www.artic.edu/iiif/2/0d5db4d9-0725-7ecd-e44b-95d0750949a3/full/843,/0/default.jpg",false,,data/capture_batch_001_raw/SRC020_aic_search.json,2026-05-30
ECAP012,D01,open_and_restricted_museum_poster_objects,SRC020,Art Institute of Chicago API,https://api.artic.edu/api/v1/artworks/search?q=poster&fields=id%2Ctitle%2Cartist_display%2Cdate_display%2Cplace_of_origin%2Cmedium_display%2Cclassification_titles%2Capi_link%2Cimage_id%2Cthumbnail%2Cis_public_domain%2Cartist_id%2Cdate_start%2Cdate_end&page=1&limit=15,captured,192364,https://www.artic.edu/artworks/192364,Untitled,"Mikhail Mikhailovich Cheremnykh
(Born Tomsk, 1890; died Moscow, 1962)","May 16, 1944",1944,1944,Soviet Union,stencil; poster; print; prints and drawing,Stencil,Art Institute of Chicago,"AIC image identifier exists, but search row does not report public-domain status.",,"AIC image identifier exists, but search row does not report public-domain status.",IMG00,"AIC image identifier exists, but search row does not report public-domain status.","IMG00: AIC image identifier exists, but search row does not report public-domain status.",high,true,Image frame should render empty with source link until item-level rights evidence upgrades it.,empty_rights_frame,"https://www.artic.edu/iiif/2/a09b0e67-ed09-4b97-b813-55710a3ddaac/full/843,/0/default.jpg",false,"https://www.artic.edu/iiif/2/a09b0e67-ed09-4b97-b813-55710a3ddaac/full/843,/0/default.jpg",false,,data/capture_batch_001_raw/SRC020_aic_search.json,2026-05-30
ECAP013,D01,open_and_restricted_museum_poster_objects,SRC020,Art Institute of Chicago API,https://api.artic.edu/api/v1/artworks/search?q=poster&fields=id%2Ctitle%2Cartist_display%2Cdate_display%2Cplace_of_origin%2Cmedium_display%2Cclassification_titles%2Capi_link%2Cimage_id%2Cthumbnail%2Cis_public_domain%2Cartist_id%2Cdate_start%2Cdate_end&page=1&limit=15,captured,192373,https://www.artic.edu/artworks/192373,Our One-Thousandth Blow,"Nikolai Fedorovich Denisovskii
(Born Moscow, 1901; died Moscow, 1981)
Pavel Sokolov-Skalya
(Born Strel'nia, 1899; died Moscow, 1961)
Vasilii Ivanovich Lebedev-Kumach
(Born Moscow, 1898; died Moscow, 1949)","June 5, 1944",1944,1944,Russia,poster; stencil; print; prints and drawing,Stencil,Art Institute of Chicago,"AIC image identifier exists, but search row does not report public-domain status.",,"AIC image identifier exists, but search row does not report public-domain status.",IMG00,"AIC image identifier exists, but search row does not report public-domain status.","IMG00: AIC image identifier exists, but search row does not report public-domain status.",high,true,Image frame should render empty with source link until item-level rights evidence upgrades it.,empty_rights_frame,"https://www.artic.edu/iiif/2/325eb5f0-cf87-b187-8031-16d43245f7b3/full/843,/0/default.jpg",false,"https://www.artic.edu/iiif/2/325eb5f0-cf87-b187-8031-16d43245f7b3/full/843,/0/default.jpg",false,,data/capture_batch_001_raw/SRC020_aic_search.json,2026-05-30
ECAP014,D01,open_and_restricted_museum_poster_objects,SRC020,Art Institute of Chicago API,https://api.artic.edu/api/v1/artworks/search?q=poster&fields=id%2Ctitle%2Cartist_display%2Cdate_display%2Cplace_of_origin%2Cmedium_display%2Cclassification_titles%2Capi_link%2Cimage_id%2Cthumbnail%2Cis_public_domain%2Cartist_id%2Cdate_start%2Cdate_end&page=1&limit=15,captured,8872,https://www.artic.edu/artworks/8872,No. 2 Spring,"A. A. Moore (English, 20th century)
printed by Dangerfield Printing Company Limited
published by Underground Electric Railways Company of London Limited",1931,1931,1931,England,poster; print; prints and drawing; lithograph,Color lithograph on cream wove paper,Art Institute of Chicago,"AIC image identifier exists, but search row does not report public-domain status.",,"AIC image identifier exists, but search row does not report public-domain status.",IMG00,"AIC image identifier exists, but search row does not report public-domain status.","IMG00: AIC image identifier exists, but search row does not report public-domain status.",high,true,Image frame should render empty with source link until item-level rights evidence upgrades it.,empty_rights_frame,"https://www.artic.edu/iiif/2/d4c1c3b1-7495-f21d-1e5a-40477030045e/full/843,/0/default.jpg",false,"https://www.artic.edu/iiif/2/d4c1c3b1-7495-f21d-1e5a-40477030045e/full/843,/0/default.jpg",false,,data/capture_batch_001_raw/SRC020_aic_search.json,2026-05-30
ECAP015,D01,open_and_restricted_museum_poster_objects,SRC020,Art Institute of Chicago API,https://api.artic.edu/api/v1/artworks/search?q=poster&fields=id%2Ctitle%2Cartist_display%2Cdate_display%2Cplace_of_origin%2Cmedium_display%2Cclassification_titles%2Capi_link%2Cimage_id%2Cthumbnail%2Cis_public_domain%2Cartist_id%2Cdate_start%2Cdate_end&page=1&limit=15,captured,82287,https://www.artic.edu/artworks/82287,"Moulin Rouge, La Goulue","Henri de Toulouse-Lautrec
French, 1864-1901",1891,1891,1891,France,poster; print; prints and drawing,Color lithograph on tan wove paper,Art Institute of Chicago,AIC search API reports is_public_domain=true.,,AIC search API reports is_public_domain=true.,IMG03,AIC search API reports is_public_domain=true.,IMG03: AIC search API reports is_public_domain=true.,high,true,Open image display candidate; final publication still needs item-page rights capture.,open_image_frame,"https://www.artic.edu/iiif/2/1d82da66-d99e-f4f6-d5fc-56b22b6678ba/full/843,/0/default.jpg",false,"https://www.artic.edu/iiif/2/1d82da66-d99e-f4f6-d5fc-56b22b6678ba/full/843,/0/default.jpg",false,,data/capture_batch_001_raw/SRC020_aic_search.json,2026-05-30
ECAP016,D01,open_and_restricted_museum_poster_objects,SRC022,Cleveland Museum Open Access API,https://openaccess-api.clevelandart.org/api/artworks/?q=poster&has_image=1&limit=10,captured,1950.455,https://clevelandart.org/art/1950.455,Yvette Guilbert,"Henri de Toulouse-Lautrec (French, 1864–1901)",c. 1894,1889,1899,"France, 19th century",Drawing,black crayon,DR - French,Cleveland Museum API share_license_status=CC0.,,Cleveland Museum API share_license_status=CC0.,IMG03,Cleveland Museum API share_license_status=CC0.,IMG03: Cleveland Museum API share_license_status=CC0.,high,true,Open image display candidate; local copy remains disabled until record-level review.,open_image_frame,"{""filename"": ""1950.455_web.jpg"", ""filesize"": ""167100"", ""height"": ""900"", ""url"": ""https://openaccess-cdn.clevelandart.org/1950.455/1950.455_web.jpg"", ""width"": ""491""}",false,"{""filename"": ""1950.455_web.jpg"", ""filesize"": ""167100"", ""height"": ""900"", ""url"": ""https://openaccess-cdn.clevelandart.org/1950.455/1950.455_web.jpg"", ""width"": ""491""}",false,,data/capture_batch_001_raw/SRC022_cleveland_search.json,2026-05-30
ECAP017,D01,open_and_restricted_museum_poster_objects,SRC022,Cleveland Museum Open Access API,https://openaccess-api.clevelandart.org/api/artworks/?q=poster&has_image=1&limit=10,captured,1934.29,https://clevelandart.org/art/1934.29,Virgin and Child,"Hans Memling (Netherlandish, 1494)",c. 1470–80,,,"Flanders, Bruges",Painting,oil on wood,MED - Medieval Art,Cleveland Museum API share_license_status=CC0.,,Cleveland Museum API share_license_status=CC0.,IMG03,Cleveland Museum API share_license_status=CC0.,IMG03: Cleveland Museum API share_license_status=CC0.,high,true,Open image display candidate; local copy remains disabled until record-level review.,open_image_frame,"{""filename"": ""1934.29_web.jpg"", ""filesize"": ""511888"", ""height"": ""893"", ""url"": ""https://openaccess-cdn.clevelandart.org/1934.29/1934.29_web.jpg"", ""width"": ""625""}",false,"{""filename"": ""1934.29_web.jpg"", ""filesize"": ""511888"", ""height"": ""893"", ""url"": ""https://openaccess-cdn.clevelandart.org/1934.29/1934.29_web.jpg"", ""width"": ""625""}",false,,data/capture_batch_001_raw/SRC022_cleveland_search.json,2026-05-30
ECAP018,D01,open_and_restricted_museum_poster_objects,SRC022,Cleveland Museum Open Access API,https://openaccess-api.clevelandart.org/api/artworks/?q=poster&has_image=1&limit=10,captured,1968.257,https://clevelandart.org/art/1968.257,Poster for the Lembrée Gallery,"Theo van Rysselberghe (Belgian, 1862–1926)",1897,1897,1897,"Belgium, 19th century",Print,color lithograph,PR - Lithograph,Cleveland Museum API share_license_status=CC0.,,Cleveland Museum API share_license_status=CC0.,IMG03,Cleveland Museum API share_license_status=CC0.,IMG03: Cleveland Museum API share_license_status=CC0.,high,true,Open image display candidate; local copy remains disabled until record-level review.,open_image_frame,"{""filename"": ""1968.257_web.jpg"", ""filesize"": ""248880"", ""height"": ""900"", ""url"": ""https://openaccess-cdn.clevelandart.org/1968.257/1968.257_web.jpg"", ""width"": ""669""}",false,"{""filename"": ""1968.257_web.jpg"", ""filesize"": ""248880"", ""height"": ""900"", ""url"": ""https://openaccess-cdn.clevelandart.org/1968.257/1968.257_web.jpg"", ""width"": ""669""}",false,,data/capture_batch_001_raw/SRC022_cleveland_search.json,2026-05-30
ECAP019,D01,open_and_restricted_museum_poster_objects,SRC022,Cleveland Museum Open Access API,https://openaccess-api.clevelandart.org/api/artworks/?q=poster&has_image=1&limit=10,captured,1952.10,https://clevelandart.org/art/1952.10,May Milton,"Henri de Toulouse-Lautrec (French, 1864–1901)",1895,1895,1895,"France, 19th century",Print,color lithograph,PR - Lithograph,Cleveland Museum API share_license_status=CC0.,,Cleveland Museum API share_license_status=CC0.,IMG03,Cleveland Museum API share_license_status=CC0.,IMG03: Cleveland Museum API share_license_status=CC0.,high,true,Open image display candidate; local copy remains disabled until record-level review.,open_image_frame,"{""filename"": ""1952.10_web.jpg"", ""filesize"": ""201540"", ""height"": ""900"", ""url"": ""https://openaccess-cdn.clevelandart.org/1952.10/1952.10_web.jpg"", ""width"": ""682""}",false,"{""filename"": ""1952.10_web.jpg"", ""filesize"": ""201540"", ""height"": ""900"", ""url"": ""https://openaccess-cdn.clevelandart.org/1952.10/1952.10_web.jpg"", ""width"": ""682""}",false,,data/capture_batch_001_raw/SRC022_cleveland_search.json,2026-05-30
ECAP020,D01,open_and_restricted_museum_poster_objects,SRC022,Cleveland Museum Open Access API,https://openaccess-api.clevelandart.org/api/artworks/?q=poster&has_image=1&limit=10,captured,1986.136,https://clevelandart.org/art/1986.136,Sculptress,"Eugène Grasset (French, 1841–1917)",1897,1897,1897,"France, 19th century",Print,lithograph with watercolor added by hand,PR - Lithograph,Cleveland Museum API share_license_status=CC0.,,Cleveland Museum API share_license_status=CC0.,IMG03,Cleveland Museum API share_license_status=CC0.,IMG03: Cleveland Museum API share_license_status=CC0.,high,true,Open image display candidate; local copy remains disabled until record-level review.,open_image_frame,"{""filename"": ""1986.136_web.jpg"", ""filesize"": ""228715"", ""height"": ""900"", ""url"": ""https://openaccess-cdn.clevelandart.org/1986.136/1986.136_web.jpg"", ""width"": ""634""}",false,"{""filename"": ""1986.136_web.jpg"", ""filesize"": ""228715"", ""height"": ""900"", ""url"": ""https://openaccess-cdn.clevelandart.org/1986.136/1986.136_web.jpg"", ""width"": ""634""}",false,,data/capture_batch_001_raw/SRC022_cleveland_search.json,2026-05-30
ECAP021,D01,open_and_restricted_museum_poster_objects,SRC022,Cleveland Museum Open Access API,https://openaccess-api.clevelandart.org/api/artworks/?q=poster&has_image=1&limit=10,captured,1966.352,https://clevelandart.org/art/1966.352,Bill Poster,"Carle Vernet (French, 1758–1836)",c. 1780–1836,1780,1836,"France, 19th century",Print,"lithograph, hand colored",PR - Lithograph,Cleveland Museum API share_license_status=CC0.,,Cleveland Museum API share_license_status=CC0.,IMG03,Cleveland Museum API share_license_status=CC0.,IMG03: Cleveland Museum API share_license_status=CC0.,high,true,Open image display candidate; local copy remains disabled until record-level review.,open_image_frame,"{""filename"": ""1966.352_web.jpg"", ""filesize"": ""437931"", ""height"": ""893"", ""url"": ""https://openaccess-cdn.clevelandart.org/1966.352/1966.352_web.jpg"", ""width"": ""631""}",false,"{""filename"": ""1966.352_web.jpg"", ""filesize"": ""437931"", ""height"": ""893"", ""url"": ""https://openaccess-cdn.clevelandart.org/1966.352/1966.352_web.jpg"", ""width"": ""631""}",false,,data/capture_batch_001_raw/SRC022_cleveland_search.json,2026-05-30
ECAP022,D01,open_and_restricted_museum_poster_objects,SRC022,Cleveland Museum Open Access API,https://openaccess-api.clevelandart.org/api/artworks/?q=poster&has_image=1&limit=10,captured,2009.581,https://clevelandart.org/art/2009.581,Masters of the Poster: Poster for Exhibition of Artistic Posters of Wilhelm Söborg,"Paul Gustav Fischer (Danish, 1860–1934); Soborg, Copenhagen",c. 1895,1890,1900,"France, 19th century",Print,color lithograph,PR - Lithograph,Cleveland Museum API share_license_status=CC0.,,Cleveland Museum API share_license_status=CC0.,IMG03,Cleveland Museum API share_license_status=CC0.,IMG03: Cleveland Museum API share_license_status=CC0.,high,true,Open image display candidate; local copy remains disabled until record-level review.,open_image_frame,"{""filename"": ""2009.581_web.jpg"", ""filesize"": ""148332"", ""height"": ""893"", ""url"": ""https://openaccess-cdn.clevelandart.org/2009.581/2009.581_web.jpg"", ""width"": ""665""}",false,"{""filename"": ""2009.581_web.jpg"", ""filesize"": ""148332"", ""height"": ""893"", ""url"": ""https://openaccess-cdn.clevelandart.org/2009.581/2009.581_web.jpg"", ""width"": ""665""}",false,,data/capture_batch_001_raw/SRC022_cleveland_search.json,2026-05-30
ECAP023,D01,open_and_restricted_museum_poster_objects,SRC022,Cleveland Museum Open Access API,https://openaccess-api.clevelandart.org/api/artworks/?q=poster&has_image=1&limit=10,captured,1958.54,https://clevelandart.org/art/1958.54,May Belfort,"Henri de Toulouse-Lautrec (French, 1864–1901)",1895,1895,1895,"France, 19th century",Drawing,oil on millboard,DR - French,Cleveland Museum API share_license_status=CC0.,,Cleveland Museum API share_license_status=CC0.,IMG03,Cleveland Museum API share_license_status=CC0.,IMG03: Cleveland Museum API share_license_status=CC0.,high,true,Open image display candidate; local copy remains disabled until record-level review.,open_image_frame,"{""filename"": ""1958.54_web.jpg"", ""filesize"": ""122176"", ""height"": ""893"", ""url"": ""https://openaccess-cdn.clevelandart.org/1958.54/1958.54_web.jpg"", ""width"": ""677""}",false,"{""filename"": ""1958.54_web.jpg"", ""filesize"": ""122176"", ""height"": ""893"", ""url"": ""https://openaccess-cdn.clevelandart.org/1958.54/1958.54_web.jpg"", ""width"": ""677""}",false,,data/capture_batch_001_raw/SRC022_cleveland_search.json,2026-05-30
