blocker_type,severity,source_file,capture_id,surface_id,year,region,image_state,source_name,title,source_url,image_url,recommendation
event_photo_or_context_image,P1,capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,CAW2026R00186,SURF-CAW2026R00186,1850,Peru,IMG03,"Wikimedia Commons file source / 'Saint Isidore the Laborer' by unknown Peruvian painter, c. 1850, Lowe Art Museum.JPG / page 37661048","'Saint Isidore the Laborer' by unknown Peruvian painter, c. 1850, Lowe Art Museum.JPG","https://commons.wikimedia.org/wiki/File:%27Saint_Isidore_the_Laborer%27_by_unknown_Peruvian_painter,_c._1850,_Lowe_Art_Museum.JPG",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/%27Saint_Isidore_the_Laborer%27_by_unknown_Peruvian_painter%2C_c._1850%2C_Lowe_Art_Museum.JPG/1280px-%27Saint_Isidore_the_Laborer%27_by_unknown_Peruvian_painter%2C_c._1850%2C_Lowe_Art_Museum.JPG,Reclassify as card/support material unless it is an item-level designed surface with source evidence.
event_photo_or_context_image,P1,capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,CAW2026R00200,SURF-CAW2026R00200,1852,United Kingdom,IMG03,Wikimedia Commons file source / Britishguiana1852-1cent.jpg / page 2819668,Britishguiana1852-1cent.jpg,https://commons.wikimedia.org/wiki/File:Britishguiana1852-1cent.jpg,https://upload.wikimedia.org/wikipedia/commons/d/da/Britishguiana1852-1cent.jpg,Reclassify as card/support material unless it is an item-level designed surface with source evidence.
event_photo_or_context_image,P1,capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,CAW2026R00213,SURF-CAW2026R00213,1854,Latin America,IMG03,"Wikimedia Commons file source / Frederic Edwin Church - Tequendama Falls, Near Bogota, New Granada.jpg / page 6447810","Frederic Edwin Church - Tequendama Falls, Near Bogota, New Granada.jpg","https://commons.wikimedia.org/wiki/File:Frederic_Edwin_Church_-_Tequendama_Falls,_Near_Bogota,_New_Granada.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Frederic_Edwin_Church_-_Tequendama_Falls%2C_Near_Bogota%2C_New_Granada.jpg/1280px-Frederic_Edwin_Church_-_Tequendama_Falls%2C_Near_Bogota%2C_New_Granada.jpg,Reclassify as card/support material unless it is an item-level designed surface with source evidence.
event_photo_or_context_image,P1,capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,CAW2026R00215,SURF-CAW2026R00215,1854,Morocco,IMG03,Wikimedia Commons file source / C188a815 01.jpg / page 175426882,C188a815 01.jpg,https://commons.wikimedia.org/wiki/File:C188a815_01.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/C188a815_01.jpg/1280px-C188a815_01.jpg,Reclassify as card/support material unless it is an item-level designed surface with source evidence.
event_photo_or_context_image,P1,capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,CAW2026R00225,SURF-CAW2026R00225,1858,Morocco,IMG03,Wikimedia Commons file source / C188a713 07.jpg / page 159690681,C188a713 07.jpg,https://commons.wikimedia.org/wiki/File:C188a713_07.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/C188a713_07.jpg/1280px-C188a713_07.jpg,Reclassify as card/support material unless it is an item-level designed surface with source evidence.
event_photo_or_context_image,P1,capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,CAW2026R00226,SURF-CAW2026R00226,1859,Unresolved region,IMG03,Wikimedia Commons file source / Sissek 1859 Sisak.jpg / page 22464581,Sissek 1859 Sisak.jpg,https://commons.wikimedia.org/wiki/File:Sissek_1859_Sisak.jpg,https://upload.wikimedia.org/wikipedia/commons/f/fa/Sissek_1859_Sisak.jpg,Reclassify as card/support material unless it is an item-level designed surface with source evidence.
event_photo_or_context_image,P1,capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,CAW2026R00227,SURF-CAW2026R00227,1859,Romania,IMG03,Wikimedia Commons file source / 1859 Frek 2kr Transylvania.jpg / page 25102167,1859 Frek 2kr Transylvania.jpg,https://commons.wikimedia.org/wiki/File:1859_Frek_2kr_Transylvania.jpg,https://upload.wikimedia.org/wikipedia/commons/2/2c/1859_Frek_2kr_Transylvania.jpg,Reclassify as card/support material unless it is an item-level designed surface with source evidence.
event_photo_or_context_image,P1,capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,CAW2026R00229,SURF-CAW2026R00229,1859,Morocco,IMG03,Wikimedia Commons file source / Centinela a caballo - Ulpiano Checa.JPG / page 7891902,Centinela a caballo - Ulpiano Checa.JPG,https://commons.wikimedia.org/wiki/File:Centinela_a_caballo_-_Ulpiano_Checa.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Centinela_a_caballo_-_Ulpiano_Checa.JPG/1280px-Centinela_a_caballo_-_Ulpiano_Checa.JPG,Reclassify as card/support material unless it is an item-level designed surface with source evidence.
event_photo_or_context_image,P1,capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,CAW2026R00245,SURF-CAW2026R00245,1862,Ukraine,IMG03,"Wikimedia Commons file source / ARKIVET Peace and Human Rights Centre Kristiansand Norway. Museum WWII Exhibition. Gestapo office during Nazi Germany occupation. Kontoret. Door, desk made 1935, National swastika flag,...","ARKIVET Peace and Human Rights Centre Kristiansand Norway. Museum WWII Exhibition. Gestapo office during Nazi Germany occupation. Kontoret. Door, desk made 1935, National swastika flag, etc (2023) IMG 3538.jpg","https://commons.wikimedia.org/wiki/File:ARKIVET_Peace_and_Human_Rights_Centre_Kristiansand_Norway._Museum_WWII_Exhibition._Gestapo_office_during_Nazi_Germany_occupation._Kontoret._Door,_desk_made_1935,_National_swastika_flag,_etc_(2023)_IMG_3538.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/ARKIVET_Peace_and_Human_Rights_Centre_Kristiansand_Norway._Museum_WWII_Exhibition._Gestapo_office_during_Nazi_Germany_occupation._Kontoret._Door%2C_desk_made_1935%2C_National_swastika_flag%2C_etc_%282023%29_IMG_3538.jpg/1280px-thumbnail.jpg,Reclassify as card/support material unless it is an item-level designed surface with source evidence.
event_photo_or_context_image,P1,capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,CAW2026R00246,SURF-CAW2026R00246,1862,Ukraine,IMG03,Wikimedia Commons file source / ARKIVET Peace and Human Rights Centre Kristiansand Norway. Museum WWII Exhibition. Gestapo office. 3-rotor Enigma cipher machine 1936. During occupation by Nazi Germany. Desk 1935 Hitler...,ARKIVET Peace and Human Rights Centre Kristiansand Norway. Museum WWII Exhibition. Gestapo office. 3-rotor Enigma cipher machine 1936. During occupation by Nazi Germany. Desk 1935 Hitler poster by Knirr National swastika flag (2023) B.jpg,https://commons.wikimedia.org/wiki/File:ARKIVET_Peace_and_Human_Rights_Centre_Kristiansand_Norway._Museum_WWII_Exhibition._Gestapo_office._3-rotor_Enigma_cipher_machine_1936._During_occupation_by_Nazi_Germany._Desk_1935_Hitler_poster_by_Knirr_National_swastika_flag_(2023)_B.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/ARKIVET_Peace_and_Human_Rights_Centre_Kristiansand_Norway._Museum_WWII_Exhibition._Gestapo_office._3-rotor_Enigma_cipher_machine_1936._During_occupation_by_Nazi_Germany._Desk_1935_Hitler_poster_by_Knirr_National_swastika_flag_%282023%29_B.jpg/1280px-thumbnail.jpg,Reclassify as card/support material unless it is an item-level designed surface with source evidence.
event_photo_or_context_image,P1,capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,CAW2026R00249,SURF-CAW2026R00249,1863,Romania,IMG03,Wikimedia Commons file source / 1863 LV 2soldi JBRAILA MiLV14.jpg / page 31583895,1863 LV 2soldi JBRAILA MiLV14.jpg,https://commons.wikimedia.org/wiki/File:1863_LV_2soldi_JBRAILA_MiLV14.jpg,https://upload.wikimedia.org/wikipedia/commons/d/da/1863_LV_2soldi_JBRAILA_MiLV14.jpg,Reclassify as card/support material unless it is an item-level designed surface with source evidence.
event_photo_or_context_image,P1,capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,CAW2026R00251,SURF-CAW2026R00251,1863,Egypt,IMG03,Wikimedia Commons file source / 1863 LV 15soldi Alexandrien MiLV18.jpg / page 31583896,1863 LV 15soldi Alexandrien MiLV18.jpg,https://commons.wikimedia.org/wiki/File:1863_LV_15soldi_Alexandrien_MiLV18.jpg,https://upload.wikimedia.org/wikipedia/commons/4/4d/1863_LV_15soldi_Alexandrien_MiLV18.jpg,Reclassify as card/support material unless it is an item-level designed surface with source evidence.
event_photo_or_context_image,P1,capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,CAW2026R00252,SURF-CAW2026R00252,1863,Morocco,IMG03,Wikimedia Commons file source / C188b177 10.jpg / page 175845101,C188b177 10.jpg,https://commons.wikimedia.org/wiki/File:C188b177_10.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/C188b177_10.jpg/1280px-C188b177_10.jpg,Reclassify as card/support material unless it is an item-level designed surface with source evidence.
event_photo_or_context_image,P1,capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,CAW2026R00253,SURF-CAW2026R00253,1864,India,IMG03,Wikimedia Commons file source / Senate House University of Madras Chennai India.jpg / page 138292658,Senate House University of Madras Chennai India.jpg,https://commons.wikimedia.org/wiki/File:Senate_House_University_of_Madras_Chennai_India.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Senate_House_University_of_Madras_Chennai_India.jpg/1280px-Senate_House_University_of_Madras_Chennai_India.jpg,Reclassify as card/support material unless it is an item-level designed surface with source evidence.
event_photo_or_context_image,P1,capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,CAW2026R00256,SURF-CAW2026R00256,1864,Romania,IMG03,Wikimedia Commons file source / 1864 LV 15soldi BucarestRec LV27.jpg / page 31583897,1864 LV 15soldi BucarestRec LV27.jpg,https://commons.wikimedia.org/wiki/File:1864_LV_15soldi_BucarestRec_LV27.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f2/1864_LV_15soldi_BucarestRec_LV27.jpg,Reclassify as card/support material unless it is an item-level designed surface with source evidence.
event_photo_or_context_image,P1,capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,CAW2026R00259,SURF-CAW2026R00259,1864,Palestine / transnational,IMG03,Wikimedia Commons file source / 1864 KK 15soldi Jaffa MiV23.jpg / page 31620605,1864 KK 15soldi Jaffa MiV23.jpg,https://commons.wikimedia.org/wiki/File:1864_KK_15soldi_Jaffa_MiV23.jpg,https://upload.wikimedia.org/wikipedia/commons/1/10/1864_KK_15soldi_Jaffa_MiV23.jpg,Reclassify as card/support material unless it is an item-level designed surface with source evidence.
event_photo_or_context_image,P1,capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,CAW2026R00261,SURF-CAW2026R00261,1864,Turkey,IMG03,Wikimedia Commons file source / 1864 LV 10soldi Lloyd A Costantinopoli MiV22.jpg / page 31508886,1864 LV 10soldi Lloyd A Costantinopoli MiV22.jpg,https://commons.wikimedia.org/wiki/File:1864_LV_10soldi_Lloyd_A_Costantinopoli_MiV22.jpg,https://upload.wikimedia.org/wikipedia/commons/4/41/1864_LV_10soldi_Lloyd_A_Costantinopoli_MiV22.jpg,Reclassify as card/support material unless it is an item-level designed surface with source evidence.
event_photo_or_context_image,P1,capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,CAW2026R00305,SURF-CAW2026R00305,1867,Unresolved region,IMG03,Wikimedia Commons file source / 1867 Newspaper Ferchenbauer type IIa Tolmein.jpg / page 27230689,1867 Newspaper Ferchenbauer type IIa Tolmein.jpg,https://commons.wikimedia.org/wiki/File:1867_Newspaper_Ferchenbauer_type_IIa_Tolmein.jpg,https://upload.wikimedia.org/wikipedia/commons/5/5e/1867_Newspaper_Ferchenbauer_type_IIa_Tolmein.jpg,Reclassify as card/support material unless it is an item-level designed surface with source evidence.
event_photo_or_context_image,P1,capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,CAW2026R00312,SURF-CAW2026R00312,1869,Ethiopia,IMG03,Wikimedia Commons file source / 1869 Marees Philippus und Kaemmerer anagoria.JPG / page 18727914,1869 Marees Philippus und Kaemmerer anagoria.JPG,https://commons.wikimedia.org/wiki/File:1869_Marees_Philippus_und_Kaemmerer_anagoria.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/1869_Marees_Philippus_und_Kaemmerer_anagoria.JPG/1280px-1869_Marees_Philippus_und_Kaemmerer_anagoria.JPG,Reclassify as card/support material unless it is an item-level designed surface with source evidence.
event_photo_or_context_image,P1,capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,CAW2026R00320,SURF-CAW2026R00320,1870,Peru,IMG03,"Wikimedia Commons file source / 'California Pepper Tree' by Edward Edmondson, Jr., Dayton Art Institute.JPG / page 21666167","'California Pepper Tree' by Edward Edmondson, Jr., Dayton Art Institute.JPG","https://commons.wikimedia.org/wiki/File:%27California_Pepper_Tree%27_by_Edward_Edmondson,_Jr.,_Dayton_Art_Institute.JPG",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/%27California_Pepper_Tree%27_by_Edward_Edmondson%2C_Jr.%2C_Dayton_Art_Institute.JPG/1280px-%27California_Pepper_Tree%27_by_Edward_Edmondson%2C_Jr.%2C_Dayton_Art_Institute.JPG,Reclassify as card/support material unless it is an item-level designed surface with source evidence.
event_photo_or_context_image,P1,capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,CAW2026R00322,SURF-CAW2026R00322,1871,Unresolved region,IMG03,Wikimedia Commons file source / Pacific States Telephone Bldg-4.jpg / page 28516108,Pacific States Telephone Bldg-4.jpg,https://commons.wikimedia.org/wiki/File:Pacific_States_Telephone_Bldg-4.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Pacific_States_Telephone_Bldg-4.jpg/1280px-Pacific_States_Telephone_Bldg-4.jpg,Reclassify as card/support material unless it is an item-level designed surface with source evidence.
event_photo_or_context_image,P1,capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,CAW2026R00328,SURF-CAW2026R00328,1872,Egypt,IMG03,Wikimedia Commons file source / 1872 2piastre Egypte Cairo T III Yv18 SG32.jpg / page 63067263,1872 2piastre Egypte Cairo T III Yv18 SG32.jpg,https://commons.wikimedia.org/wiki/File:1872_2piastre_Egypte_Cairo_T_III_Yv18_SG32.jpg,https://upload.wikimedia.org/wikipedia/commons/2/26/1872_2piastre_Egypte_Cairo_T_III_Yv18_SG32.jpg,Reclassify as card/support material unless it is an item-level designed surface with source evidence.
event_photo_or_context_image,P1,capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,CAW2026R00334,SURF-CAW2026R00334,1874,Unresolved region,IMG03,Wikimedia Commons file source / 1874ca Trifail 5kr Trbovlje.jpg / page 29862634,1874ca Trifail 5kr Trbovlje.jpg,https://commons.wikimedia.org/wiki/File:1874ca_Trifail_5kr_Trbovlje.jpg,https://upload.wikimedia.org/wikipedia/commons/a/ab/1874ca_Trifail_5kr_Trbovlje.jpg,Reclassify as card/support material unless it is an item-level designed surface with source evidence.
event_photo_or_context_image,P1,capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,CAW2026R00335,SURF-CAW2026R00335,1874,Unresolved region,IMG03,Wikimedia Commons file source / 1883 Schönstein 10kr Sostanj.jpg / page 29862635,1883 Schönstein 10kr Sostanj.jpg,https://commons.wikimedia.org/wiki/File:1883_Sch%C3%B6nstein_10kr_Sostanj.jpg,https://upload.wikimedia.org/wikipedia/commons/9/9c/1883_Sch%C3%B6nstein_10kr_Sostanj.jpg,Reclassify as card/support material unless it is an item-level designed surface with source evidence.
event_photo_or_context_image,P1,capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,CAW2026R00338,SURF-CAW2026R00338,1874,Ukraine,IMG03,Wikimedia Commons file source / Nowoselitza 1874 Bucovina (Ukraine).jpg / page 22609901,Nowoselitza 1874 Bucovina (Ukraine).jpg,https://commons.wikimedia.org/wiki/File:Nowoselitza_1874_Bucovina_(Ukraine).jpg,https://upload.wikimedia.org/wikipedia/commons/2/26/Nowoselitza_1874_Bucovina_%28Ukraine%29.jpg,Reclassify as card/support material unless it is an item-level designed surface with source evidence.
event_photo_or_context_image,P1,capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,CAW2026R00361,SURF-CAW2026R00361,1879,Unresolved region,IMG03,Wikimedia Commons file source / 1879 B-H 10kr litho Mi5I.jpg / page 30801052,1879 B-H 10kr litho Mi5I.jpg,https://commons.wikimedia.org/wiki/File:1879_B-H_10kr_litho_Mi5I.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f6/1879_B-H_10kr_litho_Mi5I.jpg,Reclassify as card/support material unless it is an item-level designed surface with source evidence.
event_photo_or_context_image,P1,capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,CAW2026R00362,SURF-CAW2026R00362,1879,Unresolved region,IMG03,Wikimedia Commons file source / 1879 B-H 3kr litho Mi3I.jpg / page 30801051,1879 B-H 3kr litho Mi3I.jpg,https://commons.wikimedia.org/wiki/File:1879_B-H_3kr_litho_Mi3I.jpg,https://upload.wikimedia.org/wikipedia/commons/d/db/1879_B-H_3kr_litho_Mi3I.jpg,Reclassify as card/support material unless it is an item-level designed surface with source evidence.
event_photo_or_context_image,P1,capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,CAW2026R00363,SURF-CAW2026R00363,1879,Unresolved region,IMG03,Wikimedia Commons file source / 1884 B-H 10kr Sarajevo Mi5I.jpg / page 30914816,1884 B-H 10kr Sarajevo Mi5I.jpg,https://commons.wikimedia.org/wiki/File:1884_B-H_10kr_Sarajevo_Mi5I.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c2/1884_B-H_10kr_Sarajevo_Mi5I.jpg,Reclassify as card/support material unless it is an item-level designed surface with source evidence.
event_photo_or_context_image,P1,capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,CAW2026R00364,SURF-CAW2026R00364,1879,Unresolved region,IMG03,Wikimedia Commons file source / Bosnia 1879 1kr Steindruck.jpg / page 24801430,Bosnia 1879 1kr Steindruck.jpg,https://commons.wikimedia.org/wiki/File:Bosnia_1879_1kr_Steindruck.jpg,https://upload.wikimedia.org/wikipedia/commons/d/df/Bosnia_1879_1kr_Steindruck.jpg,Reclassify as card/support material unless it is an item-level designed surface with source evidence.
event_photo_or_context_image,P1,capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,CAW2026R00365,SURF-CAW2026R00365,1879,Unresolved region,IMG03,Wikimedia Commons file source / Bosnia 1879 25kr Steindruck.jpg / page 24801429,Bosnia 1879 25kr Steindruck.jpg,https://commons.wikimedia.org/wiki/File:Bosnia_1879_25kr_Steindruck.jpg,https://upload.wikimedia.org/wikipedia/commons/1/19/Bosnia_1879_25kr_Steindruck.jpg,Reclassify as card/support material unless it is an item-level designed surface with source evidence.
event_photo_or_context_image,P1,capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,CAW2026R00391,SURF-CAW2026R00391,1880,Latin America,IMG03,Wikimedia Commons file source / 1885 Paraguay 2Centavos Mi16y.jpg / page 33214819,1885 Paraguay 2Centavos Mi16y.jpg,https://commons.wikimedia.org/wiki/File:1885_Paraguay_2Centavos_Mi16y.jpg,https://upload.wikimedia.org/wikipedia/commons/4/49/1885_Paraguay_2Centavos_Mi16y.jpg,Reclassify as card/support material unless it is an item-level designed surface with source evidence.
event_photo_or_context_image,P1,capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,CAW2026R00419,SURF-CAW2026R00419,1881,Unresolved region,IMG03,Wikimedia Commons file source / First locomotives used on the Nfl Railway were tiny! (27496067892).jpg / page 59903651,First locomotives used on the Nfl Railway were tiny! (27496067892).jpg,https://commons.wikimedia.org/wiki/File:First_locomotives_used_on_the_Nfl_Railway_were_tiny!_(27496067892).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/First_locomotives_used_on_the_Nfl_Railway_were_tiny%21_%2827496067892%29.jpg/1280px-First_locomotives_used_on_the_Nfl_Railway_were_tiny%21_%2827496067892%29.jpg,Reclassify as card/support material unless it is an item-level designed surface with source evidence.
event_photo_or_context_image,P1,capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,CAW2026R00429,SURF-CAW2026R00429,1882,Unresolved region,IMG03,Wikimedia Commons file source / 1882 Bosnie 25kr Banjaluka.jpg / page 26931264,1882 Bosnie 25kr Banjaluka.jpg,https://commons.wikimedia.org/wiki/File:1882_Bosnie_25kr_Banjaluka.jpg,https://upload.wikimedia.org/wikipedia/commons/4/4e/1882_Bosnie_25kr_Banjaluka.jpg,Reclassify as card/support material unless it is an item-level designed surface with source evidence.
event_photo_or_context_image,P1,capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,CAW2026R00454,SURF-CAW2026R00454,1883,Thailand,IMG03,Wikimedia Commons file source / Thai stamp 1st sio.jpg / page 213515,Thai stamp 1st sio.jpg,https://commons.wikimedia.org/wiki/File:Thai_stamp_1st_sio.jpg,https://upload.wikimedia.org/wikipedia/commons/1/1c/Thai_stamp_1st_sio.jpg,Reclassify as card/support material unless it is an item-level designed surface with source evidence.
