movement_id,name,alternate_names,date_start,date_end,date_text,region,group_type,associated_people,associated_institutions,representative_media,relation_to_graphic_design,source_confidence,search_terms,authority_scheme,authority_id,authority_status,editorial_scope_note
MV012,New Typography,Die Neue Typographie,1920,1939,1920s-1930s,Central Europe,typography movement,Jan Tschichold; avant-garde printers,,books; journals; ads,core modern typographic regime,High,new typography; tschichold,Getty; LC,,needs_resolution,Seeded from Deep Research report; verify authority and scope before production ingest.
MV013,Nieuwe Zakelijkheid,New Objectivity linked print cultures,1920,1939,1920s-1930s,Germany; Netherlands,formation,printers; commercial studios,,advertising; print ephemera,modern commercial print formation,Medium,neue sachlichkeit graphic design,LC; editorial term,,needs_resolution,Seeded from Deep Research report; verify authority and scope before production ingest.
MV014,International Typographic Style,Swiss Style,1945,1975,c.1945-1975,Switzerland; international,movement,Basel; Zurich; Muller-Brockmann,,posters; manuals; editorial design,canonical grid/system formation,High,swiss style; grid system; basel school,Getty; LC,,needs_resolution,Seeded from Deep Research report; verify authority and scope before production ingest.
MV015,Ulm School,HfG Ulm,1953,1968,1953-1968,Germany,school,Otl Aicher,HfG Ulm,identity systems; information graphics,postwar systems design,High,hfg ulm; aicher; ulm design,LCNAF; VIAF,,needs_resolution,Seeded from Deep Research report; verify authority and scope before production ingest.
MV016,Corporate identity modernism,systems design,1950,1989,c.1950s-1980s,U.S.; Europe; Japan,technical/institutional formation,Unimark; Vignelli; Rand,,identity manuals; signage,central applied formation,High,corporate identity manual; standards program,editorial term; firm authorities,,needs_resolution,Seeded from Deep Research report; verify authority and scope before production ingest.
MV017,Editorial modernism,,1940,1979,c.1940s-1970s,U.S.; Europe; Japan,publishing formation,,magazines; newspaper redesign programs,magazine systems; newspapers,key publication design regime,Medium,editorial design modernist; magazine system,editorial term,,needs_resolution,Seeded from Deep Research report; verify authority and scope before production ingest.
MV018,Information design,wayfinding; information graphics,1940,,c.1940s-present,global,field,transit authorities; designers; civic institutions,,maps; symbols; schedules,major systems and public-design field,High,information design; wayfinding; pictogram,Getty AAT; LC,,needs_resolution,Seeded from Deep Research report; verify authority and scope before production ingest.
MV019,Photomontage politics,montage graphics,1920,,1920s-present,Europe; USSR; global,technique/formation,Heartfield; activist designers,,posters; magazines,recurring political graphics technique,High,photomontage poster; montage politics,Getty AAT,,needs_resolution,Seeded from Deep Research report; verify authority and scope before production ingest.
MV020,Wartime public information,state propaganda; information services,1914,1959,1914-1950s,global,state communication formation,,ministries; war offices; public agencies,posters; pamphlets; maps,mass persuasion graphics,High,war poster; public information poster,editorial term; issuing body authority,,needs_resolution,Seeded from Deep Research report; verify authority and scope before production ingest.
MV021,Poster workshop movements,atelier; print collectives,1960,,1960s-present,Europe; Latin America; U.S.; Australia,collective formation,Atelier Populaire; community workshops,,screenprints; posters,protest and solidarity graphics,Medium,poster workshop; serigraph poster collective,editorial term,,needs_resolution,Seeded from Deep Research report; verify authority and scope before production ingest.
MV022,Feminist graphics,women's liberation graphics,1960,,1960s-present,global,counterpublic formation,women's presses; feminist collectives,,posters; newsletters; zines,counterpublic design history,Medium,feminist poster; women's liberation graphic,editorial term,,needs_resolution,Seeded from Deep Research report; verify authority and scope before production ingest.
MV023,Queer graphics,LGBTQ+ graphics,1960,,1960s-present,global,counterpublic formation,,ONE; QZAP; community presses,zines; posters; event graphics,counterpublic design history,Medium,queer zine; pride poster; gay liberation graphics,editorial term,,needs_resolution,Seeded from Deep Research report; verify authority and scope before production ingest.
MV024,Black graphic histories,African diasporic design histories,1800,,19th c.-present,U.S.; Caribbean; Africa; diaspora,counter-canonical formation,Black presses; printers; studios,,newspapers; posters; flyers,essential canon corrective,Medium,Black press design; Black poster history,editorial term,,needs_resolution,Seeded from Deep Research report; verify authority and scope before production ingest.
MV025,Indigenous and decolonial graphics,First Nations graphics,1900,,20th c.-present,global,counter-canonical formation,community publishers; Indigenous studios,,posters; bilingual print; campaigns,sovereign and decolonial visual communication,Medium,Indigenous poster; decolonial graphic design,editorial term,,needs_resolution,Seeded from Deep Research report; verify authority and scope before production ingest.
MV026,Labor graphics,union graphics; workers' press,1800,,19th c.-present,global,movement communication,,unions; labor presses,newspapers; buttons; banners,activist and movement design,Medium,labor poster; union newspaper design,LC subjects; editorial tag,,needs_resolution,Seeded from Deep Research report; verify authority and scope before production ingest.
MV027,Punk graphics,DIY punk; hardcore graphics,1970,,1970s-present,UK; U.S.; global,subcultural formation,labels; venues; bands; fanzines,,flyers; sleeves; zines,subcultural graphic formation,High,punk flyer; punk zine; record sleeve,editorial term,,needs_resolution,Seeded from Deep Research report; verify authority and scope before production ingest.
MV028,Zine culture,DIY publishing,1970,,1970s-present,global,publishing culture,,QZAP; community archives,zines; mini-comics; pamphlets,independent publishing ecology,High,zine; minicomic; diy publishing,Getty AAT; LC,,needs_resolution,Seeded from Deep Research report; verify authority and scope before production ingest.
MV029,Postmodern graphic design,New Wave; postmodern typography,1970,1999,c.1970s-1990s,U.S.; Europe,movement,Cranbrook-linked discourse; studios,,posters; books; magazines,anti-universalist graphic formation,High,postmodern graphic design; new wave typography,Getty; LC,,needs_resolution,Seeded from Deep Research report; verify authority and scope before production ingest.
MV030,Vernacular design,commercial vernacular; everyday graphics,,,long duration,global,descriptor,anonymous makers; local printers,,signs; wrappers; packaging; tickets,anti-canonical descriptor,Medium,vernacular graphics; job printing; roadside sign,Getty AAT; editorial term,,needs_resolution,Seeded from Deep Research report; verify authority and scope before production ingest.
MV031,Dry-transfer and paste-up culture,mechanical artwork era,1960,1989,c.1960s-1980s,global,technical regime,studios; service bureaus,,comps; boards; ad mechanicals,technical regime affecting form,High,letraset; paste-up; mechanical art,editorial term,,needs_resolution,Seeded from Deep Research report; verify authority and scope before production ingest.
MV032,Desktop publishing,DTP,1984,2009,c.1984-2000s,global,technical regime,Apple; Adobe; service bureaus,,brochures; newsletters; fonts,digital production regime,High,desktop publishing; page layout software,editorial term; software authority,,needs_resolution,Seeded from Deep Research report; verify authority and scope before production ingest.
MV033,Independent digital type,digital foundries,1985,,c.1985-present,global,typographic formation,foundries; type designers,,digital fonts; specimens; websites,major field within design history,High,digital type foundry; specimen PDF,editorial term; foundry/person authority,,needs_resolution,Seeded from Deep Research report; verify authority and scope before production ingest.
MV034,Web design,browser-era web,1993,2019,c.1993-2010s,global,digital formation,studios; browser teams,,websites; icons; style guides,major born-digital formation,High,web design; browser culture; website graphic design,editorial term,,needs_resolution,Seeded from Deep Research report; verify authority and scope before production ingest.
MV035,Interface design,UI; interaction design,1980,,c.1980s-present,global,digital formation,software firms; product teams,,GUIs; apps; systems,graphic design expanded to interfaces,High,interface design; ui system; screen typography,editorial term,,needs_resolution,Seeded from Deep Research report; verify authority and scope before production ingest.
MV036,Social platform aesthetics,template culture; feed graphics,2010,,c.2010s-present,global,platform formation,platforms; creators; agencies,,story graphics; social posts,platformized visual communication,High,social media graphic; template pack; instagram design,editorial term,,needs_resolution,Seeded from Deep Research report; verify authority and scope before production ingest.
MV037,Generative design,algorithmic graphics,1960,,c.1960s experiments; 2010s-present mainstream,global,technical formation,code artists; studios; toolmakers,,dynamic systems; outputs; templates,procedural visual systems,Medium,generative design; algorithmic poster,editorial term,,needs_resolution,Seeded from Deep Research report; verify authority and scope before production ingest.
MV038,AI-assisted visual production,diffusion-era graphics,2022,,c.2022-present,global,technical formation,tool platforms; mixed-author teams,,campaign mockups; composites; motion assets,"must be indexed as production context, not evidence",Medium,ai-assisted design; synthetic image workflow,editorial term,,needs_resolution,Seeded from Deep Research report; verify authority and scope before production ingest.
