matrix_id,source_expansion_id,source_name,region,source_type,url,access_method,api_iiif_oai_data,record_family,period_1830_1930,period_1931_1970,period_1971_2000,period_2001_2026,image_value,text_value,rights_clarity,stable_identifier_quality,automation_feasibility,crawl_difficulty,default_image_zone,recommended_use,priority_1930_1970,source_status,deep_research_needed,use_notes
SEM043,GSE043,Internet Archive Metadata API,North America / Global digital,Repository,https://archive.org/,API + web,MDAPI; public item metadata,periodical_newspaper;poster_print_object;book_catalogue_text;web_born_digital,secondary,strong,strong,strong,High-restricted,High,Low-Med,High,High,low,IMG01,backup,P1 text-rich crawl,candidate,no,Huge periodical and digitized print reservoir; rights highly mixed
SEM044,GSE044,The Met Collection API,North America,Museum API,https://metmuseum.github.io/,API,REST JSON; Open Access images,poster_print_object,secondary,secondary,secondary,secondary,High-restricted,Low-Med,High,High,High,low,IMG04,backup,P4 later period support,candidate,no,Good for design-adjacent objects and prints
SEM045,GSE045,National Gallery of Art Open Data,North America,Museum data portal,https://www.nga.gov/artworks/free-images-and-open-access,Web + dataset,Public-domain dataset via GitHub,poster_print_object,secondary,secondary,secondary,strong,Low-none,Low-Med,High,High,High,low,IMG04,backup,P4 later period support,candidate,no,Good for prints and open-image enrichment
SEM046,GSE046,Digital Commonwealth API,North America,Regional aggregator,https://www.digitalcommonwealth.org/api,API,API for metadata and image content,poster_print_object,secondary,secondary,strong,secondary,High-viewer,Low-Med,Med,Med,Med,low,IMG02,backup,P4 later period support,candidate,no,Useful backup for local print/ephemera connections
SEM047,GSE047,BNDigital,Latin America,National library portal,https://bndigital.bn.gov.br/,Web,Portal with rights statement,periodical_newspaper;poster_print_object;book_catalogue_text,secondary,strong,strong,secondary,High-open,High,Med,Med,Med,medium,IMG03,backup,P2 source probe,candidate,no,High relevance for Brazilian print culture and visual communication
SEM048,GSE048,Hemeroteca Digital Brasileira,Latin America,Newspaper portal,https://bndigital.bn.gov.br/hemeroteca-digital/,Web,Portal currently unstable,periodical_newspaper,secondary,strong,strong,secondary,Med,High,Low,Low,Low,blocked,IMG01,avoid,P5 do not crawl now,hold_avoid,yes,High historical value; fragile current access
SEM049,GSE049,Memoria Chilena,Latin America,Digital resource center,https://www.memoriachilena.gob.cl/,OAI + web,OAI exposure; thematic research pages,periodical_newspaper;poster_print_object;book_catalogue_text,secondary,strong,strong,secondary,High-viewer,High,Med-High,Med,Med,low,IMG02,backup,P1 text-rich crawl,candidate,no,"Strong for Chilean print, visual arts, periodicals"
SEM050,GSE050,Biblioteca Nacional Digital de Chile,Latin America,National digital portal,https://www.bibliotecanacionaldigital.gob.cl/,Web,Stable collection pages,periodical_newspaper;archive_finding_aid,secondary,strong,strong,secondary,High-viewer,High,Med,Med,Med,medium,IMG02,backup,P2 source probe,candidate,no,"Strong for magazines, graphics, photo and music archives"
SEM051,GSE051,Archivo de la Gráfica Chilena,Latin America,Specialized subcollection,https://www.bibliotecanacionaldigital.gob.cl/bnd/612/w3-propertyname-672.html,Web,Subcollection pages,archive_finding_aid,secondary,secondary,secondary,secondary,High-viewer,Med,Med,Med,Med,medium,IMG02,backup,P4 later period support,candidate,no,Directly relevant to graphic design history
SEM052,GSE052,BNd Periódicos,Latin America,Specialized subcollection,https://www.bibliotecanacionaldigital.gob.cl/bnd/633/w3-channel.html,Web,Section pages,periodical_newspaper;archive_finding_aid,secondary,strong,secondary,secondary,High-viewer,High,Med,Med,Med,medium,IMG02,backup,P2 source probe,candidate,no,Strong for editorial design and advertising
SEM053,GSE053,Memórica México,Latin America,National memory repository,https://memoricamexico.gob.mx/,Web,License pages; repository,book_catalogue_text;archive_finding_aid,secondary,secondary,secondary,secondary,High-viewer,High,Med,Med,Med,medium,IMG02,backup,P4 later period support,candidate,no,Strong for modern Mexican visual culture context
SEM054,GSE054,Biblioteca Digital Mexicana,Latin America,Multi-institutional portal,https://bdmx.mx/,Web,Stable institutional pages,poster_print_object;book_catalogue_text;authority_context,secondary,strong,strong,secondary,High-viewer,High,Med,Med,Med,medium,IMG02,backup,P2 source probe,candidate,no,Good contextual and bibliographic layer
SEM055,GSE055,Biblioteca Nacional de Colombia Digital,Latin America,National digital library,https://www.bibliotecanacional.gov.co/es-co/colecciones/biblioteca-digital/,Web,Stable digital sections,poster_print_object;book_catalogue_text,secondary,secondary,strong,secondary,High-viewer,High,Low-Med,Med,Low-Med,high,IMG02,backup,P4 later period support,candidate,yes,"Useful for Colombian print, books, editorial history"
SEM056,GSE056,Biblioteca Pública Piloto Archivo Fotográfico,Latin America,Public library photographic archive,https://bibliotecapiloto.gov.co/archivo-fotografico,Web,Stable archive pages,poster_print_object;book_catalogue_text;archive_finding_aid,secondary,secondary,secondary,secondary,High-restricted,High,Low-Med,Med,Low-Med,high,IMG01,backup,P4 later period support,candidate,yes,Important for Medellín visual culture and publishing context
SEM057,GSE057,Instituto Moreira Salles Acervo,Latin America,Cultural institute collection,https://ims.com.br/acervo/,Web,Public-domain sharing via Wikimedia noted,poster_print_object;archive_finding_aid,secondary,secondary,secondary,secondary,High-viewer,Med,Med,Med,Low-Med,high,IMG02,backup,P4 later period support,candidate,no,High value for Brazilian photography and visual culture
SEM058,GSE058,Biblioteca Digital del Patrimonio Iberoamericano,Latin America / Transregional,Aggregator,https://www.iberoamericadigital.net/,Web,Aggregated digital holdings,periodical_newspaper;book_catalogue_text,secondary,strong,strong,secondary,Med,High,Low-Med,Med,Med,medium,IMG00,authority only,P3 authority enrichment,context_or_authority,yes,Useful non-Anglophone discovery layer
SEM059,GSE059,Biblioteca Nacional Mariano Moreno,Latin America,National library portal,https://www.bn.gob.ar/,Web,Catalogue and reading-room services,book_catalogue_text;archive_finding_aid,secondary,secondary,secondary,secondary,Med,High,Low,Med,Low,high,IMG01,context only,P4 later period support,context_or_authority,yes,High value but low-friction online ingest still limited
SEM060,GSE060,Archivo de Historieta y Humor Gráfico Argentinos,Latin America,Specialized collection,https://www.bn.gob.ar/horarios,Web,Collection named on service page,archive_finding_aid,secondary,secondary,secondary,secondary,Med,Med,Low,Low-Med,Low,high,IMG00,context only,P4 later period support,context_or_authority,yes,"Directly relevant, but not yet machine-friendly in this sweep"
SEM061,GSE061,Japan Search,East Asia,National aggregator,https://jpsearch.go.jp/,API + web,National platform; partner data model,poster_print_object;archive_finding_aid,secondary,secondary,secondary,secondary,Med,Med,Med,High,High,low,IMG00,launch,P4 later period support,candidate,no,Strong discovery layer for Japanese print and design sources
SEM062,GSE062,NDL Digital Collections,East Asia,National library digital portal,https://dl.ndl.go.jp/,API + web,PIDs; IIIF on some images,periodical_newspaper;poster_print_object;book_catalogue_text,secondary,strong,strong,secondary,High-open,High,Med-High,High,High,low,IMG03,launch,P1 text-rich crawl,candidate,no,Core Japanese print culture source
SEM063,GSE063,NDL Search,East Asia,National discovery service,https://iss.ndl.go.jp/,API + web,"OAI-PMH, SRU, formats incl. JSON/TSV",authority_context,secondary,strong,secondary,secondary,Med,Low-Med,High,High,High,low,IMG00,launch,P3 manual/link-only,candidate,no,Excellent metadata-first backbone
SEM064,GSE064,Web NDL Authorities,East Asia,Authority service,https://id.ndl.go.jp/auth/ndlna/,API + web,Authority data service,authority_context,secondary,secondary,strong,strong,Med,Med,High,High,High,low,IMG00,authority only,P4 later period support,context_or_authority,no,Valuable authority layer for names/subjects/media
SEM065,GSE065,NDL Image Bank,East Asia,Visual subset,https://www.ndl.go.jp/en/imagebank,Web,Curated visual resource,periodical_newspaper;poster_print_object;book_catalogue_text,secondary,strong,strong,secondary,High-open,High,Med,Med,Med,medium,IMG03,backup,P2 source probe,candidate,no,Good starter set for visual culture and exhibition-context ingest
SEM066,GSE066,National Palace Museum Open Data,East Asia,Museum open-data portal,https://theme.npm.edu.tw/opendata,Open data + web,Open data; free image use for low/mid-res,poster_print_object,secondary,secondary,secondary,strong,High-restricted,Low-Med,High,High,High,low,IMG04,launch,P4 later period support,candidate,no,Better as model for Asian open image policy than as design-history core
SEM067,GSE067,Taiwan Cultural Memory Bank,East Asia,National cultural aggregator,https://tcmb.culture.tw/,Web,Open-data oriented aggregation,book_catalogue_text;archive_finding_aid,secondary,secondary,strong,secondary,High-viewer,High,Med,Med,Med,medium,IMG02,backup,P4 later period support,candidate,no,Strong for Taiwanese regional design and visual culture context
SEM068,GSE068,M+ Collections Open Data/API,East Asia,Museum metadata platform,https://www.mplus.org.hk/en/about-the-collection/,API + web,CC0 metadata dataset + public API,mixed_discovery,secondary,secondary,secondary,strong,Med,Low-Med,High for metadata,High,High,low,IMG00,launch,P4 later period support,candidate,no,One of the best non-Western design-history metadata sources
SEM069,GSE069,Hong Kong Memory,East Asia,Public heritage portal,https://www.hkmemory.hk/,Web,Stable pages; no machine-first docs seen,poster_print_object,secondary,secondary,secondary,secondary,Med,Low-Med,Low-Med,Med,Low-Med,high,IMG01,backup,P4 later period support,candidate,yes,"High local value for print, publishing, public culture"
SEM070,GSE070,National Library of Korea Open API,East Asia,National library API,https://www.nl.go.kr/,API + web,Open API (key-based),periodical_newspaper;archive_finding_aid,secondary,strong,strong,secondary,Med,High,Med,High,Med-High,low,IMG00,launch,P1 text-rich crawl,candidate,no,Useful for Korean publishing and periodical metadata
SEM071,GSE071,Korean Newspaper Archive,East Asia,Newspaper portal,https://www.nl.go.kr/EN/contents/EN35200000000.do,Web,Archive interface,periodical_newspaper,secondary,strong,secondary,secondary,High-viewer,High,Med,Med,Med,medium,IMG02,backup,P2 source probe,candidate,no,Strong for Korean ad/layout history
SEM072,GSE072,Shanghai Library Open Data,East Asia,Linked open data platform,https://data.library.sh.cn/,API + SPARQL + content negotiation,REST API + SPARQL,book_catalogue_text;authority_context,secondary,secondary,secondary,strong,Med,High,High,High,High,low,IMG00,authority only,P4 later period support,context_or_authority,no,Excellent for linked-data authority enrichment
SEM073,GSE073,National Library of China,East Asia,National library portal,https://www.nlc.cn/enweb/,Web,"Digital resources, but access mixed",periodical_newspaper;book_catalogue_text,strong,strong,secondary,secondary,Med,High,Low-Med,Med,Low-Med,high,IMG01,backup,P3 manual/link-only,candidate,yes,High cultural value; mixed remote access and rights
SEM074,GSE074,NLB Labs,Southeast Asia,Library API hub,https://www.nlb.gov.sg/main/partner-us/contribute-and-create-with-us/NLBLabs,API,NLB APIs and data services,mixed_discovery,secondary,secondary,secondary,secondary,Med,Low-Med,Med,High,High,low,IMG00,launch,P4 later period support,candidate,no,Strong Singapore launch layer
SEM075,GSE075,NewspaperSG,Southeast Asia,Newspaper portal,https://eresources.nlb.gov.sg/newspapers/,Web,Stable issue/article pages,periodical_newspaper;poster_print_object,secondary,strong,secondary,secondary,High-viewer,High,Low-Med,High,Med,medium,IMG02,backup,P2 source probe,candidate,yes,Excellent for Singapore/Malaya advertising and print culture
SEM076,GSE076,NLB OneSearch,Southeast Asia,Discovery portal,https://search.nlb.gov.sg/onesearch/,Web,Discovery interface,periodical_newspaper;poster_print_object;book_catalogue_text;archive_finding_aid,secondary,secondary,secondary,secondary,High-restricted,High,Med,High,Med,medium,IMG00,backup,P4 later period support,candidate,no,Good cross-domain metadata layer
SEM077,GSE077,NLB eResource Search API,Southeast Asia,Public API dataset,https://data.gov.sg/datasets/d_39d77f60d11fbb9c85cb102e59ca0d08/view,API,REST API,mixed_discovery,secondary,secondary,secondary,secondary,Med,Low-Med,Med,High,High,low,IMG00,backup,P4 later period support,candidate,no,Useful utility service for structured metadata experiments
SEM078,GSE078,NAS Archives Online,Southeast Asia,National archives portal,https://www.nas.gov.sg/archivesonline/,Web,Ordering/reuse rules; archive pages,book_catalogue_text;archive_finding_aid,secondary,secondary,secondary,secondary,Med,High,Low,Med,Low-Med,high,IMG01,backup,P4 later period support,candidate,yes,High-value context source; rights-heavy
SEM079,GSE079,Roots.sg Collections,Southeast Asia,Public heritage portal,https://www.roots.gov.sg/,Web,Stable object pages,poster_print_object,secondary,secondary,secondary,secondary,High-viewer,Low-Med,Med,Med,Med,medium,IMG02,backup,P4 later period support,candidate,no,Good for Singapore visual culture and design objects
SEM080,GSE080,National Library of the Philippines Digital Collections,Southeast Asia,National library portal,https://web.nlp.gov.ph/digital-collections/,Web,Browser-sensitive PDF/jpg interface,periodical_newspaper;book_catalogue_text,secondary,strong,strong,secondary,Med,High,Low,Med,Low,high,IMG01,backup,P3 manual/link-only,candidate,yes,Valuable but technically brittle
SEM081,GSE081,NLP Digital Collection portal,Southeast Asia,Legacy digital portal,https://nlpdl.nlp.gov.ph/,Web,Legacy portal pages,periodical_newspaper;archive_finding_aid,secondary,secondary,strong,secondary,High-viewer,Low-Med,Low,Low-Med,Low,high,IMG02,backup,P4 later period support,candidate,yes,"Good content, poor automation ergonomics"
SEM082,GSE082,Khastara,Southeast Asia,National manuscripts/documentary heritage portal,https://khastara.perpusnas.go.id/,Web,Stable viewer pages,periodical_newspaper;poster_print_object;book_catalogue_text,strong,strong,strong,secondary,High-viewer,High,Low-Med,Med,Low-Med,high,IMG02,backup,P3 manual/link-only,candidate,yes,Strong Indonesian source for print and documentary heritage
SEM083,GSE083,Southeast Asia Digital Library,Southeast Asia,Regional aggregator,https://sea.lib.niu.edu/,Web,Aggregated repository,authority_context,secondary,strong,strong,secondary,Med,Low-Med,Med,Med,Med,medium,IMG00,backup,P2 source probe,candidate,no,Good discovery layer beyond Singapore
SEM084,GSE084,Digital Library of Lao Manuscripts,Southeast Asia,Specialized manuscript portal,https://digital.crossasia.org/digital-library-of-lao-manuscripts/,Web,Stable portal; image access,poster_print_object;book_catalogue_text,secondary,secondary,strong,secondary,High-open,High,Med,Med,Med,medium,IMG03,context only,P4 later period support,context_or_authority,no,"More contextual than graphic-design core, but valuable for script and book culture"
SEM085,GSE085,National Library of India,South Asia,National library portal,https://www.nationallibrary.gov.in/,Web,catalogue and digital-resource routes require verification,periodical_newspaper;book_catalogue_text;authority_context,secondary,strong,secondary,secondary,Med,High,Low-Med,Med,Low,high,IMG00,deep research,P2 global-balance manual or semi-manual,candidate,yes,"Indian publishing, multilingual typography, public communication context"
SEM086,GSE086,National Digital Library of India,South Asia,National aggregator,https://ndl.iitkgp.ac.in/,Web + search,access model requires verification,book_catalogue_text;authority_context,secondary,strong,strong,secondary,Low-none,High,Low-Med,Med,Low-Med,high,IMG04,deep research,P2 global-balance manual or semi-manual,candidate,yes,"design education, NID-related texts, public communication references"
