query_index,macro,country,object_term,query,status,added,failures_delta,rejects_delta,rows_after,elapsed_seconds
36,Latin America / Caribbean,Mexico,brochure,Category:Brochures of Mexico,failed,0,1,0,397,165.1
37,Latin America / Caribbean,Mexico,pamphlet,Category:Pamphlets of Mexico,empty,0,0,0,397,182.1
38,South Asia,Bangladesh,poster,Category:Posters of Bangladesh,completed,0,0,2,397,183.1
39,South Asia,Bangladesh,poster,Category:Political posters of Bangladesh,empty,0,0,0,397,183.8
40,South Asia,Bangladesh,poster,Category:Propaganda posters of Bangladesh,empty,0,0,0,397,184.6
41,South Asia,Bangladesh,poster,Category:Film posters of Bangladesh,completed,0,0,5,397,185.8
42,South Asia,Bangladesh,poster,Category:Travel posters of Bangladesh,empty,0,0,0,397,186.6
43,South Asia,Bangladesh,advertising poster,Category:Advertising posters of Bangladesh,completed,0,0,1,397,187.3
44,South Asia,Bangladesh,postage stamp,Category:Postage stamps of Bangladesh,empty,0,0,0,397,188.1
45,South Asia,Bangladesh,stamp,Category:Stamps of Bangladesh,completed,0,0,4,397,188.9
46,South Asia,Bangladesh,book cover,Category:Book covers of Bangladesh,empty,0,0,0,397,189.7
47,South Asia,Bangladesh,magazine cover,Category:Magazine covers of Bangladesh,failed,0,1,0,397,206.6
48,South Asia,Bangladesh,packaging,Category:Packaging of Bangladesh,failed,0,1,0,397,223.5
49,South Asia,Bangladesh,label,Category:Labels of Bangladesh,empty,0,0,0,397,240.5
50,South Asia,Bangladesh,brochure,Category:Brochures of Bangladesh,empty,0,0,0,397,241.3
51,South Asia,Bangladesh,pamphlet,Category:Pamphlets of Bangladesh,empty,0,0,0,397,242.2
52,Southeast Asia,Indonesia,poster,Category:Posters of Indonesia,completed,0,0,38,397,244.1
53,Southeast Asia,Indonesia,poster,Category:Political posters of Indonesia,empty,0,0,0,397,244.9
54,Southeast Asia,Indonesia,poster,Category:Propaganda posters of Indonesia,empty,0,0,0,397,245.6
55,Southeast Asia,Indonesia,poster,Category:Film posters of Indonesia,completed,0,0,50,397,247.7
56,Southeast Asia,Indonesia,poster,Category:Travel posters of Indonesia,empty,0,0,0,397,248.4
57,Southeast Asia,Indonesia,advertising poster,Category:Advertising posters of Indonesia,empty,0,0,0,397,249.2
58,Southeast Asia,Indonesia,postage stamp,Category:Postage stamps of Indonesia,completed,0,0,25,397,250.8
59,Southeast Asia,Indonesia,stamp,Category:Stamps of Indonesia,failed,0,1,0,397,267.6
60,Southeast Asia,Indonesia,book cover,Category:Book covers of Indonesia,failed,0,1,0,397,284.6
61,Southeast Asia,Indonesia,magazine cover,Category:Magazine covers of Indonesia,empty,0,0,0,397,301.7
62,Southeast Asia,Indonesia,packaging,Category:Packaging of Indonesia,empty,0,0,0,397,302.4
63,Southeast Asia,Indonesia,label,Category:Labels of Indonesia,empty,0,0,0,397,303.2
64,Southeast Asia,Indonesia,brochure,Category:Brochures of Indonesia,empty,0,0,0,397,304.0
65,Southeast Asia,Indonesia,pamphlet,Category:Pamphlets of Indonesia,empty,0,0,0,397,304.8
66,Middle East and North Africa,Iran,poster,Category:Posters of Iran,completed,0,0,10,397,306.0
67,Middle East and North Africa,Iran,poster,Category:Political posters of Iran,completed,0,0,20,397,307.6
68,Middle East and North Africa,Iran,poster,Category:Propaganda posters of Iran,empty,0,0,0,397,308.3
69,Middle East and North Africa,Iran,poster,Category:Film posters of Iran,completed,0,0,46,397,310.4
70,Middle East and North Africa,Iran,poster,Category:Travel posters of Iran,empty,0,0,0,397,311.2
1,Africa,Nigeria,poster,"""Nigeria"" ""poster""",completed,0,0,50,397,2.5
2,Africa,Nigeria,political poster,"""Nigeria"" ""political poster""",completed,0,0,50,397,4.7
3,Africa,Nigeria,propaganda poster,"""Nigeria"" ""propaganda poster""",completed,0,0,50,397,6.8
4,Africa,Nigeria,advertising poster,"""Nigeria"" ""advertising poster""",completed,0,0,50,397,8.9
5,Africa,Nigeria,campaign poster,"""Nigeria"" ""campaign poster""",completed,0,0,1,397,9.8
6,Africa,Nigeria,exhibition poster,"""Nigeria"" ""exhibition poster""",empty,0,0,0,397,10.7
7,Africa,Nigeria,film poster,"""Nigeria"" ""film poster""",completed,1,0,0,398,11.8
8,Africa,Nigeria,travel poster,"""Nigeria"" ""travel poster""",completed,0,0,50,398,14.2
9,Africa,Nigeria,book cover,"""Nigeria"" ""book cover""",completed,0,0,19,398,15.9
10,Africa,Nigeria,magazine cover,"""Nigeria"" ""magazine cover""",completed,0,0,4,398,16.9
11,Africa,Nigeria,postage stamp,"""Nigeria"" ""postage stamp""",completed,0,0,50,398,25.9
12,Africa,Nigeria,stamp,"""Nigeria"" ""stamp""",completed,0,0,50,398,29.2
13,Africa,Nigeria,packaging,"""Nigeria"" ""packaging""",completed,0,0,50,398,31.6
14,Africa,Nigeria,label,"""Nigeria"" ""label""",completed,0,0,50,398,33.9
15,Africa,Nigeria,brochure,"""Nigeria"" ""brochure""",completed,0,0,50,398,36.2
16,Africa,Nigeria,pamphlet,"""Nigeria"" ""pamphlet""",completed,0,0,50,398,38.3
17,Africa,Nigeria,leaflet,"""Nigeria"" ""leaflet""",completed,0,0,50,398,40.6
18,Africa,Nigeria,typography,"""Nigeria"" ""typography""",completed,0,0,25,398,43.0
19,Africa,Nigeria,type specimen,"""Nigeria"" ""type specimen""",completed,0,0,29,398,45.1
20,Africa,Nigeria,poster,"""Nigerian"" ""poster""",completed,0,0,31,398,46.7
21,Africa,Nigeria,political poster,"""Nigerian"" ""political poster""",failed,0,1,0,398,63.5
22,Africa,Nigeria,propaganda poster,"""Nigerian"" ""propaganda poster""",completed,0,0,7,398,80.9
23,Africa,Nigeria,advertising poster,"""Nigerian"" ""advertising poster""",completed,0,0,7,398,81.9
24,Africa,Nigeria,campaign poster,"""Nigerian"" ""campaign poster""",empty,0,0,0,398,82.9
25,Africa,Nigeria,exhibition poster,"""Nigerian"" ""exhibition poster""",empty,0,0,0,398,84.0
26,Africa,Nigeria,film poster,"""Nigerian"" ""film poster""",completed,0,0,1,398,85.0
27,Africa,Nigeria,travel poster,"""Nigerian"" ""travel poster""",completed,0,0,7,398,86.2
28,Africa,Nigeria,book cover,"""Nigerian"" ""book cover""",completed,0,0,2,398,87.1
29,Africa,Nigeria,magazine cover,"""Nigerian"" ""magazine cover""",completed,0,0,3,398,88.2
30,Africa,Nigeria,postage stamp,"""Nigerian"" ""postage stamp""",completed,0,0,50,398,90.5
31,Africa,Nigeria,stamp,"""Nigerian"" ""stamp""",completed,0,0,50,398,92.8
32,Africa,Nigeria,packaging,"""Nigerian"" ""packaging""",failed,0,1,0,398,109.6
33,Africa,Nigeria,label,"""Nigerian"" ""label""",failed,0,1,0,398,126.5
34,Africa,Nigeria,brochure,"""Nigerian"" ""brochure""",completed,0,0,19,398,144.5
35,Africa,Nigeria,pamphlet,"""Nigerian"" ""pamphlet""",completed,0,0,17,398,146.1
36,Africa,Nigeria,leaflet,"""Nigerian"" ""leaflet""",completed,0,0,15,398,148.6
37,Africa,Nigeria,typography,"""Nigerian"" ""typography""",completed,0,0,4,398,149.7
38,Africa,Nigeria,type specimen,"""Nigerian"" ""type specimen""",completed,0,0,3,398,150.7
39,Latin America / Caribbean,Mexico,poster,"""Mexico"" ""poster""",completed,0,0,50,398,153.2
40,Latin America / Caribbean,Mexico,political poster,"""Mexico"" ""political poster""",completed,0,0,50,398,155.5
41,Latin America / Caribbean,Mexico,propaganda poster,"""Mexico"" ""propaganda poster""",completed,0,0,50,398,157.8
42,Latin America / Caribbean,Mexico,advertising poster,"""Mexico"" ""advertising poster""",completed,0,0,50,398,159.9
43,Latin America / Caribbean,Mexico,campaign poster,"""Mexico"" ""campaign poster""",completed,1,0,11,399,161.5
44,Latin America / Caribbean,Mexico,exhibition poster,"""Mexico"" ""exhibition poster""",failed,0,1,0,399,178.3
45,Latin America / Caribbean,Mexico,film poster,"""Mexico"" ""film poster""",failed,0,1,0,399,195.3
46,Latin America / Caribbean,Mexico,travel poster,"""Mexico"" ""travel poster""",completed,0,0,50,399,202.9
47,Latin America / Caribbean,Mexico,book cover,"""Mexico"" ""book cover""",completed,0,0,50,399,208.2
48,Latin America / Caribbean,Mexico,magazine cover,"""Mexico"" ""magazine cover""",completed,0,0,50,399,211.5
49,Latin America / Caribbean,Mexico,postage stamp,"""Mexico"" ""postage stamp""",completed,7,0,43,406,214.7
50,Latin America / Caribbean,Mexico,stamp,"""Mexico"" ""stamp""",completed,2,0,48,408,217.8
51,Latin America / Caribbean,Mexico,packaging,"""Mexico"" ""packaging""",completed,0,0,50,408,223.5
52,Latin America / Caribbean,Mexico,label,"""Mexico"" ""label""",completed,0,0,50,408,229.6
53,Latin America / Caribbean,Mexico,brochure,"""Mexico"" ""brochure""",completed,0,0,50,408,234.9
54,Latin America / Caribbean,Mexico,pamphlet,"""Mexico"" ""pamphlet""",completed,0,0,50,408,240.9
55,Latin America / Caribbean,Mexico,leaflet,"""Mexico"" ""leaflet""",completed,0,0,50,408,246.8
56,Latin America / Caribbean,Mexico,typography,"""Mexico"" ""typography""",completed,0,0,50,408,267.4
57,Latin America / Caribbean,Mexico,type specimen,"""Mexico"" ""type specimen""",completed,0,0,50,408,275.8
58,Latin America / Caribbean,Mexico,poster,"""Mexican"" ""poster""",empty,0,0,0,408,279.2
59,Latin America / Caribbean,Mexico,political poster,"""Mexican"" ""political poster""",completed,0,0,4,408,280.2
60,Latin America / Caribbean,Mexico,propaganda poster,"""Mexican"" ""propaganda poster""",completed,0,0,3,408,281.1
61,Latin America / Caribbean,Mexico,advertising poster,"""Mexican"" ""advertising poster""",completed,0,0,4,408,282.1
62,Latin America / Caribbean,Mexico,campaign poster,"""Mexican"" ""campaign poster""",completed,2,0,3,410,283.5
63,Latin America / Caribbean,Mexico,exhibition poster,"""Mexican"" ""exhibition poster""",empty,0,0,0,410,284.5
64,Latin America / Caribbean,Mexico,film poster,"""Mexican"" ""film poster""",completed,2,0,8,412,286.0
65,Latin America / Caribbean,Mexico,travel poster,"""Mexican"" ""travel poster""",completed,0,0,4,412,287.0
66,Latin America / Caribbean,Mexico,book cover,"""Mexican"" ""book cover""",failed,0,1,0,412,304.0
67,Latin America / Caribbean,Mexico,magazine cover,"""Mexican"" ""magazine cover""",completed,3,0,20,415,322.6
68,Latin America / Caribbean,Mexico,postage stamp,"""Mexican"" ""postage stamp""",completed,0,0,50,415,326.0
69,Latin America / Caribbean,Mexico,stamp,"""Mexican"" ""stamp""",completed,0,0,50,415,329.2
70,Latin America / Caribbean,Mexico,packaging,"""Mexican"" ""packaging""",empty,0,0,0,415,330.9
1,_infer,_infer,political poster,"""2026"" ""political poster""",completed,0,0,50,397,2.5
2,_infer,_infer,propaganda poster,"""2026"" ""propaganda poster""",completed,0,0,50,397,4.6
6,_infer,_infer,travel poster,"""2026"" ""travel poster""",completed,0,0,50,397,6.9
7,_infer,_infer,political poster,"""2025"" ""political poster""",completed,0,0,50,397,9.0
8,_infer,_infer,propaganda poster,"""2025"" ""propaganda poster""",completed,0,0,50,397,11.2
10,_infer,_infer,book cover,"""2025"" ""book cover""",completed,0,0,50,397,13.7
12,_infer,_infer,travel poster,"""2025"" ""travel poster""",completed,0,0,50,397,15.8
13,_infer,_infer,political poster,"""2024"" ""political poster""",completed,0,0,50,397,17.6
14,_infer,_infer,propaganda poster,"""2024"" ""propaganda poster""",completed,0,0,50,397,20.0
15,_infer,_infer,film poster,"""2024"" ""film poster""",completed,0,0,50,397,22.6
18,_infer,_infer,travel poster,"""2024"" ""travel poster""",completed,0,0,50,397,41.7
19,_infer,_infer,political poster,"""2023"" ""political poster""",completed,0,0,50,397,43.8
20,_infer,_infer,propaganda poster,"""2023"" ""propaganda poster""",completed,0,0,50,397,46.2
22,_infer,_infer,book cover,"""2023"" ""book cover""",completed,0,0,50,397,48.6
24,_infer,_infer,travel poster,"""2023"" ""travel poster""",completed,0,0,50,397,50.9
25,_infer,_infer,political poster,"""2022"" ""political poster""",completed,0,0,50,397,53.2
26,_infer,_infer,propaganda poster,"""2022"" ""propaganda poster""",completed,0,0,50,397,55.8
28,_infer,_infer,book cover,"""2022"" ""book cover""",completed,0,0,50,397,58.4
30,_infer,_infer,travel poster,"""2022"" ""travel poster""",completed,0,0,50,397,60.9
31,_infer,_infer,political poster,"""2021"" ""political poster""",completed,0,0,50,397,62.6
37,_infer,_infer,political poster,"""2020"" ""political poster""",completed,0,0,50,397,104.4
38,_infer,_infer,propaganda poster,"""2020"" ""propaganda poster""",completed,0,0,50,397,106.7
39,_infer,_infer,film poster,"""2020"" ""film poster""",completed,0,0,50,397,109.6
42,_infer,_infer,travel poster,"""2020"" ""travel poster""",completed,0,0,50,397,112.0
43,_infer,_infer,political poster,"""2019"" ""political poster""",completed,0,0,50,397,114.2
44,_infer,_infer,propaganda poster,"""2019"" ""propaganda poster""",completed,0,0,50,397,116.4
45,_infer,_infer,film poster,"""2019"" ""film poster""",completed,0,0,50,397,119.0
48,_infer,_infer,travel poster,"""2019"" ""travel poster""",completed,0,0,50,397,121.1
49,_infer,_infer,political poster,"""2018"" ""political poster""",completed,0,0,50,397,124.1
50,_infer,_infer,propaganda poster,"""2018"" ""propaganda poster""",completed,0,0,50,397,126.6
54,_infer,_infer,travel poster,"""2018"" ""travel poster""",completed,0,0,50,397,162.3
55,_infer,_infer,political poster,"""2017"" ""political poster""",completed,0,0,50,397,164.9
56,_infer,_infer,propaganda poster,"""2017"" ""propaganda poster""",completed,0,0,50,397,167.3
8,_infer,_infer,poster,"""2025"" ""poster""",completed,0,0,50,397,2.6
19,_infer,_infer,book cover,"""2024"" ""book cover""",completed,0,0,50,397,4.8
22,_infer,_infer,poster,"""2023"" ""poster""",completed,0,0,50,397,7.0
29,_infer,_infer,poster,"""2022"" ""poster""",completed,0,0,50,397,9.6
36,_infer,_infer,poster,"""2021"" ""poster""",completed,0,0,50,397,12.0
38,_infer,_infer,propaganda poster,"""2021"" ""propaganda poster""",completed,0,0,50,397,14.2
42,_infer,_infer,travel poster,"""2021"" ""travel poster""",completed,0,0,50,397,16.5
43,_infer,_infer,poster,"""2020"" ""poster""",completed,0,0,50,397,19.0
50,_infer,_infer,poster,"""2019"" ""poster""",completed,0,0,50,397,21.2
57,_infer,_infer,poster,"""2018"" ""poster""",completed,0,0,50,397,23.8
64,_infer,_infer,poster,"""2017"" ""poster""",completed,0,0,50,397,59.6
67,_infer,_infer,film poster,"""2017"" ""film poster""",completed,1,0,49,398,62.3
68,_infer,_infer,book cover,"""2017"" ""book cover""",completed,0,0,50,398,64.6
70,_infer,_infer,travel poster,"""2017"" ""travel poster""",completed,0,0,50,398,67.2
71,_infer,_infer,poster,"""2016"" ""poster""",completed,0,0,50,398,69.6
72,_infer,_infer,political poster,"""2016"" ""political poster""",completed,0,0,50,398,72.1
73,_infer,_infer,propaganda poster,"""2016"" ""propaganda poster""",completed,0,0,50,398,74.7
74,_infer,_infer,film poster,"""2016"" ""film poster""",completed,0,0,50,398,77.3
75,_infer,_infer,book cover,"""2016"" ""book cover""",completed,1,0,49,399,79.5
77,_infer,_infer,travel poster,"""2016"" ""travel poster""",completed,0,0,50,399,82.2
79,_infer,_infer,political poster,"""2015"" ""political poster""",completed,0,0,50,399,117.9
80,_infer,_infer,propaganda poster,"""2015"" ""propaganda poster""",completed,0,0,50,399,119.9
81,_infer,_infer,film poster,"""2015"" ""film poster""",completed,0,0,50,399,122.6
82,_infer,_infer,book cover,"""2015"" ""book cover""",completed,0,0,50,399,125.2
83,_infer,_infer,postage stamp,"""2015"" ""postage stamp""",completed,7,0,43,406,127.7
84,_infer,_infer,travel poster,"""2015"" ""travel poster""",completed,0,0,50,406,130.3
86,_infer,_infer,political poster,"""2014"" ""political poster""",completed,1,0,49,407,132.7
87,_infer,_infer,propaganda poster,"""2014"" ""propaganda poster""",completed,0,0,50,407,135.5
88,_infer,_infer,film poster,"""2014"" ""film poster""",completed,0,0,50,407,138.1
89,_infer,_infer,book cover,"""2014"" ""book cover""",completed,0,0,50,407,140.6
92,_infer,_infer,poster,"""2013"" ""poster""",completed,0,0,50,407,176.0
93,_infer,_infer,political poster,"""2013"" ""political poster""",completed,0,0,50,407,178.2
94,_infer,_infer,propaganda poster,"""2013"" ""propaganda poster""",completed,0,0,50,407,180.4
95,_infer,_infer,film poster,"""2013"" ""film poster""",completed,0,0,50,407,183.1
98,_infer,_infer,travel poster,"""2013"" ""travel poster""",completed,0,0,50,407,185.3
99,_infer,_infer,poster,"""2012"" ""poster""",completed,0,0,50,407,187.8
100,_infer,_infer,political poster,"""2012"" ""political poster""",completed,0,0,50,407,190.0
101,_infer,_infer,propaganda poster,"""2012"" ""propaganda poster""",completed,0,0,50,407,192.3
102,_infer,_infer,film poster,"""2012"" ""film poster""",completed,0,0,50,407,194.6
105,_infer,_infer,travel poster,"""2012"" ""travel poster""",completed,0,0,50,407,196.9
109,_infer,_infer,film poster,"""2011"" ""film poster""",completed,0,0,50,407,239.6
110,_infer,_infer,book cover,"""2011"" ""book cover""",completed,2,0,48,409,241.9
112,_infer,_infer,travel poster,"""2011"" ""travel poster""",completed,0,0,50,409,244.5
113,_infer,_infer,poster,"""2010"" ""poster""",completed,0,0,50,409,247.0
114,_infer,_infer,political poster,"""2010"" ""political poster""",completed,0,0,50,409,249.4
115,_infer,_infer,propaganda poster,"""2010"" ""propaganda poster""",completed,0,0,50,409,251.8
116,_infer,_infer,film poster,"""2010"" ""film poster""",completed,0,0,50,409,254.1
117,_infer,_infer,book cover,"""2010"" ""book cover""",completed,0,0,50,409,256.5
119,_infer,_infer,travel poster,"""2010"" ""travel poster""",completed,0,0,50,409,258.8
120,_infer,_infer,poster,"""2009"" ""poster""",completed,0,0,50,409,261.1
122,_infer,_infer,propaganda poster,"""2009"" ""propaganda poster""",completed,0,0,50,409,296.3
123,_infer,_infer,film poster,"""2009"" ""film poster""",completed,0,0,50,409,299.0
124,_infer,_infer,book cover,"""2009"" ""book cover""",completed,0,0,50,409,302.4
126,_infer,_infer,travel poster,"""2009"" ""travel poster""",completed,0,0,50,409,304.6
127,_infer,_infer,poster,"""2008"" ""poster""",completed,0,0,50,409,306.9
128,_infer,_infer,political poster,"""2008"" ""political poster""",completed,0,0,50,409,309.3
129,_infer,_infer,propaganda poster,"""2008"" ""propaganda poster""",completed,0,0,50,409,311.5
130,_infer,_infer,film poster,"""2008"" ""film poster""",completed,0,0,50,409,314.2
133,_infer,_infer,travel poster,"""2008"" ""travel poster""",completed,0,0,50,409,316.5
134,_infer,_infer,poster,"""2007"" ""poster""",completed,0,0,50,409,319.0
137,_infer,_infer,film poster,"""2007"" ""film poster""",completed,0,0,46,409,360.8
138,_infer,_infer,book cover,"""2007"" ""book cover""",completed,0,0,50,409,362.9
140,_infer,_infer,travel poster,"""2007"" ""travel poster""",completed,0,0,44,409,365.3
142,_infer,_infer,political poster,"""2006"" ""political poster""",completed,0,0,50,409,367.6
143,_infer,_infer,propaganda poster,"""2006"" ""propaganda poster""",completed,0,0,50,409,370.1
144,_infer,_infer,film poster,"""2006"" ""film poster""",completed,0,0,42,409,372.3
147,_infer,_infer,travel poster,"""2006"" ""travel poster""",completed,0,0,50,409,374.3
149,_infer,_infer,political poster,"""2005"" ""political poster""",completed,0,0,26,409,376.4
150,_infer,_infer,propaganda poster,"""2005"" ""propaganda poster""",completed,1,0,26,410,378.5
151,_infer,_infer,film poster,"""2005"" ""film poster""",completed,0,0,20,410,380.3
154,_infer,_infer,travel poster,"""2005"" ""travel poster""",completed,2,0,24,412,415.7
155,_infer,_infer,poster,"""2004"" ""poster""",empty,0,0,0,412,416.9
156,_infer,_infer,political poster,"""2004"" ""political poster""",completed,0,0,21,412,418.6
157,_infer,_infer,propaganda poster,"""2004"" ""propaganda poster""",completed,2,0,21,414,420.3
158,_infer,_infer,film poster,"""2004"" ""film poster""",completed,0,0,13,414,422.1
159,_infer,_infer,book cover,"""2004"" ""book cover""",completed,1,0,49,415,426.6
161,_infer,_infer,travel poster,"""2004"" ""travel poster""",completed,0,0,17,415,428.2
162,_infer,_infer,poster,"""2003"" ""poster""",empty,0,0,0,415,429.5
163,_infer,_infer,political poster,"""2003"" ""political poster""",completed,0,0,18,415,431.3
164,_infer,_infer,propaganda poster,"""2003"" ""propaganda poster""",completed,1,0,19,416,432.7
168,_infer,_infer,travel poster,"""2003"" ""travel poster""",completed,0,0,17,416,484.5
169,_infer,_infer,poster,"""2002"" ""poster""",completed,0,0,50,416,487.5
170,_infer,_infer,political poster,"""2002"" ""political poster""",completed,0,0,34,416,489.8
171,_infer,_infer,propaganda poster,"""2002"" ""propaganda poster""",completed,0,0,50,416,492.7
172,_infer,_infer,film poster,"""2002"" ""film poster""",completed,1,0,49,417,494.8
173,_infer,_infer,book cover,"""2002"" ""book cover""",completed,2,0,48,419,500.6
61,_infer,_infer,book cover,"""2018"" ""book cover""",completed,0,0,50,419,3.5
78,_infer,_infer,poster,"""2015"" ""poster""",completed,0,0,50,419,6.5
91,_infer,_infer,travel poster,"""2014"" ""travel poster""",completed,0,0,50,419,9.8
107,_infer,_infer,political poster,"""2011"" ""political poster""",completed,0,0,50,419,12.3
108,_infer,_infer,propaganda poster,"""2011"" ""propaganda poster""",completed,0,0,50,419,15.4
121,_infer,_infer,political poster,"""2009"" ""political poster""",completed,0,0,50,419,18.4
135,_infer,_infer,political poster,"""2007"" ""political poster""",completed,0,0,50,419,22.2
136,_infer,_infer,propaganda poster,"""2007"" ""propaganda poster""",completed,0,0,50,419,24.9
153,_infer,_infer,postage stamp,"""2005"" ""postage stamp""",completed,23,0,27,442,28.5
165,_infer,_infer,film poster,"""2003"" ""film poster""",completed,0,0,14,442,31.3
166,_infer,_infer,book cover,"""2003"" ""book cover""",completed,1,0,49,443,36.5
174,_infer,_infer,postage stamp,"""2002"" ""postage stamp""",completed,24,0,26,467,40.3
175,_infer,_infer,travel poster,"""2002"" ""travel poster""",completed,0,0,32,467,43.0
176,_infer,_infer,poster,"""2001"" ""poster""",empty,0,0,0,467,45.3
177,_infer,_infer,political poster,"""2001"" ""political poster""",completed,0,0,19,467,47.1
178,_infer,_infer,propaganda poster,"""2001"" ""propaganda poster""",failed,0,1,0,467,64.0
179,_infer,_infer,film poster,"""2001"" ""film poster""",completed,0,0,48,467,82.7
180,_infer,_infer,book cover,"""2001"" ""book cover""",completed,0,0,50,467,86.0
181,_infer,_infer,postage stamp,"""2001"" ""postage stamp""",completed,13,0,37,480,89.4
182,_infer,_infer,travel poster,"""2001"" ""travel poster""",completed,0,0,20,480,91.2
183,_infer,_infer,poster,"""2000"" ""poster""",completed,1,0,49,481,95.1
184,_infer,_infer,political poster,"""2000"" ""political poster""",completed,0,0,32,481,97.5
185,_infer,_infer,propaganda poster,"""2000"" ""propaganda poster""",completed,0,0,30,481,99.7
186,_infer,_infer,film poster,"""2000"" ""film poster""",completed,1,0,16,482,101.7
187,_infer,_infer,book cover,"""2000"" ""book cover""",completed,1,0,49,483,107.7
188,_infer,_infer,postage stamp,"""2000"" ""postage stamp""",completed,1,0,49,484,111.5
189,_infer,_infer,travel poster,"""2000"" ""travel poster""",failed,0,1,0,484,128.5
190,_infer,_infer,poster,"""1999"" ""poster""",completed,0,0,50,484,137.6
191,_infer,_infer,political poster,"""1999"" ""political poster""",completed,0,0,19,484,139.3
192,_infer,_infer,propaganda poster,"""1999"" ""propaganda poster""",completed,3,0,45,487,142.0
193,_infer,_infer,film poster,"""1999"" ""film poster""",completed,0,0,24,487,144.2
194,_infer,_infer,book cover,"""1999"" ""book cover""",completed,1,0,49,488,148.7
195,_infer,_infer,postage stamp,"""1999"" ""postage stamp""",completed,0,0,50,488,153.1
196,_infer,_infer,travel poster,"""1999"" ""travel poster""",completed,0,0,18,488,154.9
197,_infer,_infer,poster,"""1998"" ""poster""",completed,0,0,50,488,161.4
198,_infer,_infer,political poster,"""1998"" ""political poster""",completed,0,0,50,488,164.7
199,_infer,_infer,propaganda poster,"""1998"" ""propaganda poster""",completed,0,0,50,488,167.3
200,_infer,_infer,film poster,"""1998"" ""film poster""",failed,0,1,0,488,184.2
201,_infer,_infer,book cover,"""1998"" ""book cover""",completed,0,0,50,488,205.0
202,_infer,_infer,postage stamp,"""1998"" ""postage stamp""",completed,0,0,50,488,208.5
203,_infer,_infer,travel poster,"""1998"" ""travel poster""",completed,0,0,50,488,211.5
