source_id,source_name,macro_region,country_or_region,protocol_family,captured_records,image_states,impact_ratings,detected_protocols,notes
NLCV30061,National Library of Jamaica,Latin America / Caribbean,Jamaica,HTML/catalog,1,IMG04:1,B:1,RSS/Atom;WordPress REST;PDF,source-profile metadata capture; no image download or rights upgrade
NLCV30062,Jamaica Archives and Records Department,Latin America / Caribbean,Jamaica,HTML,1,IMG04:1,B:1,,source-profile metadata capture; no image download or rights upgrade
NLCV30063,National Archives of Trinidad and Tobago,Latin America / Caribbean,Trinidad and Tobago,HTML,1,IMG04:1,A:1,RSS/Atom;WordPress REST,source-profile metadata capture; no image download or rights upgrade
NLCV30064,National Library of Trinidad and Tobago,Latin America / Caribbean,Trinidad and Tobago,HTML/catalog,1,IMG04:1,B:1,RSS/Atom;JSON-LD;WordPress REST;PDF,source-profile metadata capture; no image download or rights upgrade
NLCV30066,Archivo General de la Nacion Republica Dominicana,Latin America / Caribbean,Dominican Republic,HTML,1,IMG04:1,A:1,RSS/Atom;JSON-LD;Static JS App;PDF,source-profile metadata capture; no image download or rights upgrade
NLCV30068,Biblioteca Nacional Jose Marti,Latin America / Caribbean,Cuba,HTML,1,IMG04:1,B:1,IIIF;RSS/Atom;PDF,source-profile metadata capture; no image download or rights upgrade
NLCV30071,Iran Data Portal,MENA,Iran,HTML/data,1,IMG04:1,B:1,RSS/Atom;WordPress REST,source-profile metadata capture; no image download or rights upgrade
NLCV30074,Lebanese National Library,MENA,Lebanon,HTML/catalog,1,IMG04:1,A:1,PDF,source-profile metadata capture; no image download or rights upgrade
NLCV30075,American University of Beirut Libraries,MENA,Lebanon,catalog/HTML,1,IMG04:1,A:1,JSON-LD;PDF,source-profile metadata capture; no image download or rights upgrade
NLCV30077,Jordan National Library,MENA,Jordan,HTML/catalog,1,IMG04:1,A:1,PDF,source-profile metadata capture; no image download or rights upgrade
NLCV30078,Iraq National Library and Archive,MENA,Iraq,HTML/catalog,1,IMG04:1,A:1,PDF,source-profile metadata capture; no image download or rights upgrade
NLCV30081,UAE National Library and Archives,MENA,United Arab Emirates,HTML,1,IMG04:1,B:1,,source-profile metadata capture; no image download or rights upgrade
NLCV30082,Bahrain Authority for Culture and Antiquities,MENA,Bahrain,HTML,1,IMG04:1,B:1,,source-profile metadata capture; no image download or rights upgrade
NLCV30083,Sultan Qaboos University Library,MENA,Oman,catalog/HTML,1,IMG04:1,B:1,,source-profile metadata capture; no image download or rights upgrade
NLCV30084,Oman National Records and Archives Authority,MENA,Oman,HTML,1,IMG04:1,B:1,RSS/Atom;JSON-LD;WordPress REST,source-profile metadata capture; no image download or rights upgrade
NLCV30086,Bibliotheca Alexandrina Memory of Modern Egypt,MENA,Egypt,HTML/database,1,IMG04:1,A:1,,source-profile metadata capture; no image download or rights upgrade
NLCV30087,National Archives of India Abhilekh Patal,South Asia,India,HTML/database,1,IMG04:1,A:1,,source-profile metadata capture; no image download or rights upgrade
NLCV30090,Sarmaya Arts Foundation,South Asia,India,HTML,1,IMG04:1,B:1,WordPress REST,source-profile metadata capture; no image download or rights upgrade
NLCV30092,Citizens Archive of Pakistan,South Asia,Pakistan,HTML,1,IMG04:1,A:1,RSS/Atom;JSON-LD;WordPress REST,source-profile metadata capture; no image download or rights upgrade
NLCV30094,Liberation War Museum Bangladesh,South Asia,Bangladesh,HTML,1,IMG04:1,A:1,Static JS App;PDF,source-profile metadata capture; no image download or rights upgrade
NLCV30098,National Library of Maldives,South Asia,Maldives,HTML,1,IMG04:1,C:1,Static JS App;PDF,source-profile metadata capture; no image download or rights upgrade
NLCV30099,National Library of Myanmar,Southeast Asia,Myanmar,HTML,1,IMG04:1,B:1,Static JS App,source-profile metadata capture; no image download or rights upgrade
NLCV30102,National Library of Vietnam Digital Library,Southeast Asia,Vietnam,catalog/HTML,1,IMG04:1,A:1,RSS/Atom;JSON-LD;WordPress REST,source-profile metadata capture; no image download or rights upgrade
NLCV30104,National Library of Malaysia,Southeast Asia,Malaysia,catalog/HTML,1,IMG04:1,A:1,,source-profile metadata capture; no image download or rights upgrade
NLCV30105,National Archives of Malaysia,Southeast Asia,Malaysia,HTML/catalog,1,IMG04:1,A:1,RSS/Atom;PDF,source-profile metadata capture; no image download or rights upgrade
NLCV30111,National Archives of Kazakhstan,Central Asia,Kazakhstan,HTML,1,IMG04:1,B:1,,source-profile metadata capture; no image download or rights upgrade
NLCV30112,National Library of Uzbekistan,Central Asia,Uzbekistan,catalog/HTML,1,IMG04:1,A:1,,source-profile metadata capture; no image download or rights upgrade
NLCV30115,National Library of Tajikistan,Central Asia,Tajikistan,HTML/catalog,1,IMG04:1,A:1,RSS/Atom;JSON-LD;WordPress REST,source-profile metadata capture; no image download or rights upgrade
NLCV30116,State Library of Turkmenistan,Central Asia,Turkmenistan,HTML,1,IMG04:1,C:1,,source-profile metadata capture; no image download or rights upgrade
NLCV30118,Digital Library Iverieli,Eastern Europe / Caucasus,Georgia,HTML/catalog,1,IMG04:1,A:1,DSpace;RSS/Atom,source-profile metadata capture; no image download or rights upgrade
NLCV30120,National Library of Montenegro,Eastern Europe / Caucasus,Montenegro,catalog/HTML,1,IMG04:1,B:1,,source-profile metadata capture; no image download or rights upgrade
NLCV30121,National and University Library Bosnia and Herzegovina,Eastern Europe / Caucasus,Bosnia and Herzegovina,catalog/HTML,1,IMG04:1,B:1,Static JS App;PDF,source-profile metadata capture; no image download or rights upgrade
NLCV30122,Macedonian Digital Library,Eastern Europe / Caucasus,North Macedonia,HTML/catalog,1,IMG04:1,B:1,RSS/Atom;WordPress REST;Static JS App,source-profile metadata capture; no image download or rights upgrade
NLCV30123,Romanian National Digital Library,Eastern Europe / Caucasus,Romania,catalog/HTML,1,IMG04:1,B:1,,source-profile metadata capture; no image download or rights upgrade
NLCV30124,Moldova National Library,Eastern Europe / Caucasus,Moldova,catalog/HTML,1,IMG04:1,B:1,RSS/Atom;JSON-LD;WordPress REST;PDF,source-profile metadata capture; no image download or rights upgrade
NLCV30125,Ukrainian Institute of National Memory Archive,Eastern Europe / Caucasus,Ukraine,HTML,1,IMG04:1,B:1,,source-profile metadata capture; no image download or rights upgrade
NLCV30126,Alexander Turnbull Library,Oceania / Indigenous,New Zealand,catalog/HTML,1,IMG04:1,B:1,,source-profile metadata capture; no image download or rights upgrade
NLCV30127,State Library Victoria Collections,Oceania / Indigenous,Australia,catalog/HTML,1,IMG04:1,B:1,,source-profile metadata capture; no image download or rights upgrade
NLCV30128,PARADISEC,Oceania / Indigenous,Pacific,HTML/catalog,1,IMG04:1,B:1,RSS/Atom;JSON-LD;WordPress REST;Static JS App;PDF,source-profile metadata capture; no image download or rights upgrade
NLCV30135,Archives Nationales du Benin,Africa,Benin,HTML,1,IMG04:1,B:1,PDF,source-profile metadata capture; no image download or rights upgrade
NLCV30141,Archives Nationales du Cameroun,Africa,Cameroon,HTML,1,IMG04:1,A:1,Static JS App;PDF,source-profile metadata capture; no image download or rights upgrade
NLCV30142,Bibliotheque Nationale du Cameroun,Africa,Cameroon,HTML,1,IMG04:1,B:1,,source-profile metadata capture; no image download or rights upgrade
NLCV30148,Biblioteca Nacional de Angola,Africa,Angola,HTML,1,IMG04:1,B:1,RSS/Atom;WordPress REST;Static JS App,source-profile metadata capture; no image download or rights upgrade
NLCV30149,Arquivo Historico de Mocambique,Africa,Mozambique,HTML,1,IMG04:1,A:1,RSS/Atom;JSON-LD;WordPress REST;Static JS App;PDF,source-profile metadata capture; no image download or rights upgrade
NLCV30150,Biblioteca Nacional de Mocambique,Africa,Mozambique,HTML,1,IMG04:1,B:1,WordPress REST,source-profile metadata capture; no image download or rights upgrade
NLCV30153,National Archives of Mauritius,Africa,Mauritius,HTML,1,IMG04:1,A:1,RSS/Atom;JSON-LD;WordPress REST;Static JS App;PDF,source-profile metadata capture; no image download or rights upgrade
NLCV30157,National Library of Cape Verde,Africa,Cape Verde,HTML,1,IMG04:1,B:1,RSS/Atom;JSON-LD;WordPress REST,source-profile metadata capture; no image download or rights upgrade
NLCV30158,Arquivo Nacional de Cabo Verde,Africa,Cape Verde,HTML,1,IMG04:1,B:1,RSS/Atom,source-profile metadata capture; no image download or rights upgrade
NLCV30161,Instituto Moreira Salles Acervos,Latin America / Caribbean,Brazil,HTML/catalog,1,IMG04:1,A:1,RSS/Atom;JSON-LD;WordPress REST,source-profile metadata capture; no image download or rights upgrade
NLCV30162,Casa de Rui Barbosa Acervo,Latin America / Caribbean,Brazil,HTML/catalog,1,IMG04:1,A:1,JSON-LD,source-profile metadata capture; no image download or rights upgrade
NLCV30163,Museu da Imagem e do Som Sao Paulo,Latin America / Caribbean,Brazil,HTML,1,IMG04:1,A:1,RSS/Atom;JSON-LD;WordPress REST,source-profile metadata capture; no image download or rights upgrade
NLCV30165,Museo de Arte Contemporaneo de Monterrey MARCO,Latin America / Caribbean,Mexico,HTML,1,IMG04:1,B:1,RSS/Atom;WordPress REST,source-profile metadata capture; no image download or rights upgrade
NLCV30166,Centro de la Imagen Mexico,Latin America / Caribbean,Mexico,HTML,1,IMG04:1,A:1,RSS/Atom;JSON-LD;WordPress REST,source-profile metadata capture; no image download or rights upgrade
NLCV30168,Museo Universitario Arte Contemporaneo MUAC,Latin America / Caribbean,Mexico,HTML,1,IMG04:1,B:1,Static JS App;PDF,source-profile metadata capture; no image download or rights upgrade
NLCV30169,Biblioteca Nacional de Puerto Rico,Latin America / Caribbean,Puerto Rico,HTML/catalog,1,IMG04:1,B:1,CONTENTdm;RSS/Atom;WordPress REST;PDF,source-profile metadata capture; no image download or rights upgrade
NLCV30170,Archivo General de Puerto Rico,Latin America / Caribbean,Puerto Rico,HTML,1,IMG04:1,A:1,RSS/Atom;WordPress REST;PDF,source-profile metadata capture; no image download or rights upgrade
NLCV30175,National Library of The Bahamas,Latin America / Caribbean,Bahamas,HTML,1,IMG04:1,B:1,,source-profile metadata capture; no image download or rights upgrade
NLCV30177,National Library Service of Belize,Latin America / Caribbean,Belize,HTML,1,IMG04:1,B:1,RSS/Atom;WordPress REST,source-profile metadata capture; no image download or rights upgrade
NLCV30178,Afghanistan Digital Library,South Asia,Afghanistan,HTML,1,IMG04:1,B:1,,source-profile metadata capture; no image download or rights upgrade
NLCV30179,Afghanistan Centre at Kabul University,South Asia,Afghanistan,HTML,1,IMG04:1,A:1,WordPress REST;PDF,source-profile metadata capture; no image download or rights upgrade
NLCV30180,Korea Democracy Foundation Archives,East Asia,South Korea,HTML,1,IMG04:1,B:1,,source-profile metadata capture; no image download or rights upgrade
NLCV30182,Mongolian National Library,Central Asia,Mongolia,HTML/catalog,1,IMG04:1,A:1,,source-profile metadata capture; no image download or rights upgrade
NLCV30184,Lithuanian Integral Museum Information System LIMIS,Eastern Europe / Caucasus,Lithuania,HTML/catalog,1,IMG04:1,A:1,,source-profile metadata capture; no image download or rights upgrade
NLCV30185,Polish Digital Libraries Federation,Eastern Europe / Caucasus,Poland,OAI/HTML,1,IMG04:1,A:1,IIIF;Static JS App,source-profile metadata capture; no image download or rights upgrade
NLCV30186,National Library of Albania,Eastern Europe / Caucasus,Albania,HTML/catalog,1,IMG04:1,B:1,IIIF;Static JS App,source-profile metadata capture; no image download or rights upgrade
NLCV30187,National Library of Kosovo,Eastern Europe / Caucasus,Kosovo,HTML/catalog,1,IMG04:1,B:1,,source-profile metadata capture; no image download or rights upgrade
NLCV30188,National Archives of Estonia,Eastern Europe / Caucasus,Estonia,HTML/catalog,1,IMG04:1,A:1,IIIF;RSS/Atom;JSON-LD;WordPress REST,source-profile metadata capture; no image download or rights upgrade
NLCV30193,Samoa National Archives and Records Authority,Oceania / Indigenous,Samoa,HTML,1,IMG04:1,B:1,RSS/Atom;WordPress REST;Static JS App,source-profile metadata capture; no image download or rights upgrade
NLCV30194,CCA Lagos Archive,Africa,Nigeria,HTML,1,IMG04:1,B:1,DSpace;RSS/Atom;JSON-LD;WordPress REST;Static JS App,source-profile metadata capture; no image download or rights upgrade
NLCV30195,Nsibidi Institute,Africa,Nigeria,HTML,1,IMG04:1,B:1,,source-profile metadata capture; no image download or rights upgrade
NLCV30197,Nubuke Foundation,Africa,Ghana,HTML,1,IMG04:1,B:1,Static JS App,source-profile metadata capture; no image download or rights upgrade
NLCV30198,GoDown Arts Centre,Africa,Kenya,HTML,1,IMG04:1,B:1,,source-profile metadata capture; no image download or rights upgrade
NLCV30199,Market Photo Workshop,Africa,South Africa,HTML,1,IMG04:1,B:1,RSS/Atom;WordPress REST;Static JS App,source-profile metadata capture; no image download or rights upgrade
NLCV30200,Bag Factory Artists' Studios Archive,Africa,South Africa,HTML,1,IMG04:1,B:1,WordPress REST,source-profile metadata capture; no image download or rights upgrade
NLCV30201,Aga Khan Documentation Center Collections,MENA,MENA / South Asia,HTML/catalog,1,IMG04:1,A:1,IIIF;DSpace;RSS/Atom;WordPress REST;Static JS App,source-profile metadata capture; no image download or rights upgrade
NLCV30202,Qatar National Library Digital Repository,MENA,Qatar,HTML/catalog,1,IMG04:1,A:1,Static JS App;PDF,source-profile metadata capture; no image download or rights upgrade
NLCV30203,Mathaf Arab Museum of Modern Art,MENA,Qatar / Arab world,HTML,1,IMG04:1,B:1,Static JS App,source-profile metadata capture; no image download or rights upgrade
NLCV30204,Sharjah Art Foundation Archive,MENA,United Arab Emirates,HTML,1,IMG04:1,A:1,Static JS App,source-profile metadata capture; no image download or rights upgrade
NLCV30206,Sahapedia,South Asia,India,HTML,1,IMG04:1,B:1,JSON-LD,source-profile metadata capture; no image download or rights upgrade
NLCV30207,People's Archive of Rural India,South Asia,India,HTML,1,IMG04:1,B:1,RSS/Atom;Static JS App,source-profile metadata capture; no image download or rights upgrade
NLCV30208,Partition Museum Archive,South Asia,South Asia,HTML,1,IMG04:1,A:1,RSS/Atom;JSON-LD;WordPress REST;Static JS App,source-profile metadata capture; no image download or rights upgrade
NLCV30212,Pakistan Chowk Community Centre,South Asia,Pakistan,HTML,1,IMG04:1,B:1,JSON-LD,source-profile metadata capture; no image download or rights upgrade
NLCV30213,Vasl Artists' Association Archive,South Asia,Pakistan,HTML,1,IMG04:1,B:1,RSS/Atom;WordPress REST;PDF,source-profile metadata capture; no image download or rights upgrade
NLCV30214,UP Vargas Museum Archive,Southeast Asia,Philippines,HTML,1,IMG04:1,B:1,RSS/Atom;WordPress REST;Static JS App,source-profile metadata capture; no image download or rights upgrade
NLCV30215,Jakarta Arts Council Archive,Southeast Asia,Indonesia,HTML,1,IMG04:1,A:1,RSS/Atom;JSON-LD;WordPress REST,source-profile metadata capture; no image download or rights upgrade
NLCV30216,Myanmar Photo Archive,Southeast Asia,Myanmar,HTML,1,IMG04:1,B:1,RSS/Atom;WordPress REST,source-profile metadata capture; no image download or rights upgrade
NLCV30217,Vietnam Fine Arts Museum,Southeast Asia,Vietnam,HTML,1,IMG04:1,B:1,IIIF,source-profile metadata capture; no image download or rights upgrade
NLCV30218,Singapore Art Museum Archive,Southeast Asia,Singapore / Southeast Asia,HTML,1,IMG04:1,B:1,,source-profile metadata capture; no image download or rights upgrade
NLCV30220,Slovak Design Museum,Eastern Europe / Caucasus,Slovakia,HTML,1,IMG04:1,A:1,RSS/Atom;JSON-LD;WordPress REST;Static JS App,source-profile metadata capture; no image download or rights upgrade
NLCV30221,Moravian Gallery Brno Design Collection,Eastern Europe / Caucasus,Czech Republic,HTML,1,IMG04:1,A:1,RSS/Atom;WordPress REST,source-profile metadata capture; no image download or rights upgrade
NLCV30222,Czech Design Archive,Eastern Europe / Caucasus,Czech Republic,HTML,1,IMG04:1,A:1,IIIF;Static JS App,source-profile metadata capture; no image download or rights upgrade
NLCV30223,Estonian Museum of Applied Art and Design,Eastern Europe / Caucasus,Estonia,HTML,1,IMG04:1,A:1,JSON-LD;WordPress REST;Static JS App;PDF,source-profile metadata capture; no image download or rights upgrade
NLCV30224,Latvian Centre for Contemporary Art Archive,Eastern Europe / Caucasus,Latvia,HTML,1,IMG04:1,B:1,,source-profile metadata capture; no image download or rights upgrade
NLCV30225,Lithuanian Design Forum,Eastern Europe / Caucasus,Lithuania,HTML,1,IMG04:1,B:1,IIIF;RSS/Atom;JSON-LD;WordPress REST,source-profile metadata capture; no image download or rights upgrade
NLCV30226,Cook Islands Library and Museum,Oceania / Indigenous,Cook Islands,HTML,1,IMG04:1,C:1,RSS/Atom;JSON-LD;WordPress REST,source-profile metadata capture; no image download or rights upgrade
