region_group,period_band,surface_count,main_sheet_count,source_visible_count,verified_open_count,img04_count,quality_main_count,status
Romania,1970_2000,5,5,5,5,0,3,thin
Romania,2000_2026,102,102,102,102,0,4,review
Romania,pre_1930,12,12,12,12,0,5,thin
Romania,undated_or_unparsed,13,13,11,0,1,0,review
Russia,1930_1970,11,4,4,3,0,2,review
Russia,1970_2000,7,7,7,7,0,1,thin
Russia,2000_2026,1,1,1,1,0,0,review
Russia,pre_1930,6,6,6,6,0,1,thin
Senegal,2000_2026,15,15,15,15,0,0,review
Senegal,undated_or_unparsed,4,4,3,0,1,0,review
Singapore,1970_2000,1,1,1,1,0,0,review
Singapore,2000_2026,25,24,23,15,2,9,ok
Singapore,pre_1930,1,1,1,1,0,0,review
Singapore,undated_or_unparsed,22,15,18,0,3,0,review
South Africa,1930_1970,23,22,23,22,0,3,ok
South Africa,1970_2000,10,9,10,5,0,1,thin
South Africa,2000_2026,82,77,68,59,14,4,review
South Africa,pre_1930,9,9,9,9,0,2,thin
South Africa,undated_or_unparsed,16,15,14,0,2,0,review
South Africa / Botswana,undated_or_unparsed,3,3,3,0,0,0,review
South Korea,2000_2026,1,1,1,0,0,0,review
South Korea,undated_or_unparsed,1,1,0,0,1,0,review
Sri Lanka,1970_2000,1,1,1,1,0,0,review
Sri Lanka,2000_2026,7,7,7,7,0,1,thin
Sri Lanka,undated_or_unparsed,1,1,1,0,0,0,review
Switzerland,1930_1970,10,10,9,7,1,5,thin
Switzerland,1970_2000,1,1,1,1,0,0,review
Switzerland,2000_2026,1,1,1,1,0,0,review
Taiwan,1930_1970,27,27,27,27,0,4,ok
Taiwan,1970_2000,4,3,4,3,0,0,review
Taiwan,2000_2026,32,32,32,31,0,3,ok
Taiwan,pre_1930,14,14,14,14,0,1,thin
Taiwan,undated_or_unparsed,14,13,13,0,1,0,review
Tajikistan,1970_2000,2,2,2,2,0,0,review
Tajikistan,2000_2026,1,1,1,1,0,1,thin
Tajikistan,pre_1930,1,1,1,1,0,0,review
Tajikistan,undated_or_unparsed,1,1,0,0,1,0,review
Tanzania,1930_1970,19,19,19,19,0,3,thin
Tanzania,2000_2026,9,9,9,9,0,0,review
Tanzania,pre_1930,2,2,2,2,0,0,review
Tanzania,undated_or_unparsed,5,5,4,0,1,0,review
Thailand,1930_1970,3,3,3,3,0,1,thin
Thailand,1970_2000,5,4,5,4,0,1,thin
Thailand,2000_2026,9,9,9,9,0,2,thin
Thailand,pre_1930,4,4,4,4,0,1,thin
Thailand,undated_or_unparsed,11,7,9,0,2,0,review
Turkey,1930_1970,17,17,17,17,0,2,thin
Turkey,1970_2000,17,17,17,17,0,2,thin
Turkey,2000_2026,91,90,91,91,0,5,ok
Turkey,pre_1930,19,19,19,19,0,9,thin
Turkey,undated_or_unparsed,4,4,4,0,0,0,review
Turkmenistan,pre_1930,1,1,1,1,0,1,thin
Turkmenistan,undated_or_unparsed,1,1,0,0,1,0,review
Ukraine,1930_1970,29,29,29,29,0,9,ok
Ukraine,1970_2000,17,17,17,17,0,4,thin
Ukraine,2000_2026,137,134,137,137,0,9,ok
Ukraine,pre_1930,38,38,38,38,0,3,ok
Ukraine,undated_or_unparsed,7,6,5,0,2,0,review
United Kingdom,1930_1970,85,80,72,40,10,21,review
United Kingdom,1970_2000,7,7,7,6,0,2,thin
United Kingdom,2000_2026,9,9,9,1,0,8,thin
United Kingdom,pre_1930,31,25,27,20,1,4,review
United States,1930_1970,109,98,99,56,4,34,ok
United States,1970_2000,77,73,77,45,0,28,ok
United States,2000_2026,21,20,21,8,0,15,ok
United States,pre_1930,70,63,64,28,0,16,ok
United States,undated_or_unparsed,2,1,1,0,1,0,review
Unresolved region,1930_1970,1293,1226,1262,1133,24,625,review
Unresolved region,1970_2000,1536,1528,1535,1451,1,444,review
Unresolved region,2000_2026,478,477,473,401,5,132,review
Unresolved region,pre_1930,497,490,490,476,7,263,review
Unresolved region,undated_or_unparsed,141,137,96,0,44,4,review
Uruguay,1930_1970,1,1,1,1,0,0,review
Uruguay,1970_2000,2,2,2,2,0,1,thin
Uruguay,2000_2026,42,42,42,42,0,3,ok
Uruguay,pre_1930,7,7,7,7,0,3,thin
Uruguay,undated_or_unparsed,20,20,19,0,1,0,review
Uzbekistan,1930_1970,2,2,2,2,0,2,thin
Uzbekistan,1970_2000,8,8,8,8,0,0,review
Uzbekistan,2000_2026,47,47,47,47,0,2,review
Uzbekistan,pre_1930,7,7,7,7,0,5,thin
Uzbekistan,undated_or_unparsed,1,1,0,0,1,0,review
Venezuela,1930_1970,11,11,11,11,0,1,thin
Venezuela,1970_2000,2,2,2,2,0,0,review
Venezuela,2000_2026,12,12,12,12,0,0,review
Venezuela,pre_1930,9,9,9,9,0,2,thin
Venezuela,undated_or_unparsed,5,5,3,0,2,0,review
Vietnam,1930_1970,26,25,26,25,0,13,ok
Vietnam,1970_2000,4,3,3,3,1,2,review
Vietnam,2000_2026,65,65,65,65,0,2,review
Vietnam,pre_1930,3,3,3,3,0,1,thin
Vietnam,undated_or_unparsed,5,2,1,0,4,0,review
