priority_id,region_id,source_need_type,priority,examples_to_research,reason,status
RSP0059,REG010,community_archive,Launch,,"Needed for protest graphics, underdocumented histories, zines, and counterpublics.",needs_research
RSP0060,REG010,web_archive,Launch,,"Needed for born-digital, interface, platform, and contemporary visual communication.",needs_research
RSP0061,REG011,national_library,Launch,,"Needed for books, periodicals, newspapers, bibliographic records, and public-domain material.",needs_research
RSP0062,REG011,museum_collection,Launch,,"Needed for posters, prints, design objects, exhibition histories, and institutional metadata.",needs_research
RSP0063,REG011,design_archive,Launch,,"Needed for designers, studios, schools, ephemera, and professional histories.",needs_research
RSP0064,REG011,periodical_newspaper_archive,Launch,,"Needed for advertising, editorial design, typography, and commercial print ecology.",needs_research
RSP0065,REG011,community_archive,Launch,,"Needed for protest graphics, underdocumented histories, zines, and counterpublics.",needs_research
RSP0066,REG011,web_archive,Launch,,"Needed for born-digital, interface, platform, and contemporary visual communication.",needs_research
RSP0067,REG012,national_library,Launch,,"Needed for books, periodicals, newspapers, bibliographic records, and public-domain material.",needs_research
RSP0068,REG012,museum_collection,Launch,,"Needed for posters, prints, design objects, exhibition histories, and institutional metadata.",needs_research
RSP0069,REG012,design_archive,Launch,,"Needed for designers, studios, schools, ephemera, and professional histories.",needs_research
RSP0070,REG012,periodical_newspaper_archive,Launch,,"Needed for advertising, editorial design, typography, and commercial print ecology.",needs_research
RSP0071,REG012,community_archive,Launch,,"Needed for protest graphics, underdocumented histories, zines, and counterpublics.",needs_research
RSP0072,REG012,web_archive,Launch,,"Needed for born-digital, interface, platform, and contemporary visual communication.",needs_research
RSP0073,REG013,national_library,Launch,,"Needed for books, periodicals, newspapers, bibliographic records, and public-domain material.",needs_research
RSP0074,REG013,museum_collection,Launch,,"Needed for posters, prints, design objects, exhibition histories, and institutional metadata.",needs_research
RSP0075,REG013,design_archive,Launch,,"Needed for designers, studios, schools, ephemera, and professional histories.",needs_research
RSP0076,REG013,periodical_newspaper_archive,Launch,,"Needed for advertising, editorial design, typography, and commercial print ecology.",needs_research
RSP0077,REG013,community_archive,Launch,,"Needed for protest graphics, underdocumented histories, zines, and counterpublics.",needs_research
RSP0078,REG013,web_archive,Launch,,"Needed for born-digital, interface, platform, and contemporary visual communication.",needs_research
RSP0079,REG014,national_library,Launch,,"Needed for books, periodicals, newspapers, bibliographic records, and public-domain material.",needs_research
RSP0080,REG014,museum_collection,Launch,,"Needed for posters, prints, design objects, exhibition histories, and institutional metadata.",needs_research
RSP0081,REG014,design_archive,Launch,,"Needed for designers, studios, schools, ephemera, and professional histories.",needs_research
RSP0082,REG014,periodical_newspaper_archive,Launch,,"Needed for advertising, editorial design, typography, and commercial print ecology.",needs_research
RSP0083,REG014,community_archive,Launch,,"Needed for protest graphics, underdocumented histories, zines, and counterpublics.",needs_research
RSP0084,REG014,web_archive,Launch,,"Needed for born-digital, interface, platform, and contemporary visual communication.",needs_research
RSP0085,REG015,national_library,Launch,,"Needed for books, periodicals, newspapers, bibliographic records, and public-domain material.",needs_research
RSP0086,REG015,museum_collection,Launch,,"Needed for posters, prints, design objects, exhibition histories, and institutional metadata.",needs_research
RSP0087,REG015,design_archive,Launch,,"Needed for designers, studios, schools, ephemera, and professional histories.",needs_research
RSP0088,REG015,periodical_newspaper_archive,Launch,,"Needed for advertising, editorial design, typography, and commercial print ecology.",needs_research
RSP0089,REG015,community_archive,Launch,,"Needed for protest graphics, underdocumented histories, zines, and counterpublics.",needs_research
RSP0090,REG015,web_archive,Launch,,"Needed for born-digital, interface, platform, and contemporary visual communication.",needs_research
