regional_movement_id,name,alternate_names,region_id,geo_id,date_start,date_end,date_text,formation_type,related_node_ids,related_movement_ids,key_media,source_needs,rights_risk,status,notes,movement_mode,script_flags,collective_authorship,periodical_relevance,protocol_sensitive,source_priority_class
RM011,Russian/Soviet Constructivism and agitprop,,REG002,GEO016,1917,1939,1917-1930s,avant-garde/state formation,HN007; HN009,MV008; MV010,posters; books; journals; photomontage,museum collections; periodicals; state archives,medium,launch_scope,Distinguish documented Soviet networks from later stylistic revival.,,,,,,
RM012,Czech and Slovak avant-garde publishing,Devetsil-related print cultures,REG002,GEO019,1920,1939,1920s-1930s,avant-garde/publishing formation,HN007; HN008,MV012,journals; books; photomontage,national libraries; avant-garde periodicals,medium,launch_scope,"Important bridge between avant-garde typography, poetry, and publishing.",,,,,,
RM013,Hungarian activist and modernist graphics,,REG002,GEO020,1910,1945,c.1910s-1940s,avant-garde/political formation,HN007; HN009,MV019,journals; posters; photomontage,national libraries; museum collections,medium,launch_scope,Requires attention to exile routes and multilingual circulation.,,,,,,
RM014,Yugoslav non-aligned design and tourism graphics,,REG002,GEO023,1945,1991,1945-1991,state/commercial formation,HN009; HN010; HN011,,posters; tourism graphics; identity systems,national libraries; tourism archives; poster collections,medium-high,launch_scope,Important socialist/non-aligned route outside USSR-centered narratives.,,,,,,
RM015,American corporate identity and design management,,REG003,GEO025,1950,1989,c.1950s-1980s,corporate/systems formation,HN011,MV016,identity manuals; annual reports; signage,company archives; design archives; trade press,high,launch_scope,High rights risk; link-first indexing preferred.,,,,,,
RM016,American editorial modernism and magazine systems,,REG003,GEO025,1940,1979,c.1940s-1970s,publishing formation,HN011,MV017,magazines; layouts; covers; advertising,periodical databases; magazine archives,medium-high,launch_scope,Track issue/page metadata and publication context.,,,,,,
RM017,"Civil rights, Black press, and African diasporic graphics",,REG003,GEO025,1900,,20th c.-present,counterpublic formation,HN012,MV024,newspapers; posters; flyers; newsletters,community archives; university special collections; newspaper archives,high,launch_scope,Must not appear only as protest imagery; includes publishing and institution building.,,,,,,
RM018,Canadian public information and cultural identity design,,REG003,GEO026,1950,1999,c.1950s-1990s,state/cultural formation,HN010; HN011,MV018,symbols; posters; identity systems; publications,national archives; museums; design centers,medium,launch_scope,Needed to prevent North America becoming U.S.-only.,,,,,,
RM019,"Mexican modern print, Taller, and Olympic identity routes",,REG004,GEO027,1920,1989,c.1920s-1980s,print/political/systems formation,HN009; HN010; HN011; HN012,,posters; books; identity systems; murals-to-print ephemera,national libraries; poster collections; Olympic archives,medium-high,launch_scope,Cross-links Latin America and North America.,,,,,,
RM020,Cuban revolutionary and film poster culture,,REG004,GEO029,1959,1999,c.1959-1990s,state/political/poster formation,HN009; HN012; HN013,MV021,film posters; solidarity posters; screenprints,poster archives; film institutes; museum collections,high,launch_scope,Requires rights-sensitive link-first approach.,,,,,,
RM021,"Brazilian concrete, visual poetry, and modern design",,REG004,GEO030,1950,1989,c.1950s-1980s,modernist/typographic formation,HN010; HN011; HN013,,books; posters; identity; visual poetry,museum collections; university archives; periodicals,medium,launch_scope,"Connects graphic design, concrete art, typography, and publishing.",,,,,,
RM022,Chilean political poster and solidarity graphics,,REG004,GEO032,1960,1990,c.1960s-1990s,political/counterpublic formation,HN009; HN012,MV021,posters; flyers; pamphlets,poster archives; political collections; university archives,high,launch_scope,"Must distinguish local production, exile, and international solidarity circulation.",,,,,,
RM023,Japanese modern poster and commercial design,,REG005,GEO036,1900,1989,20th c.,poster/commercial formation,HN005; HN010; HN011,,posters; magazines; packaging; advertising,National Diet Library; museum collections; design archives,medium-high,launch_scope,"Must include prewar, postwar, and commercial mass culture, not only poster masters.",,,,,,
RM024,"Japanese postwar typography, corporate identity, and packaging",,REG005,GEO036,1945,1999,postwar-1990s,typographic/corporate formation,HN010; HN011; HN014,MV016; MV018,identity systems; type; packaging; magazines,design museums; corporate archives; trade journals,high,launch_scope,Multiscript metadata and rights-sensitive corporate material required.,,,,,,
RM025,"Japanese interface, game, and platform visual cultures",,REG005,GEO036,1980,,c.1980s-present,digital/platform formation,HN014; HN015,MV035; MV036,interfaces; game graphics; websites; platform templates,web archives; software archives; company docs,very high,launch_scope,"Needs capture date, version, and viewport/platform metadata.",,,,,,
RM026,Korean Hangul typography and print modernization,,REG006,GEO037,1900,1989,20th c.,typographic/print formation,HN005; HN009; HN010; HN014,,type specimens; books; posters; newspapers,national libraries; typography archives; university repositories,medium-high,launch_scope,"Hangul script support is structural, not decorative.",,,,,,
RM027,"South Korean corporate identity, publishing, and digital design",,REG006,GEO038,1960,,c.1960s-present,corporate/digital formation,HN011; HN014; HN015,MV016; MV035,identity; magazines; apps; platform graphics,museum collections; company archives; web archives,high,launch_scope,Important for contemporary platform and brand visual culture.,,,,,,
RM028,Chinese Republican Shanghai commercial print,,REG008,GEO040,1912,1949,1912-1949,commercial/periodical formation,HN005; HN007,,advertising; magazines; calendar posters; packaging,Shanghai library collections; periodicals; poster archives,high,launch_scope,Do not reduce Chinese modern design to propaganda.,,,,,,
RM029,Chinese socialist visual communication and propaganda,,REG008,GEO040,1949,1978,1949-1978,state communication formation,HN009; HN012,MV020,posters; pamphlets; exhibition graphics; newspapers,poster collections; national libraries; museum collections,high,launch_scope,Rights and political context must be handled cautiously.,,,,,,
RM030,Chinese reform-era commercial design and branding,,REG008,GEO040,1978,2010,c.1978-2010,commercial/corporate formation,HN011; HN014,MV016; MV032,logos; packaging; advertising; magazines,periodicals; company archives; design annuals,high,launch_scope,Important bridge from state design to market/platform design.,,,,,,
RM031,Chinese platform-native visual communication,,REG008,GEO040,2010,,c.2010s-present,platform formation,HN015,MV036; MV038,social graphics; app UI; campaign templates,web archives; platform captures; design-system docs,very high,launch_scope,Index mostly as metadata/link/capture description because reproduction risk is high.,,,,,,
RM032,Hong Kong bilingual commercial and film graphics,,REG009,GEO041,1950,1999,c.1950s-1990s,bilingual/commercial formation,HN011; HN013,,film posters; magazines; advertising; signage,film archives; university archives; museum collections,high,launch_scope,Bilingual typography and local media specificity are essential.,,,,,,
RM033,Hong Kong protest and public graphics,,REG009,GEO041,1960,,c.1960s-present,counterpublic formation,HN012; HN015,MV021,posters; flyers; social graphics; banners,community archives; web archives; university collections,very high,launch_scope,"Rights, privacy, and political risk are high.",,,,,,
RM034,"Taiwan postwar publishing, political graphics, and democratization design",,REG010,GEO042,1945,2000,c.1945-2000,publishing/political formation,HN009; HN012; HN013,,magazines; posters; ballots; campaign graphics,national libraries; museum archives; periodicals,high,launch_scope,Requires separate treatment from Mainland China and Japan while preserving historical links.,,,,,,
RM035,"Taiwan contemporary typography, identity, and digital design",,REG010,GEO042,2000,,c.2000s-present,typographic/digital formation,HN014; HN015,MV033; MV035,type; identity; websites; apps,web archives; design archives; studio documentation,high,launch_scope,Traditional Chinese support and contemporary rights policies needed.,,,,,,
RM036,"Indonesian nationalist, commercial, and vernacular print",,REG011,GEO044,1900,,20th c.-present,print/commercial formation,HN005; HN009; HN012; HN013,,posters; newspapers; packaging; signs,national libraries; colonial archives; community archives,high,launch_scope,Colonial and postcolonial source separation required.,,,,,,
RM037,Singapore/Malaysia multilingual state and commercial graphics,,REG011,GEO045,1950,,c.1950s-present,multilingual/state/commercial formation,HN010; HN011; HN015,MV018,campaigns; identity; posters; wayfinding; websites,national libraries; public agencies; web archives,high,launch_scope,"Multiscript, multilingual display is a structural test case.",,,,,,
RM038,"Thai typography, advertising, and publishing",,REG011,GEO046,1900,,20th c.-present,typographic/commercial formation,HN005; HN011; HN014; HN015,,type; magazines; posters; advertising; websites,national libraries; periodicals; web archives,high,launch_scope,Requires Thai script metadata and search vocabulary.,,,,,,
RM039,"Vietnamese colonial, socialist, and contemporary poster/print cultures",,REG011,GEO047,1900,,20th c.-present,colonial/state/commercial formation,HN005; HN009; HN012; HN015,MV020,posters; newspapers; books; digital graphics,national libraries; poster collections; colonial archives,high,launch_scope,"Must separate French colonial, revolutionary, state, and contemporary commercial contexts.",,,,,,
RM040,"Philippine political, commercial, and popular graphic cultures",,REG011,GEO048,1900,,20th c.-present,commercial/political formation,HN005; HN009; HN012; HN013; HN015,,posters; magazines; election graphics; popular media,national libraries; university archives; web archives,high,launch_scope,English/Filipino/Spanish source layers need careful handling.,,,,,,
RM041,Indian multilingual typography and publishing,,REG012,GEO051,1800,,19th c.-present,typographic/publishing formation,HN005; HN009; HN014; HN015,,books; newspapers; type; posters; websites,national libraries; type archives; periodicals,high,launch_scope,"Multiscript typography is central, not peripheral.",,,,,,
RM042,Indian film poster and popular print culture,,REG012,GEO051,1930,,c.1930s-present,popular/commercial formation,HN005; HN013; HN015,MV030,film posters; lobby cards; calendars; digital promos,film archives; poster collections; web archives,high,launch_scope,Rights risk is high; link-first metadata preferred.,,,,,,
RM043,South Asian state information and political graphics,,REG012,GEO050,1947,,post-1947,state/political formation,HN009; HN010; HN012,MV020; MV018,posters; public campaigns; ballots; newspapers,national archives; government publications; community archives,high,launch_scope,"Regional split across India, Pakistan, Bangladesh, Sri Lanka and diaspora contexts.",,,,,,
RM044,Arabic typography and modern publishing,,REG013,GEO055,1800,,19th c.-present,typographic/publishing formation,HN005; HN014; HN015,,books; newspapers; type specimens; websites,national libraries; type archives; periodicals,high,launch_scope,RTL and Arabic-script metadata must be included before design freeze.,,,,,,
RM045,"Egyptian film poster, publishing, and political graphics",,REG013,GEO056,1920,,c.1920s-present,popular/political formation,HN005; HN009; HN013,,film posters; magazines; books; campaign graphics,film archives; national libraries; poster collections,high,launch_scope,Connects MENA popular visual culture with print and political histories.,,,,,,
RM046,Iranian modern typography and revolutionary poster cultures,,REG013,GEO057,1900,,20th c.-present,typographic/political formation,HN009; HN012; HN014,MV020; MV021,posters; books; type; magazines,national libraries; museum collections; poster archives,high,launch_scope,Requires Persian-script search and rights/political caution.,,,,,,
RM047,Turkish script reform and modern graphic design,,REG013,GEO058,1928,,1928-present,script/state/commercial formation,HN009; HN010; HN011; HN014,,books; posters; identity; magazines,national libraries; design archives; periodicals,medium-high,launch_scope,"Script reform is a historical node, not only a language issue.",,,,,,
RM048,"Levantine political, publishing, and multilingual graphics",,REG013,GEO059,1900,,20th c.-present,multilingual/political formation,HN005; HN009; HN012,,posters; magazines; books; solidarity graphics,university archives; poster collections; national libraries,high,launch_scope,"Must handle Arabic, Hebrew, Armenian, French, and English contexts.",,,,,,
RM049,African independence-era and decolonial graphics,,REG014,GEO061,1945,1980,c.1945-1980,political/decolonial formation,HN009; HN012,MV025,posters; newspapers; pamphlets; symbols,national archives; university collections; political archives,high,launch_scope,Core launch scope due to underrepresentation in mainstream design histories.,,,,,,
RM050,South African anti-apartheid and community graphics,,REG014,GEO062,1950,1994,c.1950-1994,counterpublic formation,HN009; HN012,MV021; MV025,posters; newsletters; banners; community print,community archives; university collections; poster archives,high,launch_scope,Requires strong context and rights/protocol review.,,,,,,
RM051,"West African commercial signs, posters, publishing, and film graphics",,REG014,GEO066,1950,,c.1950s-present,vernacular/commercial formation,HN005; HN013; HN015,MV030,signs; posters; film graphics; advertising; websites,community archives; newspaper archives; web archives,high,launch_scope,Vernacular material must not be treated as lower-value evidence.,,,,,,
RM052,"Nigerian publishing, advertising, and Nollywood graphics",,REG014,GEO063,1960,,c.1960s-present,commercial/popular formation,HN005; HN013; HN015,MV030; MV036,magazines; posters; video covers; social graphics,national libraries; film archives; web archives,high,launch_scope,Important for popular media and platform visual cultures.,,,,,,
RM053,"Australian public information, publishing, and protest graphics",,REG015,GEO069,1900,,20th c.-present,state/publishing/counterpublic formation,HN009; HN010; HN012; HN015,MV018; MV021,posters; publications; public campaigns; websites,Trove; national archives; community archives; web archives,high,launch_scope,Includes Indigenous protocols and community archive boundaries.,,,,,,
RM054,Aotearoa New Zealand bicultural and public graphic design,,REG015,GEO070,1950,,c.1950s-present,public/bicultural formation,HN010; HN011; HN012; HN015,MV018; MV025,identity; signage; publications; campaign graphics,DigitalNZ; national libraries; public agencies; community archives,high,launch_scope,"Must support Maori language, protocol, and bicultural design context.",,,,,,
RM055,"Pacific community, cultural, and public visual communication",,REG015,GEO071,1950,,c.1950s-present,community/regional formation,HN012; HN013; HN015,MV025; MV030,posters; festival graphics; publications; social graphics,community archives; national libraries; web archives,high,launch_scope,"Source and cultural protocol gaps should be exposed, not hidden.",,,,,,
RM056,Arabic periodical modernity,,REG013,GEO055,1800,,19th c.-present,editorial/script formation,HN005; HN014; HN015,RM044,newspapers; magazines; type; books; digital periodicals,Arabic newspaper archives; national libraries; periodicals,high,launch_scope,Added from Global Coverage Audit; Arabic periodical and typographic modernization is structural.,,,,,,
RM057,Iran modern graphic design and Persian publishing,,REG013,GEO083,1950,1979,c.1950-1979,professional/publishing formation,HN010; HN011; HN014,RM046,books; posters; magazines; type,NLAI; periodicals; museum collections,high,launch_scope,Separates Iranian modernist/publishing circuits from broader MENA.,,,,,,
RM058,Iran postrevolutionary public graphics,,REG013,GEO083,1979,,1979-present,state/political formation,HN009; HN012; HN014,RM046,posters; public campaigns; magazines; digital graphics,NLAI; poster collections; periodicals,high,launch_scope,Post-1979 public graphics and poster regimes require separate tracking.,,,,,,
RM059,Soviet script reform in Central Asia,Latinization; Cyrillicization,REG002,GEO072,1920,1940,c.1920s-1940s,script/state formation,HN009; HN014,,schoolbooks; newspapers; alphabets; public information,national libraries; legal deposit; periodicals,medium,launch_scope,"Script reform changes search, typography, and identity metadata.",,,,,,
RM060,Pakistan Urdu commercial graphics,,REG012,GEO052,1947,,1947-present,commercial/script formation,HN005; HN011; HN014; HN015,,newspapers; posters; packaging; film graphics; digital,national libraries; periodicals; film archives,high,launch_scope,Urdu script and commercial/popular graphics beyond India.,,,,,,
RM061,Bangladesh language movement graphics,,REG012,GEO053,1952,,1952-present,language/political formation,HN009; HN012; HN014,,posters; newspapers; language movement ephemera; memorial graphics,national archives; periodicals; community archives,high,launch_scope,Language politics and Bengali script are central to design history.,,,,,,
RM062,South Asian vernacular packaging and magazines,,REG012,GEO050,1900,,20th c.-present,vernacular/commercial formation,HN005; HN011; HN013,MV030,packaging; magazines; calendars; advertisements,periodicals; market ephemera; digitized books,high,launch_scope,Prevents South Asia from being represented only through state or film posters.,,,,,,
RM063,Singapore campaign poster regime,,REG011,GEO095,1965,,1965-present,state/public information formation,HN009; HN010; HN011,MV018; MV020,campaign posters; public information; multilingual graphics,NLB; NAS; government archives; web archives,high,launch_scope,Multilingual state campaign design is structurally important.,,,,,,
RM064,Jawi-Rumi Malay print transition,,REG011,GEO096,1900,1970,c.1900-1970,script/print formation,HN005; HN009; HN014,,newspapers; books; campaign print; typography,NLB; national libraries; periodicals,medium-high,launch_scope,Models script transition and search implications in Malay print.,,,,,,
RM065,Vietnam propaganda to Doi Moi design,,REG011,GEO047,1945,,1945-present,state/commercial transition formation,HN009; HN011; HN012; HN015,RM039,posters; newspapers; advertising; digital graphics,Vietnamese national/museum archives; periodicals,high,launch_scope,Separates revolutionary/state design from post-1986 market transition.,,,,,,
RM066,Indonesian revolutionary and state graphics,,REG011,GEO044,1945,1998,1945-1998,state/political formation,HN009; HN012,RM036,posters; newspapers; public campaigns,Perpusnas; colonial archives; national archives,high,launch_scope,Adds independence and state visual communication to Indonesian coverage.,,,,,,
RM067,Philippine komiks and film print,,REG011,GEO048,1930,,c.1930s-present,popular/commercial formation,HN005; HN013; HN015,RM040,komiks; film posters; magazines; social graphics,national libraries; film archives; periodicals,high,launch_scope,Popular print cultures should not be secondary to museum-held posters.,,,,,,
RM068,Taller de Grafica Popular and Mexican popular print,TGP,REG004,GEO027,1937,,1937-present influence,workshop/political print formation,HN009; HN012; HN013,MV021; RM019,prints; posters; pamphlets; workshop records,museum collections; TGP archives; political print collections,medium-high,launch_scope,Dateable political print formation with global solidarity connections.,,,,,,
RM069,Chilean editorial and film magazine design,,REG004,GEO032,1905,1990,c.1905-1990,editorial/popular formation,HN005; HN011; HN013,,magazines; film press; editorial layouts,Memoria Chilena; periodical archives,medium-high,launch_scope,Expands Chile beyond political poster-only framing.,,,,,,
RM070,"Caribbean music, carnival, and tourism graphics",,REG004,GEO034,1940,,c.1940s-present,popular/commercial formation,HN005; HN011; HN013; HN015,,record sleeves; posters; brochures; newspapers; social graphics,dLOC; national libraries; music archives; tourism archives,high,launch_scope,Caribbean graphic culture is not reducible to revolution/posters.,,,,,,
RM071,Southern Africa anti-apartheid workshop graphics,,REG014,GEO102,1970,1994,c.1970-1994,workshop/counterpublic formation,HN009; HN012,RM050; MV021,posters; newsletters; workshop prints; solidarity graphics,SAHA; DISA; African Activist Archive; community archives,high,launch_scope,Adds workshop/network structure to anti-apartheid graphics.,,,,,,
RM072,Maori niupepa and language print,,REG015,GEO106,1842,,1842-present,language/publishing formation,HN005; HN012; HN014,RM054,newspapers; public graphics; language revival print,Papers Past; national libraries; community archives,high,launch_scope,Maori-language print requires source-language and protocol-aware modeling.,,,,,,
RM073,Aboriginal rights graphics,,REG015,GEO104,1960,,c.1960s-present,Indigenous/counterpublic formation,HN012; HN013; HN015,MV025; RM053,posters; campaign graphics; community publications; web records,AIATSIS; community archives; Trove; web archives,high,launch_scope,Protocol-sensitive rights and community metadata are central.,,,,,,
RM074,East Asia editorial and platform design,,REG007,GEO035,1990,,c.1990s-present,digital/editorial/platform formation,HN014; HN015,MV035; MV036; RM025; RM027; RM031; RM035,websites; apps; social graphics; editorial platforms,web archives; platform captures; design-system docs,very high,launch_scope,Cross-regional East Asian digital visual culture needs explicit treatment.,,,,,,
RM075,Bauhaus / New Typography first-ingest network,Bauhaus; Die Neue Typographie,REG001,GEO006,1919,1933,1919-1933,school/typographic network,HN008; HN014,MV011; MV012,books; teaching material; stationery; posters,Met; Smithsonian/Cooper Hewitt; Internet Archive; authority cluster,medium,first_ingest_scope,Scope cell for canonical modernist normalization and rights false-positive testing.,multiple,Latin,no,medium,false,A
RM076,Polish Poster School first-ingest scope,Polska szkola plakatu,REG002,GEO018,1950,1989,c.1950s-1980s,poster/socialist cultural formation,HN009; HN010; HN013,RM010,film posters; theatre posters; cultural posters,Poster Museum; Culture.pl; V&A; PGDA; authority cluster,high,first_ingest_scope,Scope cell for socialist-context poster indexing in link-only mode.,single,Latin,mixed,low,false,A
RM077,IBM corporate design systems formation,IBM design program,REG003,GEO025,1956,1987,1956-1987,corporate/systems formation,HN010; HN011,MV016,identity manuals; signage; manuals; object records,IBM history; Cooper Hewitt; PGDA; Letterform Archive; authority cluster,high,first_ingest_scope,Tests institution-designer-manual-object relations.,multiple,Latin,no,low,false,A
RM078,Taller de Grafica Popular first-ingest scope,TGP,REG004,GEO027,1937,1965,1937-1965,workshop/political print formation,HN009; HN012; HN013,RM068; MV021,prints; broadsheets; portfolios; books,Met; MoMA; Internet Archive; authority cluster,medium-high,first_ingest_scope,Collective printshop and publication/object separation test.,multiple,Latin,yes,medium,false,A
RM079,Brigadas Ramona Parra first-ingest scope,BRP,REG004,GEO032,1969,1988,c.1969-1980s,counterpublic mural/propaganda formation,HN009; HN012; HN013,MV021; RM022,murals; posters; periodical reproductions; propaganda,Memoria Chilena; Chilean archive authorities; authority cluster,high,first_ingest_scope,Collective authorship and unstable mural/source boundaries.,multiple,Latin,yes,medium,false,A
RM080,Japanese postwar design institution network,WoDeCo; NDC,REG005,GEO036,1959,1975,1959-1970s,institution/event network,HN010; HN011; HN014,RM023; RM024,event ephemera; posters; programmes; institutional records,M+; NDC; NDL Search; Internet Archive,high,first_ingest_scope,Tests Japanese-language event and institution relations.,multiple,Kanji; Hiragana; Katakana; Latin,mixed,medium,false,A
RM081,Shanghai Manhua and yuefenpai commercial print,Shanghai Sketch; 上海漫畫; 上海漫画; 月份牌,REG008,GEO040,1928,1939,1928-1930s,commercial/periodical formation,HN005; HN007; HN013,RM028; MV030,pictorial magazines; advertisements; calendar posters; packaging,Internet Archive; British Museum; authority cluster,high,first_ingest_scope,Tests Chinese issue/page records and movement NONE/overlap.,multiple,Traditional Chinese; Simplified Chinese; Latin,mixed,high,false,A
RM082,Minjung and democratization poster culture,민중미술; democratization posters,REG006,GEO038,1980,1988,1980s,counterpublic/political poster formation,HN009; HN012; HN014,MV021,posters; rare books; guides; political ephemera,Library of Congress; authority cluster; Korean museum sources,high,first_ingest_scope,Tests Korean script and event-linked protest graphics.,multiple,Hangul; Hanja; Latin,mixed,medium,false,A
RM083,Singapore multilingual poster and logotype systems,Singapore campaign poster regime,REG011,GEO095,1965,1985,c.1965-1985,multilingual public-information formation,HN009; HN010; HN011,RM063; MV018,campaign posters; logos; public information; catalogue records,NLB Singapore OneSearch; BiblioAsia; authority cluster,high,first_ingest_scope,Tests four-language metadata and catalogue/object distinctions.,multiple,Latin; Han; Tamil; Jawi historical,no,medium,false,A
RM084,NID development-communication and modern design formation,National Institute of Design Ahmedabad,REG012,GEO051,1961,1985,1961-1980s,design education/development communication formation,HN010; HN011; HN014,RM041; RM043,institutional publications; pedagogy; design education records,NID; Internet Archive; authority cluster,high,first_ingest_scope,"Tests state-building, pedagogy, and multilingual India.",multiple,Indic scripts; Latin,mixed,medium,false,A
RM085,Iranian modern poster and graphic-design formation,Morteza Momayyez context; Iranian graphic arts,REG013,GEO083,1964,1989,1964-1980s,professional/poster/script formation,HN010; HN011; HN014,RM057; RM058,posters; books; magazines; exhibition references,Encyclopaedia Iranica; Internet Archive; authority cluster,high,first_ingest_scope,"Tests Persian script, RTL metadata, and transliteration.",multiple,Arabic-derived Persian; Latin,mixed,medium,false,A
RM086,Medu Art Ensemble and anti-apartheid poster movement,Medu; Culture and Resistance,REG014,GEO102,1978,1985,1978-1985,workshop/solidarity formation,HN009; HN012,RM071; MV021,posters; newsletters; workshop records; essays,SAHA; SAHO; authority cluster,high,first_ingest_scope,Tests collective authorship and community archive call numbers.,multiple,Latin,yes,low,false,A
RM087,Aboriginal land-rights and NAIDOC poster cultures,NAIDOC posters; Aboriginal land rights graphics,REG015,GEO104,1972,,1972-present,Indigenous/counterpublic poster formation,HN012; HN013; HN015,RM073; MV025,posters; campaign graphics; community records,AIATSIS; Trove/NLA; NAIDOC,high,first_ingest_scope,Tests ICIP-aware and protocol-sensitive ingest.,multiple,Latin; Indigenous orthographies,mixed,medium,true,A
RM088,Gran Fury and ACT UP activist graphics,AIDS activist graphics,REG003,GEO025,1987,1995,1987/1988-1995,queer counterpublic campaign formation,HN012; HN013,MV023,posters; campaigns; archive records; public-health graphics,ACT UP archives; MoMA; NLM; authority cluster,high,first_ingest_scope,Tests collective authorship and campaign relations.,multiple,Latin,yes,low,false,A
RM089,"Early web, CSS, and homepage/interface formation",info.cern.ch; CSS1; GeoCities,REG007,GEO001,1991,2009,1991-2009,born-digital/platform formation,HN014; HN015,MV034; MV035; MV036,web pages; standards; captures; homepages,CERN; W3C; Wayback Machine; Internet Archive,very high,first_ingest_scope,"Tests capture timestamps, source volatility, and link-only web records.",none_ok,Latin; multiple,mixed,low,false,A
RM090,OSPAAAL and Tricontinental solidarity graphics,OSPAAAL; Tricontinental; Cuban solidarity posters,REG004,,1966,1990,c.1966-1990,solidarity/poster formation,HN009; HN012; HN013,MV021,posters; magazines; campaign graphics; solidarity prints,OSPAAAL; Tricontinental; Commons as display supplement,high,first_ingest_scope,Tests transnational anti-imperialist poster records and secondary image-display evidence.,multiple,Latin; Spanish; multilingual,yes,medium,false,A
RM091,Palestinian liberation and solidarity poster culture,Palestinian posters; Intifada graphics,REG013,,1967,2000,c.1967-2000,liberation/solidarity poster formation,HN009; HN012; HN013,MV021,posters; campaign graphics; movement ephemera,Palestinian Museum Digital Archive; Palestine Poster Project; Commons as display supplement,high,first_ingest_scope,Tests politically sensitive movement graphics with strict source-link and rights review.,multiple,Arabic; Latin,mixed,medium,true,A
