concentration_type,key,record_count,img03_count,img04_count,post_2010_stamp_or_event_count,sample_titles,recommendation
source_domain,collections.tepapa.govt.nz,57,1,0,2,"Poster | 'You are helping by carrying your shopping' poster | 'You are helping by walking short distances' poster | Poster, 'A British Anti-aircraft Battery in action' | Poster, 'British Troops in Battle Manoeuvres'",Cap or sample this source family before further capture; audit risky rows before surface rebuild.
source_domain,naidoc.org.au,50,0,1,3,NAIDOC 1974 Poster | NAIDOC 1976 Poster | NAIDOC 1977 Poster | NAIDOC 1978 Poster | NAIDOC 1979 Poster,Cap or sample this source family before further capture; audit risky rows before surface rebuild.
source_domain,figgy.princeton.edu,41,0,0,0,"Herr Cohen : [poster and banner advertising phrenology lecture] | Poster lore ... an amateur journal for art students and latter Day enthusiasts. [book 1]-2, pt. 1. (Jan.-Sept. 1896). | Ringling Bros and Barnum & Bailey. Key to Circus Interior poster. | Somers Historical Society [Circus collection exhibition poster]. | To the family of our late president ... the Workers of the American Optical Company, Southbridge, Massachusetts, October fourth nineteen twelve / Harvey Hopkins Dunn inv. & delin.",Cap or sample this source family before further capture; audit risky rows before surface rebuild.
source_domain,clevelandart.org,25,25,0,0,Yvette Guilbert | Virgin and Child | Poster for the Lembrée Gallery | May Milton | Sculptress,Cap or sample this source family before further capture; audit risky rows before surface rebuild.
source_domain,aucklandmuseum.com,19,19,0,19,"advertising figurine | figure, advertising | figure, advertising | figure, advertising | figure, advertising",Cap or sample this source family before further capture; audit risky rows before surface rebuild.
source_name,Gallica / BnF APIs,241,226,0,0,"Théâtre dirigé par M. Dorsay ci-devant Mad.e Saqui Boulevard du Temple en face le jardin turc tous les jours, excepté le Dimanche, Jane Gray Drame historique en 3 actes et 5 tableaux de M. Leblanc, musique de M. Bellon, décors de M. Rascalon mise en scène de M. Dupuis : [estampe] | Agence de Publicité-Dollingen | Traité de géométrie pratique : comprenant les opérations graphiques, et de nombreuses applications aux travaux d'art et de construction... / par J.-J. Regnault,... | De la publicité des débats parlementaires | Publicité politique d'un ouvrier [Messan, sabotier]",Cap or sample this source family before further capture; audit risky rows before surface rebuild.
source_name,DigitalNZ,197,133,0,23,"Untitled Illustration (Otago Daily Times, 15 August 1867) | Untitled Illustration (Otago Witness, 13 December 1879) | Untitled Illustration (Otago Witness, 13 December 1879) | Untitled Illustration (Otago Witness, 13 December 1879) | Untitled Illustration (Otago Witness, 13 December 1879)",Cap or sample this source family before further capture; audit risky rows before surface rebuild.
source_name,Cooper Hewitt Collection GraphQL API,148,0,0,148,"Die Thierwelt (The Animal Kinggom) | Detmold Wald (Detmold Forest) | Package Design for National Dairy Ice Cream | Play between 6 and 12, The Bright Hours | Section Allemande (German Section), Exposition de la Société des Artistes Décorateurs (Exhibition of the Society of Decorative Arts), Grand Palais",Cap or sample this source family before further capture; audit risky rows before surface rebuild.
source_name,Wikimedia Commons,144,144,0,10,"A man with his wife and two sons with a message about the Wellcome L0052387.jpg | A coffee jug, a fork, the receiving end of a phone, a tab Wellcome L0052393.jpg | A man in a white shirt puts his hand on the suit of another Wellcome L0052394.jpg | 28 Постер за протесниот марш „Еден ке мора да си оди“.jpg | A blue background bearing the white lettering Wellcome L0053635.jpg",Cap or sample this source family before further capture; audit risky rows before surface rebuild.
source_name,V&A Collections API,90,0,48,1,Piper at the Gates of Dawn | Zimbabwe. One Enemy: Imperialism [verso] | There flows from Latin America | Picture Posters | Political Poster Show 1977,Cap or sample this source family before further capture; audit risky rows before surface rebuild.
source_name,Wellcome Collection Catalogue API,89,7,0,3,"A man happy to be returning to the factory after being cured of tuberculosis. Colour lithograph after W. Heaslip, 1931. | Publications about the Experiment (not by GSW or IHP, for which see sections D & E respectively) | A strong man supporting a weak and emaciated woman; representing the work of the Zonnestraal sanatorium for the tuberculous. Colour lithograph by A. Hahn, 1932. | Tuberculosis patients lying on their beds in a crowded tuberculosis hospital; advertising a tombola in aid of tuberculosis sufferers in L'Hérault, France. Colour lithograph, ca. 1933. | Birth Control advertisements 1934-1937",Cap or sample this source family before further capture; audit risky rows before surface rebuild.
source_name,Georgia State University Library Digital Collections / CONTENTdm,85,0,0,6,"Georgia Education Journal, 1931-04 | Georgia Education Journal, 1932-02 | Georgia Education Journal, 1932-03 | Georgia Education Journal, 1932-04 | Index card file for plants or locals in Washington, D.C., 1936",Cap or sample this source family before further capture; audit risky rows before surface rebuild.
source_name,Internet Archive / text and periodical collections,76,1,0,2,REVOLUTIONART issue 2 - international pdf magazine of graphics arts | REVOLUTIONART issue 3 - international pdf magazine of graphics arts | Design and evaluation of computer/human interfaces : issues for librarians and information scientists | REVOLUTIONART issue 4 (DIRT) - international pdf magazine of graphics arts | Revolution Art Magazine Issue 8,Cap or sample this source family before further capture; audit risky rows before surface rebuild.
source_name,Library of Congress loc.gov API,68,20,21,3,"[Political posters related to issues in Pakistan and Afghanistan, some published in Quetta, Pakistan, including posters issued by the Taliban and Jamiat Ulema-e-Islam, posters in sympathy with the Northern alliance and other anti-Taliban movements in Afghanistan, posters supporting Ossama Bin Laden and Saddam Hussein, and posters about the separatist movement in Balochistan] | [Posters depicting Belize's People's United Party (PUP); Brazil: film posters, cultural issues, reproductive rights; Guyana: political posters, environmental issues; Suriname: bird-watching, environmental issues; French Guyana: environmental issues, Carnival, spaceport; Uruguay: film festival; AIDS awareness; disability awareness; indigenous cultures; cinema; travel; species extinction; cultural events; children's books; IBASE; and Coca-Cola themed posters] | [Polish posters: Ramayana exhibition poster by Stasis; Gamelan exhibition poster by Jerzy Czerniawski; Indonesia exhibition poster by Maria Janiga] | Production. The first of a series of production posters designed by the Office of Emergency Management for display in defense plants throughout the United States. The poster was designed for the OEM by Jean Carlu, eminent poster artist and graphic design expert. The poster measures 30 x 40 inches in size and was issued June 23, 1941 | Poster. Men working together. A defense production poster for display in industrial plants throughout the nation. The poster, which measures 30 x 40 inches was designed and distributed by the Division of Information of the Office of War Information (OWI). The poster was issued November 18, 1941",Cap or sample this source family before further capture; audit risky rows before surface rebuild.
source_name,Art Institute of Chicago API,60,12,1,1,"Buy a Little Present for the Kaiser | La Gismonda (Sarah Bernhardt) | Zodiaque (""La Plume"") | To the Amputees—Join the Workforce | Keep These Off the U.S.A.",Cap or sample this source family before further capture; audit risky rows before surface rebuild.
source_name,Te Papa Collections Online,56,0,0,2,"'You are helping by carrying your shopping' poster | 'You are helping by walking short distances' poster | Poster, 'A British Anti-aircraft Battery in action' | Poster, 'British Troops in Battle Manoeuvres' | Poster, 'Giant of the Air'",Cap or sample this source family before further capture; audit risky rows before surface rebuild.
source_name,NAIDOC Poster Gallery,49,0,0,3,NAIDOC 1974 Poster | NAIDOC 1976 Poster | NAIDOC 1977 Poster | NAIDOC 1978 Poster | NAIDOC 1979 Poster,Cap or sample this source family before further capture; audit risky rows before surface rebuild.
source_name,Princeton University Library Digital Collections / Figgy,41,0,0,0,"Herr Cohen : [poster and banner advertising phrenology lecture] | Poster lore ... an amateur journal for art students and latter Day enthusiasts. [book 1]-2, pt. 1. (Jan.-Sept. 1896). | Ringling Bros and Barnum & Bailey. Key to Circus Interior poster. | Somers Historical Society [Circus collection exhibition poster]. | To the family of our late president ... the Workers of the American Optical Company, Southbridge, Massachusetts, October fourth nineteen twelve / Harvey Hopkins Dunn inv. & delin.",Cap or sample this source family before further capture; audit risky rows before surface rebuild.
source_name,"Wikimedia Commons file source / Petroxestes pera bivalve borings on limestone hardground (Turkey Track Layer, Waynesville Formation, Upper Ordovician; Caesar Creek Lake's emergency spillway, Warren County, Ohio, USA)...",28,28,0,0,"Petroxestes pera bivalve borings on limestone hardground (Turkey Track Layer, Waynesville Formation, Upper Ordovician; Caesar Creek Lake's emergency spillway, Warren County, Ohio, USA) 1.jpg | Petroxestes pera bivalve borings on limestone hardground (Turkey Track Layer, Waynesville Formation, Upper Ordovician; Caesar Creek Lake's emergency spillway, Warren County, Ohio, USA) 10.jpg | Petroxestes pera bivalve borings on limestone hardground (Turkey Track Layer, Waynesville Formation, Upper Ordovician; Caesar Creek Lake's emergency spillway, Warren County, Ohio, USA) 11.jpg | Petroxestes pera bivalve borings on limestone hardground (Turkey Track Layer, Waynesville Formation, Upper Ordovician; Caesar Creek Lake's emergency spillway, Warren County, Ohio, USA) 13.jpg | Petroxestes pera bivalve borings on limestone hardground (Turkey Track Layer, Waynesville Formation, Upper Ordovician; Caesar Creek Lake's emergency spillway, Warren County, Ohio, USA) 14.jpg",Cap or sample this source family before further capture; audit risky rows before surface rebuild.
source_name,Cleveland Museum Open Access API,25,25,0,0,Yvette Guilbert | Virgin and Child | Poster for the Lembrée Gallery | May Milton | Sculptress,Cap or sample this source family before further capture; audit risky rows before surface rebuild.
