surface_id,capture_id,year,title,source_name,region,image_state,surface_type,publication_role,source_scope,source_reading_text_length,reading_text_length,compound_children,review_reason
SURF-CAW2026R00092,CAW2026R00092,1830,Marianne North (1830-1890) - Jamaican Orchids Growing on a Branch of the Calabash Tree - MN111 - Marianne North Gallery.jpg,Wikimedia Commons file source / Marianne North (1830-1890) - Jamaican Orchids Growing on a Branch of the Calabash Tree - MN111 - Marianne North Gallery.jpg / page 164698610,Latin America,IMG03,sheet,main_sheet,single_anchor_record,667,2500,0,single_anchor_no_subsheet_relation
SURF-CAW2026R00041,CAW2026R00041,1830,Marianne North (1830-1890) - Java Flowers - MN664 - Marianne North Gallery.jpg,Wikimedia Commons file source / Marianne North (1830-1890) - Java Flowers - MN664 - Marianne North Gallery.jpg / page 164307343,Seychelles,IMG03,sheet,main_sheet,single_anchor_record,262,2196,0,single_anchor_no_subsheet_relation
SURF-CAW2026R00042,CAW2026R00042,1830,"Marianne North (1830-1890) - Krakatau Volcano, Ngantang, Java - MNS10 - Royal Botanic Gardens, Kew, Library, Art ^ Archives.jpg","Wikimedia Commons file source / Marianne North (1830-1890) - Krakatau Volcano, Ngantang, Java - MNS10 - Royal Botanic Gardens, Kew, Library, Art ^ Archives.jpg / page 164462133",Seychelles,IMG03,sheet,main_sheet,single_anchor_record,442,2317,0,single_anchor_no_subsheet_relation
SURF-CAW2026R00043,CAW2026R00043,1830,"Marianne North (1830-1890) - Krippelboom with False Bay in the Distance, South Africa - MN410 - Marianne North Gallery.jpg","Wikimedia Commons file source / Marianne North (1830-1890) - Krippelboom with False Bay in the Distance, South Africa - MN410 - Marianne North Gallery.jpg / page 164495160",South Africa / Botswana,IMG03,sheet,main_sheet,single_anchor_record,658,2444,0,single_anchor_no_subsheet_relation
SURF-CAW2026R00044,CAW2026R00044,1830,"Marianne North (1830-1890) - Lake Biwa, Japan - MNS5 - Royal Botanic Gardens, Kew, Library, Art ^ Archives.jpg","Wikimedia Commons file source / Marianne North (1830-1890) - Lake Biwa, Japan - MNS5 - Royal Botanic Gardens, Kew, Library, Art ^ Archives.jpg / page 164827258",Japan,IMG03,sheet,main_sheet,single_anchor_record,298,2222,0,single_anchor_no_subsheet_relation
SURF-CAW2026R00045,CAW2026R00045,1830,Marianne North (1830-1890) - Leaf Insect - MN572 - Marianne North Gallery.jpg,Wikimedia Commons file source / Marianne North (1830-1890) - Leaf Insect - MN572 - Marianne North Gallery.jpg / page 164419946,Seychelles,IMG03,sheet,main_sheet,single_anchor_record,253,2190,0,single_anchor_no_subsheet_relation
SURF-CAW2026R00046,CAW2026R00046,1830,"Marianne North (1830-1890) - Looking Seaward from the Mouth of St John's River, Kaffraria - MN359 - Marianne North Gallery.jpg","Wikimedia Commons file source / Marianne North (1830-1890) - Looking Seaward from the Mouth of St John's River, Kaffraria - MN359 - Marianne North Gallery.jpg / page 164228874",Seychelles,IMG03,sheet,main_sheet,single_anchor_record,694,2488,0,single_anchor_no_subsheet_relation
SURF-CAW2026R00047,CAW2026R00047,1830,"Marianne North (1830-1890) - Looking down the Bazaar and Lake of Nynee Tal, Kumaon, North West India - MN342 - Marianne North Gallery, Royal Botanic Gardens, Kew.jpg","Wikimedia Commons file source / Marianne North (1830-1890) - Looking down the Bazaar and Lake of Nynee Tal, Kumaon, North West India - MN342 - Marianne North Gallery, Royal Botanic Gardens, Kew.jpg / page 97542766",India,IMG03,sheet,main_sheet,single_anchor_record,511,2365,0,single_anchor_no_subsheet_relation
SURF-CAW2026R00048,CAW2026R00048,1830,"Marianne North (1830-1890) - Male Inflorescence and Ripe Nuts of the Coco de Mer, Seychelles - MN475 - Marianne North Gallery.jpg","Wikimedia Commons file source / Marianne North (1830-1890) - Male Inflorescence and Ripe Nuts of the Coco de Mer, Seychelles - MN475 - Marianne North Gallery.jpg / page 164661978",Seychelles,IMG03,sheet,main_sheet,single_anchor_record,721,2506,0,single_anchor_no_subsheet_relation
SURF-CAW2026R00049,CAW2026R00049,1830,"Marianne North (1830-1890) - Moon Reflected in a Turtle Pool, Seychelles - MN481 - Marianne North Gallery.jpg","Wikimedia Commons file source / Marianne North (1830-1890) - Moon Reflected in a Turtle Pool, Seychelles - MN481 - Marianne North Gallery.jpg / page 164187053",Seychelles,IMG03,sheet,main_sheet,single_anchor_record,541,2387,0,single_anchor_no_subsheet_relation
SURF-CAW2026R00050,CAW2026R00050,1830,Marianne North (1830-1890) - Mosque of Delhi from the Lahore Gate of the Citadel - MN321 - Marianne North Gallery.jpg,Wikimedia Commons file source / Marianne North (1830-1890) - Mosque of Delhi from the Lahore Gate of the Citadel - MN321 - Marianne North Gallery.jpg / page 164799794,Seychelles,IMG03,sheet,main_sheet,single_anchor_record,613,2434,0,single_anchor_no_subsheet_relation
SURF-CAW2026R00051,CAW2026R00051,1830,Marianne North (1830-1890) - Mosque of Lahore from the Palace - MN323 - Marianne North Gallery.jpg,Wikimedia Commons file source / Marianne North (1830-1890) - Mosque of Lahore from the Palace - MN323 - Marianne North Gallery.jpg / page 164901388,Seychelles,IMG03,sheet,main_sheet,single_anchor_record,442,2320,0,single_anchor_no_subsheet_relation
SURF-CAW2026R00052,CAW2026R00052,1830,"Marianne North (1830-1890) - Orchid and Humming Birds, Brazil - MN96 - Marianne North Gallery.jpg","Wikimedia Commons file source / Marianne North (1830-1890) - Orchid and Humming Birds, Brazil - MN96 - Marianne North Gallery.jpg / page 164784100",Brazil,IMG03,sheet,main_sheet,single_anchor_record,442,2321,0,single_anchor_no_subsheet_relation
SURF-CAW2026R00053,CAW2026R00053,1830,"Marianne North (1830-1890) - Our Camp on the Bunya Mountains, Queensland - MN768 - Marianne North Gallery.jpg","Wikimedia Commons file source / Marianne North (1830-1890) - Our Camp on the Bunya Mountains, Queensland - MN768 - Marianne North Gallery.jpg / page 164321903",Seychelles,IMG03,sheet,main_sheet,single_anchor_record,535,2380,0,single_anchor_no_subsheet_relation
SURF-CAW2026R00054,CAW2026R00054,1830,"Marianne North (1830-1890) - Palawan Trees, Sarawak, Borneo - MN565 - Marianne North Gallery.jpg","Wikimedia Commons file source / Marianne North (1830-1890) - Palawan Trees, Sarawak, Borneo - MN565 - Marianne North Gallery.jpg / page 164808566",Seychelles,IMG03,sheet,main_sheet,single_anchor_record,424,2307,0,single_anchor_no_subsheet_relation
SURF-CAW2026R00055,CAW2026R00055,1830,Marianne North (1830-1890) - Pawan Durfur - MN663 - Marianne North Gallery.jpg,Wikimedia Commons file source / Marianne North (1830-1890) - Pawan Durfur - MN663 - Marianne North Gallery.jpg / page 164364866,Seychelles,IMG03,sheet,main_sheet,single_anchor_record,256,2184,0,single_anchor_no_subsheet_relation
SURF-CAW2026R00056,CAW2026R00056,1830,"Marianne North (1830-1890) - Rocky Landscape - MNS110 - Royal Botanic Gardens, Kew, Library, Art ^ Archives.jpg","Wikimedia Commons file source / Marianne North (1830-1890) - Rocky Landscape - MNS110 - Royal Botanic Gardens, Kew, Library, Art ^ Archives.jpg / page 164483685",Seychelles,IMG03,sheet,main_sheet,single_anchor_record,283,2213,0,single_anchor_no_subsheet_relation
SURF-CAW2026R00057,CAW2026R00057,1830,"Marianne North (1830-1890) - Scene in Dr Atherstone's Garden, Grahamstown - MN445 - Marianne North Gallery.jpg","Wikimedia Commons file source / Marianne North (1830-1890) - Scene in Dr Atherstone's Garden, Grahamstown - MN445 - Marianne North Gallery.jpg / page 164515722",Seychelles,IMG03,sheet,main_sheet,single_anchor_record,550,2380,0,single_anchor_no_subsheet_relation
SURF-CAW2026R00058,CAW2026R00058,1830,"Marianne North (1830-1890) - Sea-Shore near Valparaiso, Chile - MN24 - Marianne North Gallery.jpg","Wikimedia Commons file source / Marianne North (1830-1890) - Sea-Shore near Valparaiso, Chile - MN24 - Marianne North Gallery.jpg / page 164676211",Seychelles,IMG03,sheet,main_sheet,single_anchor_record,436,2312,0,single_anchor_no_subsheet_relation
SURF-CAW2026R00059,CAW2026R00059,1830,"Marianne North (1830-1890) - Seven Snowy Peaks Seen from the Araucaria Forest, Chili - MN6 - Marianne North Gallery.jpg","Wikimedia Commons file source / Marianne North (1830-1890) - Seven Snowy Peaks Seen from the Araucaria Forest, Chili - MN6 - Marianne North Gallery.jpg / page 164309062",Seychelles,IMG03,sheet,main_sheet,single_anchor_record,643,2451,0,single_anchor_no_subsheet_relation
SURF-CAW2026R00060,CAW2026R00060,1830,"Marianne North (1830-1890) - Some of Mrs Cameron's Models with Cocoanut and Teak Trees, Kalutara, Ceylon - MN240 - Marianne North Gallery.jpg","Wikimedia Commons file source / Marianne North (1830-1890) - Some of Mrs Cameron's Models with Cocoanut and Teak Trees, Kalutara, Ceylon - MN240 - Marianne North Gallery.jpg / page 164947035",Seychelles,IMG03,sheet,main_sheet,single_anchor_record,829,2570,0,single_anchor_no_subsheet_relation
SURF-CAW2026R00061,CAW2026R00061,1830,Marianne North (1830-1890) - Street in Ajmere and Gate of the Daghar Mosque - MN797 - Marianne North Gallery.jpg,Wikimedia Commons file source / Marianne North (1830-1890) - Street in Ajmere and Gate of the Daghar Mosque - MN797 - Marianne North Gallery.jpg / page 164313831,Seychelles,IMG03,sheet,main_sheet,single_anchor_record,568,2392,0,single_anchor_no_subsheet_relation
SURF-CAW2026R00062,CAW2026R00062,1830,"Marianne North (1830-1890) - Strelitzia augusta at St John's, Kaffraria - MN369 - Marianne North Gallery.jpg","Wikimedia Commons file source / Marianne North (1830-1890) - Strelitzia augusta at St John's, Kaffraria - MN369 - Marianne North Gallery.jpg / page 164627817",Seychelles,IMG03,sheet,main_sheet,single_anchor_record,532,2379,0,single_anchor_no_subsheet_relation
SURF-CAW2026R00063,CAW2026R00063,1830,Marianne North (1830-1890) - Study of Gulf Weed - MN163 - Marianne North Gallery.jpg,Wikimedia Commons file source / Marianne North (1830-1890) - Study of Gulf Weed - MN163 - Marianne North Gallery.jpg / page 164291795,Seychelles,IMG03,sheet,main_sheet,single_anchor_record,310,2231,0,single_anchor_no_subsheet_relation
SURF-CAW2026R00064,CAW2026R00064,1830,Marianne North (1830-1890) - Study of Screw Pine - MN175 - Marianne North Gallery.jpg,Wikimedia Commons file source / Marianne North (1830-1890) - Study of Screw Pine - MN175 - Marianne North Gallery.jpg / page 164365073,Seychelles,IMG03,sheet,main_sheet,single_anchor_record,319,2235,0,single_anchor_no_subsheet_relation
SURF-CAW2026R00065,CAW2026R00065,1830,Marianne North (1830-1890) - Study of the 'Plant of Life' - MN182 - Marianne North Gallery.jpg,Wikimedia Commons file source / Marianne North (1830-1890) - Study of the 'Plant of Life' - MN182 - Marianne North Gallery.jpg / page 164817369,Seychelles,IMG03,sheet,main_sheet,single_anchor_record,400,2290,0,single_anchor_no_subsheet_relation
SURF-CAW2026R00007,CAW2026R00007,1830,"Marianne North (1830-1890) - Study of the Traveller's Tree of Madagascar in the Botanic Garden of Rio, Brazil - MN58 - Marianne North Gallery.jpg","Wikimedia Commons file source / Marianne North (1830-1890) - Study of the Traveller's Tree of Madagascar in the Botanic Garden of Rio, Brazil - MN58 - Marianne North Gallery.jpg / page 164496375",Brazil,IMG03,sheet,main_sheet,single_anchor_record,874,2605,0,single_anchor_no_subsheet_relation
