batch_id,priority,source_name,dominant_repair_family,candidate_objects,batch_candidate_limit,estimated_weighted_gap_points,source_visible_gap_objects,verified_open_gap_objects,image_state_mix,source_family_route,item_level_evidence_contract,raw_payload_policy,automatic_upgrade_allowed,network_required_for_execution,sample_surface_ids
IMG-RIGHTS-BATCH-0011,P1,Princeton University Library Digital Collections / Figgy,img02_open_rights_review,41,41,18.45,0,41,IMG02:41,princeton_figgy_manifest_rights_review,Confirm item-level open-license/public-domain evidence on the source record before any IMG03 promotion.,metadata/source text/rights evidence only; no image binary download; redact token-like URL params before commit,false,true,SURF-PUL1970R001;SURF-PUL1970R002;SURF-PUL1970R003;SURF-PUL1970R004;SURF-PUL1970R005;SURF-PUL1970R006
IMG-RIGHTS-BATCH-0012,P1,The Met Open Access,img04_text_state_review,15,15,15.00,15,15,IMG04:15,met_collection_object_rights_review,Confirm the record is genuinely text/authority/context-only and should remain IMG04.,metadata/source text/rights evidence only; no image binary download; redact token-like URL params before commit,false,true,SURF-MC1930R007;SURF-MC1930R055;SURF-MC1930R071;SURF-MC1930R072;SURF-MC1930R073;SURF-MC1930R074
IMG-RIGHTS-BATCH-0013,P2,Another Graphic,img02_open_rights_review,15,15,6.75,0,15,IMG02:15,generic_item_source_rights_review,Confirm item-level open-license/public-domain evidence on the source record before any IMG03 promotion.,metadata/source text/rights evidence only; no image binary download; redact token-like URL params before commit,false,true,SURF-ERS1970R001;SURF-ERS1970R002;SURF-ERS1970R003;SURF-ERS1970R004;SURF-ERS1970R005;SURF-ERS1970R007
IMG-RIGHTS-BATCH-0014,P2,Gallica / BnF APIs,img02_open_rights_review,15,15,6.75,0,15,IMG02:15,generic_item_source_rights_review,Confirm item-level open-license/public-domain evidence on the source record before any IMG03 promotion.,metadata/source text/rights evidence only; no image binary download; redact token-like URL params before commit,false,true,SURF-GA1970R016;SURF-GA1970R018;SURF-GA1970R023;SURF-GA1970R024;SURF-GA1970R027;SURF-GA1970R055
IMG-RIGHTS-BATCH-0015,P2,Malaysia Design Archive,img02_open_rights_review,12,12,5.95,1,12,IMG02:11; IMG04:1,generic_item_source_rights_review,Confirm item-level open-license/public-domain evidence on the source record before any IMG03 promotion.,metadata/source text/rights evidence only; no image binary download; redact token-like URL params before commit,false,true,SURF-IAC1990R002;SURF-IAC1990R001;SURF-IAC1990R003;SURF-IAC1990R004;SURF-IAC1990R005;SURF-IAC1990R006
IMG-RIGHTS-BATCH-0016,P2,Malaysian Design Archive,img04_text_state_review,5,5,5.00,5,5,IMG04:5,generic_item_source_rights_review,Confirm the record is genuinely text/authority/context-only and should remain IMG04.,metadata/source text/rights evidence only; no image binary download; redact token-like URL params before commit,false,true,SURF-NMR1990R0001;SURF-NMR1990R0002;SURF-NMR1990R0003;SURF-NMR1990R0004;SURF-NMR1990R0005
IMG-RIGHTS-BATCH-0017,P2,National Repository of Nigeria,img04_text_state_review,5,5,5.00,5,5,IMG04:5,generic_item_source_rights_review,Confirm the record is genuinely text/authority/context-only and should remain IMG04.,metadata/source text/rights evidence only; no image binary download; redact token-like URL params before commit,false,true,SURF-PIC1970R0007;SURF-PIC1970R0008;SURF-SCG1931R0017;SURF-SCG1931R0018;SURF-SCG1931R0019
IMG-RIGHTS-BATCH-0018,P2,Asian Film Archive,img02_open_rights_review,9,9,4.05,0,9,IMG02:9,generic_item_source_rights_review,Confirm item-level open-license/public-domain evidence on the source record before any IMG03 promotion.,metadata/source text/rights evidence only; no image binary download; redact token-like URL params before commit,false,true,SURF-EW1970R001;SURF-EW1970R002;SURF-EW1970R003;SURF-EW1970R004;SURF-EW1970R005;SURF-EW1970R006
IMG-RIGHTS-BATCH-0019,P2,American University of Beirut ScholarWorks,img04_text_state_review,4,4,4.00,4,4,IMG04:4,generic_item_source_rights_review,Confirm the record is genuinely text/authority/context-only and should remain IMG04.,metadata/source text/rights evidence only; no image binary download; redact token-like URL params before commit,false,true,SURF-SCG1931R0013;SURF-SCG1931R0014;SURF-SCG1931R0015;SURF-SCG1931R0016
IMG-RIGHTS-BATCH-0020,P2,Stellenbosch University Scholar,img04_text_state_review,4,4,4.00,4,4,IMG04:4,generic_item_source_rights_review,Confirm the record is genuinely text/authority/context-only and should remain IMG04.,metadata/source text/rights evidence only; no image binary download; redact token-like URL params before commit,false,true,SURF-SCG1931R0005;SURF-SCG1931R0006;SURF-SCG1931R0007;SURF-SCG1931R0008
IMG-RIGHTS-BATCH-0021,P2,University of Ghana Digital Collections,img04_text_state_review,4,4,4.00,4,4,IMG04:4,generic_item_source_rights_review,Confirm the record is genuinely text/authority/context-only and should remain IMG04.,metadata/source text/rights evidence only; no image binary download; redact token-like URL params before commit,false,true,SURF-PIC1970R0001;SURF-PIC1970R0002;SURF-PIC1970R0003;SURF-PIC1970R0004
IMG-RIGHTS-BATCH-0022,P2,University of Pretoria Research Repository,img04_text_state_review,4,4,4.00,4,4,IMG04:4,generic_item_source_rights_review,Confirm the record is genuinely text/authority/context-only and should remain IMG04.,metadata/source text/rights evidence only; no image binary download; redact token-like URL params before commit,false,true,SURF-SCG1931R0001;SURF-SCG1931R0002;SURF-SCG1931R0003;SURF-SCG1931R0004
IMG-RIGHTS-BATCH-0023,P2,Wits University WiredSpace,img04_text_state_review,4,4,4.00,4,4,IMG04:4,generic_item_source_rights_review,Confirm the record is genuinely text/authority/context-only and should remain IMG04.,metadata/source text/rights evidence only; no image binary download; redact token-like URL params before commit,false,true,SURF-SCG1931R0009;SURF-SCG1931R0010;SURF-SCG1931R0011;SURF-SCG1931R0012
IMG-RIGHTS-BATCH-0024,P2,Design Reviewed,img02_open_rights_review,8,8,3.60,0,8,IMG02:8,generic_item_source_rights_review,Confirm item-level open-license/public-domain evidence on the source record before any IMG03 promotion.,metadata/source text/rights evidence only; no image binary download; redact token-like URL params before commit,false,true,SURF-EW1970R020;SURF-EW1970R021;SURF-EW1970R022;SURF-EW1970R023;SURF-EW1970R024;SURF-EW1970R025
IMG-RIGHTS-BATCH-0025,P2,Letterform Archive,img02_open_rights_review,8,8,3.60,0,8,IMG02:8,generic_item_source_rights_review,Confirm item-level open-license/public-domain evidence on the source record before any IMG03 promotion.,metadata/source text/rights evidence only; no image binary download; redact token-like URL params before commit,false,true,SURF-EW1970R028;SURF-EW1970R029;SURF-EW1970R030;SURF-EW1970R031;SURF-EW1970R032;SURF-EW1970R033
IMG-RIGHTS-BATCH-0026,P2,University of Cape Town Digital Collections,img02_open_rights_review,8,8,3.60,0,8,IMG02:8,generic_item_source_rights_review,Confirm item-level open-license/public-domain evidence on the source record before any IMG03 promotion.,metadata/source text/rights evidence only; no image binary download; redact token-like URL params before commit,false,true,SURF-PIC1970R0005;SURF-PIC1970R0006;SURF-SCG1931R0020;SURF-SCG1931R0021;SURF-SCG1931R0022;SURF-SCG1931R0023
IMG-RIGHTS-BATCH-0027,P2,Auckland Libraries Heritage Collections / CONTENTdm,img02_open_rights_review,5,5,3.35,2,5,IMG02:3; IMG04:2,generic_item_source_rights_review,Confirm item-level open-license/public-domain evidence on the source record before any IMG03 promotion.,metadata/source text/rights evidence only; no image binary download; redact token-like URL params before commit,false,true,SURF-SBC1970R0009;SURF-SBC1970R0010;SURF-SBC1970R0001;SURF-SBC1970R0007;SURF-SBC1970R0008
IMG-RIGHTS-BATCH-0028,P2,GALA Queer Archive,img02_open_rights_review,4,4,2.35,1,4,IMG02:3; IMG04:1,generic_item_source_rights_review,Confirm item-level open-license/public-domain evidence on the source record before any IMG03 promotion.,metadata/source text/rights evidence only; no image binary download; redact token-like URL params before commit,false,true,SURF-NMR1990R0015;SURF-NMR1990R0014;SURF-NMR1990R0016;SURF-NMR1990R0017
IMG-RIGHTS-BATCH-0029,P2,Los Angeles Public Library Tessa / CONTENTdm,img02_open_rights_review,5,5,2.25,0,5,IMG02:5,generic_item_source_rights_review,Confirm item-level open-license/public-domain evidence on the source record before any IMG03 promotion.,metadata/source text/rights evidence only; no image binary download; redact token-like URL params before commit,false,true,SURF-SBC1970R0017;SURF-SBC1970R0018;SURF-SBC1970R0019;SURF-SBC1970R0020;SURF-SBC1970R0021
IMG-RIGHTS-BATCH-0030,P2,University of Miami Libraries Digital Collections / CONTENTdm,img02_open_rights_review,5,5,2.25,0,5,IMG02:5,generic_item_source_rights_review,Confirm item-level open-license/public-domain evidence on the source record before any IMG03 promotion.,metadata/source text/rights evidence only; no image binary download; redact token-like URL params before commit,false,true,SURF-SBC1970R0031;SURF-SBC1970R0032;SURF-SBC1970R0033;SURF-SBC1970R0034;SURF-SBC1970R0035
IMG-RIGHTS-BATCH-0031,P2,University of Washington Digital Collections / CONTENTdm,img02_open_rights_review,5,5,2.25,0,5,IMG02:5,generic_item_source_rights_review,Confirm item-level open-license/public-domain evidence on the source record before any IMG03 promotion.,metadata/source text/rights evidence only; no image binary download; redact token-like URL params before commit,false,true,SURF-SBC1970R0022;SURF-SBC1970R0023;SURF-SBC1970R0024;SURF-SBC1970R0025;SURF-SBC1970R0027
IMG-RIGHTS-BATCH-0032,P2,NAIDOC / AIATSIS,img04_text_state_review,2,2,2.00,2,2,IMG04:2,naidoc_source_page_rights_review,Confirm the record is genuinely text/authority/context-only and should remain IMG04.,metadata/source text/rights evidence only; no image binary download; redact token-like URL params before commit,false,true,SURF-NXS2026R009;SURF-NXS2026R010
IMG-RIGHTS-BATCH-0033,P2,African Digital Heritage,img02_open_rights_review,4,4,1.80,0,4,IMG02:4,generic_item_source_rights_review,Confirm item-level open-license/public-domain evidence on the source record before any IMG03 promotion.,metadata/source text/rights evidence only; no image binary download; redact token-like URL params before commit,false,true,SURF-NMR1990R0010;SURF-NMR1990R0011;SURF-NMR1990R0012;SURF-NMR1990R0013
IMG-RIGHTS-BATCH-0034,P2,Barjeel Art Foundation,img02_open_rights_review,4,4,1.80,0,4,IMG02:4,generic_item_source_rights_review,Confirm item-level open-license/public-domain evidence on the source record before any IMG03 promotion.,metadata/source text/rights evidence only; no image binary download; redact token-like URL params before commit,false,true,SURF-NMR1990R0006;SURF-NMR1990R0007;SURF-NMR1990R0008;SURF-NMR1990R0009
IMG-RIGHTS-BATCH-0035,P2,Desain Grafis Indonesia,img02_open_rights_review,4,4,1.80,0,4,IMG02:4,generic_item_source_rights_review,Confirm item-level open-license/public-domain evidence on the source record before any IMG03 promotion.,metadata/source text/rights evidence only; no image binary download; redact token-like URL params before commit,false,true,SURF-EW1970R010;SURF-EW1970R011;SURF-EW1970R012;SURF-EW1970R013
IMG-RIGHTS-BATCH-0036,P2,Indian Memory Project,img02_open_rights_review,4,4,1.80,0,4,IMG02:4,generic_item_source_rights_review,Confirm item-level open-license/public-domain evidence on the source record before any IMG03 promotion.,metadata/source text/rights evidence only; no image binary download; redact token-like URL params before commit,false,true,SURF-NMR1990R0018;SURF-NMR1990R0019;SURF-NMR1990R0020;SURF-NMR1990R0021
IMG-RIGHTS-BATCH-0037,P2,National Archives of Kazakhstan,img04_text_state_review,2,2,1.45,1,2,IMG04:1; IMG02:1,generic_item_source_rights_review,Confirm the record is genuinely text/authority/context-only and should remain IMG04.,metadata/source text/rights evidence only; no image binary download; redact token-like URL params before commit,false,true,SURF-NMSP2026R0058;SURF-NMIIC2026R0147
IMG-RIGHTS-BATCH-0038,P2,Biblioteca Nacional Digital de Chile / Memoria Chilena,img02_open_rights_review,3,3,1.35,0,3,IMG02:3,generic_item_source_rights_review,Confirm item-level open-license/public-domain evidence on the source record before any IMG03 promotion.,metadata/source text/rights evidence only; no image binary download; redact token-like URL params before commit,false,true,SURF-NXS2026R001;SURF-NXS2026R006;SURF-NXS2026R008
IMG-RIGHTS-BATCH-0039,P2,SMU Libraries Digital Collections / CONTENTdm,img02_open_rights_review,3,3,1.35,0,3,IMG02:3,generic_item_source_rights_review,Confirm item-level open-license/public-domain evidence on the source record before any IMG03 promotion.,metadata/source text/rights evidence only; no image binary download; redact token-like URL params before commit,false,true,SURF-SBC1970R0028;SURF-SBC1970R0029;SURF-SBC1970R0030
IMG-RIGHTS-BATCH-0040,P2,South African History Archive,img02_open_rights_review,3,3,1.35,0,3,IMG02:3,generic_item_source_rights_review,Confirm item-level open-license/public-domain evidence on the source record before any IMG03 promotion.,metadata/source text/rights evidence only; no image binary download; redact token-like URL params before commit,false,true,SURF-NXS2026R004;SURF-NXS2026R005;SURF-NXS2026R007
IMG-RIGHTS-BATCH-0041,P2,Afghanistan Centre at Kabul University,img04_text_state_review,1,1,1.00,1,1,IMG04:1,generic_item_source_rights_review,Confirm the record is genuinely text/authority/context-only and should remain IMG04.,metadata/source text/rights evidence only; no image binary download; redact token-like URL params before commit,false,true,SURF-NMSP2026R0092
IMG-RIGHTS-BATCH-0042,P2,Afghanistan Digital Library,img04_text_state_review,1,1,1.00,1,1,IMG04:1,generic_item_source_rights_review,Confirm the record is genuinely text/authority/context-only and should remain IMG04.,metadata/source text/rights evidence only; no image binary download; redact token-like URL params before commit,false,true,SURF-NMSP2026R0091
IMG-RIGHTS-BATCH-0043,P2,African Activist Archive,img04_text_state_review,1,1,1.00,1,1,IMG04:1,generic_item_source_rights_review,Confirm the record is genuinely text/authority/context-only and should remain IMG04.,metadata/source text/rights evidence only; no image binary download; redact token-like URL params before commit,false,true,SURF-ESR1931R001
IMG-RIGHTS-BATCH-0044,P2,Aga Khan Documentation Center Collections,img04_text_state_review,1,1,1.00,1,1,IMG04:1,generic_item_source_rights_review,Confirm the record is genuinely text/authority/context-only and should remain IMG04.,metadata/source text/rights evidence only; no image binary download; redact token-like URL params before commit,false,true,SURF-NMSP2026R0107
IMG-RIGHTS-BATCH-0045,P2,Alexander Turnbull Library,img04_text_state_review,1,1,1.00,1,1,IMG04:1,generic_item_source_rights_review,Confirm the record is genuinely text/authority/context-only and should remain IMG04.,metadata/source text/rights evidence only; no image binary download; redact token-like URL params before commit,false,true,SURF-NMSP2026R0069
IMG-RIGHTS-BATCH-0046,P2,American University of Beirut Libraries,img04_text_state_review,1,1,1.00,1,1,IMG04:1,generic_item_source_rights_review,Confirm the record is genuinely text/authority/context-only and should remain IMG04.,metadata/source text/rights evidence only; no image binary download; redact token-like URL params before commit,false,true,SURF-NMSP2026R0041
IMG-RIGHTS-BATCH-0047,P2,Archives Nationales de Tunisie,img04_text_state_review,1,1,1.00,1,1,IMG04:1,generic_item_source_rights_review,Confirm the record is genuinely text/authority/context-only and should remain IMG04.,metadata/source text/rights evidence only; no image binary download; redact token-like URL params before commit,false,true,SURF-NMSP2026R0007
IMG-RIGHTS-BATCH-0048,P2,Archives Nationales du Benin,img04_text_state_review,1,1,1.00,1,1,IMG04:1,generic_item_source_rights_review,Confirm the record is genuinely text/authority/context-only and should remain IMG04.,metadata/source text/rights evidence only; no image binary download; redact token-like URL params before commit,false,true,SURF-NMSP2026R0072
IMG-RIGHTS-BATCH-0049,P2,Archives Nationales du Cameroun,img04_text_state_review,1,1,1.00,1,1,IMG04:1,generic_item_source_rights_review,Confirm the record is genuinely text/authority/context-only and should remain IMG04.,metadata/source text/rights evidence only; no image binary download; redact token-like URL params before commit,false,true,SURF-NMSP2026R0073
IMG-RIGHTS-BATCH-0050,P2,Archives Nationales du Senegal,img04_text_state_review,1,1,1.00,1,1,IMG04:1,generic_item_source_rights_review,Confirm the record is genuinely text/authority/context-only and should remain IMG04.,metadata/source text/rights evidence only; no image binary download; redact token-like URL params before commit,false,true,SURF-NMSP2026R0010
IMG-RIGHTS-BATCH-0051,P2,Archivo General de Centro America,img04_text_state_review,1,1,1.00,1,1,IMG04:1,generic_item_source_rights_review,Confirm the record is genuinely text/authority/context-only and should remain IMG04.,metadata/source text/rights evidence only; no image binary download; redact token-like URL params before commit,false,true,SURF-NMSP2026R0030
IMG-RIGHTS-BATCH-0052,P2,Archivo General de Puerto Rico,img04_text_state_review,1,1,1.00,1,1,IMG04:1,generic_item_source_rights_review,Confirm the record is genuinely text/authority/context-only and should remain IMG04.,metadata/source text/rights evidence only; no image binary download; redact token-like URL params before commit,false,true,SURF-NMSP2026R0088
IMG-RIGHTS-BATCH-0053,P2,Archivo General de la Nacion Peru,img04_text_state_review,1,1,1.00,1,1,IMG04:1,generic_item_source_rights_review,Confirm the record is genuinely text/authority/context-only and should remain IMG04.,metadata/source text/rights evidence only; no image binary download; redact token-like URL params before commit,false,true,SURF-NMSP2026R0021
IMG-RIGHTS-BATCH-0054,P2,Archivo General de la Nacion Republica Dominicana,img04_text_state_review,1,1,1.00,1,1,IMG04:1,generic_item_source_rights_review,Confirm the record is genuinely text/authority/context-only and should remain IMG04.,metadata/source text/rights evidence only; no image binary download; redact token-like URL params before commit,false,true,SURF-NMSP2026R0037
IMG-RIGHTS-BATCH-0055,P2,Archivo General de la Nacion Venezuela,img04_text_state_review,1,1,1.00,1,1,IMG04:1,generic_item_source_rights_review,Confirm the record is genuinely text/authority/context-only and should remain IMG04.,metadata/source text/rights evidence only; no image binary download; redact token-like URL params before commit,false,true,SURF-NMSP2026R0026
IMG-RIGHTS-BATCH-0056,P2,Archivo Nacional de Asuncion,img04_text_state_review,1,1,1.00,1,1,IMG04:1,generic_item_source_rights_review,Confirm the record is genuinely text/authority/context-only and should remain IMG04.,metadata/source text/rights evidence only; no image binary download; redact token-like URL params before commit,false,true,SURF-NMSP2026R0020
IMG-RIGHTS-BATCH-0057,P2,Archivo Nacional de Chile,img04_text_state_review,1,1,1.00,1,1,IMG04:1,generic_item_source_rights_review,Confirm the record is genuinely text/authority/context-only and should remain IMG04.,metadata/source text/rights evidence only; no image binary download; redact token-like URL params before commit,false,true,SURF-NMSP2026R0016
IMG-RIGHTS-BATCH-0058,P2,Archivo Nacional de Costa Rica,img04_text_state_review,1,1,1.00,1,1,IMG04:1,generic_item_source_rights_review,Confirm the record is genuinely text/authority/context-only and should remain IMG04.,metadata/source text/rights evidence only; no image binary download; redact token-like URL params before commit,false,true,SURF-NMSP2026R0031
IMG-RIGHTS-BATCH-0059,P2,Archivo Nacional de Panama,img04_text_state_review,1,1,1.00,1,1,IMG04:1,generic_item_source_rights_review,Confirm the record is genuinely text/authority/context-only and should remain IMG04.,metadata/source text/rights evidence only; no image binary download; redact token-like URL params before commit,false,true,SURF-NMSP2026R0032
IMG-RIGHTS-BATCH-0060,P2,Arquivo Historico de Mocambique,img04_text_state_review,1,1,1.00,1,1,IMG04:1,generic_item_source_rights_review,Confirm the record is genuinely text/authority/context-only and should remain IMG04.,metadata/source text/rights evidence only; no image binary download; redact token-like URL params before commit,false,true,SURF-NMSP2026R0076
IMG-RIGHTS-BATCH-0061,P2,Arquivo Nacional de Cabo Verde,img04_text_state_review,1,1,1.00,1,1,IMG04:1,generic_item_source_rights_review,Confirm the record is genuinely text/authority/context-only and should remain IMG04.,metadata/source text/rights evidence only; no image binary download; redact token-like URL params before commit,false,true,SURF-NMSP2026R0080
IMG-RIGHTS-BATCH-0062,P2,Ateneo Rizal Library Digital Archives,img04_text_state_review,1,1,1.00,1,1,IMG04:1,generic_item_source_rights_review,Confirm the record is genuinely text/authority/context-only and should remain IMG04.,metadata/source text/rights evidence only; no image binary download; redact token-like URL params before commit,false,true,SURF-ESR1931R037
IMG-RIGHTS-BATCH-0063,P2,Bag Factory Artists' Studios Archive,img04_text_state_review,1,1,1.00,1,1,IMG04:1,generic_item_source_rights_review,Confirm the record is genuinely text/authority/context-only and should remain IMG04.,metadata/source text/rights evidence only; no image binary download; redact token-like URL params before commit,false,true,SURF-NMSP2026R0106
IMG-RIGHTS-BATCH-0064,P2,Bahrain Authority for Culture and Antiquities,img04_text_state_review,1,1,1.00,1,1,IMG04:1,generic_item_source_rights_review,Confirm the record is genuinely text/authority/context-only and should remain IMG04.,metadata/source text/rights evidence only; no image binary download; redact token-like URL params before commit,false,true,SURF-NMSP2026R0045
IMG-RIGHTS-BATCH-0065,P2,Biblioteca Digital de Bogota,img04_text_state_review,1,1,1.00,1,1,IMG04:1,generic_item_source_rights_review,Confirm the record is genuinely text/authority/context-only and should remain IMG04.,metadata/source text/rights evidence only; no image binary download; redact token-like URL params before commit,false,true,SURF-NMSP2026R0023
IMG-RIGHTS-BATCH-0066,P2,Biblioteca Nacional de Angola,img04_text_state_review,1,1,1.00,1,1,IMG04:1,generic_item_source_rights_review,Confirm the record is genuinely text/authority/context-only and should remain IMG04.,metadata/source text/rights evidence only; no image binary download; redact token-like URL params before commit,false,true,SURF-NMSP2026R0075
IMG-RIGHTS-BATCH-0067,P2,Biblioteca Nacional de Brasil,img04_text_state_review,1,1,1.00,1,1,IMG04:1,generic_item_source_rights_review,Confirm the record is genuinely text/authority/context-only and should remain IMG04.,metadata/source text/rights evidence only; no image binary download; redact token-like URL params before commit,false,true,SURF-NMSP2026R0027
IMG-RIGHTS-BATCH-0068,P2,Biblioteca Nacional de Colombia,img04_text_state_review,1,1,1.00,1,1,IMG04:1,generic_item_source_rights_review,Confirm the record is genuinely text/authority/context-only and should remain IMG04.,metadata/source text/rights evidence only; no image binary download; redact token-like URL params before commit,false,true,SURF-NMSP2026R0022
IMG-RIGHTS-BATCH-0069,P2,Biblioteca Nacional de Guatemala,img04_text_state_review,1,1,1.00,1,1,IMG04:1,generic_item_source_rights_review,Confirm the record is genuinely text/authority/context-only and should remain IMG04.,metadata/source text/rights evidence only; no image binary download; redact token-like URL params before commit,false,true,SURF-NMSP2026R0029
IMG-RIGHTS-BATCH-0070,P2,Biblioteca Nacional de Mocambique,img04_text_state_review,1,1,1.00,1,1,IMG04:1,generic_item_source_rights_review,Confirm the record is genuinely text/authority/context-only and should remain IMG04.,metadata/source text/rights evidence only; no image binary download; redact token-like URL params before commit,false,true,SURF-NMSP2026R0077
IMG-RIGHTS-BATCH-0071,P2,Biblioteca Nacional de Puerto Rico,img04_text_state_review,1,1,1.00,1,1,IMG04:1,generic_item_source_rights_review,Confirm the record is genuinely text/authority/context-only and should remain IMG04.,metadata/source text/rights evidence only; no image binary download; redact token-like URL params before commit,false,true,SURF-NMSP2026R0087
IMG-RIGHTS-BATCH-0072,P2,Biblioteca Nacional de Venezuela,img04_text_state_review,1,1,1.00,1,1,IMG04:1,generic_item_source_rights_review,Confirm the record is genuinely text/authority/context-only and should remain IMG04.,metadata/source text/rights evidence only; no image binary download; redact token-like URL params before commit,false,true,SURF-NMSP2026R0025
IMG-RIGHTS-BATCH-0073,P2,Biblioteca Nacional del Paraguay,img04_text_state_review,1,1,1.00,1,1,IMG04:1,generic_item_source_rights_review,Confirm the record is genuinely text/authority/context-only and should remain IMG04.,metadata/source text/rights evidence only; no image binary download; redact token-like URL params before commit,false,true,SURF-NMSP2026R0019
IMG-RIGHTS-BATCH-0074,P2,Bibliotheca Alexandrina Memory of Modern Egypt,img04_text_state_review,1,1,1.00,1,1,IMG04:1,generic_item_source_rights_review,Confirm the record is genuinely text/authority/context-only and should remain IMG04.,metadata/source text/rights evidence only; no image binary download; redact token-like URL params before commit,false,true,SURF-NMSP2026R0048
