event_node_id,event_name,event_type,region_id,geo_id,date_start,date_end,date_text,related_node_ids,related_regional_movement_ids,source_need,rights_risk,status,notes,event_date_start,event_date_end,date_precision,anchor_strength,source_record_required,browse_priority,web_archive_relevant
REN029,"Indian multilingual typography, publishing, state design, and popular print",multiscript node,REG012,GEO051,1800,,19th c.-present,HN005; HN009; HN014; HN015,RM041; RM042; RM043,national libraries; film archives; typography archives,high,launch_scope,Multiscript metadata shapes the archive system itself.,,,,,,,
REN030,"South Asian political, film, and multilingual design beyond India",regional multiscript node,REG012,GEO050,1947,,post-1947,HN009; HN012; HN013; HN015,RM043,national archives; community archives; periodicals,high,launch_scope,"Pakistan, Bangladesh, Sri Lanka, Nepal and diaspora contexts must not disappear.",,,,,,,
REN031,Arabic/Persian/Hebrew/Turkish typography and publishing as modern graphic design infrastructure,script/typography node,REG013,GEO055,1800,,19th c.-present,HN005; HN014; HN015,RM044; RM046; RM047; RM048,national libraries; type archives; periodicals,high,launch_scope,RTL and script fields are database requirements.,,,,,,,
REN032,"MENA film, political poster, revolutionary, and postcolonial graphics",political/popular node,REG013,GEO055,1920,,c.1920s-present,HN009; HN012; HN013,RM045; RM046; RM048,poster archives; film archives; university collections,high,launch_scope,Must not be represented only through conflict imagery.,,,,,,,
REN033,"African independence, anti-apartheid, publishing, and vernacular commercial graphics",decolonial/commercial node,REG014,GEO061,1945,,c.1945-present,HN009; HN012; HN013; HN015,RM049; RM050; RM051; RM052,national archives; community archives; web archives,high,launch_scope,Africa must be decomposed and represented as methodologically central.,,,,,,,
REN034,"Australian and Aotearoa public, Indigenous, protest, and web/archive graphics",public/community node,REG015,GEO068,1900,,20th c.-present,HN009; HN010; HN012; HN015,RM053; RM054,Trove; DigitalNZ; community archives; web archives,high,launch_scope,Cultural protocols and rights display are structural.,,,,,,,
REN035,Pacific community and diasporic visual communication,community/diaspora node,REG015,GEO071,1950,,c.1950s-present,HN012; HN013; HN015,RM055,community archives; web archives; national libraries,high,launch_scope,Expose source gaps and protocols rather than hiding sparse digitization.,,,,,,,
REN036,Taller de Grafica Popular founded in Mexico City,workshop/political print node,REG004,GEO027,1937,1937,1937,HN009; HN012; HN013,RM068,TGP archives; museum collections; political print collections,medium-high,launch_scope,Dateable anchor for Mexican popular/political print and global solidarity graphics.,,,,,,,
REN037,Bengali/Bangla Language Movement visual culture,language/political node,REG012,GEO053,1952,1952,1952,HN009; HN012; HN014,RM061,Bangladesh archives; newspapers; memorial and language movement collections,high,launch_scope,Language/script politics as graphic design history.,,,,,,,
REN038,Bandung Conference and Afro-Asian solidarity visual networks,transnational/political node,REG011,GEO044,1955,1955,1955,HN009; HN012,RM049; RM066,UNESCO/MoW records; newspapers; poster and solidarity archives,high,launch_scope,Anti-colonial transnational route across Asia and Africa.,,,,,,,
REN039,ICAIC foundation and Cuban film poster culture,film/poster node,REG004,GEO029,1959,1959,1959,HN009; HN012; HN013,RM020,film institutes; poster archives; museum collections,high,launch_scope,Dateable institutional anchor for Cuban film poster graphics.,,,,,,,
REN040,National Institute of Design established in India,design education node,REG012,GEO051,1961,1961,1961,HN010; HN011; HN014,RM041; RM043,NID Archives; design education records; publications,medium-high,launch_scope,Major design education and state-development anchor.,,,,,,,
REN041,Singapore public campaign poster phase,state/public information node,REG011,GEO095,1965,,c.1965-present,HN009; HN010; HN011,RM063,NLB; NAS; government campaign records; newspapers,high,launch_scope,Multilingual state campaign design anchor.,,,,,,,
REN042,Zig-Zag magazine launch in Chile,editorial/popular media node,REG004,GEO032,1905,1905,1905,HN005; HN011; HN013,RM069,Memoria Chilena; periodical archives,medium-high,launch_scope,Editorial and magazine design anchor beyond poster history.,,,,,,,
REN043,Aboriginal Tent Embassy and rights graphics,Indigenous/counterpublic node,REG015,GEO104,1972,1972,1972,HN012; HN013,RM073,AIATSIS; Trove; community archives; newspapers,high,launch_scope,Protocol-sensitive Indigenous rights visual culture anchor.,,,,,,,
REN044,Medu Art Ensemble and culture/resistance network,workshop/solidarity node,REG014,GEO102,1982,1982,1982,HN009; HN012,RM071,SAHA; DISA; African Activist Archive; workshop records,high,launch_scope,Southern African anti-apartheid workshop/network anchor.,,,,,,,
REN045,Iranian Revolution public graphics,revolutionary/public graphics node,REG013,GEO083,1979,1979,1979,HN009; HN012; HN014,RM058,NLAI; poster collections; periodicals,high,launch_scope,Dateable postrevolutionary public graphics anchor.,,,,,,,
REN046,Doi Moi media and commercial design transition,state/commercial transition node,REG011,GEO047,1986,1986,1986,HN011; HN014; HN015,RM065,Vietnamese archives; newspapers; advertising and web records,high,launch_scope,Vietnamese transition from state visual communication to market/digital design.,,,,,,,
REN047,Korea OASIS web archiving begins,web archive/digital preservation node,REG006,GEO038,2004,2004,2004,HN015,RM027,OASIS Korea; web archive documentation,high,launch_scope,Born-digital preservation anchor for Korean web/interface culture.,,,,,,,
REN048,Early Maori newspaper phase,Indigenous/language print node,REG015,GEO106,1842,,c.1842 onward,HN005; HN012; HN014,RM072,Papers Past; national libraries; Maori newspaper collections,high,launch_scope,Early source-language print anchor for Maori niupepa and language design.,,,,,,,
REN049,Bauhaus founding in Weimar,school founding,REG001,GEO006,1919,1919,1919,HN008,RM075,Met; Bauhaus institutional histories; Internet Archive,medium,first_ingest_scope,"Clean anchor for institution, manifesto, teachers, workshops, and diaspora relations.",1919,1919,year,high,yes,A,false
REN050,Poster Museum at Wilanow opens,institutional poster node,REG002,GEO018,1968,1968,1968,HN009; HN010; HN013,RM076,Poster Museum; Culture.pl,medium-high,first_ingest_scope,Stable institutional node for the Polish Poster School.,1968,1968,year,high,yes,A,false
REN051,IBM corporate design program begins,corporate design program,REG003,GEO025,1956,1956,1956,HN010; HN011,RM077,IBM history; Cooper Hewitt,high,first_ingest_scope,"Anchors manuals, systems, logos, signage, and institution-wide design governance.",1956,1956,year,high,yes,A,false
REN052,Taller de Grafica Popular founded,workshop founding,REG004,GEO027,1937,1937,1937,HN009; HN012; HN013,RM078,Met; MoMA; Internet Archive,medium-high,first_ingest_scope,Dateable anchor for collective authorship and popular-print networks.,1937,1937,year,high,yes,A,false
REN053,Brigadas Ramona Parra propaganda cycle,counterpublic mural/propaganda node,REG004,GEO032,1969,1988,c.1969-1980s,HN009; HN012; HN013,RM079,Memoria Chilena; Chilean archive authorities,high,first_ingest_scope,Anchors Chilean collective mural and propaganda graphics.,1969,1988,range,medium,yes,A,false
REN054,World Design Conference in Tokyo,design conference,REG005,GEO036,1960,1960,11-16 May 1960,HN010; HN011; HN014,RM080,M+; NDC; NDL,high,first_ingest_scope,Dateable multilingual event and East Asia network anchor.,1960,1960,exact_date,high,yes,A,false
REN055,Launch of Shanghai Sketch,periodical launch,REG008,GEO040,1928,1928,1928,HN005; HN007; HN013,RM081,Internet Archive; British Museum; authority cluster,high,first_ingest_scope,Issue-based anchor for Chinese-language periodical hierarchy.,1928,1928,year,high,yes,A,false
REN056,Kwangju Uprising as Minjung poster anchor,political event,REG006,GEO038,1980,1980,May 1980,HN009; HN012; HN014,RM082,Library of Congress Korean collection,high,first_ingest_scope,Event-linked poster production and later democratization references.,1980,1980,month,high,yes,A,false
REN057,Singapore multilingual public campaign poster phase,public information phase,REG011,GEO095,1965,1985,c.1965-1985,HN009; HN010; HN011,RM083,NLB Singapore; BiblioAsia,high,first_ingest_scope,Multilingual state-campaign and catalogue-record anchor.,1965,1985,range,medium,yes,A,false
REN058,National Institute of Design established,design education founding,REG012,GEO051,1961,1961,1961,HN010; HN011; HN014,RM084,NID; Internet Archive; authority cluster,medium-high,first_ingest_scope,"Anchors pedagogy, state-building, and design education records.",1961,1961,year,high,yes,A,false
REN059,Tehran graphic-design exhibition context,professionalization/exhibition node,REG013,GEO083,1964,1964,1964,HN010; HN011; HN014,RM085,Encyclopaedia Iranica; authority cluster,high,first_ingest_scope,Anchor for Iranian modern poster and graphic-design professionalization.,1964,1964,year,medium,yes,A,false
REN060,Culture and Resistance festival,workshop/solidarity event,REG014,GEO102,1982,1982,5-9 July 1982,HN009; HN012,RM086,SAHA; SAHO,high,first_ingest_scope,"African event node linking posters, symposium material, and diaspora activism.",1982,1982,exact_date,high,yes,A,false
REN061,NAIDOC poster series and Aboriginal land-rights poster culture,Indigenous/protocol-sensitive poster node,REG015,GEO104,1972,,1972-present,HN012; HN013; HN015,RM087,AIATSIS; Trove/NLA; NAIDOC,high,first_ingest_scope,Protocol-sensitive Indigenous poster anchor.,1972,,open_range,high,yes,A,false
REN062,ACT UP founded,queer counterpublic organization founding,REG003,GEO025,1987,1987,March 1987,HN012; HN013,RM088,ACT UP archives; MoMA; NLM,high,first_ingest_scope,Clean event anchor for Gran Fury and AIDS activist graphics.,1987,1987,month,high,yes,A,false
REN063,"First website, CSS1, and GeoCities archival transition",born-digital/web standards node,REG007,GEO001,1991,2009,1991-2009,HN014; HN015,RM089,CERN; W3C; Wayback Machine; Internet Archive,very high,first_ingest_scope,Born-digital source-chain and platform-loss anchor.,1991,2009,range,high,yes,A,true
