source_expansion_id,source_name,region,source_type,url,access_method,api_iiif_oai_data,likely_record_types,graphic_design_relevance,rights_clarity,stable_identifier_quality,automation_feasibility,default_image_zone,recommended_use,evidence
GSE049,Memoria Chilena,Latin America,Digital resource center,https://www.memoriachilena.gob.cl/,OAI + web,OAI exposure; thematic research pages,"Books, images, documents, visual arts topics","Strong for Chilean print, visual arts, periodicals",Med-High,Med,Med,IMG02,backup,[51]
GSE050,Biblioteca Nacional Digital de Chile,Latin America,National digital portal,https://www.bibliotecanacionaldigital.gob.cl/,Web,Stable collection pages,Digital collections across BN Chile,"Strong for magazines, graphics, photo and music archives",Med,Med,Med,IMG02,backup,[52]
GSE051,Archivo de la Gráfica Chilena,Latin America,Specialized subcollection,https://www.bibliotecanacionaldigital.gob.cl/bnd/612/w3-propertyname-672.html,Web,Subcollection pages,Graphic archive records,Directly relevant to graphic design history,Med,Med,Med,IMG02,backup,[53]
GSE052,BNd Periódicos,Latin America,Specialized subcollection,https://www.bibliotecanacionaldigital.gob.cl/bnd/633/w3-channel.html,Web,Section pages,Newspapers and periodicals,Strong for editorial design and advertising,Med,Med,Med,IMG02,backup,[54]
GSE053,Memórica México,Latin America,National memory repository,https://memoricamexico.gob.mx/,Web,License pages; repository,"Photos, archives, historical documents",Strong for modern Mexican visual culture context,Med,Med,Med,IMG02,backup,[55]
GSE054,Biblioteca Digital Mexicana,Latin America,Multi-institutional portal,https://bdmx.mx/,Web,Stable institutional pages,"Historical documents, manuscripts, images",Good contextual and bibliographic layer,Med,Med,Med,IMG02,backup,[56]
GSE055,Biblioteca Nacional de Colombia Digital,Latin America,National digital library,https://www.bibliotecanacional.gov.co/es-co/colecciones/biblioteca-digital/,Web,Stable digital sections,"Books, maps, exhibitions, photo/story portals","Useful for Colombian print, books, editorial history",Low-Med,Med,Low-Med,IMG02,backup,[57]
GSE056,Biblioteca Pública Piloto Archivo Fotográfico,Latin America,Public library photographic archive,https://bibliotecapiloto.gov.co/archivo-fotografico,Web,Stable archive pages,"Historical photographs, archive collections",Important for Medellín visual culture and publishing context,Low-Med,Med,Low-Med,IMG01,backup,[58]
GSE057,Instituto Moreira Salles Acervo,Latin America,Cultural institute collection,https://ims.com.br/acervo/,Web,Public-domain sharing via Wikimedia noted,"Photography, iconography, literature archives",High value for Brazilian photography and visual culture,Med,Med,Low-Med,IMG02,backup,[59]
GSE058,Biblioteca Digital del Patrimonio Iberoamericano,Latin America / Transregional,Aggregator,https://www.iberoamericadigital.net/,Web,Aggregated digital holdings,"Cross-country books, music, periodicals",Useful non-Anglophone discovery layer,Low-Med,Med,Med,IMG00,authority only,[60]
GSE059,Biblioteca Nacional Mariano Moreno,Latin America,National library portal,https://www.bn.gob.ar/,Web,Catalogue and reading-room services,"Books, hemeroteca, archives, photo/map collections",High value but low-friction online ingest still limited,Low,Med,Low,IMG01,context only,[61]
GSE060,Archivo de Historieta y Humor Gráfico Argentinos,Latin America,Specialized collection,https://www.bn.gob.ar/horarios,Web,Collection named on service page,"Comics, graphic humor archives","Directly relevant, but not yet machine-friendly in this sweep",Low,Low-Med,Low,IMG00,context only,[62]
GSE061,Japan Search,East Asia,National aggregator,https://jpsearch.go.jp/,API + web,National platform; partner data model,Aggregated archive/library/museum records,Strong discovery layer for Japanese print and design sources,Med,High,High,IMG00,launch,[63]
GSE062,NDL Digital Collections,East Asia,National library digital portal,https://dl.ndl.go.jp/,API + web,PIDs; IIIF on some images,"Books, magazines, prints, visual materials",Core Japanese print culture source,Med-High,High,High,IMG03,launch,[64]
GSE063,NDL Search,East Asia,National discovery service,https://iss.ndl.go.jp/,API + web,"OAI-PMH, SRU, formats incl. JSON/TSV",Bibliographic metadata across institutions,Excellent metadata-first backbone,High,High,High,IMG00,launch,[65]
GSE064,Web NDL Authorities,East Asia,Authority service,https://id.ndl.go.jp/auth/ndlna/,API + web,Authority data service,"People, subjects, organizations",Valuable authority layer for names/subjects/media,High,High,High,IMG00,authority only,[66]
GSE065,NDL Image Bank,East Asia,Visual subset,https://www.ndl.go.jp/en/imagebank,Web,Curated visual resource,"Prints, images, books, magazines",Good starter set for visual culture and exhibition-context ingest,Med,Med,Med,IMG03,backup,[67]
GSE066,National Palace Museum Open Data,East Asia,Museum open-data portal,https://theme.npm.edu.tw/opendata,Open data + web,Open data; free image use for low/mid-res,"Museum objects, images",Better as model for Asian open image policy than as design-history core,High,High,High,IMG04,launch,[68]
GSE067,Taiwan Cultural Memory Bank,East Asia,National cultural aggregator,https://tcmb.culture.tw/,Web,Open-data oriented aggregation,"Local archives, museums, community memory materials",Strong for Taiwanese regional design and visual culture context,Med,Med,Med,IMG02,backup,[69]
GSE068,M+ Collections Open Data/API,East Asia,Museum metadata platform,https://www.mplus.org.hk/en/about-the-collection/,API + web,CC0 metadata dataset + public API,"Modern and contemporary art, design, architecture records",One of the best non-Western design-history metadata sources,High for metadata,High,High,IMG00,launch,[70]
GSE069,Hong Kong Memory,East Asia,Public heritage portal,https://www.hkmemory.hk/,Web,Stable pages; no machine-first docs seen,"Photos, documents, multimedia","High local value for print, publishing, public culture",Low-Med,Med,Low-Med,IMG01,backup,[71]
GSE070,National Library of Korea Open API,East Asia,National library API,https://www.nl.go.kr/,API + web,Open API (key-based),"Holdings, national bibliography, digital collections",Useful for Korean publishing and periodical metadata,Med,High,Med-High,IMG00,launch,[72]
GSE071,Korean Newspaper Archive,East Asia,Newspaper portal,https://www.nl.go.kr/EN/contents/EN35200000000.do,Web,Archive interface,Newspaper pages and JPGs,Strong for Korean ad/layout history,Med,Med,Med,IMG02,backup,[73]
GSE072,Shanghai Library Open Data,East Asia,Linked open data platform,https://data.library.sh.cn/,API + SPARQL + content negotiation,REST API + SPARQL,"Knowledge bases, linked data, textual resources",Excellent for linked-data authority enrichment,High,High,High,IMG00,authority only,[74]
GSE073,National Library of China,East Asia,National library portal,https://www.nlc.cn/enweb/,Web,"Digital resources, but access mixed","E-books, e-journals, newspapers, rare books",High cultural value; mixed remote access and rights,Low-Med,Med,Low-Med,IMG01,backup,[75]
GSE074,NLB Labs,Southeast Asia,Library API hub,https://www.nlb.gov.sg/main/partner-us/contribute-and-create-with-us/NLBLabs,API,NLB APIs and data services,Bibliographic and resource metadata,Strong Singapore launch layer,Med,High,High,IMG00,launch,[76]
GSE075,NewspaperSG,Southeast Asia,Newspaper portal,https://eresources.nlb.gov.sg/newspapers/,Web,Stable issue/article pages,"Newspapers, articles, illustrations",Excellent for Singapore/Malaya advertising and print culture,Low-Med,High,Med,IMG02,backup,[77]
GSE076,NLB OneSearch,Southeast Asia,Discovery portal,https://search.nlb.gov.sg/onesearch/,Web,Discovery interface,"Books, journals, images, archives, museum records",Good cross-domain metadata layer,Med,High,Med,IMG00,backup,[78]
GSE077,NLB eResource Search API,Southeast Asia,Public API dataset,https://data.gov.sg/datasets/d_39d77f60d11fbb9c85cb102e59ca0d08/view,API,REST API,E-resource metadata,Useful utility service for structured metadata experiments,Med,High,High,IMG00,backup,[79]
GSE078,NAS Archives Online,Southeast Asia,National archives portal,https://www.nas.gov.sg/archivesonline/,Web,Ordering/reuse rules; archive pages,"Government records, photos, speeches, AV",High-value context source; rights-heavy,Low,Med,Low-Med,IMG01,backup,[80]
GSE079,Roots.sg Collections,Southeast Asia,Public heritage portal,https://www.roots.gov.sg/,Web,Stable object pages,"Museum objects, brochures, ephemera",Good for Singapore visual culture and design objects,Med,Med,Med,IMG02,backup,[81]
GSE080,National Library of the Philippines Digital Collections,Southeast Asia,National library portal,https://web.nlp.gov.ph/digital-collections/,Web,Browser-sensitive PDF/jpg interface,"Newspapers, books, heritage documents",Valuable but technically brittle,Low,Med,Low,IMG01,backup,[82]
GSE081,NLP Digital Collection portal,Southeast Asia,Legacy digital portal,https://nlpdl.nlp.gov.ph/,Web,Legacy portal pages,"Journals, guides, serials, digital collections","Good content, poor automation ergonomics",Low,Low-Med,Low,IMG02,backup,[83]
GSE082,Khastara,Southeast Asia,National manuscripts/documentary heritage portal,https://khastara.perpusnas.go.id/,Web,Stable viewer pages,"Rare books, manuscripts, maps, newspapers, magazines",Strong Indonesian source for print and documentary heritage,Low-Med,Med,Low-Med,IMG02,backup,[84]
GSE083,Southeast Asia Digital Library,Southeast Asia,Regional aggregator,https://sea.lib.niu.edu/,Web,Aggregated repository,Regional heritage records from multiple institutions,Good discovery layer beyond Singapore,Med,Med,Med,IMG00,backup,[85]
GSE084,Digital Library of Lao Manuscripts,Southeast Asia,Specialized manuscript portal,https://digital.crossasia.org/digital-library-of-lao-manuscripts/,Web,Stable portal; image access,Manuscripts and digital images,"More contextual than graphic-design core, but valuable for script and book culture",Med,Med,Med,IMG03,context only,[86]
