geo_id,name,parent_geo_id,region_id,geo_type,iso_code,language_scope,script_scope,date_scope,notes
GEO065,Kenya and East African contexts,GEO061,REG014,regional_context,,English; Swahili; Amharic; Somali; others,Latin; Ethiopic; Arabic,modern,"Publishing, political graphics, advertising, digital visual culture."
GEO066,West African francophone contexts,GEO061,REG014,regional_context,,French; Wolof; Bambara; Arabic; others,Latin; Arabic,modern,"Senegal, Mali, Cote d'Ivoire and related print/poster/design histories."
GEO067,North African contexts,GEO061,REG014,regional_context,,Arabic; French; Tamazight; others,Arabic; Latin; Tifinagh,modern,Also cross-links MENA; use for African coverage matrix.
GEO068,Oceania and Pacific,,REG015,macro_region,,English; Maori; Indigenous Australian languages; Pacific languages,Latin; local orthographies,modern,"Parent context for Australia, Aotearoa New Zealand, and Pacific islands."
GEO069,Australia,GEO068,REG015,country_context,AU,English; Indigenous Australian languages,Latin; local orthographies,modern,"Public information, publishing, Indigenous/community protocols, web archives."
GEO070,Aotearoa New Zealand,GEO068,REG015,country_context,NZ,English; Maori,Latin; Maori orthography,modern,"Bicultural design, public information, publishing, identity systems."
GEO071,Pacific Islands contexts,GEO068,REG015,regional_context,,Pacific languages; English; French,Latin; local orthographies,modern,Community protocols and under-digitized source gaps are central.
GEO072,Central Asia,GEO015,REG002,regional_context,,Kazakh; Uzbek; Kyrgyz; Tajik; Turkmen; Russian; others,Latin; Cyrillic; Arabic-derived historical,modern,Added from Global Coverage Audit; separates Soviet/post-Soviet script and print histories from Russia-centered contexts.
GEO073,Kazakhstan,GEO072,REG002,country_context,KZ,Kazakh; Russian,Cyrillic; Latin; Arabic historical,modern,"Modern print, public graphics, Soviet/post-Soviet script transition."
GEO074,Uzbekistan,GEO072,REG002,country_context,UZ,Uzbek; Russian; Tajik,Latin; Cyrillic; Arabic historical,modern,Script reforms and multilingual print contexts.
GEO075,Kyrgyzstan,GEO072,REG002,country_context,KG,Kyrgyz; Russian,Cyrillic; Latin,modern,Public graphics and Soviet/post-Soviet print.
GEO076,Tajikistan,GEO072,REG002,country_context,TJ,Tajik; Russian,Cyrillic; Persian/Arabic historical,modern,Persian/Cyrillic transition and state print.
GEO077,Turkmenistan,GEO072,REG002,country_context,TM,Turkmen; Russian,Latin; Cyrillic; Arabic historical,modern,State print and script transition.
GEO078,Caucasus,GEO015,REG002,regional_context,,Armenian; Georgian; Azerbaijani; Russian; others,Armenian; Georgian; Latin; Cyrillic; Arabic-derived,modern,"Added from Global Coverage Audit; distinct scripts, Soviet/post-Soviet histories, and diaspora routes."
GEO079,Armenia,GEO078,REG002,country_context,AM,Armenian; Russian,Armenian; Cyrillic,modern,"Print, poster, book culture, and diaspora design routes."
GEO080,Georgia,GEO078,REG002,country_context,GE,Georgian; Russian,Georgian; Cyrillic,modern,Periodical and book culture with distinct script support.
GEO081,Azerbaijan,GEO078,REG002,country_context,AZ,Azerbaijani; Russian; Persian historical,Latin; Cyrillic; Arabic-derived,modern,"Periodical, music print, and script-transition context."
GEO082,Caucasus diaspora routes,GEO078,REG002,diaspora_context,,multiple,multiple,modern,Diasporic print and cultural circulation route.
GEO083,Iran,GEO055,REG013,country_context,IR,Persian; Azerbaijani; Kurdish; Arabic; others,Arabic-derived Persian; Latin,modern,"First-class Persian print, public graphics, revolutionary poster, and diaspora design context."
GEO084,Mandatory Palestine,GEO059,REG013,historical_context,,Arabic; Hebrew; English; Yiddish; Ladino,Arabic; Hebrew; Latin,1917-1948,Historical print and newspaper context; do not collapse into present-day borders.
GEO085,Palestinian territories and diaspora,GEO059,REG013,country/territory_context,PS,Arabic; English; others,Arabic; Latin,modern,"Poster, periodical, solidarity, and diaspora print networks."
GEO086,Israel Hebrew/Arabic press contexts,GEO059,REG013,country_context,IL,Hebrew; Arabic; English; Russian; others,Hebrew; Arabic; Latin; Cyrillic,modern,"Hebrew/Arabic press, publishing, and public graphics; rights/geopolitical sensitivity high."
GEO087,Jamaica,GEO034,REG004,country_context,JM,English; Jamaican Patois,Latin,modern,"Music, broadcast, tourism, political, and newspaper graphics."
GEO088,Trinidad and Tobago,GEO034,REG004,country_context,TT,English; Trinidadian/Tobagonian Creole; others,Latin,modern,"Carnival, music, tourism, and commercial graphics."
GEO089,Haiti,GEO034,REG004,country_context,HT,Haitian Creole; French,Latin,modern,"Political print, newspapers, diasporic and cultural graphics."
GEO090,Dominican Republic,GEO034,REG004,country_context,DO,Spanish,Latin,modern,"Print, tourism, music, political and commercial graphics."
GEO091,Caribbean diaspora routes,GEO034,REG004,diaspora_context,,English; Spanish; French; Dutch; creoles; others,Latin,modern,"Routes through migration, music, carnival, publishing, and political circulation."
GEO092,Nepal,GEO050,REG012,country_context,NP,Nepali; Newar; Maithili; English; others,Devanagari; Ranjana historical; Latin,modern,Nepali periodical and public graphics; prevents South Asia from becoming India-only.
GEO093,Cambodia,GEO043,REG011,country_context,KH,Khmer; French; English,Khmer; Latin,modern,"Khmer print, state graphics, periodicals, and post-conflict archives."
GEO094,Myanmar,GEO043,REG011,country_context,MM,Burmese; minority languages; English,Burmese; Latin,modern,Burmese periodical and public graphics.
GEO095,Singapore,GEO045,REG011,country_context,SG,English; Malay; Chinese; Tamil,Latin; Han; Tamil; Jawi historical,modern,"Multilingual state campaigns, posters, newspapers, and web archives."
GEO096,Singapore/Malaya Jawi-Rumi contexts,GEO045,REG011,historical_context,,Malay; English; Chinese; Tamil,Jawi; Latin; Han; Tamil,modern,"Script transition, Malay print, and state/commercial multilingual design."
GEO097,West Africa,GEO061,REG014,regional_context,,English; French; Portuguese; Arabic; African languages,Latin; Arabic; others,modern,"Independence graphics, newspapers, signs, posters, commercial vernaculars."
GEO098,Horn of Africa,GEO061,REG014,regional_context,,Amharic; Tigrinya; Somali; Arabic; English; others,Ethiopic; Latin; Arabic,modern,Ge'ez/Amharic/Arabic/Latin script intersections.
GEO099,Ethiopia,GEO098,REG014,country_context,ET,Amharic; Oromo; Tigrinya; Somali; English; others,Ethiopic; Latin; Arabic,modern,"Ethiopic script, public print, posters, and periodical culture."
GEO100,Senegal,GEO066,REG014,country_context,SN,French; Wolof; Arabic; others,Latin; Arabic,modern,"Francophone West African design, print, and political/cultural graphics."
GEO101,Namibia,GEO061,REG014,country_context,NA,English; Afrikaans; German; Indigenous languages,Latin,modern,Liberation graphics and southern African solidarity routes.
GEO102,Southern Africa solidarity routes,GEO061,REG014,regional_context,,English; Portuguese; Afrikaans; Indigenous languages; others,Latin,modern,"Botswana, Zimbabwe, Mozambique, Angola, South Africa, Namibia, and exile/solidarity print networks."
GEO103,Indigenous North America,GEO024,REG003,indigenous_context,,First Nations; Inuit; Metis; Native American; Alaska Native languages; English; French; Spanish,Latin; syllabics; Indigenous scripts/orthographies,modern,Protocol-aware Indigenous print and community publishing context.
GEO104,Aboriginal Australia,GEO069,REG015,indigenous_context,,Indigenous Australian languages; English,Latin; local orthographies,modern,"Protocol-aware Aboriginal rights graphics, posters, publications, and community materials."
GEO105,Torres Strait Islander Australia,GEO069,REG015,indigenous_context,,Torres Strait Islander languages; English,Latin; local orthographies,modern,Protocol-aware Torres Strait visual culture and community materials.
GEO106,Maori print and language contexts,GEO070,REG015,indigenous_context,,Maori; English,Latin; Maori orthography,modern,"Niupepa, language revival, public graphics, and bicultural design."
GEO107,Melanesia,GEO071,REG015,regional_context,,Papuan; Austronesian; English; French; others,Latin; local orthographies,modern,"Mission, colonial, postcolonial, community, and public graphics."
GEO108,Polynesia,GEO071,REG015,regional_context,,Samoan; Tongan; Hawaiian; Tahitian; Maori; English; French; others,Latin; local orthographies,modern,"Pacific print routes, language, culture, and diasporic visual communication."
GEO109,Micronesia,GEO071,REG015,regional_context,,Chamorro; Marshallese; Palauan; English; others,Latin; local orthographies,modern,Colonial/postcolonial media and community visual communication.
