first_target_id,target_number,scope_cell_id,target_label,source_name,source_url_or_search_path,record_family,region,date_text,creator_or_institution,why_selected,expected_image_zone,rights_risk,target_status,manual_rights_review_required,source_terms_review_required,required_citation,fallback_target,ingest_order,notes
FIT036,36,C11,Iranian Poster Design collection path,People's Graphic Design Archive,https://peoplesgdarchive.org/collection/9/iranian-poster-design > filter creator Morteza Momayez or Reza Abedini,community archive item,Iran / transnational,20th-21st c.,Various Iranian designers,Community archive search path for exact poster picks,IMG00,High,search_path_only,true,true,PGDA collection page,Poster House Iranian design library record,5,Resolve spelling variants and item-level rights
FIT037,37,C12,Medu posters: Images from exile,South African History Archive,https://www.saha.org.za/medu_posters_images_from_exile.htm,community archive item,South Africa / Botswana / exile,chiefly 1980s,Medu Art Ensemble,Collection node for Medu poster indexing,IMG00,High,exact_record,true,false,SAHA Medu poster collection page,SAHA poster collection listing,3,
FIT038,38,C12,Medu Art Ensemble presents Shades of Change,South African History Archive,https://www.saha.org.za/collections/AL2446/4930.htm,community archive item,South Africa / Botswana,1980s,Medu Art Ensemble,Exact Medu poster item-level record,IMG00,High,exact_record,true,false,SAHA item record,FIT039,3,
FIT039,39,C12,Culture and resistance poster page,South African History Online,https://sahistory.org.za/archive/culture-and-resistance,community archive item,Botswana / South Africa,1982,Medu Art Ensemble,Poster/event hybrid node,IMG00,High,exact_record,true,false,SA History archive record,SAHA Culture and Resistance item,3,
FIT040,40,C12,Culture and Resistance Conference Botswana 1982,South African History Online,https://sahistory.org.za/article/culture-and-resistance-conference-botswana-1982,event page,Botswana / South Africa,1982,Medu Art Ensemble; conference organizers,Clean event node anchoring Medu records,IMG04,Low,exact_record,false,false,SA History article,SA History Medu Art Ensemble article,1,
FIT041,41,C13,2020 National NAIDOC Poster Shape of Land,AIATSIS,https://aiatsis.gov.au/collection/featured-collections/naidoc-week-posters > 2020,poster archive item,Australia,2020,Tyrown Waigana,Explicit-license poster with land/country theme,IMG03,Low-medium,search_path_only,true,false,AIATSIS featured collection 2020 entry,2014 Those who Stand to Defend Our Land,2,Store exact license text and protocol notes
FIT042,42,C13,2021 National NAIDOC Poster Care for Country,AIATSIS,https://aiatsis.gov.au/collection/featured-collections/naidoc-week-posters > 2021,poster archive item,Australia,2021,Maggie-Jean Douglas,Explicit-license poster with care for country framing,IMG03,Low-medium,search_path_only,true,false,AIATSIS featured collection 2021 entry,AIATSIS You are on Aboriginal land item,2,Store exact license text and protocol notes
FIT043,43,C13,2022 National NAIDOC Poster Stronger,AIATSIS,https://aiatsis.gov.au/collection/featured-collections/naidoc-week-posters > 2022,poster archive item,Australia,2022,Ryhia Dank,Explicit-license poster maintaining open/reusable balance,IMG03,Low-medium,search_path_only,true,false,AIATSIS featured collection 2022 entry,2023 For Our Elders,2,Store exact license text and protocol notes
FIT044,44,C14,Gran Fury collection,NYPL Digital Collections,https://digitalcollections.nypl.org/collections/gran-fury-collection,community archive item,United States,1988-1995 collection scope,Gran Fury,Collection-level anchor for ACT UP/Gran Fury clustering,IMG04,Medium,exact_record,true,false,NYPL collection record,PAD/D archive Gran Fury folder,3,Do not treat as image asset
FIT045,45,C14,Silence = Death poster,NYPL Digital Collections,https://digitalcollections.nypl.org/items/510d47e4-1035-a3d9-e040-e00a18064a99,community archive item,United States,1988,Gran Fury,Canonical ACT UP-linked object with exact item page,IMG00,High,exact_record,true,false,NYPL item record,Read My Lips Boys,3,
FIT046,46,C14,Kissing Doesn't Kill,NYPL Digital Collections,https://digitalcollections.nypl.org/items/510d47e4-1020-a3d9-e040-e00a18064a99,community archive item,United States,1989,Gran Fury with Art Against AIDS,Collective authorship and public-space AIDS activist campaign relation,IMG00,High,exact_record,true,false,NYPL item record,All People with AIDS Are Innocent,3,
FIT047,47,C15,Cascading Style Sheets level 1 Recommendation,W3C,https://www.w3.org/TR/REC-CSS1-961217,web capture,Web / transnational,1996-12-17,W3C; Hakon Wium Lie; Bert Bos,Standards record grounding CSS as interface visual culture infrastructure,IMG04,Low,exact_record,false,false,W3C Recommendation page,Earlier CSS1 working draft,1,
FIT048,48,C15,Dream Archive preserved GeoCities page,OoCities,https://www.oocities.org/dream_archive/ plus Wayback lookup,web capture,Web / transnational,preserved in 2009 from earlier site,original GeoCities page creator unknown,Vernacular early-web preserved user-page test,IMG00,High,search_path_only,true,true,OoCities preservation page and Internet Archive GeoCities context,OoCities EnchantedForest page,5,Keep as web-capture/link-only unless rights are documented
