branch,tip_sha,tip_tree,local_present,remote,remote_present,remote_divergence,worktree,open_pr,merged_to_main,ancestor_of_release_anchor,unique_commit_count,unique_file_count,recovery_value,decision,archive_tag,deletion_result
fix/v49-api-read-contract-closure-20260821,d78f496bcdf2cd6941791986007cd7a885c4c532,f0549c319d1e0b0cf5e0aab5a2b297361675b701,True,origin/fix/v49-api-read-contract-closure-20260821,True,0/0,/private/tmp/graphic_design_archive_v49_api_read_contract_closure,[],False,True,0,0,tip reachable from immutable v49-data-api-closure-20260821,RETAIN_ANCHORED,v49-data-api-closure-20260821,NOT_DELETED_SAFETY
fix/v49-read-platform-parity-browser-20260816,3e666b5265ebe7b41ea0c98531b35761ff0d9485,e67114c4f17fd9f6e51fd30adb3a6d7d4ff95b63,True,origin/fix/v49-read-platform-parity-browser-20260816,True,0/0,/private/tmp/graphic_design_archive_v49_runtime_acceptance_closure,[],False,True,0,0,tip reachable from immutable v49-data-api-closure-20260821,RETAIN_ANCHORED,v49-data-api-closure-20260821,NOT_DELETED_SAFETY
fix/v49-release-projection-snapshot-20260816,dc76920e3d843c9128e73dcec7ce7f26da7cfa51,7b5f83210dcbfdd2c859eb5096da7cf76107b2c2,True,origin/fix/v49-release-projection-snapshot-20260816,True,0/0,/private/tmp/graphic_design_archive_v49_release_snapshot,[],False,True,0,0,tip reachable from immutable v49-data-api-closure-20260821,RETAIN_ANCHORED,v49-data-api-closure-20260821,NOT_DELETED_SAFETY
fix/v49-release-projection-snapshot-closure-20260816,56d41d7bd55d90a7034bbcd017b0305b680e20b4,49410709b5eea5ee94310524ac8657dbd0ddbc38,True,origin/fix/v49-release-projection-snapshot-closure-20260816,True,0/0,/private/tmp/graphic_design_archive_v49_release_snapshot_closure,[],False,True,0,0,tip reachable from immutable v49-data-api-closure-20260821,RETAIN_ANCHORED,v49-data-api-closure-20260821,NOT_DELETED_SAFETY
fix/v49-release-projection-snapshot-db-closure-20260820,55f1d715722f1a3bdb5b14d716a703e8a79ffb57,17c967d875ce039b474f44be76010011410041fd,True,origin/fix/v49-release-projection-snapshot-db-closure-20260820,True,0/0,/private/tmp/graphic_design_archive_v49_release_snapshot_db_closure,[],False,True,0,0,tip reachable from immutable v49-data-api-closure-20260821,RETAIN_ANCHORED,v49-data-api-closure-20260821,NOT_DELETED_SAFETY
fix/v49-release-projection-snapshot-performance-20260817,321e89f954fc32eae91a124afe83af9b8b2f32a3,d55e0e441f4f3ced65f70e1afa4bed3fc6a0b218,True,origin/fix/v49-release-projection-snapshot-performance-20260817,True,0/0,/private/tmp/graphic_design_archive_v49_release_snapshot_performance,[],False,True,0,0,tip reachable from immutable v49-data-api-closure-20260821,RETAIN_ANCHORED,v49-data-api-closure-20260821,NOT_DELETED_SAFETY
main,7ef26d66b6ad671fdcc5e11bfa831699a39426bc,787da940ecf87fd7d7040601573047fb46b0c1b9,True,origin/main,True,0/5,/Users/jarlgiovanni/Desktop/modern_GD_history,[],True,True,0,0,protected default/stable branch,RETAIN_PROTECTED,v49-data-api-closure-20260821,NOT_DELETED_SAFETY
recovery/v48-visual-analytics-20260810,0404c7f96f9189f576c4c5b1368061e4082e436b,a6e22973f847d6830d09c76d89876b2f685b46ff,True,origin/recovery/v48-visual-analytics-20260810,True,0/0,,[],False,True,0,0,tip reachable from immutable v49-data-api-closure-20260821,RETAIN_ANCHORED,v49-data-api-closure-20260821,NOT_DELETED_SAFETY
recovery/v49-phase2b-performance-checkpoint-20260814,6b918dd2ebd9af6f9a8fca6edbe6bbbf7de41320,ef220cbd9a5e7dcb6b1698830d281319183941ac,True,origin/recovery/v49-phase2b-performance-checkpoint-20260814,True,0/0,,[],False,True,0,0,tip reachable from immutable v49-data-api-closure-20260821,RETAIN_ANCHORED,v49-data-api-closure-20260821,NOT_DELETED_SAFETY
refactor/v49-data-platform,60329e8ec713221bbf42318a4f4c7477e6eb5a72,d01da6d83a3705e2a2a65fbe343617ecde57e930,True,origin/refactor/v49-data-platform,True,0/0,/Users/jarlgiovanni/Desktop/modern_GD_history_v49_data_platform,[],False,True,0,0,tip reachable from immutable v49-data-api-closure-20260821,RETAIN_ANCHORED,v49-data-api-closure-20260821,NOT_DELETED_SAFETY
refactor/v49-phase2b-performance,11e7b82d27b2774273d2f0d68904632246dabd37,363e611a490dc103ffa79e8eb7157beda57f2a84,True,origin/refactor/v49-phase2b-performance,True,0/0,/private/tmp/modern_GD_history_v49_phase2b_performance,[],False,True,0,0,tip reachable from immutable v49-data-api-closure-20260821,RETAIN_ANCHORED,v49-data-api-closure-20260821,NOT_DELETED_SAFETY
research/v49-trace-positioning-20260816,3128a6e544d3a223b9c5cc496859e983948200d3,d05b2a7713c6bfa2b6d1b8bbb5d62d9b6c3317d8,True,origin/research/v49-trace-positioning-20260816,True,0/0,/private/tmp/graphic_design_archive_v49_trace_positioning,[],False,False,2,21,unique or divergent history retained conservatively,KEEP_BLOCKED,,NOT_DELETED_SAFETY
verify/v49-read-platform-runtime-acceptance-20260815,64de7ab1ccc190b433266e3a793b9ff7d4c06016,700b3a74bd99d9b51064533b1c1dd208b7cc999d,True,origin/verify/v49-read-platform-runtime-acceptance-20260815,True,0/0,/private/tmp/graphic_design_archive_v49_runtime_acceptance,[],False,True,0,0,tip reachable from immutable v49-data-api-closure-20260821,RETAIN_ANCHORED,v49-data-api-closure-20260821,NOT_DELETED_SAFETY
