query_id	split	category	query	expected_record_ids	old_top10	new_top10	old_rank	new_rank	old_success	new_success	old_count	new_count	old_ms	new_ms	notes
Q016	held_out	exact_title	Zeno at 4am (dancing woman) 2001, from suite of 9 etchings	SURF-YALEPRODUCTTRACE2026V3R0028	SURF-YALEPRODUCTTRACE2026V3R0028	SURF-YALEPRODUCTTRACE2026V3R0028	1	1	true	true	1	1	0.572	41.085	none
Q017	tuning	exact_title	Konsert til inntekt for Kirsten Flagstad fondet, Aulaen 23. august kl. 19.30	SURF-NBPOSTERTRACE2026V1R0071	SURF-NBPOSTERTRACE2026V1R0071	SURF-NBPOSTERTRACE2026V1R0071	1	1	true	true	1	1	0.375	48.281	none
Q018	held_out	exact_title	DON'T TALK TO THE MAN ON THE JOB	SURF-NMKTRACE2026R00488	SURF-NMKTRACE2026R00488	SURF-NMKTRACE2026R00488	1	1	true	true	1	1	0.504	14.460	none
Q019	tuning	exact_title	Mascoutah Kennel Club dog show. Dogs from both continents	SURF-LOCTRACE2026I05C08973C33EE1	SURF-LOCTRACE2026I05C08973C33EE1	SURF-LOCTRACE2026I05C08973C33EE1	1	1	true	true	1	1	0.452	56.727	none
Q020	tuning	exact_title	O1166915	SURF-VAM20K-01747	SURF-VAM20K-01747	SURF-VAM20K-01747	1	1	true	true	1	1	0.739	19.035	none
Q021	tuning	exact_title	O1167007	SURF-VAM20K-01481	SURF-VAM20K-01481	SURF-VAM20K-01481	1	1	true	true	1	1	0.798	18.861	none
Q022	held_out	exact_title	9,75% SMS. Har du personkonto, får du 9,75% rente på sparing med skattefradrag.	SURF-NBPOSTERTRACE2026V1R0050	SURF-NBPOSTERTRACE2026V1R0050	SURF-NBPOSTERTRACE2026V1R0050	1	1	true	true	1	1	0.454	10.859	none
Q023	held_out	exact_title	Pan American Exposition, Buffalo, May 1 - November 1, 1901. Niagara	SURF-LOCTRACE2026I2A777BF54A61AD	SURF-LOCTRACE2026I2A777BF54A61AD	SURF-LOCTRACE2026I2A777BF54A61AD	1	1	true	true	1	1	0.444	14.092	none
Q024	held_out	exact_title	Arundel Society chromolithograph copy series	SURF-COMPOUND-ARUNDEL-SOCIETY-CHROMOLITHOGRAPH-COPIES	SURF-COMPOUND-ARUNDEL-SOCIETY-CHROMOLITHOGRAPH-COPIES	SURF-COMPOUND-ARUNDEL-SOCIETY-CHROMOLITHOGRAPH-COPIES	1	1	true	true	1	1	0.492	48.120	none
Q025	tuning	exact_title	Fiatalok! Szavazzatok : jovonkre, a Nepfront programjara	SURF-LOCTRACE2026I31AD599BD311D2	SURF-LOCTRACE2026I31AD599BD311D2	SURF-LOCTRACE2026I31AD599BD311D2	1	1	true	true	1	1	0.398	44.405	none
Q026	held_out	exact_title	O1165164	SURF-VAM20K-02900	SURF-VAM20K-02900	SURF-VAM20K-02900	1	1	true	true	1	1	0.741	19.379	none
Q027	tuning	exact_title	[Bjørnstjerne Bjørnson]	SURF-NBPOSTERTRACE2026V2R0065	SURF-NBPOSTERTRACE2026V2R0065	SURF-NBPOSTERTRACE2026V2R0065;SURF-NBPOSTERTRACE2026V1R0007;SURF-NBPOSTERTRACE2026V1R0242;SURF-NBPOSTERTRACE2026V1R0275;SURF-NBPOSTERTRACE2026V1R0015	1	1	true	true	1	5	0.499	44.466	none
Q028	held_out	exact_title	O130589	SURF-VAMMODERNTRACE2026R0110	SURF-VAMMODERNTRACE2026R0110	SURF-VAMMODERNTRACE2026R0110	1	1	true	true	1	1	1.043	19.608	none
Q029	tuning	exact_title	O1166811	SURF-YRGAP-REGION-0064	SURF-YRGAP-REGION-0064	SURF-YRGAP-REGION-0064	1	1	true	true	1	1	0.693	20.256	none
Q030	tuning	exact_title	Keep Families Together, from the Voces de la Frontera box set	SURF-YALEPOSTERTRACE2026V1R0092	SURF-YALEPOSTERTRACE2026V1R0092	SURF-YALEPOSTERTRACE2026V1R0092;SURF-YALEPOSTERTRACE2026V1R0096	1	1	true	true	1	2	0.693	43.704	none
Q031	held_out	stable_id	SURF-LOCTRACE2026R02472	SURF-LOCTRACE2026R02472		SURF-LOCTRACE2026R02472	0	1	false	true	0	1	0.586	48.055	none
Q032	held_out	stable_id	SURF-LOCTRACE2026R01999	SURF-LOCTRACE2026R01999		SURF-LOCTRACE2026R01999	0	1	false	true	0	1	0.636	43.693	none
Q033	held_out	stable_id	SURF-BNDCLTRACE2026V1R0009	SURF-BNDCLTRACE2026V1R0009		SURF-BNDCLTRACE2026V1R0009	0	1	false	true	0	1	0.601	42.742	none
Q034	tuning	stable_id	SURF-LOCTRACE2026I6D03759D157739	SURF-LOCTRACE2026I6D03759D157739		SURF-LOCTRACE2026I6D03759D157739	0	1	false	true	0	1	0.564	42.176	none
Q035	held_out	stable_id	SURF-NBPOSTERTRACE2026V1R0044	SURF-NBPOSTERTRACE2026V1R0044		SURF-NBPOSTERTRACE2026V1R0044	0	1	false	true	0	1	0.571	42.775	none
Q036	held_out	stable_id	SURF-VAM20K-01983	SURF-VAM20K-01983		SURF-VAM20K-01983	0	1	false	true	0	1	0.605	42.511	none
Q037	held_out	stable_id	SURF-CGS2026R0670	SURF-CGS2026R0670		SURF-CGS2026R0670	0	1	false	true	0	1	0.633	41.995	none
Q038	tuning	stable_id	SURF-LOCTRACE2026I79FFABC798DD25	SURF-LOCTRACE2026I79FFABC798DD25		SURF-LOCTRACE2026I79FFABC798DD25	0	1	false	true	0	1	0.756	42.788	none
Q039	held_out	stable_id	SURF-VAM20K-00605	SURF-VAM20K-00605		SURF-VAM20K-00605	0	1	false	true	0	1	0.649	42.242	none
Q040	held_out	stable_id	SURF-CHWCONTEMP2026V1R0078	SURF-CHWCONTEMP2026V1R0078		SURF-CHWCONTEMP2026V1R0078	0	1	false	true	0	1	0.634	41.809	none
Q041	held_out	stable_id	SURF-VAM20K-02878	SURF-VAM20K-02878		SURF-VAM20K-02878	0	1	false	true	0	1	0.603	41.618	none
Q042	held_out	stable_id	SURF-NMKTRACE2026R00308	SURF-NMKTRACE2026R00308		SURF-NMKTRACE2026R00308	0	1	false	true	0	1	0.642	42.233	none
Q043	held_out	stable_id	SURF-VAM20K-01477	SURF-VAM20K-01477		SURF-VAM20K-01477	0	1	false	true	0	1	0.645	42.180	none
Q044	tuning	stable_id	SURF-LOCTRACE2026R01574	SURF-LOCTRACE2026R01574		SURF-LOCTRACE2026R01574	0	1	false	true	0	1	0.593	42.931	none
Q045	tuning	stable_id	SURF-VAM20K-02432	SURF-VAM20K-02432		SURF-VAM20K-02432	0	1	false	true	0	1	0.703	42.266	none
Q046	tuning	stable_id	SURF-VAM20K-01317	SURF-VAM20K-01317		SURF-VAM20K-01317	0	1	false	true	0	1	0.614	42.478	none
Q047	held_out	stable_id	SURF-LOCTRACE2026R00949	SURF-LOCTRACE2026R00949		SURF-LOCTRACE2026R00949	0	1	false	true	0	1	0.565	42.163	none
Q048	held_out	stable_id	SURF-LOCTRACE2026I9C6425222950E8	SURF-LOCTRACE2026I9C6425222950E8		SURF-LOCTRACE2026I9C6425222950E8	0	1	false	true	0	1	0.624	42.597	none
Q049	held_out	stable_id	SURF-YALEPRODUCTTRACE2026V3R0028	SURF-YALEPRODUCTTRACE2026V3R0028		SURF-YALEPRODUCTTRACE2026V3R0028	0	1	false	true	0	1	0.729	41.917	none
Q050	held_out	stable_id	SURF-NBPOSTERTRACE2026V1R0071	SURF-NBPOSTERTRACE2026V1R0071		SURF-NBPOSTERTRACE2026V1R0071	0	1	false	true	0	1	0.693	42.325	none
Q051	held_out	case	NOUS FAISONS CONFIANCE AU PARTI COMMUNISTE FRANCAIS POUR L'UNION POPULAIRE ET LA VICTOIRE DU PROGRAMME COMMUN	SURF-LOCTRACE2026R01999	SURF-LOCTRACE2026R01999	SURF-LOCTRACE2026R01999	1	1	true	true	1	1	0.423	44.256	none
Q052	tuning	case	[REMEMBER JUNE 25TH, WORK HARD TO RE-CONSTRUCT THE COUNTRY!]	SURF-LOCTRACE2026I6D03759D157739	SURF-LOCTRACE2026I6D03759D157739	SURF-LOCTRACE2026I6D03759D157739	1	1	true	true	1	1	0.399	46.977	none
Q053	held_out	case	THE BRAZILIAN IN THE VERY MERRY MARINER LCCN2014637100	SURF-CGS2026R0670	SURF-CGS2026R0670	SURF-CGS2026R0670	1	1	true	true	1	1	0.543	29.964	none
Q054	held_out	case	FROHE FESTTAGE UND EIN WEITERES GUTES JAHR! ... DER OSTERREICHISCHE WEG	SURF-LOCTRACE2026I79FFABC798DD25	SURF-LOCTRACE2026I79FFABC798DD25	SURF-LOCTRACE2026I79FFABC798DD25	1	1	true	true	1	1	0.456	43.893	none
Q055	held_out	case	LEVI'S, THE STRONGEST THREAD	SURF-CHWCONTEMP2026V1R0078	SURF-CHWCONTEMP2026V1R0078	SURF-CHWCONTEMP2026V1R0078	1	1	true	true	1	1	0.614	44.152	none
Q056	held_out	case	TECHNIQUE OF WORKING ON SMALL FORMS	SURF-NMKTRACE2026R00308	SURF-NMKTRACE2026R00308	SURF-NMKTRACE2026R00308	1	1	true	true	1	1	0.609	63.693	none
Q057	held_out	case	NAROD I ARMIIA NEPOBEDIMY!	SURF-LOCTRACE2026R01574	SURF-LOCTRACE2026R01574	SURF-LOCTRACE2026R01574	1	1	true	true	1	1	0.753	47.743	none
Q058	held_out	case	THE OWL AND THE PUSSYCAT WENT TO SEE...	SURF-VAM20K-01317	SURF-VAM20K-01317	SURF-VAM20K-01317	1	1	true	true	1	1	0.925	19.573	none
Q059	held_out	case	PEACE WITH HONOUR? THERE CAN NEVER BE DISHONOUR IN PEACE! : JIM LARKIN, 1876-1947	SURF-LOCTRACE2026R00949	SURF-LOCTRACE2026R00949	SURF-LOCTRACE2026R00949	1	1	true	true	1	1	0.504	45.394	none
Q060	held_out	case	IT'S HIS OIL : SO WHY ARE 40,000 SCOTS KIDS ON PART-TIME EDUCATION?...	SURF-LOCTRACE2026I9C6425222950E8	SURF-LOCTRACE2026I9C6425222950E8	SURF-LOCTRACE2026I9C6425222950E8	1	1	true	true	1	1	0.802	17.089	none
Q061	held_out	case	ZENO AT 4AM (DANCING WOMAN) 2001, FROM SUITE OF 9 ETCHINGS	SURF-YALEPRODUCTTRACE2026V3R0028	SURF-YALEPRODUCTTRACE2026V3R0028	SURF-YALEPRODUCTTRACE2026V3R0028	1	1	true	true	1	1	0.505	42.871	none
Q062	held_out	case	KONSERT TIL INNTEKT FOR KIRSTEN FLAGSTAD FONDET, AULAEN 23. AUGUST KL. 19.30	SURF-NBPOSTERTRACE2026V1R0071	SURF-NBPOSTERTRACE2026V1R0071	SURF-NBPOSTERTRACE2026V1R0071	1	1	true	true	1	1	0.502	50.664	none
Q063	held_out	case	MASCOUTAH KENNEL CLUB DOG SHOW. DOGS FROM BOTH CONTINENTS	SURF-LOCTRACE2026I05C08973C33EE1	SURF-LOCTRACE2026I05C08973C33EE1	SURF-LOCTRACE2026I05C08973C33EE1	1	1	true	true	1	1	0.445	60.926	none
Q064	held_out	case	9,75% SMS. HAR DU PERSONKONTO, FÅR DU 9,75% RENTE PÅ SPARING MED SKATTEFRADRAG.	SURF-NBPOSTERTRACE2026V1R0050	SURF-NBPOSTERTRACE2026V1R0050	SURF-NBPOSTERTRACE2026V1R0050	1	1	true	true	1	1	0.384	11.124	none
Q065	held_out	case	PAN AMERICAN EXPOSITION, BUFFALO, MAY 1 - NOVEMBER 1, 1901. NIAGARA	SURF-LOCTRACE2026I2A777BF54A61AD	SURF-LOCTRACE2026I2A777BF54A61AD	SURF-LOCTRACE2026I2A777BF54A61AD	1	1	true	true	1	1	0.532	14.946	none
Q066	held_out	punctuation	nous faisons confiance au parti communiste francais pour l union populaire et la victoire du programme commun	SURF-LOCTRACE2026R01999		SURF-LOCTRACE2026R01999	0	1	false	true	0	1	0.428	44.493	none
Q067	held_out	punctuation	remember june 25th work hard to re construct the country	SURF-LOCTRACE2026I6D03759D157739		SURF-LOCTRACE2026I6D03759D157739	0	1	false	true	0	1	0.553	47.511	none
Q068	tuning	punctuation	frohe festtage und ein weiteres gutes jahr der osterreichische weg	SURF-LOCTRACE2026I79FFABC798DD25		SURF-LOCTRACE2026I79FFABC798DD25	0	1	false	true	0	1	0.384	42.441	none
Q069	held_out	punctuation	levi s the strongest thread	SURF-CHWCONTEMP2026V1R0078		SURF-CHWCONTEMP2026V1R0078	0	1	false	true	0	1	0.773	189.305	none
Q070	held_out	punctuation	narod i armiia nepobedimy	SURF-LOCTRACE2026R01574	SURF-LOCTRACE2026R01574	SURF-LOCTRACE2026R01574	1	1	true	true	1	1	0.585	46.670	none
Q071	tuning	punctuation	the owl and the pussycat went to see	SURF-VAM20K-01317	SURF-VAM20K-01317	SURF-VAM20K-01317	1	1	true	true	1	1	0.516	18.065	none
Q072	held_out	punctuation	peace with honour there can never be dishonour in peace jim larkin 1876 1947	SURF-LOCTRACE2026R00949		SURF-LOCTRACE2026R00949	0	1	false	true	0	1	0.384	43.421	none
Q073	held_out	punctuation	it s his oil so why are 40 000 scots kids on part time education	SURF-LOCTRACE2026I9C6425222950E8		SURF-LOCTRACE2026I9C6425222950E8	0	1	false	true	0	1	0.441	16.353	none
Q074	tuning	punctuation	zeno at 4am dancing woman 2001 from suite of 9 etchings	SURF-YALEPRODUCTTRACE2026V3R0028		SURF-YALEPRODUCTTRACE2026V3R0028	0	1	false	true	0	1	0.479	41.033	none
Q075	tuning	punctuation	konsert til inntekt for kirsten flagstad fondet aulaen 23 august kl 19 30	SURF-NBPOSTERTRACE2026V1R0071		SURF-NBPOSTERTRACE2026V1R0071	0	1	false	true	0	1	0.422	57.005	none
Q076	tuning	punctuation	don t talk to the man on the job	SURF-NMKTRACE2026R00488		SURF-NMKTRACE2026R00488	0	1	false	true	0	1	4.166	18.988	none
Q077	held_out	punctuation	mascoutah kennel club dog show dogs from both continents	SURF-LOCTRACE2026I05C08973C33EE1		SURF-LOCTRACE2026I05C08973C33EE1	0	1	false	true	0	1	0.463	77.098	none
Q078	held_out	punctuation	9 75 sms har du personkonto får du 9 75 rente på sparing med skattefradrag	SURF-NBPOSTERTRACE2026V1R0050		SURF-NBPOSTERTRACE2026V1R0050	0	1	false	true	0	1	0.501	10.895	none
Q079	held_out	punctuation	pan american exposition buffalo may 1 november 1 1901 niagara	SURF-LOCTRACE2026I2A777BF54A61AD		SURF-LOCTRACE2026I2A777BF54A61AD	0	1	false	true	0	1	0.536	13.834	none
Q080	held_out	punctuation	fiatalok szavazzatok jovonkre a nepfront programjara	SURF-LOCTRACE2026I31AD599BD311D2		SURF-LOCTRACE2026I31AD599BD311D2	0	1	false	true	0	1	0.723	44.313	none
Q081	held_out	whitespace	nous   faisons   confiance   au   parti   communiste   francais   pour   l   union   populaire   et   la   victoire   du   programme   commun	SURF-LOCTRACE2026R01999		SURF-LOCTRACE2026R01999	0	1	false	true	0	1	0.375	43.052	none
Q082	held_out	whitespace	remember   june   25th   work   hard   to   re   construct   the   country	SURF-LOCTRACE2026I6D03759D157739		SURF-LOCTRACE2026I6D03759D157739	0	1	false	true	0	1	0.481	44.869	none
Q083	tuning	whitespace	the   brazilian   in   the   very   merry   mariner   lccn2014637100	SURF-CGS2026R0670		SURF-CGS2026R0670	0	1	false	true	0	1	0.483	29.105	none
Q084	held_out	whitespace	frohe   festtage   und   ein   weiteres   gutes   jahr   der   osterreichische   weg	SURF-LOCTRACE2026I79FFABC798DD25		SURF-LOCTRACE2026I79FFABC798DD25	0	1	false	true	0	1	0.402	44.924	none
Q085	held_out	whitespace	levi   s   the   strongest   thread	SURF-CHWCONTEMP2026V1R0078		SURF-CHWCONTEMP2026V1R0078	0	1	false	true	0	1	0.604	41.885	none
Q086	held_out	whitespace	technique   of   working   on   small   forms	SURF-NMKTRACE2026R00308		SURF-NMKTRACE2026R00308	0	1	false	true	0	1	0.517	57.622	none
Q087	held_out	whitespace	narod   i   armiia   nepobedimy	SURF-LOCTRACE2026R01574		SURF-LOCTRACE2026R01574	0	1	false	true	0	1	0.588	44.128	none
Q088	held_out	whitespace	the   owl   and   the   pussycat   went   to   see	SURF-VAM20K-01317		SURF-VAM20K-01317	0	1	false	true	0	1	0.515	17.957	none
Q089	held_out	whitespace	peace   with   honour   there   can   never   be   dishonour   in   peace   jim   larkin   1876   1947	SURF-LOCTRACE2026R00949		SURF-LOCTRACE2026R00949	0	1	false	true	0	1	0.428	45.706	none
Q090	tuning	whitespace	it   s   his   oil   so   why   are   40   000   scots   kids   on   part   time   education	SURF-LOCTRACE2026I9C6425222950E8		SURF-LOCTRACE2026I9C6425222950E8	0	1	false	true	0	1	0.438	17.496	none
Q091	tuning	whitespace	zeno   at   4am   dancing   woman   2001   from   suite   of   9   etchings	SURF-YALEPRODUCTTRACE2026V3R0028		SURF-YALEPRODUCTTRACE2026V3R0028	0	1	false	true	0	1	0.482	42.189	none
Q092	held_out	whitespace	konsert   til   inntekt   for   kirsten   flagstad   fondet   aulaen   23   august   kl   19   30	SURF-NBPOSTERTRACE2026V1R0071		SURF-NBPOSTERTRACE2026V1R0071	0	1	false	true	0	1	0.412	48.387	none
Q093	held_out	whitespace	don   t   talk   to   the   man   on   the   job	SURF-NMKTRACE2026R00488		SURF-NMKTRACE2026R00488	0	1	false	true	0	1	0.419	14.464	none
Q094	held_out	whitespace	mascoutah   kennel   club   dog   show   dogs   from   both   continents	SURF-LOCTRACE2026I05C08973C33EE1		SURF-LOCTRACE2026I05C08973C33EE1	0	1	false	true	0	1	0.415	57.331	none
Q095	held_out	whitespace	9   75   sms   har   du   personkonto   får   du   9   75   rente   på   sparing   med   skattefradrag	SURF-NBPOSTERTRACE2026V1R0050		SURF-NBPOSTERTRACE2026V1R0050	0	1	false	true	0	1	0.371	11.599	none
Q096	held_out	latin_diacritic	9 75 sms har du personkonto far du 9 75 rente pa sparing med skattefradrag	SURF-NBPOSTERTRACE2026V1R0050		SURF-NBPOSTERTRACE2026V1R0050	0	1	false	true	0	1	0.357	10.892	none
Q097	held_out	latin_diacritic	elna la machine a coudre de menage ideale	SURF-LOCTRACE2026I2F35744A3B29CD		SURF-LOCTRACE2026I2F35744A3B29CD	0	1	false	true	0	1	0.693	41.902	none
Q098	held_out	latin_diacritic	nuevo rumbo a chile socialismo y democracia xxiii convencion radical	SURF-BNDCLTRACE2026V1R0040		SURF-BNDCLTRACE2026V1R0040	0	1	false	true	0	1	0.443	43.727	none
Q099	held_out	latin_diacritic	la maree noire de giscard barre 1 300000 chomeurs luttons pour l emploi avec les socialistes	SURF-LOCTRACE2026R00390		SURF-LOCTRACE2026R00390	0	1	false	true	0	1	0.404	27.559	none
Q100	held_out	latin_diacritic	anatomie du poisson avec et sans legendes poster	SURF-SPCTRACE2026V2R0224		SURF-SPCTRACE2026V2R0224	0	1	false	true	0	1	0.586	48.970	none
Q101	held_out	latin_diacritic	usa baut kunstgewerbemuseum zurich 9 september 7 oktober 1945	SURF-LOCTRACE2026I1611B630332C10		SURF-LOCTRACE2026I1611B630332C10	0	1	false	true	0	1	0.437	14.453	none
Q102	held_out	latin_diacritic	donnees de suivi invertebres intertidaux poster fr	SURF-SPCTRACE2026V2R0238		SURF-SPCTRACE2026V2R0238	0	1	false	true	0	1	0.516	48.995	none
Q103	tuning	latin_diacritic	papier a cigarettes job	SURF-NMKTRACE2026R00442		SURF-NMKTRACE2026R00442	0	1	false	true	0	1	0.480	45.064	none
Q104	held_out	latin_diacritic	tout n est que vanite	SURF-LOCTRACE2026R02001		SURF-LOCTRACE2026R02001	0	1	false	true	0	1	0.615	44.901	none
Q105	tuning	latin_diacritic	veggavis nr 9 2nen arg sølv	SURF-NBPOSTERTRACE2026V2R0103		SURF-NBPOSTERTRACE2026V2R0103	0	1	false	true	0	1	0.479	46.050	none
Q106	held_out	latin_diacritic	hermann scherrer breechesmaker sporting tailor munchen neuhauserstr 32	SURF-LOCTRACE2026IEE0B69945BF948		SURF-LOCTRACE2026IEE0B69945BF948	0	1	false	true	0	1	0.613	48.183	none
Q107	held_out	latin_diacritic	folkepartiets mal trygging av heim og arbeid er du samd i det røyst med f det nye folkepartiet	SURF-LOCTRACE2026R00943		SURF-LOCTRACE2026R00943	0	1	false	true	0	1	0.370	60.339	none
Q108	held_out	latin_diacritic	what s on in munster	SURF-VAM20K-02123		SURF-VAM20K-02123	0	1	false	true	0	1	0.526	43.519	none
Q109	tuning	latin_diacritic	iv festival nacional de cine de vina del mar	SURF-BNDCLTRACE2026V1R0034		SURF-BNDCLTRACE2026V1R0034	0	1	false	true	0	1	0.498	19.588	none
Q110	held_out	latin_diacritic	valaffischer fran svunna tider moderaterna	SURF-LOCTRACE2026R01483		SURF-LOCTRACE2026R01483	0	1	false	true	0	1	0.419	45.091	none
Q111	held_out	unique_prefix	nous f	SURF-LOCTRACE2026R01999	SURF-LOCTRACE2026R01999	SURF-LOCTRACE2026R01999	1	1	true	true	1	1	0.723	47.513	none
Q112	held_out	unique_prefix	remember j	SURF-LOCTRACE2026I6D03759D157739	SURF-LOCTRACE2026I6D03759D157739	SURF-LOCTRACE2026I6D03759D157739	1	1	true	true	1	1	1.006	47.366	none
Q113	held_out	unique_prefix	alle 	SURF-NBPOSTERTRACE2026V1R0044	SURF-LOCYEAR2026V1R0001;SURF-LOCTRACE2026R00968;SURF-LOCTRACE2026I10ACF1FA3B46A3;SURF-LOCTRACE2026R00825;SURF-MDAFATRACE2026R0024;SURF-CHWCONTEMP2026V1R0061;SURF-LOCTRACE2026R00441;SURF-NBPOSTERTRACE2026V1R0064;SURF-NBPOSTERTRACE2026V2R0035;SURF-VAM20K-01155	SURF-NBPOSTERTRACE2026V1R0044;SURF-LOCTRACE2026I66A545258C1B33;SURF-LOCTRACE2026R02039;SURF-MDAFATRACE2026R0024;SURF-CHWCONTEMP2026V1R0061;SURF-LOCTRACE2026R00441;SURF-NBPOSTERTRACE2026V1R0064;SURF-NBPOSTERTRACE2026V2R0035;SURF-VAM20K-01155;SURF-CHWCONTEMP2026V1R0008	0	1	false	true	90	172	1.067	53.731	none
Q114	held_out	unique_prefix	the bra	SURF-CGS2026R0670	SURF-CGS2026R0670	SURF-CGS2026R0670;SURF-NBPOSTERTRACE2026V1R0129;SURF-NBPOSTERTRACE2026V1R0214;SURF-VAM20K-02814;SURF-YALEPRODUCTTRACE2026V3R0011;SURF-MODERNAPITRACE2026R0246;SURF-LOCTRACE2026IC58ECDA09D7116;SURF-LOCTRACE2026IF8FA6A77399E84;SURF-LOCTRACE2026I1B6AEE0D827EFC;SURF-LOCTRACE2026R02377	1	1	true	true	1	14	0.771	18.531	none
Q115	held_out	unique_prefix	froh	SURF-LOCTRACE2026I79FFABC798DD25	SURF-LOCTRACE2026I79FFABC798DD25	SURF-LOCTRACE2026I79FFABC798DD25;SURF-LOCTRACE2026I26EBBD7BA27C98;SURF-YALEPOSTERTRACE2026V1R0025;SURF-YALEPOSTERTRACE2026V1R0094;SURF-YALEPOSTERTRACE2026V1R0031;SURF-LOCTRACE2026I7FA226FAD19D62;SURF-VAM20K-00879;SURF-LOCTRACE2026R00112;SURF-YALEPOSTERTRACE2026V1R0112;SURF-HISTORICALAICTRACE2026V1R0254	1	1	true	true	1	204	0.536	43.756	none
Q116	held_out	unique_prefix	levi s t	SURF-CHWCONTEMP2026V1R0078		SURF-CHWCONTEMP2026V1R0078	0	1	false	true	0	1	0.619	52.568	none
Q117	held_out	unique_prefix	techni	SURF-NMKTRACE2026R00308	SURF-MODERNAPITRACE2026R0054;SURF-MODERNAPITRACE2026R0055;SURF-LOCTRACE2026IEFF730A981A168;SURF-SPCMTRACE2026V1R0159;SURF-NMKTRACE2026R00308;SURF-LOCTRACE2026IA8025AC376E5FA	SURF-NMKTRACE2026R00308;SURF-MODERNAPITRACE2026R0054;SURF-MODERNAPITRACE2026R0055;SURF-LOCTRACE2026IEFF730A981A168;SURF-SPCMTRACE2026V1R0159;SURF-LOCTRACE2026IA8025AC376E5FA	5	1	true	true	6	6	0.850	50.520	none
Q118	tuning	unique_prefix	narod i	SURF-LOCTRACE2026R01574	SURF-LOCTRACE2026R01574	SURF-LOCTRACE2026R01574;SURF-LOCTRACE2026R02390	1	1	true	true	1	2	0.694	45.616	none
