source_label_identity	source_label	source_label_sha256	governed_geography_id	governed_display_label	geography_class	mapping_state	mapping_decision	geometry_target_ids	geometry_source	map_eligible	aggregate_eligible	representative_point_policy	historical_status	transnational	broad_region	source_assignment_count	qualification	decision_rationale	review_status	policy_version
sha256:07f62b021771d3cf67e2e1faf18769cc5e5c119ad7d4d1847a11e11d6d5a7ecb	Brazil	07f62b021771d3cf67e2e1faf18769cc5e5c119ad7d4d1847a11e11d6d5a7ecb	SPTGEO:3254082f0059b355924952744dff7933a62c0534af9ce4e52b4326bf25514b83	Brazil	country	mapped	MAP_TO_ADMIN0	BRA	natural-earth-admin0-countries-5.1.1-50m	true	true	GEOMETRY_DERIVED_AGGREGATE_ANCHOR	false	false	false	9		Brazil is an explicitly reviewed country-level label mapped to one pinned Natural Earth Admin-0 geometry.	REVIEWED_EXPLICIT	spacetime-geography-governance-v1
sha256:be55ef3f4c4e6c2d9c2afe2a33ac90ad0f50d4de7f9163999877e2a9ca5a54f8	Canada	be55ef3f4c4e6c2d9c2afe2a33ac90ad0f50d4de7f9163999877e2a9ca5a54f8	SPTGEO:9698ac2a6ac50d2cfcaafb9eae7b7c59c175d2d6ff1fff73ff652030bb2f81e0	Canada	country	mapped	MAP_TO_ADMIN0	CAN	natural-earth-admin0-countries-5.1.1-50m	true	true	GEOMETRY_DERIVED_AGGREGATE_ANCHOR	false	false	false	32		Canada is an explicitly reviewed country-level label mapped to one pinned Natural Earth Admin-0 geometry.	REVIEWED_EXPLICIT	spacetime-geography-governance-v1
sha256:f5273e236d498c359c7a91edb712e28728d902bf6dd4f60984dfbc9501a9bf4c	Chile	f5273e236d498c359c7a91edb712e28728d902bf6dd4f60984dfbc9501a9bf4c	SPTGEO:6db2978ff939b8fdccd88b9487ba0a570c7c305a91de6b5e6dc3d36c8c97e041	Chile	country	mapped	MAP_TO_ADMIN0	CHL	natural-earth-admin0-countries-5.1.1-50m	true	true	GEOMETRY_DERIVED_AGGREGATE_ANCHOR	false	false	false	129		Chile is an explicitly reviewed country-level label mapped to one pinned Natural Earth Admin-0 geometry.	REVIEWED_EXPLICIT	spacetime-geography-governance-v1
sha256:e860216835072a867b27744fc99681b3d52319d2e3158dcc243afe7fb96edd23	China / Hong Kong	e860216835072a867b27744fc99681b3d52319d2e3158dcc243afe7fb96edd23	SPTGEO:38b90fc6afc90269586919bdf81cf0a84109a64b1fabb4efe98b105bf187a824	China / Hong Kong	transnational	mapped	MAP_TO_EXPLICIT_MULTI_GEOMETRY	CHN|HKG	natural-earth-admin0-countries-5.1.1-50m	true	true	GEOMETRY_DERIVED_AGGREGATE_ANCHOR_LARGEST_COMPONENT	false	true	false	163	Explicit multi-geometry world-map aggregate; the combined source label remains visible and is not normalized to one polity.	China / Hong Kong is explicitly represented by the listed pinned geometries; no single-country substitution is made.	REVIEWED_EXPLICIT	spacetime-geography-governance-v1
sha256:56850f3e9cb313b53ca1daeb72fcb3e8135aaa0912c118e660387dc10891c0a8	Cook Islands	56850f3e9cb313b53ca1daeb72fcb3e8135aaa0912c118e660387dc10891c0a8	SPTGEO:6881e1c18b705e1b91367de42838d3aee9d32ebc2054a1962fd68f282cdc62e4	Cook Islands	territory	mapped	MAP_TO_MAP_UNIT	COK	natural-earth-admin0-countries-5.1.1-50m	true	true	GEOMETRY_DERIVED_AGGREGATE_ANCHOR	false	false	false	12	Mapped to the explicitly reviewed Natural Earth map unit; no object coordinate is asserted.	Cook Islands is an explicitly reviewed territory/map-unit label mapped to its pinned Natural Earth unit.	REVIEWED_EXPLICIT	spacetime-geography-governance-v1
sha256:f2c0a179a1817f0d8abf7fa19c79b827f389b1e655ac901c474b8ebf0874ef25	Cuba / transnational	f2c0a179a1817f0d8abf7fa19c79b827f389b1e655ac901c474b8ebf0874ef25	SPTGEO:6fccb8054d254f1ff993c0f884105d432cadfe70b595117d46ac535b0287cbe2	Cuba / transnational	transnational	aggregate_only	AGGREGATE_WITHOUT_POINT			false	true	NO_POINT_AGGREGATE_ONLY	false	true	false	76	The broad or transnational source scope cannot be represented by one current polygon or point without overclaiming.	Cuba / transnational is broad or transnational and remains visible in aggregates without an invented point or silent modern-country normalization.	REVIEWED_EXPLICIT	spacetime-geography-governance-v1
sha256:1c769ecb9e80202f43b5dfa8c2e8a76f1136f688292489308b07c22a66763376	Czech Republic	1c769ecb9e80202f43b5dfa8c2e8a76f1136f688292489308b07c22a66763376	SPTGEO:66dd7e66b366720473e2381bd7c1625ba538cbba873b4cc7ef790c03a91373b4	Czech Republic	country	mapped	MAP_TO_ADMIN0	CZE	natural-earth-admin0-countries-5.1.1-50m	true	true	GEOMETRY_DERIVED_AGGREGATE_ANCHOR	false	false	false	8		Czech Republic is an explicitly reviewed country-level label mapped to one pinned Natural Earth Admin-0 geometry.	REVIEWED_EXPLICIT	spacetime-geography-governance-v1
sha256:c527097577600a6726de99bd6f555fbfaf214da9b7d127d7dd4a807927422b98	Denmark	c527097577600a6726de99bd6f555fbfaf214da9b7d127d7dd4a807927422b98	SPTGEO:ec6a3f77d4223df55bea73b526870a8f37efdc54cc111c6aa1f9f6731605d441	Denmark	country	mapped	MAP_TO_ADMIN0	DNK	natural-earth-admin0-countries-5.1.1-50m	true	true	GEOMETRY_DERIVED_AGGREGATE_ANCHOR	false	false	false	55		Denmark is an explicitly reviewed country-level label mapped to one pinned Natural Earth Admin-0 geometry.	REVIEWED_EXPLICIT	spacetime-geography-governance-v1
sha256:81e884cb2e857fdd7b77ca8f2b83551f08d6f8f3b33ff426397e182346b62ec7	Dominican Republic	81e884cb2e857fdd7b77ca8f2b83551f08d6f8f3b33ff426397e182346b62ec7	SPTGEO:c02e7b89a282ab62d421b02c35870035c147147534558ddeb70f37de0e054a0a	Dominican Republic	country	mapped	MAP_TO_ADMIN0	DOM	natural-earth-admin0-countries-5.1.1-50m	true	true	GEOMETRY_DERIVED_AGGREGATE_ANCHOR	false	false	false	2		Dominican Republic is an explicitly reviewed country-level label mapped to one pinned Natural Earth Admin-0 geometry.	REVIEWED_EXPLICIT	spacetime-geography-governance-v1
sha256:557c1599d9a04895d3817d293e0806a4419a14de31958386182798d0d2ed3a56	Egypt	557c1599d9a04895d3817d293e0806a4419a14de31958386182798d0d2ed3a56	SPTGEO:d7994482a25dafa7db29f4405b6e2505d707d8bc76d10ab439153ebfbf1aadbe	Egypt	country	mapped	MAP_TO_ADMIN0	EGY	natural-earth-admin0-countries-5.1.1-50m	true	true	GEOMETRY_DERIVED_AGGREGATE_ANCHOR	false	false	false	3		Egypt is an explicitly reviewed country-level label mapped to one pinned Natural Earth Admin-0 geometry.	REVIEWED_EXPLICIT	spacetime-geography-governance-v1
sha256:c408d26c1ec1301a84d2fa2b22b4d65302747767dd0777659274fd913aa92c12	El Salvador	c408d26c1ec1301a84d2fa2b22b4d65302747767dd0777659274fd913aa92c12	SPTGEO:98a5387a0eb7d4900dd6c24a01e358889486916d2ef34e7b60a1ed34683ab30e	El Salvador	country	mapped	MAP_TO_ADMIN0	SLV	natural-earth-admin0-countries-5.1.1-50m	true	true	GEOMETRY_DERIVED_AGGREGATE_ANCHOR	false	false	false	1		El Salvador is an explicitly reviewed country-level label mapped to one pinned Natural Earth Admin-0 geometry.	REVIEWED_EXPLICIT	spacetime-geography-governance-v1
sha256:10aeba697f6ba830e1252df6f9a9051eb4317954ff933bff25458f28fb069c6b	Estonia	10aeba697f6ba830e1252df6f9a9051eb4317954ff933bff25458f28fb069c6b	SPTGEO:98a79d18bfd0654a5b147c9e103005b4137476c3e066ea9fbf3438713c244a86	Estonia	country	mapped	MAP_TO_ADMIN0	EST	natural-earth-admin0-countries-5.1.1-50m	true	true	GEOMETRY_DERIVED_AGGREGATE_ANCHOR	false	false	false	1		Estonia is an explicitly reviewed country-level label mapped to one pinned Natural Earth Admin-0 geometry.	REVIEWED_EXPLICIT	spacetime-geography-governance-v1
sha256:14d55e845accdc4024ee8e6e398b839bbeec9c2bf0263f0561e9b38a2d62f832	Federated States of Micronesia	14d55e845accdc4024ee8e6e398b839bbeec9c2bf0263f0561e9b38a2d62f832	SPTGEO:7682e2b64e8560dfb4b4467278b9dc71f8c15181ebe0a93f427205e0aeb673c5	Federated States of Micronesia	country	mapped	MAP_TO_ADMIN0	FSM	natural-earth-admin0-countries-5.1.1-50m	true	true	GEOMETRY_DERIVED_AGGREGATE_ANCHOR	false	false	false	22		Federated States of Micronesia is an explicitly reviewed country-level label mapped to one pinned Natural Earth Admin-0 geometry.	REVIEWED_EXPLICIT	spacetime-geography-governance-v1
sha256:679c02dcd2ba58a3bb65d32b9324e7bca93c2a9a1f6a35964f853fcdedf73f97	Fiji	679c02dcd2ba58a3bb65d32b9324e7bca93c2a9a1f6a35964f853fcdedf73f97	SPTGEO:1da9fe36cc02a62ab9f0cf9e75bcda631c880e8dede5013e27b73e4190a2cbf8	Fiji	country	mapped	MAP_TO_ADMIN0	FJI	natural-earth-admin0-countries-5.1.1-50m	true	true	GEOMETRY_DERIVED_AGGREGATE_ANCHOR	false	false	false	6		Fiji is an explicitly reviewed country-level label mapped to one pinned Natural Earth Admin-0 geometry.	REVIEWED_EXPLICIT	spacetime-geography-governance-v1
sha256:aed8f531aa7e785be255bc435e2582e74c58defedebcb629eeabf365b809bd6f	Finland	aed8f531aa7e785be255bc435e2582e74c58defedebcb629eeabf365b809bd6f	SPTGEO:f074763413b3cd3f875b20dae36ee5c7b001f0371965041f7201c6d40b03968c	Finland	country	mapped	MAP_TO_ADMIN0	FIN	natural-earth-admin0-countries-5.1.1-50m	true	true	GEOMETRY_DERIVED_AGGREGATE_ANCHOR	false	false	false	59		Finland is an explicitly reviewed country-level label mapped to one pinned Natural Earth Admin-0 geometry.	REVIEWED_EXPLICIT	spacetime-geography-governance-v1
sha256:7a1ca4ef7515f7276bae7230545829c27810c9d9e98ab2c06066bee6270d5153	France	7a1ca4ef7515f7276bae7230545829c27810c9d9e98ab2c06066bee6270d5153	SPTGEO:7fa25d0a42d57f51454b440a3bd0bab7cfedf7e75e7333dbb4392079331df3b2	France	country	mapped	MAP_TO_ADMIN0	FRA	natural-earth-admin0-countries-5.1.1-50m	true	true	GEOMETRY_DERIVED_AGGREGATE_ANCHOR	false	false	false	224		France is an explicitly reviewed country-level label mapped to one pinned Natural Earth Admin-0 geometry.	REVIEWED_EXPLICIT	spacetime-geography-governance-v1
sha256:4691492179d2208993976d27d343bd02964068569f241d6061116d7df6d4099a	Georgia	4691492179d2208993976d27d343bd02964068569f241d6061116d7df6d4099a	SPTGEO:cf7b981e9e9790c419db0607e6503bc6c8266539ed91ac169fc9f6c641548b27	Georgia	country	mapped	MAP_TO_ADMIN0	GEO	natural-earth-admin0-countries-5.1.1-50m	true	true	GEOMETRY_DERIVED_AGGREGATE_ANCHOR	false	false	false	2	Explicitly reviewed as the country-level controlled region label and mapped to Natural Earth GEO; not inferred as the U.S. state.	Georgia is an explicitly reviewed country-level label mapped to one pinned Natural Earth Admin-0 geometry.	REVIEWED_EXPLICIT	spacetime-geography-governance-v1
sha256:80db4ccdca106d37b920206331fcfe3e9e50a9e763d89b54ce3ad5ac8cf30f03	Germany	80db4ccdca106d37b920206331fcfe3e9e50a9e763d89b54ce3ad5ac8cf30f03	SPTGEO:858c03ee8dc67cb3815308c2a70d2a8076ce7c65fbdd89e183c3c449ec2454ad	Germany	country	mapped	MAP_TO_ADMIN0	DEU	natural-earth-admin0-countries-5.1.1-50m	true	true	GEOMETRY_DERIVED_AGGREGATE_ANCHOR	false	false	false	427		Germany is an explicitly reviewed country-level label mapped to one pinned Natural Earth Admin-0 geometry.	REVIEWED_EXPLICIT	spacetime-geography-governance-v1
sha256:583201c1efbf30eb13b79352ab6ebd35103ec347953d8e99858a57b5bab3dde9	Ghana	583201c1efbf30eb13b79352ab6ebd35103ec347953d8e99858a57b5bab3dde9	SPTGEO:6b4772a58826fc11f036001465bee3c2701b11373c121d2dd324c680d0aa8796	Ghana	country	mapped	MAP_TO_ADMIN0	GHA	natural-earth-admin0-countries-5.1.1-50m	true	true	GEOMETRY_DERIVED_AGGREGATE_ANCHOR	false	false	false	11		Ghana is an explicitly reviewed country-level label mapped to one pinned Natural Earth Admin-0 geometry.	REVIEWED_EXPLICIT	spacetime-geography-governance-v1
sha256:6cf2cda31444e8c8272b8d3f832e0b64a49d4421f43601d5fa43ac38bffdde1a	Global / transnational	6cf2cda31444e8c8272b8d3f832e0b64a49d4421f43601d5fa43ac38bffdde1a	SPTGEO:eeb9639cd23888a9604e7dd1615f50181e69dbef72fbc0efd02c7ea29ba956a3	Global / transnational	broad_region	aggregate_only	AGGREGATE_WITHOUT_POINT			false	true	NO_POINT_AGGREGATE_ONLY	false	true	true	97	The broad or transnational source scope cannot be represented by one current polygon or point without overclaiming.	Global / transnational is broad or transnational and remains visible in aggregates without an invented point or silent modern-country normalization.	REVIEWED_EXPLICIT	spacetime-geography-governance-v1
sha256:9c93ad439373b4ee35e70ba1318055a14d2ed222f69f9e2d069689e83829833d	Greece	9c93ad439373b4ee35e70ba1318055a14d2ed222f69f9e2d069689e83829833d	SPTGEO:94371e0144a50eee617088a1c301a416ccf6d7c7c107d2264b534377e030c0c4	Greece	country	mapped	MAP_TO_ADMIN0	GRC	natural-earth-admin0-countries-5.1.1-50m	true	true	GEOMETRY_DERIVED_AGGREGATE_ANCHOR	false	false	false	5		Greece is an explicitly reviewed country-level label mapped to one pinned Natural Earth Admin-0 geometry.	REVIEWED_EXPLICIT	spacetime-geography-governance-v1
sha256:45a15a2470e1d1824536af27f81455818ddfc5c4b353080918b24d0bdde02e0b	Guatemala	45a15a2470e1d1824536af27f81455818ddfc5c4b353080918b24d0bdde02e0b	SPTGEO:cc8a971379abe36aa9679339293d9f4caceb41109e5f1aaa9b15f301c6ca8e3a	Guatemala	country	mapped	MAP_TO_ADMIN0	GTM	natural-earth-admin0-countries-5.1.1-50m	true	true	GEOMETRY_DERIVED_AGGREGATE_ANCHOR	false	false	false	3		Guatemala is an explicitly reviewed country-level label mapped to one pinned Natural Earth Admin-0 geometry.	REVIEWED_EXPLICIT	spacetime-geography-governance-v1
sha256:12442dae2857255596e45f78cd43e89a56d99ef284dc84184eef5eb7de41fed0	Hawaii	12442dae2857255596e45f78cd43e89a56d99ef284dc84184eef5eb7de41fed0	SPTGEO:0b8b82d6fcb8ef782591e4305c259e7bd4427e1d29212120a45ccee1040fa5fd	Hawaii	subnational	aggregate_only	AGGREGATE_WITHOUT_POINT			false	true	NO_POINT_AGGREGATE_ONLY	false	false	false	1	No evidence-backed subnational geometry or representative point is present in the frozen release; retain as an aggregate-only row.	Hawaii has no governed subnational geometry or evidence-backed point in v1 and remains visible without a map position.	REVIEWED_EXPLICIT	spacetime-geography-governance-v1
sha256:504be3084f44d3e7eea35c83d4c8338e1fa19b777badc317f69326a4083d804e	Hungary	504be3084f44d3e7eea35c83d4c8338e1fa19b777badc317f69326a4083d804e	SPTGEO:db377095b29f50477c69ddb8bac5925571cee52f5756c78710d73a334e0f4181	Hungary	country	mapped	MAP_TO_ADMIN0	HUN	natural-earth-admin0-countries-5.1.1-50m	true	true	GEOMETRY_DERIVED_AGGREGATE_ANCHOR	false	false	false	12		Hungary is an explicitly reviewed country-level label mapped to one pinned Natural Earth Admin-0 geometry.	REVIEWED_EXPLICIT	spacetime-geography-governance-v1
sha256:abd149214539d9f222d25de6358735b9fa0efd3956f66102b2c119ae2d9f6348	India	abd149214539d9f222d25de6358735b9fa0efd3956f66102b2c119ae2d9f6348	SPTGEO:d5a06cfffcd202ced26cf7a7ff8d518947ebbe3adf448cdb17fc3018919a2884	India	country	mapped	MAP_TO_ADMIN0	IND	natural-earth-admin0-countries-5.1.1-50m	true	true	GEOMETRY_DERIVED_AGGREGATE_ANCHOR	false	false	false	14		India is an explicitly reviewed country-level label mapped to one pinned Natural Earth Admin-0 geometry.	REVIEWED_EXPLICIT	spacetime-geography-governance-v1
sha256:dbc74a36d8e7439c45c64d856388506cc9b1218619cef979c3d605115a7a4546	Indonesia	dbc74a36d8e7439c45c64d856388506cc9b1218619cef979c3d605115a7a4546	SPTGEO:e284c31e051c79de8d16ff51c8fb582bb4d3146aba7588db8e551314850a655b	Indonesia	country	mapped	MAP_TO_ADMIN0	IDN	natural-earth-admin0-countries-5.1.1-50m	true	true	GEOMETRY_DERIVED_AGGREGATE_ANCHOR	false	false	false	79		Indonesia is an explicitly reviewed country-level label mapped to one pinned Natural Earth Admin-0 geometry.	REVIEWED_EXPLICIT	spacetime-geography-governance-v1
sha256:18d4e170765cc48842d847de1d0545a2e379e9c87b2af2a6f761681309939ce5	Iran	18d4e170765cc48842d847de1d0545a2e379e9c87b2af2a6f761681309939ce5	SPTGEO:c839cdbef1ee351e37359df4b5ee1a318dca67de6a26c445400866cd23e1e596	Iran	country	mapped	MAP_TO_ADMIN0	IRN	natural-earth-admin0-countries-5.1.1-50m	true	true	GEOMETRY_DERIVED_AGGREGATE_ANCHOR	false	false	false	6		Iran is an explicitly reviewed country-level label mapped to one pinned Natural Earth Admin-0 geometry.	REVIEWED_EXPLICIT	spacetime-geography-governance-v1
sha256:de5008d194a73211f2ef2ae0b0457c812545c65559c8a3bcc2458d0485e29fc0	Iraq	de5008d194a73211f2ef2ae0b0457c812545c65559c8a3bcc2458d0485e29fc0	SPTGEO:d34ddf855bf3e0227f253df16bf6c1b2e76df34b9802d902b441be7aeed3d997	Iraq	country	mapped	MAP_TO_ADMIN0	IRQ	natural-earth-admin0-countries-5.1.1-50m	true	true	GEOMETRY_DERIVED_AGGREGATE_ANCHOR	false	false	false	3		Iraq is an explicitly reviewed country-level label mapped to one pinned Natural Earth Admin-0 geometry.	REVIEWED_EXPLICIT	spacetime-geography-governance-v1
sha256:02bf1dfa9a0365a86223f0e4ac9eaa0517b06b2e9273790f719feda656a247ae	Ireland	02bf1dfa9a0365a86223f0e4ac9eaa0517b06b2e9273790f719feda656a247ae	SPTGEO:f3cac2e9bf2148fb591e4b9ed0e81090c7d31ebbc027c16b2cad2ad33867c683	Ireland	country	mapped	MAP_TO_ADMIN0	IRL	natural-earth-admin0-countries-5.1.1-50m	true	true	GEOMETRY_DERIVED_AGGREGATE_ANCHOR	false	false	false	43		Ireland is an explicitly reviewed country-level label mapped to one pinned Natural Earth Admin-0 geometry.	REVIEWED_EXPLICIT	spacetime-geography-governance-v1
sha256:864d2bd5bc61168f59469194d11525eba82019e1f931155ee7767975e8f0eaa8	Israel / Palestine	864d2bd5bc61168f59469194d11525eba82019e1f931155ee7767975e8f0eaa8	SPTGEO:b0f75ffbbaec68b620b1a85df45938c1a4d052d5e8ffe6ff97d59c399f4125cb	Israel / Palestine	transnational	mapped	MAP_TO_EXPLICIT_MULTI_GEOMETRY	ISR|PSX	natural-earth-admin0-countries-5.1.1-50m	true	true	GEOMETRY_DERIVED_AGGREGATE_ANCHOR_LARGEST_COMPONENT	false	true	false	31	Explicit multi-geometry world-map aggregate; the combined source label remains visible and is not normalized to one polity.	Israel / Palestine is explicitly represented by the listed pinned geometries; no single-country substitution is made.	REVIEWED_EXPLICIT	spacetime-geography-governance-v1
sha256:5a9cf672c8be6b5ab9546a2fb49b06dd81a4e364c86ed023898c49d9bb0605dc	Italy	5a9cf672c8be6b5ab9546a2fb49b06dd81a4e364c86ed023898c49d9bb0605dc	SPTGEO:31ebadef54116aebf6f0921581708e7e65c459a59954ca470f6b5f09ddc1e891	Italy	country	mapped	MAP_TO_ADMIN0	ITA	natural-earth-admin0-countries-5.1.1-50m	true	true	GEOMETRY_DERIVED_AGGREGATE_ANCHOR	false	false	false	128		Italy is an explicitly reviewed country-level label mapped to one pinned Natural Earth Admin-0 geometry.	REVIEWED_EXPLICIT	spacetime-geography-governance-v1
sha256:647294383b2cbc24b18f629498fc7c6f61d3819fb42a2287e93305aaa01b74e7	Japan	647294383b2cbc24b18f629498fc7c6f61d3819fb42a2287e93305aaa01b74e7	SPTGEO:cfd1477cf6e2b32305cfafcd71cd50232db813ab2f928f618ca953d6d8af03c2	Japan	country	mapped	MAP_TO_ADMIN0	JPN	natural-earth-admin0-countries-5.1.1-50m	true	true	GEOMETRY_DERIVED_AGGREGATE_ANCHOR	false	false	false	116		Japan is an explicitly reviewed country-level label mapped to one pinned Natural Earth Admin-0 geometry.	REVIEWED_EXPLICIT	spacetime-geography-governance-v1
sha256:e8bfe1ed693510570ced8b5ee70049cc4b985a77ec066ee345892f685d72cca6	Jordan	e8bfe1ed693510570ced8b5ee70049cc4b985a77ec066ee345892f685d72cca6	SPTGEO:2f744f0d5b8bd5627f901c222db99527a598115345620b9c04eac0c5ddd10728	Jordan	country	mapped	MAP_TO_ADMIN0	JOR	natural-earth-admin0-countries-5.1.1-50m	true	true	GEOMETRY_DERIVED_AGGREGATE_ANCHOR	false	false	false	1		Jordan is an explicitly reviewed country-level label mapped to one pinned Natural Earth Admin-0 geometry.	REVIEWED_EXPLICIT	spacetime-geography-governance-v1
