table_schema	table_name	catalog_kind	constraint_name	definition	columns	referenced_schema	referenced_table	referenced_columns	deferrable	initially_deferred	trigger_function	trigger_events	expected_event_count	table_indexes	referenced_indexes	child_fk_leading_index_covered	pre_remediation_complexity	risk_priority
provenance	assignment_folder_membership	FOREIGN_KEY	assignment_folder_membership_folder_fk	FOREIGN KEY (folder_id) REFERENCES research.folder(folder_id) ON DELETE RESTRICT	folder_id	research	folder	folder_id	f	f		INSERT,UPDATE	47982	CREATE UNIQUE INDEX assignment_folder_membership_pkey ON provenance.assignment_folder_membership USING btree (canonical_assignment_id) || CREATE UNIQUE INDEX assignment_folder_membership_folder_id_archive_object_id_me_key ON provenance.assignment_folder_membership USING btree (folder_id, archive_object_id, membership_role) || CREATE UNIQUE INDEX assignment_folder_membership_folder_id_membership_role_memb_key ON provenance.assignment_folder_membership USING btree (folder_id, membership_role, member_ordinal)	CREATE UNIQUE INDEX folder_pkey ON research.folder USING btree (folder_id) || CREATE UNIQUE INDEX folder_folder_token_key ON research.folder USING btree (folder_token)	t	INDEX_PROBE	P1
provenance	canonical_assignment	CONSTRAINT_TRIGGER	assignment_shape_from_assignment	CREATE CONSTRAINT TRIGGER assignment_shape_from_assignment AFTER INSERT OR DELETE OR UPDATE ON provenance.canonical_assignment DEFERRABLE INITIALLY DEFERRED FOR EACH ROW EXECUTE FUNCTION provenance.enforce_assignment_shape_and_support()					t	t	provenance.enforce_assignment_shape_and_support()	INSERT,UPDATE,DELETE	47982	CREATE UNIQUE INDEX canonical_assignment_pkey ON provenance.canonical_assignment USING btree (canonical_assignment_id) || CREATE INDEX canonical_assignment_kind_status_idx ON provenance.canonical_assignment USING btree (assignment_kind, status, created_at)			ROW_EVENT_FUNCTION	P1
provenance	canonical_assignment	CONSTRAINT_TRIGGER	assignment_supersession_parent	CREATE CONSTRAINT TRIGGER assignment_supersession_parent AFTER INSERT ON provenance.canonical_assignment DEFERRABLE INITIALLY DEFERRED FOR EACH ROW EXECUTE FUNCTION provenance.enforce_provenance_supersession_parent()					t	t	provenance.enforce_provenance_supersession_parent()	INSERT	47982	CREATE UNIQUE INDEX canonical_assignment_pkey ON provenance.canonical_assignment USING btree (canonical_assignment_id) || CREATE INDEX canonical_assignment_kind_status_idx ON provenance.canonical_assignment USING btree (assignment_kind, status, created_at)			ROW_EVENT_FUNCTION	P1
provenance	canonical_assignment	FOREIGN_KEY	canonical_assignment_supersedes_assignment_id_fkey	FOREIGN KEY (supersedes_assignment_id) REFERENCES provenance.canonical_assignment(canonical_assignment_id) ON DELETE RESTRICT	supersedes_assignment_id	provenance	canonical_assignment	canonical_assignment_id	f	f		INSERT,UPDATE	47982	CREATE UNIQUE INDEX canonical_assignment_pkey ON provenance.canonical_assignment USING btree (canonical_assignment_id) || CREATE INDEX canonical_assignment_kind_status_idx ON provenance.canonical_assignment USING btree (assignment_kind, status, created_at)	CREATE UNIQUE INDEX canonical_assignment_pkey ON provenance.canonical_assignment USING btree (canonical_assignment_id) || CREATE INDEX canonical_assignment_kind_status_idx ON provenance.canonical_assignment USING btree (assignment_kind, status, created_at)	f	INDEX_PROBE	P1
provenance	object_source_record	FOREIGN_KEY	object_source_record_archive_object_id_fkey	FOREIGN KEY (archive_object_id) REFERENCES core.archive_object(archive_object_id) ON DELETE RESTRICT	archive_object_id	core	archive_object	archive_object_id	f	f		INSERT,UPDATE	15923	CREATE UNIQUE INDEX object_source_record_pkey ON provenance.object_source_record USING btree (archive_object_id, source_record_id, source_role) || CREATE INDEX object_source_record_source_idx ON provenance.object_source_record USING btree (source_record_id, archive_object_id)	CREATE UNIQUE INDEX archive_object_pkey ON core.archive_object USING btree (archive_object_id) || CREATE UNIQUE INDEX archive_object_urn_uidx ON core.archive_object USING btree (object_urn)	t	INDEX_PROBE	P1
provenance	object_source_record	FOREIGN_KEY	object_source_record_source_record_id_fkey	FOREIGN KEY (source_record_id) REFERENCES raw.source_record(source_record_id) ON DELETE RESTRICT	source_record_id	raw	source_record	source_record_id	f	f		INSERT,UPDATE	15923	CREATE UNIQUE INDEX object_source_record_pkey ON provenance.object_source_record USING btree (archive_object_id, source_record_id, source_role) || CREATE INDEX object_source_record_source_idx ON provenance.object_source_record USING btree (source_record_id, archive_object_id)	CREATE UNIQUE INDEX source_record_pkey ON raw.source_record USING btree (source_record_id) || CREATE UNIQUE INDEX source_record_occurrence_unique ON raw.source_record USING btree (source_asset_id, record_ordinal) || CREATE UNIQUE INDEX source_record_asset_identity_unique ON raw.source_record USING btree (source_asset_id, source_record_id) || CREATE INDEX source_record_legacy_id_idx ON raw.source_record USING btree (legacy_source_record_id) || CREATE INDEX source_record_fingerprint_idx ON raw.source_record USING btree (raw_fingerprint)	t	INDEX_PROBE	P1
raw	fail_closed_delta	FOREIGN_KEY	fail_closed_delta_field_literal_id_fkey	FOREIGN KEY (field_literal_id) REFERENCES raw.field_literal(field_literal_id) ON DELETE RESTRICT	field_literal_id	raw	field_literal	field_literal_id	f	f		INSERT,UPDATE	7928	CREATE UNIQUE INDEX fail_closed_delta_pkey ON raw.fail_closed_delta USING btree (fail_closed_delta_id) || CREATE INDEX fail_closed_delta_queue_idx ON raw.fail_closed_delta USING btree (migration_batch_id, disposition, reason_code) || CREATE INDEX fail_closed_delta_source_idx ON raw.fail_closed_delta USING btree (source_record_id)	CREATE UNIQUE INDEX field_literal_pkey ON raw.field_literal USING btree (field_literal_id) || CREATE UNIQUE INDEX field_literal_occurrence_unique ON raw.field_literal USING btree (source_record_id, json_pointer, occurrence_ordinal) || CREATE INDEX field_literal_source_idx ON raw.field_literal USING btree (source_record_id)	f	INDEX_PROBE	P1
raw	fail_closed_delta	FOREIGN_KEY	fail_closed_delta_migration_batch_id_fkey	FOREIGN KEY (migration_batch_id) REFERENCES raw.migration_batch(migration_batch_id) ON DELETE RESTRICT	migration_batch_id	raw	migration_batch	migration_batch_id	f	f		INSERT,UPDATE	7928	CREATE UNIQUE INDEX fail_closed_delta_pkey ON raw.fail_closed_delta USING btree (fail_closed_delta_id) || CREATE INDEX fail_closed_delta_queue_idx ON raw.fail_closed_delta USING btree (migration_batch_id, disposition, reason_code) || CREATE INDEX fail_closed_delta_source_idx ON raw.fail_closed_delta USING btree (source_record_id)	CREATE UNIQUE INDEX migration_batch_pkey ON raw.migration_batch USING btree (migration_batch_id) || CREATE UNIQUE INDEX migration_batch_batch_token_key ON raw.migration_batch USING btree (batch_token) || CREATE INDEX migration_batch_input_idx ON raw.migration_batch USING btree (canonical_input_asset_id) || CREATE INDEX migration_batch_mapping_idx ON raw.migration_batch USING btree (mapping_version_id)	t	INDEX_PROBE	P1
raw	fail_closed_delta	FOREIGN_KEY	fail_closed_delta_resolved_by_delta_id_fkey	FOREIGN KEY (resolved_by_delta_id) REFERENCES raw.fail_closed_delta(fail_closed_delta_id) ON DELETE RESTRICT	resolved_by_delta_id	raw	fail_closed_delta	fail_closed_delta_id	f	f		INSERT,UPDATE	7928	CREATE UNIQUE INDEX fail_closed_delta_pkey ON raw.fail_closed_delta USING btree (fail_closed_delta_id) || CREATE INDEX fail_closed_delta_queue_idx ON raw.fail_closed_delta USING btree (migration_batch_id, disposition, reason_code) || CREATE INDEX fail_closed_delta_source_idx ON raw.fail_closed_delta USING btree (source_record_id)	CREATE UNIQUE INDEX fail_closed_delta_pkey ON raw.fail_closed_delta USING btree (fail_closed_delta_id) || CREATE INDEX fail_closed_delta_queue_idx ON raw.fail_closed_delta USING btree (migration_batch_id, disposition, reason_code) || CREATE INDEX fail_closed_delta_source_idx ON raw.fail_closed_delta USING btree (source_record_id)	f	INDEX_PROBE	P1
raw	fail_closed_delta	FOREIGN_KEY	fail_closed_delta_source_record_id_fkey	FOREIGN KEY (source_record_id) REFERENCES raw.source_record(source_record_id) ON DELETE RESTRICT	source_record_id	raw	source_record	source_record_id	f	f		INSERT,UPDATE	7928	CREATE UNIQUE INDEX fail_closed_delta_pkey ON raw.fail_closed_delta USING btree (fail_closed_delta_id) || CREATE INDEX fail_closed_delta_queue_idx ON raw.fail_closed_delta USING btree (migration_batch_id, disposition, reason_code) || CREATE INDEX fail_closed_delta_source_idx ON raw.fail_closed_delta USING btree (source_record_id)	CREATE UNIQUE INDEX source_record_pkey ON raw.source_record USING btree (source_record_id) || CREATE UNIQUE INDEX source_record_occurrence_unique ON raw.source_record USING btree (source_asset_id, record_ordinal) || CREATE UNIQUE INDEX source_record_asset_identity_unique ON raw.source_record USING btree (source_asset_id, source_record_id) || CREATE INDEX source_record_legacy_id_idx ON raw.source_record USING btree (legacy_source_record_id) || CREATE INDEX source_record_fingerprint_idx ON raw.source_record USING btree (raw_fingerprint)	t	INDEX_PROBE	P1
raw	field_literal	FOREIGN_KEY	field_literal_source_record_id_fkey	FOREIGN KEY (source_record_id) REFERENCES raw.source_record(source_record_id) ON DELETE RESTRICT	source_record_id	raw	source_record	source_record_id	f	f		INSERT,UPDATE	3559820	CREATE UNIQUE INDEX field_literal_pkey ON raw.field_literal USING btree (field_literal_id) || CREATE UNIQUE INDEX field_literal_occurrence_unique ON raw.field_literal USING btree (source_record_id, json_pointer, occurrence_ordinal) || CREATE INDEX field_literal_source_idx ON raw.field_literal USING btree (source_record_id)	CREATE UNIQUE INDEX source_record_pkey ON raw.source_record USING btree (source_record_id) || CREATE UNIQUE INDEX source_record_occurrence_unique ON raw.source_record USING btree (source_asset_id, record_ordinal) || CREATE UNIQUE INDEX source_record_asset_identity_unique ON raw.source_record USING btree (source_asset_id, source_record_id) || CREATE INDEX source_record_legacy_id_idx ON raw.source_record USING btree (legacy_source_record_id) || CREATE INDEX source_record_fingerprint_idx ON raw.source_record USING btree (raw_fingerprint)	t	INDEX_PROBE	P1
raw	legacy_surface_ledger	CONSTRAINT_TRIGGER	legacy_surface_lineage_exact	CREATE CONSTRAINT TRIGGER legacy_surface_lineage_exact AFTER INSERT OR DELETE OR UPDATE ON raw.legacy_surface_ledger DEFERRABLE INITIALLY DEFERRED FOR EACH ROW EXECUTE FUNCTION raw.enforce_legacy_surface_lineage()					t	t	raw.enforce_legacy_surface_lineage()	INSERT,UPDATE,DELETE	15923	CREATE UNIQUE INDEX legacy_surface_ledger_pkey ON raw.legacy_surface_ledger USING btree (legacy_surface_ledger_id) || CREATE UNIQUE INDEX legacy_surface_batch_ordinal_unique ON raw.legacy_surface_ledger USING btree (migration_batch_id, input_ordinal) || CREATE UNIQUE INDEX legacy_surface_batch_surface_unique ON raw.legacy_surface_ledger USING btree (migration_batch_id, surface_id) || CREATE UNIQUE INDEX legacy_surface_batch_source_occurrence_unique ON raw.legacy_surface_ledger USING btree (migration_batch_id, source_record_id) || CREATE INDEX legacy_surface_source_record_idx ON raw.legacy_surface_ledger USING btree (source_record_id) || CREATE INDEX legacy_surface_archive_object_idx ON raw.legacy_surface_ledger USING btree (archive_object_id) || CREATE INDEX legacy_surface_disposition_idx ON raw.legacy_surface_ledger USING btree (migration_batch_id, import_disposition) || CREATE INDEX legacy_surface_fingerprint_idx ON raw.legacy_surface_ledger USING btree (source_fingerprint)			ROW_EVENT_FUNCTION	P1
raw	legacy_surface_ledger	FOREIGN_KEY	legacy_surface_ledger_archive_object_id_fkey	FOREIGN KEY (archive_object_id) REFERENCES core.archive_object(archive_object_id) ON DELETE RESTRICT	archive_object_id	core	archive_object	archive_object_id	f	f		INSERT,UPDATE	15923	CREATE UNIQUE INDEX legacy_surface_ledger_pkey ON raw.legacy_surface_ledger USING btree (legacy_surface_ledger_id) || CREATE UNIQUE INDEX legacy_surface_batch_ordinal_unique ON raw.legacy_surface_ledger USING btree (migration_batch_id, input_ordinal) || CREATE UNIQUE INDEX legacy_surface_batch_surface_unique ON raw.legacy_surface_ledger USING btree (migration_batch_id, surface_id) || CREATE UNIQUE INDEX legacy_surface_batch_source_occurrence_unique ON raw.legacy_surface_ledger USING btree (migration_batch_id, source_record_id) || CREATE INDEX legacy_surface_source_record_idx ON raw.legacy_surface_ledger USING btree (source_record_id) || CREATE INDEX legacy_surface_archive_object_idx ON raw.legacy_surface_ledger USING btree (archive_object_id) || CREATE INDEX legacy_surface_disposition_idx ON raw.legacy_surface_ledger USING btree (migration_batch_id, import_disposition) || CREATE INDEX legacy_surface_fingerprint_idx ON raw.legacy_surface_ledger USING btree (source_fingerprint)	CREATE UNIQUE INDEX archive_object_pkey ON core.archive_object USING btree (archive_object_id) || CREATE UNIQUE INDEX archive_object_urn_uidx ON core.archive_object USING btree (object_urn)	t	INDEX_PROBE	P1
raw	legacy_surface_ledger	FOREIGN_KEY	legacy_surface_ledger_canonical_input_asset_id_source_reco_fkey	FOREIGN KEY (canonical_input_asset_id, source_record_id) REFERENCES raw.source_record(source_asset_id, source_record_id) ON DELETE RESTRICT	canonical_input_asset_id,source_record_id	raw	source_record	source_asset_id,source_record_id	f	f		INSERT,UPDATE	15923	CREATE UNIQUE INDEX legacy_surface_ledger_pkey ON raw.legacy_surface_ledger USING btree (legacy_surface_ledger_id) || CREATE UNIQUE INDEX legacy_surface_batch_ordinal_unique ON raw.legacy_surface_ledger USING btree (migration_batch_id, input_ordinal) || CREATE UNIQUE INDEX legacy_surface_batch_surface_unique ON raw.legacy_surface_ledger USING btree (migration_batch_id, surface_id) || CREATE UNIQUE INDEX legacy_surface_batch_source_occurrence_unique ON raw.legacy_surface_ledger USING btree (migration_batch_id, source_record_id) || CREATE INDEX legacy_surface_source_record_idx ON raw.legacy_surface_ledger USING btree (source_record_id) || CREATE INDEX legacy_surface_archive_object_idx ON raw.legacy_surface_ledger USING btree (archive_object_id) || CREATE INDEX legacy_surface_disposition_idx ON raw.legacy_surface_ledger USING btree (migration_batch_id, import_disposition) || CREATE INDEX legacy_surface_fingerprint_idx ON raw.legacy_surface_ledger USING btree (source_fingerprint)	CREATE UNIQUE INDEX source_record_pkey ON raw.source_record USING btree (source_record_id) || CREATE UNIQUE INDEX source_record_occurrence_unique ON raw.source_record USING btree (source_asset_id, record_ordinal) || CREATE UNIQUE INDEX source_record_asset_identity_unique ON raw.source_record USING btree (source_asset_id, source_record_id) || CREATE INDEX source_record_legacy_id_idx ON raw.source_record USING btree (legacy_source_record_id) || CREATE INDEX source_record_fingerprint_idx ON raw.source_record USING btree (raw_fingerprint)	f	INDEX_PROBE	P1
raw	legacy_surface_ledger	FOREIGN_KEY	legacy_surface_ledger_migration_batch_id_fkey	FOREIGN KEY (migration_batch_id) REFERENCES raw.migration_batch(migration_batch_id) ON DELETE RESTRICT	migration_batch_id	raw	migration_batch	migration_batch_id	f	f		INSERT,UPDATE	15923	CREATE UNIQUE INDEX legacy_surface_ledger_pkey ON raw.legacy_surface_ledger USING btree (legacy_surface_ledger_id) || CREATE UNIQUE INDEX legacy_surface_batch_ordinal_unique ON raw.legacy_surface_ledger USING btree (migration_batch_id, input_ordinal) || CREATE UNIQUE INDEX legacy_surface_batch_surface_unique ON raw.legacy_surface_ledger USING btree (migration_batch_id, surface_id) || CREATE UNIQUE INDEX legacy_surface_batch_source_occurrence_unique ON raw.legacy_surface_ledger USING btree (migration_batch_id, source_record_id) || CREATE INDEX legacy_surface_source_record_idx ON raw.legacy_surface_ledger USING btree (source_record_id) || CREATE INDEX legacy_surface_archive_object_idx ON raw.legacy_surface_ledger USING btree (archive_object_id) || CREATE INDEX legacy_surface_disposition_idx ON raw.legacy_surface_ledger USING btree (migration_batch_id, import_disposition) || CREATE INDEX legacy_surface_fingerprint_idx ON raw.legacy_surface_ledger USING btree (source_fingerprint)	CREATE UNIQUE INDEX migration_batch_pkey ON raw.migration_batch USING btree (migration_batch_id) || CREATE UNIQUE INDEX migration_batch_batch_token_key ON raw.migration_batch USING btree (batch_token) || CREATE INDEX migration_batch_input_idx ON raw.migration_batch USING btree (canonical_input_asset_id) || CREATE INDEX migration_batch_mapping_idx ON raw.migration_batch USING btree (mapping_version_id)	t	INDEX_PROBE	P1
raw	legacy_surface_ledger	FOREIGN_KEY	legacy_surface_ledger_source_record_id_fkey	FOREIGN KEY (source_record_id) REFERENCES raw.source_record(source_record_id) ON DELETE RESTRICT	source_record_id	raw	source_record	source_record_id	f	f		INSERT,UPDATE	15923	CREATE UNIQUE INDEX legacy_surface_ledger_pkey ON raw.legacy_surface_ledger USING btree (legacy_surface_ledger_id) || CREATE UNIQUE INDEX legacy_surface_batch_ordinal_unique ON raw.legacy_surface_ledger USING btree (migration_batch_id, input_ordinal) || CREATE UNIQUE INDEX legacy_surface_batch_surface_unique ON raw.legacy_surface_ledger USING btree (migration_batch_id, surface_id) || CREATE UNIQUE INDEX legacy_surface_batch_source_occurrence_unique ON raw.legacy_surface_ledger USING btree (migration_batch_id, source_record_id) || CREATE INDEX legacy_surface_source_record_idx ON raw.legacy_surface_ledger USING btree (source_record_id) || CREATE INDEX legacy_surface_archive_object_idx ON raw.legacy_surface_ledger USING btree (archive_object_id) || CREATE INDEX legacy_surface_disposition_idx ON raw.legacy_surface_ledger USING btree (migration_batch_id, import_disposition) || CREATE INDEX legacy_surface_fingerprint_idx ON raw.legacy_surface_ledger USING btree (source_fingerprint)	CREATE UNIQUE INDEX source_record_pkey ON raw.source_record USING btree (source_record_id) || CREATE UNIQUE INDEX source_record_occurrence_unique ON raw.source_record USING btree (source_asset_id, record_ordinal) || CREATE UNIQUE INDEX source_record_asset_identity_unique ON raw.source_record USING btree (source_asset_id, source_record_id) || CREATE INDEX source_record_legacy_id_idx ON raw.source_record USING btree (legacy_source_record_id) || CREATE INDEX source_record_fingerprint_idx ON raw.source_record USING btree (raw_fingerprint)	t	INDEX_PROBE	P1
