category_entry_id	category_entry_hash	category_id	category_label	composition_id	topology_composition_hash	node_ids	association_ids	seed_variant_ids	production_composition_ids	initial_state_id	database_authority
R16A-ENTRY-5210759542ADC353072B	5210759542adc353072b1b06174d1253f52e9856e303ef43a2bcfe3fe5d8e926	region	Region	R16A-TOPO-646911993C280A6A4A08	646911993c280a6a4a0822e25bb65f9ebf0b9d9995299a71be1dd32cc9732311	"[""TRV:177025b0eec6e5e441b7f637224e31440c6cc60afd1d06ced1ad993d4ac8988c"",""TRV:be33e16d8f585c08bb0efe6f0df92659a22d534298639f5318d2a2580546fdcc"",""TRV:d366de58d3002458bfb404ee505621e926c518871a4caeffcdfb89b45f8112ef""]"	"[""R16A-PAIR:43fa33f1a987090224619eb68e83d246be7705f94d1b2e364bdfb2b73fc1a94f"",""R16A-PAIR:891e0c3d300d8c4af59fbef2f00d164ee9c22df4148122c54ed84daee1dcb37e""]"	"[""R16A-SEED-DC6EEA4DE0DE2F42DAE4"",""R16A-SEED-68C5BA5CFC907E6BD4FC"",""R16A-SEED-E9BBABEEA42E345CB6A3""]"	"[""R16A-PCOMP-CF0BA4B60EDFEC80FB72"",""R16A-PCOMP-F3E9FBB24680C96BDDD2"",""R16A-PCOMP-E6F38028503B12CFEE7C""]"	R16A-STATE-5594FB0107CFFD6E0183CF74	database:object_folder_refs:region
R16A-ENTRY-5C66E3328B55C92AB100	5c66e3328b55c92ab100f192fd5c1225b00ee1a3b8b4e62a1a75f5845d2957f5	region	Region	R16A-TOPO-17B6AEA60241BC2DCB23	17b6aea60241bc2dcb2316160658961abc41125f3f0b718a42336f9fee38ec9b	"[""TRV:177025b0eec6e5e441b7f637224e31440c6cc60afd1d06ced1ad993d4ac8988c"",""TRV:be33e16d8f585c08bb0efe6f0df92659a22d534298639f5318d2a2580546fdcc"",""TRV:d366de58d3002458bfb404ee505621e926c518871a4caeffcdfb89b45f8112ef""]"	"[""R16A-PAIR:891e0c3d300d8c4af59fbef2f00d164ee9c22df4148122c54ed84daee1dcb37e"",""R16A-PAIR:c36555188472ea5287ed70295a1b85e92e2ba9468fc703d2fe8893de3fc55a1f""]"	"[""R16A-SEED-001B5DA27C169711E492"",""R16A-SEED-DFA473B23F143E32BF0C"",""R16A-SEED-71DB7814B680AA350729""]"	"[""R16A-PCOMP-0704554ABCC57AB565EF"",""R16A-PCOMP-EF917AD23AB2EDDC022B"",""R16A-PCOMP-D9FB09749D75F6BED59C""]"	R16A-STATE-9EEF1F3F8AE8F0589DF3538C	database:object_folder_refs:region
R16A-ENTRY-72B17DD5501BC143E074	72b17dd5501bc143e0747e4090e4750fc8162e45609649d7dcf7e046ed242925	region	Region	R16A-TOPO-89976F424967F9E1294B	89976f424967f9e1294bd8a9b5b64f20974d1fbbad91a0d06d2d7a88fe021e59	"[""TRV:177025b0eec6e5e441b7f637224e31440c6cc60afd1d06ced1ad993d4ac8988c"",""TRV:be33e16d8f585c08bb0efe6f0df92659a22d534298639f5318d2a2580546fdcc""]"	"[""R16A-PAIR:891e0c3d300d8c4af59fbef2f00d164ee9c22df4148122c54ed84daee1dcb37e""]"	"[""R16A-SEED-C65BDFE18CE4E47211F0"",""R16A-SEED-F059F0FCDEF47B0C2B86""]"	"[""R16A-PCOMP-666EDB2671FA31C6E5D8"",""R16A-PCOMP-77C0FF14EB8DE48EF77F""]"	R16A-STATE-3B99F85B001B15AD8E6BBAEA	database:object_folder_refs:region
R16A-ENTRY-7EDC285F24607D60BEA4	7edc285f24607d60bea402031c9284723c3ee22af193bbc9eb536cb3c370bf32	region	Region	R16A-TOPO-273F91A3099EBA547C25	273f91a3099eba547c2532c1aa38c8bd482ee190d1b105411911326c1c0d3c8a	"[""TRV:2fe1d615f7fb24b99fb828c5ceadcf06635e7fb6f47910f32d2daf1f6bd763f0"",""TRV:5660ce124250ffd0ecbcf64a7359315bd26afdb0d89c559c03a491cc2138e4ed""]"	"[""R16A-PAIR:4cf124f8588611ba0a2f76bce26ab0b5890dcfcf71d9283888d62d58bcdb974a""]"	"[""R16A-SEED-1F4093B5D049C7E72E19"",""R16A-SEED-F2114ADBD5D29FDEA690""]"	"[""R16A-PCOMP-279AE0B5A4BD3D62E728"",""R16A-PCOMP-05162A57D278D493D5DF""]"	R16A-STATE-1AD18A9FD7BBD193E43415BD	database:object_folder_refs:region
R16A-ENTRY-82CA5FBBB8348F7AE95B	82ca5fbbb8348f7ae95b8629b79f513f3bbc896d07f747c3939c7ba76dcad8ae	region	Region	R16A-TOPO-0DDE3305A3B881ED487A	0dde3305a3b881ed487a614757a03fdf7e1b799e398d5a4ce0796b67a29e2d8a	"[""TRV:177025b0eec6e5e441b7f637224e31440c6cc60afd1d06ced1ad993d4ac8988c"",""TRV:be33e16d8f585c08bb0efe6f0df92659a22d534298639f5318d2a2580546fdcc"",""TRV:d366de58d3002458bfb404ee505621e926c518871a4caeffcdfb89b45f8112ef""]"	"[""R16A-PAIR:43fa33f1a987090224619eb68e83d246be7705f94d1b2e364bdfb2b73fc1a94f"",""R16A-PAIR:891e0c3d300d8c4af59fbef2f00d164ee9c22df4148122c54ed84daee1dcb37e""]"	"[""R16A-SEED-A2F024A1E9548572C8F1"",""R16A-SEED-6513395057F8585C1896"",""R16A-SEED-7E4F47AFCDEE7324EC5C""]"	"[""R16A-PCOMP-3E050B5A69CE84AA2287"",""R16A-PCOMP-FC6117E9D1DBF209F9C3"",""R16A-PCOMP-4BA954891819FB879A8F""]"	R16A-STATE-B0C6C7ADD010D9021EE91CB6	database:object_folder_refs:region
R16A-ENTRY-8E56DCCFD296100BB104	8e56dccfd296100bb1040874bcd78517d0a5899d880992c4a7fa064ac2121013	region	Region	R16A-TOPO-3F3B003997BCECF3C104	3f3b003997bcecf3c10480822aae7f3e64a6108efc16df00318f87ba0b980e51	"[""TRV:2fe1d615f7fb24b99fb828c5ceadcf06635e7fb6f47910f32d2daf1f6bd763f0"",""TRV:5660ce124250ffd0ecbcf64a7359315bd26afdb0d89c559c03a491cc2138e4ed"",""TRV:fd793986cd6d45968d3c7103e778813542e6a9979a85e9cf512450307c9f7342""]"	"[""R16A-PAIR:4cf124f8588611ba0a2f76bce26ab0b5890dcfcf71d9283888d62d58bcdb974a"",""R16A-PAIR:591aa3897c3e0e455ef4bc05b36550f3d010af9e84be8a08c199676025fdeb04""]"	"[""R16A-SEED-46FA918F3D1F1C13E29B"",""R16A-SEED-AF9169BC610047A44DCE"",""R16A-SEED-89A0990EEC79791F3787""]"	"[""R16A-PCOMP-9B2E6A48F4613D381EB9"",""R16A-PCOMP-9568A00F1BB879D242D1"",""R16A-PCOMP-95C4825A049407F782CA""]"	R16A-STATE-0D94187DC5A1B88B78D3D862	database:object_folder_refs:region
R16A-ENTRY-91C361126F28F4EB4753	91c361126f28f4eb475366155980665a7d2b3c12fe888cc5ef2ff43e58512557	region	Region	R16A-TOPO-EF29609FCC3F92DB2291	ef29609fcc3f92db2291ad11178a9d81271f762c506c97297feef6ce33df6617	"[""TRV:2fe1d615f7fb24b99fb828c5ceadcf06635e7fb6f47910f32d2daf1f6bd763f0"",""TRV:5660ce124250ffd0ecbcf64a7359315bd26afdb0d89c559c03a491cc2138e4ed"",""TRV:fd793986cd6d45968d3c7103e778813542e6a9979a85e9cf512450307c9f7342""]"	"[""R16A-PAIR:4cf124f8588611ba0a2f76bce26ab0b5890dcfcf71d9283888d62d58bcdb974a"",""R16A-PAIR:591aa3897c3e0e455ef4bc05b36550f3d010af9e84be8a08c199676025fdeb04""]"	"[""R16A-SEED-83C1032D95869047A078"",""R16A-SEED-ACED273119C4EAD0D6B8"",""R16A-SEED-3CBEEB38677F634C43C5""]"	"[""R16A-PCOMP-0ED27692FB4AB03E768C"",""R16A-PCOMP-1C8B87447628958EFC64"",""R16A-PCOMP-584740458A78B5ABC3D8""]"	R16A-STATE-298FBEB732559F9223980402	database:object_folder_refs:region
R16A-ENTRY-9931A04C86743C7CD592	9931a04c86743c7cd592a74b3f1e48cbb517aa75eba9a664f0cf896c3f6e0afc	region	Region	R16A-TOPO-88DB161CA6003A4B8FCF	88db161ca6003a4b8fcf6ca19fd463af93a89eb078c1de645e795bbcc2740418	"[""TRV:2fe1d615f7fb24b99fb828c5ceadcf06635e7fb6f47910f32d2daf1f6bd763f0"",""TRV:5660ce124250ffd0ecbcf64a7359315bd26afdb0d89c559c03a491cc2138e4ed"",""TRV:fd793986cd6d45968d3c7103e778813542e6a9979a85e9cf512450307c9f7342""]"	"[""R16A-PAIR:591aa3897c3e0e455ef4bc05b36550f3d010af9e84be8a08c199676025fdeb04"",""R16A-PAIR:c58fe913fc06f2896c1022f7ccc0e9de1b0f7f1121f09c7d18162d40fe764cf9""]"	"[""R16A-SEED-D4120F95EB27A80EB7B2"",""R16A-SEED-672638B68309F227AB10"",""R16A-SEED-2D4C54976D641315F303""]"	"[""R16A-PCOMP-8555C559B484EB985A20"",""R16A-PCOMP-D9429E0AD31FC55E0F40"",""R16A-PCOMP-95215E543ACB5E8F5D4C""]"	R16A-STATE-3DB7BF3F42B39FD98D0A9818	database:object_folder_refs:region
R16A-ENTRY-9A10AFD4676A2874B38C	9a10afd4676a2874b38c398bdca4c3dbc04b7220283fe2d338ec150d12590e75	region	Region	R16A-TOPO-A9529A7967D2FE590C2C	a9529a7967d2fe590c2cc4fa249808f729d1f3b353c9c883b3ceb63e52c1f2ab	"[""TRV:177025b0eec6e5e441b7f637224e31440c6cc60afd1d06ced1ad993d4ac8988c"",""TRV:be33e16d8f585c08bb0efe6f0df92659a22d534298639f5318d2a2580546fdcc"",""TRV:d366de58d3002458bfb404ee505621e926c518871a4caeffcdfb89b45f8112ef""]"	"[""R16A-PAIR:43fa33f1a987090224619eb68e83d246be7705f94d1b2e364bdfb2b73fc1a94f"",""R16A-PAIR:c36555188472ea5287ed70295a1b85e92e2ba9468fc703d2fe8893de3fc55a1f""]"	"[""R16A-SEED-0737A7F3E4B463A660DC"",""R16A-SEED-AEF4C77820C0EB70E5A6"",""R16A-SEED-0448FCFCA2F42BEB9B06""]"	"[""R16A-PCOMP-FB98C7D70C7129EC3E28"",""R16A-PCOMP-91C566F47547D9BE6037"",""R16A-PCOMP-7E4CEAE64479A82CF9C2""]"	R16A-STATE-74CF8561789F290DDB3B44FD	database:object_folder_refs:region
R16A-ENTRY-AEDF413DE2F27AA8FE03	aedf413de2f27aa8fe0357cc6e81bca53c1adaf49cd973c9d05ebc8b657029ab	region	Region	R16A-TOPO-AF321464EE819F9787A4	af321464ee819f9787a4ce95f599ae72d80bf7d3e5ed6b08b614ec42f0d89a51	"[""TRV:177025b0eec6e5e441b7f637224e31440c6cc60afd1d06ced1ad993d4ac8988c"",""TRV:be33e16d8f585c08bb0efe6f0df92659a22d534298639f5318d2a2580546fdcc"",""TRV:d366de58d3002458bfb404ee505621e926c518871a4caeffcdfb89b45f8112ef""]"	"[""R16A-PAIR:891e0c3d300d8c4af59fbef2f00d164ee9c22df4148122c54ed84daee1dcb37e"",""R16A-PAIR:c36555188472ea5287ed70295a1b85e92e2ba9468fc703d2fe8893de3fc55a1f""]"	"[""R16A-SEED-2BFB100BB2F6534A2DF4"",""R16A-SEED-58FAD6BA9B1BF49D9E4C"",""R16A-SEED-531D31063553108CCFDC""]"	"[""R16A-PCOMP-837436F8392820809D98"",""R16A-PCOMP-342AE02C7A8E404C99E9"",""R16A-PCOMP-8B6EC57A586CA2DC2933""]"	R16A-STATE-1202EA731B3B810770E818EB	database:object_folder_refs:region
R16A-ENTRY-AF6985C27CFF43F60656	af6985c27cff43f60656376b17f105f492e05d116119edc9e0586cca32214f0b	region	Region	R16A-TOPO-F989D2F99F1041EE44C1	f989d2f99f1041ee44c1ab53bb283ebac69ba3e2ca109ae2fab0a960bf90e40d	"[""TRV:2fe1d615f7fb24b99fb828c5ceadcf06635e7fb6f47910f32d2daf1f6bd763f0"",""TRV:fd793986cd6d45968d3c7103e778813542e6a9979a85e9cf512450307c9f7342""]"	"[""R16A-PAIR:c58fe913fc06f2896c1022f7ccc0e9de1b0f7f1121f09c7d18162d40fe764cf9""]"	"[""R16A-SEED-531CF9A345CE1FA3FF26"",""R16A-SEED-8E92E6E85800E65EBA42""]"	"[""R16A-PCOMP-69A1FFAFDE4F11FEC195"",""R16A-PCOMP-692610485B833285A57D""]"	R16A-STATE-A88F1C2949F2045F83012320	database:object_folder_refs:region
R16A-ENTRY-BF07DD1C1ADA7CC4D809	bf07dd1c1ada7cc4d809fbb292147405d8c2927d0d4291e621c2112af93d42c8	region	Region	R16A-TOPO-F0B83479B2BA8E71CE26	f0b83479b2ba8e71ce26c1179231fd19dbe07cfbbfd536bb56738235bf67ea3b	"[""TRV:177025b0eec6e5e441b7f637224e31440c6cc60afd1d06ced1ad993d4ac8988c"",""TRV:be33e16d8f585c08bb0efe6f0df92659a22d534298639f5318d2a2580546fdcc"",""TRV:d366de58d3002458bfb404ee505621e926c518871a4caeffcdfb89b45f8112ef""]"	"[""R16A-PAIR:43fa33f1a987090224619eb68e83d246be7705f94d1b2e364bdfb2b73fc1a94f"",""R16A-PAIR:c36555188472ea5287ed70295a1b85e92e2ba9468fc703d2fe8893de3fc55a1f""]"	"[""R16A-SEED-FD49CB35870D8DC49BB5"",""R16A-SEED-7F5468F823F6BC01DCDB"",""R16A-SEED-AF0348C6C058C3751502""]"	"[""R16A-PCOMP-0DBFCDB9B61C54D15FB7"",""R16A-PCOMP-0D79DD06BB12234D961D"",""R16A-PCOMP-40167CCF74A48267F34C""]"	R16A-STATE-E7ABBC992C0DE6BC97715E9F	database:object_folder_refs:region
R16A-ENTRY-E0E3DBF0580D842CA879	e0e3dbf0580d842ca879cb6b0e2ada84a5b6f2ab404cb9cdbf566235553aadba	region	Region	R16A-TOPO-BBDA548CFC4EB7B59541	bbda548cfc4eb7b59541ffcb6f9d4f45eb9965e081817de4b9870bacfb14b1af	"[""TRV:177025b0eec6e5e441b7f637224e31440c6cc60afd1d06ced1ad993d4ac8988c"",""TRV:d366de58d3002458bfb404ee505621e926c518871a4caeffcdfb89b45f8112ef""]"	"[""R16A-PAIR:c36555188472ea5287ed70295a1b85e92e2ba9468fc703d2fe8893de3fc55a1f""]"	"[""R16A-SEED-CEDA942F4773743AB9BA"",""R16A-SEED-916DE25A388AECD2DD64""]"	"[""R16A-PCOMP-73FE88CDD02EBA09EC71"",""R16A-PCOMP-E27806123653719D8EF7""]"	R16A-STATE-55A0CFBF82727ED6E294FA04	database:object_folder_refs:region
R16A-ENTRY-EF8BD27CDE521536B350	ef8bd27cde521536b35042396ce083f48f5ba84708512fe5657c5a511790ad4f	region	Region	R16A-TOPO-66757A325D99CBD58B14	66757a325d99cbd58b1470660843c11097249964345115ecd02ec0324e4d8c93	"[""TRV:177025b0eec6e5e441b7f637224e31440c6cc60afd1d06ced1ad993d4ac8988c"",""TRV:be33e16d8f585c08bb0efe6f0df92659a22d534298639f5318d2a2580546fdcc"",""TRV:d366de58d3002458bfb404ee505621e926c518871a4caeffcdfb89b45f8112ef""]"	"[""R16A-PAIR:43fa33f1a987090224619eb68e83d246be7705f94d1b2e364bdfb2b73fc1a94f"",""R16A-PAIR:c36555188472ea5287ed70295a1b85e92e2ba9468fc703d2fe8893de3fc55a1f""]"	"[""R16A-SEED-DA2CDDBE2D057F3724F4"",""R16A-SEED-A5BF28A61DD38A95D576"",""R16A-SEED-89154B18ECC367A1D3C5""]"	"[""R16A-PCOMP-CC5CE0DB07DCB0566D8A"",""R16A-PCOMP-DE9A91E306D83C3D6F29"",""R16A-PCOMP-1366961561B761A0F2C4""]"	R16A-STATE-E45BE64F2E04267C5B89B2CA	database:object_folder_refs:region
