vocabulary_candidate_id	canonical_label	normalized_label	status	governed_reason	research_gate	decision_refs_json	provenance_rounds_json	universe_hash
R16A-VOCAB-CAND:dc02f46703b753f4c1197bd14d98e2f395e9ab01803981e040e66d7d28ffac19	decolonization	decolonization	GOVERNED_RESEARCH_ONLY	Round 9 DEFER_SEMANTIC_AMBIGUITY: Disciplinary/practice and historical-political senses require separately attested sense records.	Split competing senses and independently attest each bounded sense.	"[""docs/research/trace-v49-design-history-relation-vocabulary-round1/04_RAW_CANDIDATE_TERM_REGISTRY.tsv#REL-CAND-0027""]"	"[""ROUND9""]"	578ec61cac3a0dc43aa38cc3d75e15cd1bf46331f9333a872d9824d6ee648a8f
R16A-VOCAB-CAND:01bd06df459ca09163c9472f24396c6cc3ee57a45f83f89984763fbb1aa39c20	design exchanges	design exchanges	GOVERNED_RESEARCH_ONLY	Round 10 DEFER_HIGH_CONNECTIVITY: The case evidence is strong but the plural term is an umbrella for meetings, networks, exhibitions, commerce, and diplomacy; pairwise connectivity remains too broad.	Demonstrate a bounded non-universal role with explicit scope-out and argument roles.	"[""docs/research/trace-v49-design-history-relation-grammar-round1/05_NODE_ROLE_DECISION_REGISTRY.tsv#REL-CAND-0009#SENSE-A""]"	"[""ROUND10""]"	578ec61cac3a0dc43aa38cc3d75e15cd1bf46331f9333a872d9824d6ee648a8f
R16A-VOCAB-CAND:dcd2d24e4ae90e27099f84a06c0549155b08ffd87c616e9789b1a77d77312c72	displacement	displacement	GOVERNED_RESEARCH_ONLY	Round 10 DEFER_SPLIT_REQUIRED: The new design-history volume intentionally pluralizes forced, spatial, material, semantic, and protest senses; one Node would collapse distinct subjects and forces.	Split competing senses and independently attest each bounded sense.	"[""docs/research/trace-v49-design-history-relation-grammar-round1/05_NODE_ROLE_DECISION_REGISTRY.tsv#REL-CAND-0012#SENSE-A""]"	"[""ROUND10""]"	578ec61cac3a0dc43aa38cc3d75e15cd1bf46331f9333a872d9824d6ee648a8f
R16A-VOCAB-CAND:c750328d81321862a3d149465a4cd5b3c0602ea274151770d1497af292268145	erasure	erasure	GOVERNED_RESEARCH_ONLY	Round 9 DEFER_SINGLE_ATTESTATION: One exact graphic-design-historiographic use was verified.	Obtain independent, verified design-history attestation and repeat semantic review.	"[""docs/research/trace-v49-design-history-relation-vocabulary-round1/04_RAW_CANDIDATE_TERM_REGISTRY.tsv#REL-CAND-0014""]"	"[""ROUND9""]"	578ec61cac3a0dc43aa38cc3d75e15cd1bf46331f9333a872d9824d6ee648a8f
R16A-VOCAB-CAND:180a26f2655f92f654a1662d7af03d8ba784a36a43e1541fc89d32324d91a015	exclusion	exclusion	GOVERNED_RESEARCH_ONLY	Round 9 DEFER_SINGLE_ATTESTATION: One exact design-historiographic noun use was verified.	Obtain independent, verified design-history attestation and repeat semantic review.	"[""docs/research/trace-v49-design-history-relation-vocabulary-round1/04_RAW_CANDIDATE_TERM_REGISTRY.tsv#REL-CAND-0013""]"	"[""ROUND9""]"	578ec61cac3a0dc43aa38cc3d75e15cd1bf46331f9333a872d9824d6ee648a8f
R16A-VOCAB-CAND:fcaa4a910b3cc0ebf59ee548021f6839689af953c031dedf25a6437be51c6113	mediating channels	mediating channels	GOVERNED_RESEARCH_ONLY	Round 13 NEEDS_ADDITIONAL_EVIDENCE: Exact design-history uses exist, but the second applications explicitly depend on the PCM genealogy and universal-connector risk remains high.	Obtain independent, verified design-history attestation and repeat semantic review.	"[""docs/research/trace-v49-exploration-composition-review-round1/07_VOCABULARY_GAP_DECISIONS.tsv#GAP-001:mediating channels""]"	"[""ROUND13""]"	578ec61cac3a0dc43aa38cc3d75e15cd1bf46331f9333a872d9824d6ee648a8f
R16A-VOCAB-CAND:9ffa94a6b71ce288865f4ca251cbdc00e8932faa156ba77ab1528a43b3fd37eb	mediating devices	mediating devices	GOVERNED_RESEARCH_ONLY	Round 13 NEEDS_ADDITIONAL_EVIDENCE: Exact design-history uses exist, but the second applications explicitly depend on the PCM genealogy and universal-connector risk remains high.	Obtain independent, verified design-history attestation and repeat semantic review.	"[""docs/research/trace-v49-exploration-composition-review-round1/07_VOCABULARY_GAP_DECISIONS.tsv#GAP-001:mediating devices""]"	"[""ROUND13""]"	578ec61cac3a0dc43aa38cc3d75e15cd1bf46331f9333a872d9824d6ee648a8f
R16A-VOCAB-CAND:da7594dbcc012cdccbbfc976354964addf1b469f8df410910ad30831cc74f66d	transculturation	transculturation	GOVERNED_RESEARCH_ONLY	Round 10 DEFER_TOO_BROAD: The new architectural case confirms multi-directionality and ongoing interaction, but one role cannot safely cover pedagogy, migration, cultural formation, and knowledge circulation.	Demonstrate a bounded non-universal role with explicit scope-out and argument roles.	"[""docs/research/trace-v49-design-history-relation-grammar-round1/05_NODE_ROLE_DECISION_REGISTRY.tsv#REL-CAND-0023#SENSE-A""]"	"[""ROUND10""]"	578ec61cac3a0dc43aa38cc3d75e15cd1bf46331f9333a872d9824d6ee648a8f
R16A-VOCAB-CAND:839cd11692e82b35399802778a0d4b08fb21690eb757a7d9e5030d9a2bcc2b97	translation	translation	GOVERNED_RESEARCH_ONLY	Round 9 DEFER_SEMANTIC_AMBIGUITY: One exact bare noun use cannot establish a stable cultural rather than literal sense.	Split competing senses and independently attest each bounded sense.	"[""docs/research/trace-v49-design-history-relation-vocabulary-round1/04_RAW_CANDIDATE_TERM_REGISTRY.tsv#REL-CAND-0016""]"	"[""ROUND9""]"	578ec61cac3a0dc43aa38cc3d75e15cd1bf46331f9333a872d9824d6ee648a8f
R16A-VOCAB-CAND:770b2fbb07d3b356fd0fb3f24d9c1a7cd43ed226fea4e186603fd74ef1c54d86	transnational interactions	transnational interactions	GOVERNED_RESEARCH_ONLY	Round 10 DEFER_HIGH_CONNECTIVITY: The exact term spans people, organizations, ideas, exchanges, power structures, and reciprocal or asymmetric relations; unconstrained use would connect most nodes.	Demonstrate a bounded non-universal role with explicit scope-out and argument roles.	"[""docs/research/trace-v49-design-history-relation-grammar-round1/05_NODE_ROLE_DECISION_REGISTRY.tsv#REL-CAND-0007#SENSE-A""]"	"[""ROUND10""]"	578ec61cac3a0dc43aa38cc3d75e15cd1bf46331f9333a872d9824d6ee648a8f
R16A-VOCAB-CAND:61c45ac5f14a0c27b4fd723400840c9e359a20902331df3d7f8a16bb4b9b77f4	work migrations	work migrations	GOVERNED_RESEARCH_ONLY	Round 9 DEFER_TRANSLATION: Published English forms are one translation chain and the original Norwegian term was not exposed.	Verify the original-language noun and an independent published translation chain.	"[""docs/research/trace-v49-design-history-relation-vocabulary-round1/04_RAW_CANDIDATE_TERM_REGISTRY.tsv#REL-CAND-0020""]"	"[""ROUND9""]"	578ec61cac3a0dc43aa38cc3d75e15cd1bf46331f9333a872d9824d6ee648a8f
