ordinal	pair_id	vocabulary_id_a	vocabulary_id_b	label_a	label_b	normalized_label_a	normalized_label_b	canonical_pair_key	structurally_excluded	pair_universe_hash
11	R16A-PAIR:601c4871b884db52115d02679acd732d12dfbf5298b167d43f925264c4a43e23	TRV:12c360cc0c3231a45d5841e63ee7f3377be76ee0fa28c3f4dda803186cbbc829	TRV:5660ce124250ffd0ecbcf64a7359315bd26afdb0d89c559c03a491cc2138e4ed	consumer culture	cultural negotiation	consumer culture	cultural negotiation	TRV:12c360cc0c3231a45d5841e63ee7f3377be76ee0fa28c3f4dda803186cbbc829|TRV:5660ce124250ffd0ecbcf64a7359315bd26afdb0d89c559c03a491cc2138e4ed	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
12	R16A-PAIR:ba848777333c4701d428bf6eacff0963e41b9d3ef726788a9530f45b03c273de	TRV:12c360cc0c3231a45d5841e63ee7f3377be76ee0fa28c3f4dda803186cbbc829	TRV:628bbc2d6553accb5320993afff75b39993c7ae9514d1f39d8a28834bfaf8170	consumer culture	gendering	consumer culture	gendering	TRV:12c360cc0c3231a45d5841e63ee7f3377be76ee0fa28c3f4dda803186cbbc829|TRV:628bbc2d6553accb5320993afff75b39993c7ae9514d1f39d8a28834bfaf8170	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
13	R16A-PAIR:dc99c43f0c0bb3ca4f9c86d23b6725f38c7a01422ec5645ff2f43f99eb334e59	TRV:12c360cc0c3231a45d5841e63ee7f3377be76ee0fa28c3f4dda803186cbbc829	TRV:68bf0109c6f8a87bfa96d1ecd9503326ba35cf4a6086988a1d2c8a20fbef00d1	consumer culture	education	consumer culture	education	TRV:12c360cc0c3231a45d5841e63ee7f3377be76ee0fa28c3f4dda803186cbbc829|TRV:68bf0109c6f8a87bfa96d1ecd9503326ba35cf4a6086988a1d2c8a20fbef00d1	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
14	R16A-PAIR:82740b2bee70808ca036b1b1090b8f40de13d4096abd1079cd96610ec51b7089	TRV:12c360cc0c3231a45d5841e63ee7f3377be76ee0fa28c3f4dda803186cbbc829	TRV:83a2bff84b1d599d9eed884a09666501c96224a0b3b7457699ef0be145e76e73	consumer culture	exhibition	consumer culture	exhibition	TRV:12c360cc0c3231a45d5841e63ee7f3377be76ee0fa28c3f4dda803186cbbc829|TRV:83a2bff84b1d599d9eed884a09666501c96224a0b3b7457699ef0be145e76e73	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
15	R16A-PAIR:76211b0df21c40f4ca25724ed0d0c64cc85faa6ebba9d3bd3d44eee5e4b95a19	TRV:12c360cc0c3231a45d5841e63ee7f3377be76ee0fa28c3f4dda803186cbbc829	TRV:9e44dae2c5ca8dc916878b28f5ec3720e42ea22d2add139759780727e6f487ce	consumer culture	mediation	consumer culture	mediation	TRV:12c360cc0c3231a45d5841e63ee7f3377be76ee0fa28c3f4dda803186cbbc829|TRV:9e44dae2c5ca8dc916878b28f5ec3720e42ea22d2add139759780727e6f487ce	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
16	R16A-PAIR:2dfe497496ed4fea19f0ff6bf7b66c675be2fbc2eb46283e06a5a0e1ef4d54d1	TRV:12c360cc0c3231a45d5841e63ee7f3377be76ee0fa28c3f4dda803186cbbc829	TRV:a7835c05c37c3352068d6c2aff509f141e085c6bc072303d3e6676035dc483d4	consumer culture	cultural transformation	consumer culture	cultural transformation	TRV:12c360cc0c3231a45d5841e63ee7f3377be76ee0fa28c3f4dda803186cbbc829|TRV:a7835c05c37c3352068d6c2aff509f141e085c6bc072303d3e6676035dc483d4	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
17	R16A-PAIR:656ce1e05f4bb0a35a9a7197442a155a5e2524168e84c3ba0906ff4e31027e56	TRV:12c360cc0c3231a45d5841e63ee7f3377be76ee0fa28c3f4dda803186cbbc829	TRV:a85f306d70c2839db5dad35765d50a5b17eec2c9d0dee0641333805efede7b28	consumer culture	mobile object	consumer culture	mobile object	TRV:12c360cc0c3231a45d5841e63ee7f3377be76ee0fa28c3f4dda803186cbbc829|TRV:a85f306d70c2839db5dad35765d50a5b17eec2c9d0dee0641333805efede7b28	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
18	R16A-PAIR:430b040777f0bff00af249e16d3c9d50cfb948421d8d8161726891731309236f	TRV:12c360cc0c3231a45d5841e63ee7f3377be76ee0fa28c3f4dda803186cbbc829	TRV:ab8e18ef4ebebeddc0b3152ce9c9006e14fc05242e3fc9ce32246ea6a9543074	consumer culture	production	consumer culture	production	TRV:12c360cc0c3231a45d5841e63ee7f3377be76ee0fa28c3f4dda803186cbbc829|TRV:ab8e18ef4ebebeddc0b3152ce9c9006e14fc05242e3fc9ce32246ea6a9543074	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
19	R16A-PAIR:f75f7d21422caa87c18be45501b1d743a7233117b3125b33d699e42100f126cc	TRV:12c360cc0c3231a45d5841e63ee7f3377be76ee0fa28c3f4dda803186cbbc829	TRV:ad8c6f6e417a6d2db992c155701ed13494624142922d58eda2e4ad0fa4672fa8	consumer culture	consumption	consumer culture	consumption	TRV:12c360cc0c3231a45d5841e63ee7f3377be76ee0fa28c3f4dda803186cbbc829|TRV:ad8c6f6e417a6d2db992c155701ed13494624142922d58eda2e4ad0fa4672fa8	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
20	R16A-PAIR:7b92238e56778f5f91fe866af9a82ba83a4fdd6883b1b8d67bc0b809ce15107c	TRV:12c360cc0c3231a45d5841e63ee7f3377be76ee0fa28c3f4dda803186cbbc829	TRV:b1195fbfc5f343ebd84eb46acece15907e639a564f04af5d04d58c70e127a14b	consumer culture	professionalization	consumer culture	professionalization	TRV:12c360cc0c3231a45d5841e63ee7f3377be76ee0fa28c3f4dda803186cbbc829|TRV:b1195fbfc5f343ebd84eb46acece15907e639a564f04af5d04d58c70e127a14b	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
21	R16A-PAIR:68dddaf826f6b33f2b9c27fec07c9c39104e138d6cceda9201c62c864a494e25	TRV:12c360cc0c3231a45d5841e63ee7f3377be76ee0fa28c3f4dda803186cbbc829	TRV:b57559d1d19ef1967b6015fa23577c3fac4b79ae3ca54ef4eb760e18300875a3	consumer culture	commodification	consumer culture	commodification	TRV:12c360cc0c3231a45d5841e63ee7f3377be76ee0fa28c3f4dda803186cbbc829|TRV:b57559d1d19ef1967b6015fa23577c3fac4b79ae3ca54ef4eb760e18300875a3	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
22	R16A-PAIR:b44cd30a985bce693685ec7e6ddbec6d084068f9646ca21a83a4992951af9fe4	TRV:12c360cc0c3231a45d5841e63ee7f3377be76ee0fa28c3f4dda803186cbbc829	TRV:be33e16d8f585c08bb0efe6f0df92659a22d534298639f5318d2a2580546fdcc	consumer culture	production site	consumer culture	production site	TRV:12c360cc0c3231a45d5841e63ee7f3377be76ee0fa28c3f4dda803186cbbc829|TRV:be33e16d8f585c08bb0efe6f0df92659a22d534298639f5318d2a2580546fdcc	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
23	R16A-PAIR:3792664875b60650e12e1cb945e9b55574bd8083bded50c7ed177306e62d6c87	TRV:12c360cc0c3231a45d5841e63ee7f3377be76ee0fa28c3f4dda803186cbbc829	TRV:c460d6a56db8d84e6ee3a5c96c4a72ce1170116cab3ad0659544494547ecae77	consumer culture	piracy	consumer culture	piracy	TRV:12c360cc0c3231a45d5841e63ee7f3377be76ee0fa28c3f4dda803186cbbc829|TRV:c460d6a56db8d84e6ee3a5c96c4a72ce1170116cab3ad0659544494547ecae77	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
24	R16A-PAIR:6feaa6790e3450794f0b2f5e47a8d4ebf84f43cb907f3b63cc428127099a2cc6	TRV:12c360cc0c3231a45d5841e63ee7f3377be76ee0fa28c3f4dda803186cbbc829	TRV:c76c09a3f32430db9b00d1c47eaf288d54331355f666dfcb11e4f4ef3a965212	consumer culture	cultural transfer	consumer culture	cultural transfer	TRV:12c360cc0c3231a45d5841e63ee7f3377be76ee0fa28c3f4dda803186cbbc829|TRV:c76c09a3f32430db9b00d1c47eaf288d54331355f666dfcb11e4f4ef3a965212	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
25	R16A-PAIR:dfff663c8edc2e739b856e88ae00536b66e1892ae0af031f0cfb85eeda292e11	TRV:12c360cc0c3231a45d5841e63ee7f3377be76ee0fa28c3f4dda803186cbbc829	TRV:c82d3d4865e41e2a263ff0427c4df2b8e3e43a85c835404d033d764468b3ba55	consumer culture	propaganda	consumer culture	propaganda	TRV:12c360cc0c3231a45d5841e63ee7f3377be76ee0fa28c3f4dda803186cbbc829|TRV:c82d3d4865e41e2a263ff0427c4df2b8e3e43a85c835404d033d764468b3ba55	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
26	R16A-PAIR:2f2ea4ddf1a964b76fab37c87c58dcc09f56dedf86f676fc6d2c6b17d3100ca0	TRV:12c360cc0c3231a45d5841e63ee7f3377be76ee0fa28c3f4dda803186cbbc829	TRV:d27a4a1080657098835b014b8f47529c5be746cb60b043fb2400fec1a6948185	consumer culture	advertising	consumer culture	advertising	TRV:12c360cc0c3231a45d5841e63ee7f3377be76ee0fa28c3f4dda803186cbbc829|TRV:d27a4a1080657098835b014b8f47529c5be746cb60b043fb2400fec1a6948185	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
27	R16A-PAIR:0a517802bed526dd5523a0af511ca3a3a980d7c35567c502e483a595728605b4	TRV:12c360cc0c3231a45d5841e63ee7f3377be76ee0fa28c3f4dda803186cbbc829	TRV:d366de58d3002458bfb404ee505621e926c518871a4caeffcdfb89b45f8112ef	consumer culture	material displacement	consumer culture	material displacement	TRV:12c360cc0c3231a45d5841e63ee7f3377be76ee0fa28c3f4dda803186cbbc829|TRV:d366de58d3002458bfb404ee505621e926c518871a4caeffcdfb89b45f8112ef	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
28	R16A-PAIR:4dc7f9f1de747f21547a2da34bfd2f8835cf1c1374d8af1fba9fa26bd898919e	TRV:12c360cc0c3231a45d5841e63ee7f3377be76ee0fa28c3f4dda803186cbbc829	TRV:e581bd8a1b6363a295216bc7c9f8d958e26ef7406beab6becbf90ff8e2680bd5	consumer culture	canonization	consumer culture	canonization	TRV:12c360cc0c3231a45d5841e63ee7f3377be76ee0fa28c3f4dda803186cbbc829|TRV:e581bd8a1b6363a295216bc7c9f8d958e26ef7406beab6becbf90ff8e2680bd5	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
29	R16A-PAIR:0d641ed01d98495f2f9a948b087ea3a578f57185b55d19a787a0580a315b38e1	TRV:12c360cc0c3231a45d5841e63ee7f3377be76ee0fa28c3f4dda803186cbbc829	TRV:f921321aaedb0bb53398796772f843dc4a5963edfba778ee3a6bd9f592e21795	consumer culture	imitation	consumer culture	imitation	TRV:12c360cc0c3231a45d5841e63ee7f3377be76ee0fa28c3f4dda803186cbbc829|TRV:f921321aaedb0bb53398796772f843dc4a5963edfba778ee3a6bd9f592e21795	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
30	R16A-PAIR:e8d9b82dd805d7346674d4a5eb2a2ade3121496a0f11ae9bc236632102a1e416	TRV:12c360cc0c3231a45d5841e63ee7f3377be76ee0fa28c3f4dda803186cbbc829	TRV:fd793986cd6d45968d3c7103e778813542e6a9979a85e9cf512450307c9f7342	consumer culture	rejection	consumer culture	rejection	TRV:12c360cc0c3231a45d5841e63ee7f3377be76ee0fa28c3f4dda803186cbbc829|TRV:fd793986cd6d45968d3c7103e778813542e6a9979a85e9cf512450307c9f7342	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
31	R16A-PAIR:281560a5a2da8170ffcf85638e22528cf6a3452d9a1cdd58c692ca5e87292714	TRV:177025b0eec6e5e441b7f637224e31440c6cc60afd1d06ced1ad993d4ac8988c	TRV:20f9f4ed48de5d0e333c767bae2d1a50022c17b7aa2d67b9a00007ee179e4a97	supply chain	design education	supply chain	design education	TRV:177025b0eec6e5e441b7f637224e31440c6cc60afd1d06ced1ad993d4ac8988c|TRV:20f9f4ed48de5d0e333c767bae2d1a50022c17b7aa2d67b9a00007ee179e4a97	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
32	R16A-PAIR:6da4524d78c646cff0eafdb52daac96ddbb37a49b35a8277652e5c725f0ec26b	TRV:177025b0eec6e5e441b7f637224e31440c6cc60afd1d06ced1ad993d4ac8988c	TRV:25f3aeb51f1cc784d9d0bcc166bd876f80678d5528c3e5db0e627a3991ab8fea	supply chain	photography	supply chain	photography	TRV:177025b0eec6e5e441b7f637224e31440c6cc60afd1d06ced1ad993d4ac8988c|TRV:25f3aeb51f1cc784d9d0bcc166bd876f80678d5528c3e5db0e627a3991ab8fea	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
33	R16A-PAIR:d5c3206ec75a19936cf2b1d09cfc17476ecf965e732ef4e1d070a6a61239e9ba	TRV:177025b0eec6e5e441b7f637224e31440c6cc60afd1d06ced1ad993d4ac8988c	TRV:276446ba01e3aa387c83b06f54fccc5ac65bdc6099157a2a828716eac9c6fd4d	supply chain	trade	supply chain	trade	TRV:177025b0eec6e5e441b7f637224e31440c6cc60afd1d06ced1ad993d4ac8988c|TRV:276446ba01e3aa387c83b06f54fccc5ac65bdc6099157a2a828716eac9c6fd4d	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
34	R16A-PAIR:f8f2f51424cb9f939c0d6b4e37804ee4bd71e558cd37dc39563097cae91f7458	TRV:177025b0eec6e5e441b7f637224e31440c6cc60afd1d06ced1ad993d4ac8988c	TRV:2fe1d615f7fb24b99fb828c5ceadcf06635e7fb6f47910f32d2daf1f6bd763f0	supply chain	adaptation	supply chain	adaptation	TRV:177025b0eec6e5e441b7f637224e31440c6cc60afd1d06ced1ad993d4ac8988c|TRV:2fe1d615f7fb24b99fb828c5ceadcf06635e7fb6f47910f32d2daf1f6bd763f0	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
35	R16A-PAIR:72a55676cb9d416fd2f7244a899652e94256ef44bdaa0fe156b305f52153a702	TRV:177025b0eec6e5e441b7f637224e31440c6cc60afd1d06ced1ad993d4ac8988c	TRV:303eafd7c2afb63e99e140c4ba2abd1de5f78f9e8ebbb3040b4531b6df568639	supply chain	design diplomacy	supply chain	design diplomacy	TRV:177025b0eec6e5e441b7f637224e31440c6cc60afd1d06ced1ad993d4ac8988c|TRV:303eafd7c2afb63e99e140c4ba2abd1de5f78f9e8ebbb3040b4531b6df568639	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
36	R16A-PAIR:ccf9ae174dc6f51c8d6247f01ca34c0fd6a48b639535009b68c477d9a6f4f732	TRV:177025b0eec6e5e441b7f637224e31440c6cc60afd1d06ced1ad993d4ac8988c	TRV:355543f790a3b210ecf36c82a2738896d9574c17e963a63633febac1f2386737	supply chain	craft	supply chain	craft	TRV:177025b0eec6e5e441b7f637224e31440c6cc60afd1d06ced1ad993d4ac8988c|TRV:355543f790a3b210ecf36c82a2738896d9574c17e963a63633febac1f2386737	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
37	R16A-PAIR:43ad8b3a3aa8c43af3534e24dd00fe027b0dd36eb96afaf73663c4688848a79b	TRV:177025b0eec6e5e441b7f637224e31440c6cc60afd1d06ced1ad993d4ac8988c	TRV:448547bdedc22e5502256bdbd2714b8f2f4d7a5cbf8ce1dc30d21f16b18878a8	supply chain	self-exoticization	supply chain	self-exoticization	TRV:177025b0eec6e5e441b7f637224e31440c6cc60afd1d06ced1ad993d4ac8988c|TRV:448547bdedc22e5502256bdbd2714b8f2f4d7a5cbf8ce1dc30d21f16b18878a8	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
38	R16A-PAIR:ff6c090dc4ea6b53c3c0049e967adf3a9fe3ece4d017f2597521be22d10228d7	TRV:177025b0eec6e5e441b7f637224e31440c6cc60afd1d06ced1ad993d4ac8988c	TRV:48047b49b975ee8880742ea2544b30e8965f1675df787e9d832f8e0c2db87630	supply chain	typography	supply chain	typography	TRV:177025b0eec6e5e441b7f637224e31440c6cc60afd1d06ced1ad993d4ac8988c|TRV:48047b49b975ee8880742ea2544b30e8965f1675df787e9d832f8e0c2db87630	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
39	R16A-PAIR:cf938d05fa99737a735557f18d217466a01f62ae189fd3e80c9ca78ddb96ce14	TRV:177025b0eec6e5e441b7f637224e31440c6cc60afd1d06ced1ad993d4ac8988c	TRV:54d55704f5d7e2caa927feedf94edf8b9dd2ebfafc4b0aa68875bcbcbabaaa79	supply chain	institutionalization	supply chain	institutionalization	TRV:177025b0eec6e5e441b7f637224e31440c6cc60afd1d06ced1ad993d4ac8988c|TRV:54d55704f5d7e2caa927feedf94edf8b9dd2ebfafc4b0aa68875bcbcbabaaa79	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
40	R16A-PAIR:e31d962e90e59d9c1f76bcbd120ddc3830e40b308d6b815b1221be19930e83f3	TRV:177025b0eec6e5e441b7f637224e31440c6cc60afd1d06ced1ad993d4ac8988c	TRV:5660ce124250ffd0ecbcf64a7359315bd26afdb0d89c559c03a491cc2138e4ed	supply chain	cultural negotiation	supply chain	cultural negotiation	TRV:177025b0eec6e5e441b7f637224e31440c6cc60afd1d06ced1ad993d4ac8988c|TRV:5660ce124250ffd0ecbcf64a7359315bd26afdb0d89c559c03a491cc2138e4ed	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
41	R16A-PAIR:6cfe23ba9f5647f31e70131933d6bba575c1c9bd8baafc5c0b1720f50265daa4	TRV:177025b0eec6e5e441b7f637224e31440c6cc60afd1d06ced1ad993d4ac8988c	TRV:628bbc2d6553accb5320993afff75b39993c7ae9514d1f39d8a28834bfaf8170	supply chain	gendering	supply chain	gendering	TRV:177025b0eec6e5e441b7f637224e31440c6cc60afd1d06ced1ad993d4ac8988c|TRV:628bbc2d6553accb5320993afff75b39993c7ae9514d1f39d8a28834bfaf8170	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
42	R16A-PAIR:66a8a90665d651cd868f894dd9abab6e966dc84d7b4b6b34a6d8fbcf2260b263	TRV:177025b0eec6e5e441b7f637224e31440c6cc60afd1d06ced1ad993d4ac8988c	TRV:68bf0109c6f8a87bfa96d1ecd9503326ba35cf4a6086988a1d2c8a20fbef00d1	supply chain	education	supply chain	education	TRV:177025b0eec6e5e441b7f637224e31440c6cc60afd1d06ced1ad993d4ac8988c|TRV:68bf0109c6f8a87bfa96d1ecd9503326ba35cf4a6086988a1d2c8a20fbef00d1	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
43	R16A-PAIR:613ba94679c77dc27ca160580cec9396ff163e9b313a70d080334ecad9e7feff	TRV:177025b0eec6e5e441b7f637224e31440c6cc60afd1d06ced1ad993d4ac8988c	TRV:83a2bff84b1d599d9eed884a09666501c96224a0b3b7457699ef0be145e76e73	supply chain	exhibition	supply chain	exhibition	TRV:177025b0eec6e5e441b7f637224e31440c6cc60afd1d06ced1ad993d4ac8988c|TRV:83a2bff84b1d599d9eed884a09666501c96224a0b3b7457699ef0be145e76e73	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
44	R16A-PAIR:ef3a34fe875e6454d8a649664201fd0647a84b5a56c127ea36184805667c36cb	TRV:177025b0eec6e5e441b7f637224e31440c6cc60afd1d06ced1ad993d4ac8988c	TRV:9e44dae2c5ca8dc916878b28f5ec3720e42ea22d2add139759780727e6f487ce	supply chain	mediation	supply chain	mediation	TRV:177025b0eec6e5e441b7f637224e31440c6cc60afd1d06ced1ad993d4ac8988c|TRV:9e44dae2c5ca8dc916878b28f5ec3720e42ea22d2add139759780727e6f487ce	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
45	R16A-PAIR:40b38ff5eecb015c5ccde4959544622d545ce438b7057f329463277e3772f88d	TRV:177025b0eec6e5e441b7f637224e31440c6cc60afd1d06ced1ad993d4ac8988c	TRV:a7835c05c37c3352068d6c2aff509f141e085c6bc072303d3e6676035dc483d4	supply chain	cultural transformation	supply chain	cultural transformation	TRV:177025b0eec6e5e441b7f637224e31440c6cc60afd1d06ced1ad993d4ac8988c|TRV:a7835c05c37c3352068d6c2aff509f141e085c6bc072303d3e6676035dc483d4	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
