ledger_id	pair_id	evidence_channel	source_id	source_kind	creator	year	title	locator	stable_url	doi	domain_alignment	review_disposition	rejection_reason	supports_active_edge	association_context	source_metadata_verified	evidence_verified
R16A-R16A-PAIR:0471795b66ab53bf966362c86e751036f2262d609e4e32daaf46b5001a5483e7-XREF-01	R16A-PAIR:0471795b66ab53bf966362c86e751036f2262d609e4e32daaf46b5001a5483e7	CROSSREF_DISCOVERY_METADATA	CROSSREF:DOI:10.1093/jdh/16.3.260	journal-article	P. Jobling		Graphic Design History * Clean New World: Culture, Politics, and Graphic Design		https://doi.org/10.1093/jdh/16.3.260	10.1093/jdh/16.3.260	NOT_TEXT_VERIFIED	REJECTED_METADATA_ONLY_NOT_EVIDENCE	RESULT_METADATA_AND_SNIPPETS_ARE_NOT_LOCATOR_BEARING_SOURCE_TEXT	false		true	false
R16A-R16A-PAIR:0471795b66ab53bf966362c86e751036f2262d609e4e32daaf46b5001a5483e7-XREF-02	R16A-PAIR:0471795b66ab53bf966362c86e751036f2262d609e4e32daaf46b5001a5483e7	CROSSREF_DISCOVERY_METADATA	CROSSREF:DOI:10.37862/aaeportal.00152.009	book-chapter			6. Women in Graphic Design History		https://doi.org/10.37862/aaeportal.00152.009	10.37862/aaeportal.00152.009	NOT_TEXT_VERIFIED	REJECTED_METADATA_ONLY_NOT_EVIDENCE	RESULT_METADATA_AND_SNIPPETS_ARE_NOT_LOCATOR_BEARING_SOURCE_TEXT	false		true	false
R16A-R16A-PAIR:0471795b66ab53bf966362c86e751036f2262d609e4e32daaf46b5001a5483e7-XREF-03	R16A-PAIR:0471795b66ab53bf966362c86e751036f2262d609e4e32daaf46b5001a5483e7	CROSSREF_DISCOVERY_METADATA	CROSSREF:DOI:10.4324/9780203133194-14	book-chapter			Graphic Design		https://doi.org/10.4324/9780203133194-14	10.4324/9780203133194-14	NOT_TEXT_VERIFIED	REJECTED_METADATA_ONLY_NOT_EVIDENCE	RESULT_METADATA_AND_SNIPPETS_ARE_NOT_LOCATOR_BEARING_SOURCE_TEXT	false		true	false
R16A-R16A-PAIR:0471795b66ab53bf966362c86e751036f2262d609e4e32daaf46b5001a5483e7-XREF-04	R16A-PAIR:0471795b66ab53bf966362c86e751036f2262d609e4e32daaf46b5001a5483e7	CROSSREF_DISCOVERY_METADATA	CROSSREF:DOI:10.1093/jdh/epp041	journal-article	T. Triggs		Designing Graphic Design History		https://doi.org/10.1093/jdh/epp041	10.1093/jdh/epp041	NOT_TEXT_VERIFIED	REJECTED_METADATA_ONLY_NOT_EVIDENCE	RESULT_METADATA_AND_SNIPPETS_ARE_NOT_LOCATOR_BEARING_SOURCE_TEXT	false		true	false
R16A-R16A-PAIR:0471795b66ab53bf966362c86e751036f2262d609e4e32daaf46b5001a5483e7-XREF-05	R16A-PAIR:0471795b66ab53bf966362c86e751036f2262d609e4e32daaf46b5001a5483e7	CROSSREF_DISCOVERY_METADATA	CROSSREF:DOI:10.21326/ksdt.2009..22.001	journal-article	Hyun Shin Jo		Graphic Design History as an Introspection Process - Focused on the three points of writing graphic design history -		https://doi.org/10.21326/ksdt.2009..22.001	10.21326/ksdt.2009..22.001	NOT_TEXT_VERIFIED	REJECTED_METADATA_ONLY_NOT_EVIDENCE	RESULT_METADATA_AND_SNIPPETS_ARE_NOT_LOCATOR_BEARING_SOURCE_TEXT	false		true	false
R16A-R16A-PAIR:04d0dec2e661992cb054271581e4559553698033be623f96448cc0bad99cc9b9-XREF-01	R16A-PAIR:04d0dec2e661992cb054271581e4559553698033be623f96448cc0bad99cc9b9	CROSSREF_DISCOVERY_METADATA	CROSSREF:DOI:10.1093/jdh/epaa034	journal-article	David Raizman		Reading Graphic Design in Cultural Context		https://doi.org/10.1093/jdh/epaa034	10.1093/jdh/epaa034	NOT_TEXT_VERIFIED	REJECTED_METADATA_ONLY_NOT_EVIDENCE	RESULT_METADATA_AND_SNIPPETS_ARE_NOT_LOCATOR_BEARING_SOURCE_TEXT	false		true	false
R16A-R16A-PAIR:04d0dec2e661992cb054271581e4559553698033be623f96448cc0bad99cc9b9-XREF-02	R16A-PAIR:04d0dec2e661992cb054271581e4559553698033be623f96448cc0bad99cc9b9	CROSSREF_DISCOVERY_METADATA	CROSSREF:DOI:10.1093/jdh/16.3.260	journal-article	P. Jobling		Graphic Design History * Clean New World: Culture, Politics, and Graphic Design		https://doi.org/10.1093/jdh/16.3.260	10.1093/jdh/16.3.260	NOT_TEXT_VERIFIED	REJECTED_METADATA_ONLY_NOT_EVIDENCE	RESULT_METADATA_AND_SNIPPETS_ARE_NOT_LOCATOR_BEARING_SOURCE_TEXT	false		true	false
R16A-R16A-PAIR:04d0dec2e661992cb054271581e4559553698033be623f96448cc0bad99cc9b9-XREF-03	R16A-PAIR:04d0dec2e661992cb054271581e4559553698033be623f96448cc0bad99cc9b9	CROSSREF_DISCOVERY_METADATA	CROSSREF:DOI:10.37862/aaeportal.00152.009	book-chapter			6. Women in Graphic Design History		https://doi.org/10.37862/aaeportal.00152.009	10.37862/aaeportal.00152.009	NOT_TEXT_VERIFIED	REJECTED_METADATA_ONLY_NOT_EVIDENCE	RESULT_METADATA_AND_SNIPPETS_ARE_NOT_LOCATOR_BEARING_SOURCE_TEXT	false		true	false
R16A-R16A-PAIR:04d0dec2e661992cb054271581e4559553698033be623f96448cc0bad99cc9b9-XREF-04	R16A-PAIR:04d0dec2e661992cb054271581e4559553698033be623f96448cc0bad99cc9b9	CROSSREF_DISCOVERY_METADATA	CROSSREF:DOI:10.4324/9780203133194-14	book-chapter			Graphic Design		https://doi.org/10.4324/9780203133194-14	10.4324/9780203133194-14	NOT_TEXT_VERIFIED	REJECTED_METADATA_ONLY_NOT_EVIDENCE	RESULT_METADATA_AND_SNIPPETS_ARE_NOT_LOCATOR_BEARING_SOURCE_TEXT	false		true	false
R16A-R16A-PAIR:04d0dec2e661992cb054271581e4559553698033be623f96448cc0bad99cc9b9-XREF-05	R16A-PAIR:04d0dec2e661992cb054271581e4559553698033be623f96448cc0bad99cc9b9	CROSSREF_DISCOVERY_METADATA	CROSSREF:DOI:10.5151/despro-icdhs2014-0132	proceedings-article	Sun A. Jeong		History and cultural transformation of Korean school symbol design		https://doi.org/10.5151/despro-icdhs2014-0132	10.5151/despro-icdhs2014-0132	NOT_TEXT_VERIFIED	REJECTED_METADATA_ONLY_NOT_EVIDENCE	RESULT_METADATA_AND_SNIPPETS_ARE_NOT_LOCATOR_BEARING_SOURCE_TEXT	false		true	false
R16A-R16A-PAIR:04d35a95702e4c43c0913c9e64dfb1f02728def0b5063fd8c254e56562988be6-XREF-01	R16A-PAIR:04d35a95702e4c43c0913c9e64dfb1f02728def0b5063fd8c254e56562988be6	CROSSREF_DISCOVERY_METADATA	CROSSREF:DOI:10.1093/jdh/16.3.260	journal-article	P. Jobling		Graphic Design History * Clean New World: Culture, Politics, and Graphic Design		https://doi.org/10.1093/jdh/16.3.260	10.1093/jdh/16.3.260	NOT_TEXT_VERIFIED	REJECTED_METADATA_ONLY_NOT_EVIDENCE	RESULT_METADATA_AND_SNIPPETS_ARE_NOT_LOCATOR_BEARING_SOURCE_TEXT	false		true	false
R16A-R16A-PAIR:04d35a95702e4c43c0913c9e64dfb1f02728def0b5063fd8c254e56562988be6-XREF-02	R16A-PAIR:04d35a95702e4c43c0913c9e64dfb1f02728def0b5063fd8c254e56562988be6	CROSSREF_DISCOVERY_METADATA	CROSSREF:DOI:10.2307/j.ctt18mvngc.7	book-chapter			Craft and Design		https://doi.org/10.2307/j.ctt18mvngc.7	10.2307/j.ctt18mvngc.7	NOT_TEXT_VERIFIED	REJECTED_METADATA_ONLY_NOT_EVIDENCE	RESULT_METADATA_AND_SNIPPETS_ARE_NOT_LOCATOR_BEARING_SOURCE_TEXT	false		true	false
R16A-R16A-PAIR:04d35a95702e4c43c0913c9e64dfb1f02728def0b5063fd8c254e56562988be6-XREF-03	R16A-PAIR:04d35a95702e4c43c0913c9e64dfb1f02728def0b5063fd8c254e56562988be6	CROSSREF_DISCOVERY_METADATA	CROSSREF:DOI:10.37862/aaeportal.00152.009	book-chapter			6. Women in Graphic Design History		https://doi.org/10.37862/aaeportal.00152.009	10.37862/aaeportal.00152.009	NOT_TEXT_VERIFIED	REJECTED_METADATA_ONLY_NOT_EVIDENCE	RESULT_METADATA_AND_SNIPPETS_ARE_NOT_LOCATOR_BEARING_SOURCE_TEXT	false		true	false
R16A-R16A-PAIR:04d35a95702e4c43c0913c9e64dfb1f02728def0b5063fd8c254e56562988be6-XREF-04	R16A-PAIR:04d35a95702e4c43c0913c9e64dfb1f02728def0b5063fd8c254e56562988be6	CROSSREF_DISCOVERY_METADATA	CROSSREF:DOI:10.26887/educraf.v1i1.2197	journal-article	M. Barka; Husni Mubarak; Didiek Prasety		PERANCANGAN ENVIROMENTAL GRAPHIC DESIGN  UNIVERSITAS INDO GLOBAL MANDIRI PALEMBANG		https://doi.org/10.26887/educraf.v1i1.2197	10.26887/educraf.v1i1.2197	NOT_TEXT_VERIFIED	REJECTED_METADATA_ONLY_NOT_EVIDENCE	RESULT_METADATA_AND_SNIPPETS_ARE_NOT_LOCATOR_BEARING_SOURCE_TEXT	false		true	false
R16A-R16A-PAIR:04d35a95702e4c43c0913c9e64dfb1f02728def0b5063fd8c254e56562988be6-XREF-05	R16A-PAIR:04d35a95702e4c43c0913c9e64dfb1f02728def0b5063fd8c254e56562988be6	CROSSREF_DISCOVERY_METADATA	CROSSREF:DOI:10.4324/9780203133194-14	book-chapter			Graphic Design		https://doi.org/10.4324/9780203133194-14	10.4324/9780203133194-14	NOT_TEXT_VERIFIED	REJECTED_METADATA_ONLY_NOT_EVIDENCE	RESULT_METADATA_AND_SNIPPETS_ARE_NOT_LOCATOR_BEARING_SOURCE_TEXT	false		true	false
R16A-R16A-PAIR:056f2baf267ac9ef82bcc1dcb2385d0392b2e7c948dec1a8423a492ee417bb0b-XREF-01	R16A-PAIR:056f2baf267ac9ef82bcc1dcb2385d0392b2e7c948dec1a8423a492ee417bb0b	CROSSREF_DISCOVERY_METADATA	CROSSREF:DOI:10.1093/jdh/16.3.260	journal-article	P. Jobling		Graphic Design History * Clean New World: Culture, Politics, and Graphic Design		https://doi.org/10.1093/jdh/16.3.260	10.1093/jdh/16.3.260	NOT_TEXT_VERIFIED	REJECTED_METADATA_ONLY_NOT_EVIDENCE	RESULT_METADATA_AND_SNIPPETS_ARE_NOT_LOCATOR_BEARING_SOURCE_TEXT	false		true	false
R16A-R16A-PAIR:056f2baf267ac9ef82bcc1dcb2385d0392b2e7c948dec1a8423a492ee417bb0b-XREF-02	R16A-PAIR:056f2baf267ac9ef82bcc1dcb2385d0392b2e7c948dec1a8423a492ee417bb0b	CROSSREF_DISCOVERY_METADATA	CROSSREF:DOI:10.37862/aaeportal.00152.009	book-chapter			6. Women in Graphic Design History		https://doi.org/10.37862/aaeportal.00152.009	10.37862/aaeportal.00152.009	NOT_TEXT_VERIFIED	REJECTED_METADATA_ONLY_NOT_EVIDENCE	RESULT_METADATA_AND_SNIPPETS_ARE_NOT_LOCATOR_BEARING_SOURCE_TEXT	false		true	false
R16A-R16A-PAIR:056f2baf267ac9ef82bcc1dcb2385d0392b2e7c948dec1a8423a492ee417bb0b-XREF-03	R16A-PAIR:056f2baf267ac9ef82bcc1dcb2385d0392b2e7c948dec1a8423a492ee417bb0b	CROSSREF_DISCOVERY_METADATA	CROSSREF:DOI:10.4324/9780203133194-14	book-chapter			Graphic Design		https://doi.org/10.4324/9780203133194-14	10.4324/9780203133194-14	NOT_TEXT_VERIFIED	REJECTED_METADATA_ONLY_NOT_EVIDENCE	RESULT_METADATA_AND_SNIPPETS_ARE_NOT_LOCATOR_BEARING_SOURCE_TEXT	false		true	false
R16A-R16A-PAIR:056f2baf267ac9ef82bcc1dcb2385d0392b2e7c948dec1a8423a492ee417bb0b-XREF-04	R16A-PAIR:056f2baf267ac9ef82bcc1dcb2385d0392b2e7c948dec1a8423a492ee417bb0b	CROSSREF_DISCOVERY_METADATA	CROSSREF:DOI:10.1093/jdh/epp041	journal-article	T. Triggs		Designing Graphic Design History		https://doi.org/10.1093/jdh/epp041	10.1093/jdh/epp041	NOT_TEXT_VERIFIED	REJECTED_METADATA_ONLY_NOT_EVIDENCE	RESULT_METADATA_AND_SNIPPETS_ARE_NOT_LOCATOR_BEARING_SOURCE_TEXT	false		true	false
R16A-R16A-PAIR:056f2baf267ac9ef82bcc1dcb2385d0392b2e7c948dec1a8423a492ee417bb0b-XREF-05	R16A-PAIR:056f2baf267ac9ef82bcc1dcb2385d0392b2e7c948dec1a8423a492ee417bb0b	CROSSREF_DISCOVERY_METADATA	CROSSREF:DOI:10.21326/ksdt.2009..22.001	journal-article	Hyun Shin Jo		Graphic Design History as an Introspection Process - Focused on the three points of writing graphic design history -		https://doi.org/10.21326/ksdt.2009..22.001	10.21326/ksdt.2009..22.001	NOT_TEXT_VERIFIED	REJECTED_METADATA_ONLY_NOT_EVIDENCE	RESULT_METADATA_AND_SNIPPETS_ARE_NOT_LOCATOR_BEARING_SOURCE_TEXT	false		true	false
R16A-R16A-PAIR:0726c34ba7385282b28d1824ab7e2a22b212a6000a22bc5adefe1683b984662d-XREF-01	R16A-PAIR:0726c34ba7385282b28d1824ab7e2a22b212a6000a22bc5adefe1683b984662d	CROSSREF_DISCOVERY_METADATA	CROSSREF:DOI:10.1093/jdh/16.3.260	journal-article	P. Jobling		Graphic Design History * Clean New World: Culture, Politics, and Graphic Design		https://doi.org/10.1093/jdh/16.3.260	10.1093/jdh/16.3.260	NOT_TEXT_VERIFIED	REJECTED_METADATA_ONLY_NOT_EVIDENCE	RESULT_METADATA_AND_SNIPPETS_ARE_NOT_LOCATOR_BEARING_SOURCE_TEXT	false		true	false
R16A-R16A-PAIR:0726c34ba7385282b28d1824ab7e2a22b212a6000a22bc5adefe1683b984662d-XREF-02	R16A-PAIR:0726c34ba7385282b28d1824ab7e2a22b212a6000a22bc5adefe1683b984662d	CROSSREF_DISCOVERY_METADATA	CROSSREF:DOI:10.4324/9780203133194-14	book-chapter			Graphic Design		https://doi.org/10.4324/9780203133194-14	10.4324/9780203133194-14	NOT_TEXT_VERIFIED	REJECTED_METADATA_ONLY_NOT_EVIDENCE	RESULT_METADATA_AND_SNIPPETS_ARE_NOT_LOCATOR_BEARING_SOURCE_TEXT	false		true	false
R16A-R16A-PAIR:0726c34ba7385282b28d1824ab7e2a22b212a6000a22bc5adefe1683b984662d-XREF-03	R16A-PAIR:0726c34ba7385282b28d1824ab7e2a22b212a6000a22bc5adefe1683b984662d	CROSSREF_DISCOVERY_METADATA	CROSSREF:DOI:10.37862/aaeportal.00152.009	book-chapter			6. Women in Graphic Design History		https://doi.org/10.37862/aaeportal.00152.009	10.37862/aaeportal.00152.009	NOT_TEXT_VERIFIED	REJECTED_METADATA_ONLY_NOT_EVIDENCE	RESULT_METADATA_AND_SNIPPETS_ARE_NOT_LOCATOR_BEARING_SOURCE_TEXT	false		true	false
R16A-R16A-PAIR:0726c34ba7385282b28d1824ab7e2a22b212a6000a22bc5adefe1683b984662d-XREF-04	R16A-PAIR:0726c34ba7385282b28d1824ab7e2a22b212a6000a22bc5adefe1683b984662d	CROSSREF_DISCOVERY_METADATA	CROSSREF:DOI:10.59236/emro.v20i8a7101	journal-article	Barbara J. Walter		Graphic Means		https://doi.org/10.59236/emro.v20i8a7101	10.59236/emro.v20i8a7101	NOT_TEXT_VERIFIED	REJECTED_METADATA_ONLY_NOT_EVIDENCE	RESULT_METADATA_AND_SNIPPETS_ARE_NOT_LOCATOR_BEARING_SOURCE_TEXT	false		true	false
R16A-R16A-PAIR:0726c34ba7385282b28d1824ab7e2a22b212a6000a22bc5adefe1683b984662d-XREF-05	R16A-PAIR:0726c34ba7385282b28d1824ab7e2a22b212a6000a22bc5adefe1683b984662d	CROSSREF_DISCOVERY_METADATA	CROSSREF:DOI:10.1093/jdh/13.1.23	journal-article	Y. Suga		State Patronage of Design? The Elitism/Commercialism Battle in the General Post Office's Graphic Production		https://doi.org/10.1093/jdh/13.1.23	10.1093/jdh/13.1.23	NOT_TEXT_VERIFIED	REJECTED_METADATA_ONLY_NOT_EVIDENCE	RESULT_METADATA_AND_SNIPPETS_ARE_NOT_LOCATOR_BEARING_SOURCE_TEXT	false		true	false
R16A-R16A-PAIR:07eb81c37fe660533d02896c7767a4ac859acf0d7c9547ef8ca26c2c76046933-XREF-01	R16A-PAIR:07eb81c37fe660533d02896c7767a4ac859acf0d7c9547ef8ca26c2c76046933	CROSSREF_DISCOVERY_METADATA	CROSSREF:DOI:10.1093/jdh/epaa034	journal-article	David Raizman		Reading Graphic Design in Cultural Context		https://doi.org/10.1093/jdh/epaa034	10.1093/jdh/epaa034	NOT_TEXT_VERIFIED	REJECTED_METADATA_ONLY_NOT_EVIDENCE	RESULT_METADATA_AND_SNIPPETS_ARE_NOT_LOCATOR_BEARING_SOURCE_TEXT	false		true	false
R16A-R16A-PAIR:07eb81c37fe660533d02896c7767a4ac859acf0d7c9547ef8ca26c2c76046933-XREF-02	R16A-PAIR:07eb81c37fe660533d02896c7767a4ac859acf0d7c9547ef8ca26c2c76046933	CROSSREF_DISCOVERY_METADATA	CROSSREF:DOI:10.5040/9781474293808.0005	other	Grace Lees-Maffei		Reading graphic design in the expanded field: An introduction		https://doi.org/10.5040/9781474293808.0005	10.5040/9781474293808.0005	NOT_TEXT_VERIFIED	REJECTED_METADATA_ONLY_NOT_EVIDENCE	RESULT_METADATA_AND_SNIPPETS_ARE_NOT_LOCATOR_BEARING_SOURCE_TEXT	false		true	false
R16A-R16A-PAIR:07eb81c37fe660533d02896c7767a4ac859acf0d7c9547ef8ca26c2c76046933-XREF-03	R16A-PAIR:07eb81c37fe660533d02896c7767a4ac859acf0d7c9547ef8ca26c2c76046933	CROSSREF_DISCOVERY_METADATA	CROSSREF:DOI:10.5040/9781474293808.0022	other			Plates		https://doi.org/10.5040/9781474293808.0022	10.5040/9781474293808.0022	NOT_TEXT_VERIFIED	REJECTED_METADATA_ONLY_NOT_EVIDENCE	RESULT_METADATA_AND_SNIPPETS_ARE_NOT_LOCATOR_BEARING_SOURCE_TEXT	false		true	false
R16A-R16A-PAIR:07eb81c37fe660533d02896c7767a4ac859acf0d7c9547ef8ca26c2c76046933-XREF-04	R16A-PAIR:07eb81c37fe660533d02896c7767a4ac859acf0d7c9547ef8ca26c2c76046933	CROSSREF_DISCOVERY_METADATA	CROSSREF:DOI:10.5151/despro-icdhs2014-0132	proceedings-article	Sun A. Jeong		History and cultural transformation of Korean school symbol design		https://doi.org/10.5151/despro-icdhs2014-0132	10.5151/despro-icdhs2014-0132	NOT_TEXT_VERIFIED	REJECTED_METADATA_ONLY_NOT_EVIDENCE	RESULT_METADATA_AND_SNIPPETS_ARE_NOT_LOCATOR_BEARING_SOURCE_TEXT	false		true	false
R16A-R16A-PAIR:07eb81c37fe660533d02896c7767a4ac859acf0d7c9547ef8ca26c2c76046933-XREF-05	R16A-PAIR:07eb81c37fe660533d02896c7767a4ac859acf0d7c9547ef8ca26c2c76046933	CROSSREF_DISCOVERY_METADATA	CROSSREF:DOI:10.2307/1511882	journal-article	Tony Heward		Revivalism and Cultural Shift: British Graphic Design Since 1945		https://doi.org/10.2307/1511882	10.2307/1511882	NOT_TEXT_VERIFIED	REJECTED_METADATA_ONLY_NOT_EVIDENCE	RESULT_METADATA_AND_SNIPPETS_ARE_NOT_LOCATOR_BEARING_SOURCE_TEXT	false		true	false
R16A-R16A-PAIR:07f20cb4b7aebd4b308a292a44166ced233eee2313fbd8282c2f0d60b5783ae7-XREF-01	R16A-PAIR:07f20cb4b7aebd4b308a292a44166ced233eee2313fbd8282c2f0d60b5783ae7	CROSSREF_DISCOVERY_METADATA	CROSSREF:DOI:10.1093/jdh/epq032	journal-article	P. Rennie		Modern Typography in Britain: Graphic Design, Politics and Society		https://doi.org/10.1093/jdh/epq032	10.1093/jdh/epq032	NOT_TEXT_VERIFIED	REJECTED_METADATA_ONLY_NOT_EVIDENCE	RESULT_METADATA_AND_SNIPPETS_ARE_NOT_LOCATOR_BEARING_SOURCE_TEXT	false		true	false
R16A-R16A-PAIR:07f20cb4b7aebd4b308a292a44166ced233eee2313fbd8282c2f0d60b5783ae7-XREF-02	R16A-PAIR:07f20cb4b7aebd4b308a292a44166ced233eee2313fbd8282c2f0d60b5783ae7	CROSSREF_DISCOVERY_METADATA	CROSSREF:DOI:10.4324/9780240824703-7	book-chapter	Jon Krasner		Kinetic Images and Typography		https://doi.org/10.4324/9780240824703-7	10.4324/9780240824703-7	NOT_TEXT_VERIFIED	REJECTED_METADATA_ONLY_NOT_EVIDENCE	RESULT_METADATA_AND_SNIPPETS_ARE_NOT_LOCATOR_BEARING_SOURCE_TEXT	false		true	false
