fixture_id	risk	result	severity	mitigation
R15-COMP-019	gap_as_negative_evidence	PASS	NONE	Gap labels say unresolved evidence, never false or absent in history.
R15-COMP-020	causality	PASS	NONE	No arrowheads or causal labels; edges are explicitly generic associations.
R15-COMP-020	temporal_direction	PASS	NONE	No arrowheads, timelines, or before/after axes.
R15-COMP-020	hierarchy	PASS	NONE	All nodes use one circular layer and equal radius.
R15-COMP-020	importance	PASS	NONE	All nodes use the same visual size; seeds are labelled, not enlarged or centred.
R15-COMP-020	quantitative_strength	PASS	NONE	All admitted lines use one width; geometry is declared cosmetic.
R15-COMP-020	pruning_as_rejection	PASS	NONE	Pruning is shown as a composition note with a non-rejection explanation.
R15-COMP-020	split_as_historical_separation	PASS	NONE	Split is labelled as missing qualified bridge in this input only.
R15-COMP-020	gap_as_negative_evidence	PASS	NONE	Gap labels say unresolved evidence, never false or absent in history.
R15-COMP-021	causality	PASS	NONE	No arrowheads or causal labels; edges are explicitly generic associations.
R15-COMP-021	temporal_direction	PASS	NONE	No arrowheads, timelines, or before/after axes.
R15-COMP-021	hierarchy	PASS	NONE	All nodes use one circular layer and equal radius.
R15-COMP-021	importance	PASS	NONE	All nodes use the same visual size; seeds are labelled, not enlarged or centred.
R15-COMP-021	quantitative_strength	PASS	NONE	All admitted lines use one width; geometry is declared cosmetic.
R15-COMP-021	pruning_as_rejection	PASS	NONE	Pruning is shown as a composition note with a non-rejection explanation.
R15-COMP-021	split_as_historical_separation	PASS	NONE	Split is labelled as missing qualified bridge in this input only.
R15-COMP-021	gap_as_negative_evidence	PASS	NONE	Gap labels say unresolved evidence, never false or absent in history.
R15-COMP-022	causality	PASS	NONE	No arrowheads or causal labels; edges are explicitly generic associations.
R15-COMP-022	temporal_direction	PASS	NONE	No arrowheads, timelines, or before/after axes.
R15-COMP-022	hierarchy	PASS	NONE	All nodes use one circular layer and equal radius.
R15-COMP-022	importance	PASS	NONE	All nodes use the same visual size; seeds are labelled, not enlarged or centred.
R15-COMP-022	quantitative_strength	PASS	NONE	All admitted lines use one width; geometry is declared cosmetic.
R15-COMP-022	pruning_as_rejection	PASS	NONE	Pruning is shown as a composition note with a non-rejection explanation.
R15-COMP-022	split_as_historical_separation	PASS	NONE	Split is labelled as missing qualified bridge in this input only.
R15-COMP-022	gap_as_negative_evidence	PASS	NONE	Gap labels say unresolved evidence, never false or absent in history.
R15-COMP-023	causality	PASS	NONE	No arrowheads or causal labels; edges are explicitly generic associations.
R15-COMP-023	temporal_direction	PASS	NONE	No arrowheads, timelines, or before/after axes.
R15-COMP-023	hierarchy	PASS	NONE	All nodes use one circular layer and equal radius.
R15-COMP-023	importance	PASS	NONE	All nodes use the same visual size; seeds are labelled, not enlarged or centred.
R15-COMP-023	quantitative_strength	PASS	NONE	All admitted lines use one width; geometry is declared cosmetic.
R15-COMP-023	pruning_as_rejection	PASS	NONE	Pruning is shown as a composition note with a non-rejection explanation.
R15-COMP-023	split_as_historical_separation	PASS	NONE	Split is labelled as missing qualified bridge in this input only.
R15-COMP-023	gap_as_negative_evidence	PASS	NONE	Gap labels say unresolved evidence, never false or absent in history.
R15-COMP-024	causality	PASS	NONE	No arrowheads or causal labels; edges are explicitly generic associations.
R15-COMP-024	temporal_direction	PASS	NONE	No arrowheads, timelines, or before/after axes.
R15-COMP-024	hierarchy	PASS	NONE	All nodes use one circular layer and equal radius.
R15-COMP-024	importance	PASS	NONE	All nodes use the same visual size; seeds are labelled, not enlarged or centred.
R15-COMP-024	quantitative_strength	PASS	NONE	All admitted lines use one width; geometry is declared cosmetic.
R15-COMP-024	pruning_as_rejection	PASS	NONE	Pruning is shown as a composition note with a non-rejection explanation.
R15-COMP-024	split_as_historical_separation	PASS	NONE	Split is labelled as missing qualified bridge in this input only.
R15-COMP-024	gap_as_negative_evidence	PASS	NONE	Gap labels say unresolved evidence, never false or absent in history.
R15-COMP-025	causality	PASS	NONE	No arrowheads or causal labels; edges are explicitly generic associations.
R15-COMP-025	temporal_direction	PASS	NONE	No arrowheads, timelines, or before/after axes.
R15-COMP-025	hierarchy	PASS	NONE	All nodes use one circular layer and equal radius.
R15-COMP-025	importance	PASS	NONE	All nodes use the same visual size; seeds are labelled, not enlarged or centred.
R15-COMP-025	quantitative_strength	PASS	NONE	All admitted lines use one width; geometry is declared cosmetic.
R15-COMP-025	pruning_as_rejection	PASS	NONE	Pruning is shown as a composition note with a non-rejection explanation.
R15-COMP-025	split_as_historical_separation	PASS	NONE	Split is labelled as missing qualified bridge in this input only.
R15-COMP-025	gap_as_negative_evidence	PASS	NONE	Gap labels say unresolved evidence, never false or absent in history.
