candidate_id	candidate_label	original_language_label	published_translation_label	grammatical_form	noun_attested	discovery_source_id	discovery_locator	observed_usage_role	first_attestation_count	peer_reviewed_article_attestation_count	independent_scholarly_attestation_count	plain_language_gloss_status	directionality_observation_status	contestation_status	polysemy_status	discovery_agent_id	candidate_registry_version	candidate_registry_sha256	final_decision	decision_reason	all_required_checks_complete
REL-CAND-0011	gendering			NOUN	true	SRC-0017	abstract/p.122	HISTORICAL_PROCESS_USAGE	1	2	2	VALIDATED	DIRECTED_POSITIONING_OBSERVED	CONTESTED	NO_PASS_BLOCKING_SPLIT	AGENT-DISC-GENDER-MATERIAL-TRANSLATED	trace-design-history-relation-candidates-v1	818b306406d6a557a563ec285ae36394106c4c88a3e14cae19e4f1da4e92f4d5	PASS_TO_GRAMMAR_RESEARCH	Independent articles attest gendered positioning of nature, commodities, and art forms.	true
REL-CAND-0012	displacement			NOUN	true	SRC-0020	abstract/p.195	HISTORICAL_PROCESS_USAGE	1	2	2	VALIDATED	UNRESOLVED_MIXED_USAGE	POLYSEMOUS	NO_PASS_BLOCKING_SPLIT	AGENT-DISC-GENDER-MATERIAL-TRANSLATED	trace-design-history-relation-candidates-v1	818b306406d6a557a563ec285ae36394106c4c88a3e14cae19e4f1da4e92f4d5	PASS_TO_GRAMMAR_RESEARCH	Two independently authored articles attest movement or status-changing recontextualization.	true
REL-CAND-0013	exclusion			NOUN	true	SRC-0022	p.9	HISTORIOGRAPHIC_POSITIONING_USAGE	1	1	1	REVIEWED_NOT_PASSING	DIRECTED_POSITIONING_OBSERVED	CONTESTED	NO_PASS_BLOCKING_SPLIT	AGENT-DISC-GENDER-MATERIAL-TRANSLATED	trace-design-history-relation-candidates-v1	818b306406d6a557a563ec285ae36394106c4c88a3e14cae19e4f1da4e92f4d5	DEFER_SINGLE_ATTESTATION	One exact design-historiographic noun use was verified.	true
REL-CAND-0014	erasure			NOUN	true	SRC-0023	title/p.241	HISTORIOGRAPHIC_POSITIONING_USAGE	1	1	1	REVIEWED_NOT_PASSING	DIRECTED_REMOVAL_OBSERVED	INSUFFICIENT_EVIDENCE	NO_PASS_BLOCKING_SPLIT	AGENT-DISC-GENDER-MATERIAL-TRANSLATED	trace-design-history-relation-candidates-v1	818b306406d6a557a563ec285ae36394106c4c88a3e14cae19e4f1da4e92f4d5	DEFER_SINGLE_ATTESTATION	One exact graphic-design-historiographic use was verified.	true
REL-CAND-0015	access			NOUN	true	SRC-0024	abstract	INTERPRETIVE_RELATION_USAGE	1	1	1	REVIEWED_NOT_PASSING	UNRESOLVED_MIXED_USAGE	CONTESTED	NO_PASS_BLOCKING_SPLIT	AGENT-DISC-GENDER-MATERIAL-TRANSLATED	trace-design-history-relation-candidates-v1	818b306406d6a557a563ec285ae36394106c4c88a3e14cae19e4f1da4e92f4d5	DEFER_SINGLE_ATTESTATION	One explicitly relational but generic use was verified.	true
REL-CAND-0016	translation			NOUN	true	SRC-0012	abstract/p.88	HISTORICAL_PROCESS_USAGE	1	1	1	REVIEWED_NOT_PASSING	UNRESOLVED_MIXED_USAGE	POLYSEMOUS	SPLIT_REQUIRED_DEFER	AGENT-DISC-GENDER-MATERIAL-TRANSLATED	trace-design-history-relation-candidates-v1	818b306406d6a557a563ec285ae36394106c4c88a3e14cae19e4f1da4e92f4d5	DEFER_SEMANTIC_AMBIGUITY	One exact bare noun use cannot establish a stable cultural rather than literal sense.	true
REL-CAND-0017	creative appropriation			NOUN_PHRASE	true	SRC-0005	title/p.35	HISTORICAL_PROCESS_USAGE	1	1	1	REVIEWED_NOT_PASSING	DIRECTED_INCORPORATION_OBSERVED	POLYSEMOUS	NO_PASS_BLOCKING_SPLIT	AGENT-DISC-GENDER-MATERIAL-TRANSLATED	trace-design-history-relation-candidates-v1	818b306406d6a557a563ec285ae36394106c4c88a3e14cae19e4f1da4e92f4d5	DEFER_SINGLE_ATTESTATION	The exact modified phrase occurs in one independent work.	true
REL-CAND-0018	collective process			NOUN_PHRASE	true	SRC-0022	p.11	AMBIGUOUS_USAGE	1	1	1	REVIEWED_NOT_PASSING	NOT_APPLICABLE	INSUFFICIENT_EVIDENCE	NO_PASS_BLOCKING_SPLIT	AGENT-DISC-GENDER-MATERIAL-TRANSLATED	trace-design-history-relation-candidates-v1	818b306406d6a557a563ec285ae36394106c4c88a3e14cae19e4f1da4e92f4d5	REJECT_GENERIC_NON_DESIGN_HISTORY_TERM	The phrase is a compositional description, not a stable design-history relation label.	true
REL-CAND-0019	relational infrastructure			NOUN_PHRASE	true	SRC-0024	Access as intimacy, access as method section	AMBIGUOUS_USAGE	1	1	1	REVIEWED_NOT_PASSING	UNRESOLVED	INSUFFICIENT_EVIDENCE	NO_PASS_BLOCKING_SPLIT	AGENT-DISC-GENDER-MATERIAL-TRANSLATED	trace-design-history-relation-candidates-v1	818b306406d6a557a563ec285ae36394106c4c88a3e14cae19e4f1da4e92f4d5	REJECT_ONE_OFF_METAPHOR	The phrase is an author-specific rhetorical formulation with no independent uptake.	true
REL-CAND-0020	work migrations			NOUN_PHRASE	true	SRC-0025	p.77	HISTORICAL_PROCESS_USAGE	1	1	1	REVIEWED_NOT_PASSING	RECIPROCAL_MOVEMENT_OBSERVED	INSUFFICIENT_EVIDENCE	NO_PASS_BLOCKING_SPLIT	AGENT-DISC-GENDER-MATERIAL-TRANSLATED	trace-design-history-relation-candidates-v1	818b306406d6a557a563ec285ae36394106c4c88a3e14cae19e4f1da4e92f4d5	DEFER_TRANSLATION	Published English forms are one translation chain and the original Norwegian term was not exposed.	true
REL-CAND-0021	collective production			NOUN_PHRASE	true	SRC-0027	opening extract	HISTORICAL_PROCESS_USAGE	1	1	1	REVIEWED_NOT_PASSING	COLLECTIVE_MULTI_PARTY_OBSERVED	INSUFFICIENT_EVIDENCE	NO_PASS_BLOCKING_SPLIT	AGENT-DISC-GENDER-MATERIAL-TRANSLATED	trace-design-history-relation-candidates-v1	818b306406d6a557a563ec285ae36394106c4c88a3e14cae19e4f1da4e92f4d5	DEFER_SINGLE_ATTESTATION	One peer-reviewed contextual introduction attests the English phrase; the original term is unverified.	true
REL-CAND-0022	oblikovanje	oblikovanje	form-giving	NOUN	true	SRC-0029	opening extract	AMBIGUOUS_USAGE	1	1	1	REVIEWED_NOT_PASSING	NOT_APPLICABLE	HISTORICALLY_SHIFTING	NO_PASS_BLOCKING_SPLIT	AGENT-DISC-GENDER-MATERIAL-TRANSLATED	trace-design-history-relation-candidates-v1	818b306406d6a557a563ec285ae36394106c4c88a3e14cae19e4f1da4e92f4d5	REJECT_NOT_RELATIONAL	The published Croatian term/gloss names form-giving or design practice rather than a relation.	true
REL-CAND-0023	transculturation			NOUN	true	SRC-0031	abstract/p.285	HISTORICAL_PROCESS_USAGE	1	1	2	VALIDATED	UNRESOLVED_MIXED_USAGE	CONTESTED	NO_PASS_BLOCKING_SPLIT	AGENT-DISC-GLOBAL-DECOLONIAL	trace-design-history-relation-candidates-v1	818b306406d6a557a563ec285ae36394106c4c88a3e14cae19e4f1da4e92f4d5	PASS_TO_GRAMMAR_RESEARCH	An article and independent scholarly chapter support cultural change through contact.	true
REL-CAND-0024	cultural mobility			NOUN_PHRASE	true	SRC-0035	title/p.245	HISTORICAL_PROCESS_USAGE	1	1	2	VALIDATED	UNRESOLVED_MIXED_USAGE	POLYSEMOUS	NO_PASS_BLOCKING_SPLIT	AGENT-DISC-GLOBAL-DECOLONIAL	trace-design-history-relation-candidates-v1	818b306406d6a557a563ec285ae36394106c4c88a3e14cae19e4f1da4e92f4d5	PASS_TO_GRAMMAR_RESEARCH	An article and independent chapter attest mobility of goods, people, and practices.	true
REL-CAND-0025	self-exoticization			NOUN	true	SRC-0037	abstract/p.50	HISTORICAL_PROCESS_USAGE	1	2	2	VALIDATED	REFLEXIVE_DIRECTION_OBSERVED	CONTESTED	NO_PASS_BLOCKING_SPLIT	AGENT-DISC-GLOBAL-DECOLONIAL	trace-design-history-relation-candidates-v1	818b306406d6a557a563ec285ae36394106c4c88a3e14cae19e4f1da4e92f4d5	PASS_TO_GRAMMAR_RESEARCH_FOUNDATIONAL_TERM	The coined noun has a foundational article and independent design-history reception.	true
REL-CAND-0026	coloniality	colonialidade	coloniality	NOUN	true	SRC-0038	abstract/p.1	INTERPRETIVE_RELATION_USAGE	1	2	2	VALIDATED	STRUCTURAL_ASYMMETRY_OBSERVED	CONTESTED	NO_PASS_BLOCKING_SPLIT	AGENT-DISC-GLOBAL-DECOLONIAL	trace-design-history-relation-candidates-v1	818b306406d6a557a563ec285ae36394106c4c88a3e14cae19e4f1da4e92f4d5	PASS_TO_GRAMMAR_RESEARCH	Published Portuguese-English evidence and independent English use support one bounded structural sense.	true
REL-CAND-0027	decolonization			NOUN	true	SRC-0040	abstract/p.168	HISTORICAL_PROCESS_USAGE	1	2	2	REVIEWED_NOT_PASSING	UNRESOLVED_MIXED_USAGE	POLYSEMOUS	SPLIT_REQUIRED_DEFER	AGENT-DISC-GLOBAL-DECOLONIAL	trace-design-history-relation-candidates-v1	818b306406d6a557a563ec285ae36394106c4c88a3e14cae19e4f1da4e92f4d5	DEFER_SEMANTIC_AMBIGUITY	Disciplinary/practice and historical-political senses require separately attested sense records.	true
REL-CAND-0028	power relations			NOUN_PHRASE	true	SRC-0042	abstract/p.258	HISTORICAL_RELATION_USAGE	1	2	2	REVIEWED_NOT_PASSING	STRUCTURAL_ASYMMETRY_OBSERVED	CONTESTED	NO_PASS_BLOCKING_SPLIT	AGENT-DISC-GLOBAL-DECOLONIAL	trace-design-history-relation-candidates-v1	818b306406d6a557a563ec285ae36394106c4c88a3e14cae19e4f1da4e92f4d5	REJECT_GENERIC_NON_DESIGN_HISTORY_TERM	The phrase is relational but remains generic social-science vocabulary rather than a stable design-history construct.	true
REL-CAND-0029	cultural transferral			NOUN_PHRASE	true	SRC-0033	abstract/p.158	HISTORICAL_PROCESS_USAGE	1	1	1	REVIEWED_NOT_PASSING	DIRECTED_TRANSFER_OBSERVED	INSUFFICIENT_EVIDENCE	NO_PASS_BLOCKING_SPLIT	AGENT-DISC-GLOBAL-DECOLONIAL	trace-design-history-relation-candidates-v1	818b306406d6a557a563ec285ae36394106c4c88a3e14cae19e4f1da4e92f4d5	DEFER_SINGLE_ATTESTATION	The exact phrase has one design-history work.	true
REL-CAND-0030	cultural diplomacy			NOUN_PHRASE	true	SRC-0044	pp.117-118	HISTORICAL_RELATION_USAGE	1	1	2	REVIEWED_NOT_PASSING	DIRECTED_STATE_AUDIENCE_FRAME_CONTESTED	CONTESTED	NO_PASS_BLOCKING_SPLIT	AGENT-DISC-GLOBAL-DECOLONIAL	trace-design-history-relation-candidates-v1	818b306406d6a557a563ec285ae36394106c4c88a3e14cae19e4f1da4e92f4d5	DEFER_SEMANTIC_AMBIGUITY	Two sources attest the phrase but explicitly question its precision and actor boundary.	true
REL-CAND-0031	transnationalism			NOUN	true	SRC-0046	title/ch.4	AMBIGUOUS_USAGE	1	0	1	REVIEWED_NOT_PASSING	NOT_APPLICABLE	CONTESTED	NO_PASS_BLOCKING_SPLIT	AGENT-DISC-GLOBAL-DECOLONIAL	trace-design-history-relation-candidates-v1	818b306406d6a557a563ec285ae36394106c4c88a3e14cae19e4f1da4e92f4d5	REJECT_NOT_RELATIONAL	Sources present it as a historiographic framework or field label, not a relation.	true
REL-CAND-0032	imitation			NOUN	true	SRC-0048	title/p.1	HISTORICAL_PROCESS_USAGE	1	2	2	VALIDATED	DIRECTED_COPYING_OBSERVED	HISTORICALLY_SHIFTING	NO_PASS_BLOCKING_SPLIT	AGENT-DISC-ROOT-CITATION-CHAIN	trace-design-history-relation-candidates-v1	818b306406d6a557a563ec285ae36394106c4c88a3e14cae19e4f1da4e92f4d5	PASS_TO_GRAMMAR_RESEARCH	Independent peer-reviewed design-history articles attest copying as a historical process.	true
REL-CAND-0033	piracy			NOUN	true	SRC-0048	title/p.1	HISTORICAL_PROCESS_USAGE	1	2	2	VALIDATED	DIRECTED_UNAUTHORIZED_COPYING_OBSERVED	CONTESTED	NO_PASS_BLOCKING_SPLIT	AGENT-DISC-ROOT-CITATION-CHAIN	trace-design-history-relation-candidates-v1	818b306406d6a557a563ec285ae36394106c4c88a3e14cae19e4f1da4e92f4d5	PASS_TO_GRAMMAR_RESEARCH	A design-history article and independent historical design-protection article attest unauthorized copying.	true
