candidate_id	candidate_label	contestation_status	contestation_sources	qualification_notes	polysemy_status	candidate_sense_ids	sense_split_count	final_decision
REL-CAND-0022	oblikovanje	HISTORICALLY_SHIFTING	ATT-0035	The published Croatian term/gloss names form-giving or design practice rather than a relation.	NO_PASS_BLOCKING_SPLIT		0	REJECT_NOT_RELATIONAL
REL-CAND-0023	transculturation	CONTESTED	ATT-0036;ATT-0037	An article and independent scholarly chapter support cultural change through contact.	NO_PASS_BLOCKING_SPLIT		0	PASS_TO_GRAMMAR_RESEARCH
REL-CAND-0024	cultural mobility	POLYSEMOUS	ATT-0038;ATT-0039	An article and independent chapter attest mobility of goods, people, and practices.	NO_PASS_BLOCKING_SPLIT		0	PASS_TO_GRAMMAR_RESEARCH
REL-CAND-0025	self-exoticization	CONTESTED	ATT-0040;ATT-0041	The coined noun has a foundational article and independent design-history reception.	NO_PASS_BLOCKING_SPLIT		0	PASS_TO_GRAMMAR_RESEARCH_FOUNDATIONAL_TERM
REL-CAND-0026	coloniality	CONTESTED	ATT-0042;ATT-0043	Published Portuguese-English evidence and independent English use support one bounded structural sense.	NO_PASS_BLOCKING_SPLIT		0	PASS_TO_GRAMMAR_RESEARCH
REL-CAND-0027	decolonization	POLYSEMOUS	ATT-0044;ATT-0045	Disciplinary/practice and historical-political senses require separately attested sense records.	SEMANTIC_POLYSEMY_REQUIRES_SPLIT	DECOLONIZATION#DISCIPLINARY-PRACTICE;DECOLONIZATION#HISTORICAL-POLITICAL	2	DEFER_SEMANTIC_AMBIGUITY
REL-CAND-0028	power relations	CONTESTED	ATT-0046;ATT-0047	The phrase is relational but remains generic social-science vocabulary rather than a stable design-history construct.	NO_PASS_BLOCKING_SPLIT		0	REJECT_GENERIC_NON_DESIGN_HISTORY_TERM
REL-CAND-0029	cultural transferral	INSUFFICIENT_EVIDENCE	ATT-0048	The exact phrase has one design-history work.	NO_PASS_BLOCKING_SPLIT		0	DEFER_SINGLE_ATTESTATION
REL-CAND-0030	cultural diplomacy	CONTESTED	ATT-0049;ATT-0050	Two sources attest the phrase but explicitly question its precision and actor boundary.	NO_PASS_BLOCKING_SPLIT		0	DEFER_SEMANTIC_AMBIGUITY
REL-CAND-0031	transnationalism	CONTESTED	ATT-0051	Sources present it as a historiographic framework or field label, not a relation.	NO_PASS_BLOCKING_SPLIT		0	REJECT_NOT_RELATIONAL
REL-CAND-0032	imitation	HISTORICALLY_SHIFTING	ATT-0052;ATT-0053	Independent peer-reviewed design-history articles attest copying as a historical process.	NO_PASS_BLOCKING_SPLIT		0	PASS_TO_GRAMMAR_RESEARCH
REL-CAND-0033	piracy	CONTESTED	ATT-0054;ATT-0055	A design-history article and independent historical design-protection article attest unauthorized copying.	NO_PASS_BLOCKING_SPLIT		0	PASS_TO_GRAMMAR_RESEARCH
