source_id	authors	year	title	publication	source_class	tier	volume_issue	pages	doi_isbn	publisher	stable_publisher_url	source_language	source_strata	peer_reviewed	metadata_verified	discovery_batch
SRC-0011	Dora Souza Dias	2019	International Design Organizations and the Study of Transnational Interactions: The Case of Icogradalatinoamérica80	Journal of Design History	ARTICLE	A	32(2)	188-206	10.1093/jdh/epy038	Oxford University Press	https://academic.oup.com/jdh/article-abstract/32/2/188/5115654	English	GRAPHIC_DESIGN_HISTORY|GLOBAL_TRANSNATIONAL|INSTITUTIONAL_PROFESSIONAL	true	true	BATCH-02
SRC-0012	Tania Messell	2019	Globalization and Design Institutionalization: ICSID's XIth Congress and the Formation of ALADI, 1979	Journal of Design History	ARTICLE	A	32(1)	88-104	10.1093/jdh/epy040	Oxford University Press	https://academic.oup.com/jdh/issue/32/1	English	GLOBAL_TRANSNATIONAL|INSTITUTIONAL_PROFESSIONAL	true	true	BATCH-02
SRC-0013	Yuko Kikuchi; Yunah Lee	2014	Transnational Modern Design Histories in East Asia: An Introduction	Journal of Design History	ARTICLE	A	27(4)	323-334	10.1093/jdh/epu035	Oxford University Press	https://doi.org/10.1093/jdh/epu035	English	GLOBAL_TRANSNATIONAL|NON_ENGLISH_TRANSLATED	true	true	BATCH-02
SRC-0014	Yuko Kikuchi	2011	Design Histories and Design Studies in East Asia: Part 1	Journal of Design History	ARTICLE	A	24(3)	273-282	10.1093/jdh/epr024	Oxford University Press	https://academic.oup.com/jdh/article-abstract/24/3/273/405148	English	GLOBAL_TRANSNATIONAL|NON_ENGLISH_TRANSLATED	true	true	BATCH-01
SRC-0015	Jan Logemann	2017	Consumer Modernity as Cultural Translation: European Émigrés and Knowledge Transfers in Mid-Century Design and Marketing	Geschichte und Gesellschaft	ARTICLE	A	43(3)	413-437	10.13109/gege.2017.43.3.413	Vandenhoeck & Ruprecht	https://doi.org/10.13109/gege.2017.43.3.413	English	GLOBAL_TRANSNATIONAL|MATERIAL_CULTURE	true	true	BATCH-01
SRC-0016	Patricia Lara-Betancourt; Livia Rezende	2019	Locating Design Exchanges in Latin America and the Caribbean	Journal of Design History	ARTICLE	A	32(1)	1-16	10.1093/jdh/epy048	Oxford University Press	https://academic.oup.com/jdh/article-abstract/32/1/1/5298279	English	GLOBAL_TRANSNATIONAL|DECOLONIAL_POSTCOLONIAL	true	true	BATCH-02
SRC-0017	Livia Rezende	2017	Manufacturing the Raw in Design Pageantries: the Commodification and Gendering of Brazilian Tropical Nature at the 1867 Exposition Universelle	Journal of Design History	ARTICLE	A	30(2)	122-138	10.1093/jdh/epx007	Oxford University Press	https://academic.oup.com/jdh/article-abstract/30/2/122/3076978	English	DECOLONIAL_POSTCOLONIAL|GENDER_FEMINIST_QUEER|MATERIAL_CULTURE	true	true	BATCH-02
SRC-0018	Marjan Groot	2006	Crossing the Borderlines and Moving the Boundaries: 'High' Arts and Crafts, Cross-culturalism, Folk Art and Gender	Journal of Design History	ARTICLE	A	19(2)	121-136	10.1093/jdh/epl002	Oxford University Press	https://academic.oup.com/jdh/article-abstract/19/2/121/515948	English	GENDER_FEMINIST_QUEER|INSTITUTIONAL_PROFESSIONAL	true	true	BATCH-02
SRC-0019	Yasuko Suga	2003	'Purgatory of taste' or Projector of Industrial Britain? The British Institute of Industrial Art	Journal of Design History	ARTICLE	A	16(2)	167-185	10.1093/jdh/16.2.167	Oxford University Press	https://academic.oup.com/jdh/article-abstract/16/2/167/459315	English	INSTITUTIONAL_PROFESSIONAL	true	true	BATCH-03
SRC-0020	Sarah A. Lichtman; Jilly Traganou	2021	Introduction to Material Displacements	Journal of Design History	ARTICLE	A	34(3)	195-211	10.1093/jdh/epab027	Oxford University Press	https://academic.oup.com/jdh/article/34/3/195/6344820	English	MATERIAL_CULTURE|GLOBAL_TRANSNATIONAL	true	true	BATCH-03
SRC-0021	Paul Atkinson	2021	Born in the USA: The Cigar Box Guitar, Object Displacement and Performative DIY	Journal of Design History	ARTICLE	A	34(3)	260-274	10.1093/jdh/epaa058	Oxford University Press	https://academic.oup.com/jdh/article/34/3/260/6038974	English	MATERIAL_CULTURE	true	true	BATCH-03
SRC-0022	Cheryl Buckley	1986	Made in Patriarchy: Toward a Feminist Analysis of Women and Design	Design Issues	ARTICLE	A	3(2)	3-14	10.2307/1511480	MIT Press	https://doi.org/10.2307/1511480	English	GENDER_FEMINIST_QUEER|FOUNDATIONAL_DESIGN_HISTORIOGRAPHY	true	true	BATCH-04
SRC-0023	Julia Moszkowicz	2011	Lost in Translation: The Emergence and Erasure of 'New Thinking' within Graphic Design Criticism in the 1990s	Journal of Design History	ARTICLE	A	24(3)	241-254	10.1093/jdh/epr023	Oxford University Press	https://academic.oup.com/jdh/article-abstract/24/3/241/405134	English	GRAPHIC_DESIGN_HISTORY|FOUNDATIONAL_DESIGN_HISTORIOGRAPHY	true	true	BATCH-04
SRC-0024	Virginia Marano	2026	Decoding Desire: Access and Intimacy in Sexual Objects	Journal of Design History	ARTICLE	A	advance article	epag007	10.1093/jdh/epag007	Oxford University Press	https://academic.oup.com/jdh/advance-article/doi/10.1093/jdh/epag007/8713764	English	GENDER_FEMINIST_QUEER|MATERIAL_CULTURE	true	true	BATCH-04
SRC-0025	Kjetil Fallan	2014	Introduction to '110 Volts at Home: The American Lista' by Siv Ringdal	Journal of Design History	ARTICLE	A	27(1)	76-78	10.1093/jdh/ept047	Oxford University Press	https://doi.org/10.1093/jdh/ept047	English	NON_ENGLISH_TRANSLATED|MATERIAL_CULTURE	true	true	BATCH-05
SRC-0026	Siv Ringdal; translator Kjetil Fallan	2014	110 Volts at Home: the American Lista	Journal of Design History	TRANSLATED_ARTICLE	C	27(1)	79-96	10.1093/jdh/ept046	Oxford University Press	https://academic.oup.com/jdh/article/27/1/79/474250	Norwegian|English	NON_ENGLISH_TRANSLATED|MATERIAL_CULTURE	translation_not_re_peer_reviewed	true	BATCH-05
SRC-0027	Tom Cubbin	2016	Introduction to 'Problems of Soviet Design' and 'The Production (Industrial) Art of the Future' by Karl Kantor	Journal of Design History	ARTICLE	A	29(4)	385-404	10.1093/jdh/epw005	Oxford University Press	https://doi.org/10.1093/jdh/epw005	English	NON_ENGLISH_TRANSLATED|FOUNDATIONAL_DESIGN_HISTORIOGRAPHY	true	true	BATCH-05
SRC-0028	Karl M. Kantor	1967	Красота и польза: социологические вопросы материально-художественной культуры	Beauty and Utility: Sociological Questions of Material-Artistic Culture	BOOK	B	monograph	280 pp.	NO_ISBN_RECORDED	Iskusstvo	https://rusneb.ru/catalog/002178_000020_BGUNB-BEL%7C%7C%7CBIBL%7C%7C%7C0000236489/	Russian	NON_ENGLISH_TRANSLATED|FOUNDATIONAL_DESIGN_HISTORIOGRAPHY	scholarly_book	true	BATCH-05
SRC-0029	Fedja Vukić	2017	Rethinking the Environment: An Introduction to Matko Meštrović's 'Dizajn i okolina' from 1980	Journal of Design History	ARTICLE	A	30(2)	212-230	10.1093/jdh/epw003	Oxford University Press	https://doi.org/10.1093/jdh/epw003	English|Croatian	NON_ENGLISH_TRANSLATED|FOUNDATIONAL_DESIGN_HISTORIOGRAPHY	true	true	BATCH-05
SRC-0030	Matko Meštrović	1980	Dizajn i okolina	Teorija dizajna i problemi okoline	BOOK	B	monograph	327 pp.	NO_ISBN_RECORDED	Naprijed	https://mrezadizajna.com/katalog/teorija-dizajna-i-problemi-okoline	Croatian	NON_ENGLISH_TRANSLATED|FOUNDATIONAL_DESIGN_HISTORIOGRAPHY	scholarly_book	true	BATCH-05
SRC-0031	Rose Cooper; Darcy White	2005	Teaching Transculturation: Pedagogical Processes	Journal of Design History	ARTICLE	A	18(3)	285-292	10.1093/jdh/epi048	Oxford University Press	https://academic.oup.com/jdh/article/18/3/285/442590	English	GLOBAL_TRANSNATIONAL|DECOLONIAL_POSTCOLONIAL	true	true	BATCH-02
SRC-0032	Nicolas P. Maffei	2016	Surveying the Borders: 'Authenticity' in Mexican-American Food Packaging, Imagery and Architecture	Designing Worlds	CHAPTER	B	chapter 14	211-225	10.1515/9781785334467-014	Berghahn Books	https://doi.org/10.1515/9781785334467-014	English	GLOBAL_TRANSNATIONAL|MATERIAL_CULTURE	peer_reviewed_chapter	true	BATCH-02
SRC-0033	Malene Breunig; Shona Kallestrup	2020	Translating Hygge: a Danish Design Myth and its Anglophone Appropriation	Journal of Design History	ARTICLE	A	33(2)	158-174	10.1093/jdh/epz056	Oxford University Press	https://doi.org/10.1093/jdh/epz056	English	GLOBAL_TRANSNATIONAL|MATERIAL_CULTURE	true	true	BATCH-02
SRC-0034	Chen-Yu Chiu; Peter Myers; Philip Goad	2014	Chinese Colours and the Sydney Opera House (1956-1966)	Journal of Design History	ARTICLE	A	27(3)	278-296	10.1093/jdh/ept029	Oxford University Press	https://doi.org/10.1093/jdh/ept029	English	GLOBAL_TRANSNATIONAL|NON_ENGLISH_TRANSLATED	true	true	BATCH-02
SRC-0035	Damon Taylor	2016	Laying Down Memories: the Cultural Mobility of Tejo Remy's Chest of Drawers	Journal of Design History	ARTICLE	A	29(3)	245-257	10.1093/jdh/epv047	Oxford University Press	https://doi.org/10.1093/jdh/epv047	English	GLOBAL_TRANSNATIONAL|MATERIAL_CULTURE	true	true	BATCH-02
SRC-0036	Patricia Lara-Betancourt	2016	The Quest for Modernity: A Global/National Approach to a History of Design in Latin America	Designing Worlds	CHAPTER	B	chapter 16	241-258	10.1515/9781785334467-016	Berghahn Books	https://doi.org/10.1515/9781785334467-016	English	GLOBAL_TRANSNATIONAL|DECOLONIAL_POSTCOLONIAL	peer_reviewed_chapter	true	BATCH-02
SRC-0037	Anders V. Munch	2017	On the Outskirts: the Geography of Design and the Self-exoticization of Danish Design	Journal of Design History	ARTICLE	A	30(1)	50-67	10.1093/jdh/epw049	Oxford University Press	https://doi.org/10.1093/jdh/epw049	English	GLOBAL_TRANSNATIONAL	true	true	BATCH-02
SRC-0038	Bruna Ferreira Montuori; Viviane Mattos Nicoletti	2021	Perspectivas decoloniais para um design pluriversal / Decolonial Perspectives for a Pluriversal Design	PosFAUUSP	ARTICLE	A	28(52)	e176954	10.11606/issn.2317-2762.psrevprogramapsgradarquiturbanfauusp.2021.176954	Universidade de São Paulo	https://revistas.usp.br/posfau/article/view/176954	Portuguese|English	DECOLONIAL_POSTCOLONIAL|NON_ENGLISH_TRANSLATED	true	true	BATCH-02
SRC-0039	Sarah Cheang; Katie Irani; Livia Rezende; Shehnaz Suterwalla	2023	In Between Breaths	Journal of Design History	ARTICLE	A	36(2)	175-196	10.1093/jdh/epac038	Oxford University Press	https://doi.org/10.1093/jdh/epac038	English	DECOLONIAL_POSTCOLONIAL|GENDER_FEMINIST_QUEER	true	true	BATCH-02
SRC-0040	Meghan Kelly	2022	Prioritizing Design Process over Design Outcomes to Address Non-Indigenous Engagement with Indigenous Knowledge Systems in Design Practice	Journal of Design History	ARTICLE	A	35(2)	168-183	10.1093/jdh/epab049	Oxford University Press	https://doi.org/10.1093/jdh/epab049	English	DECOLONIAL_POSTCOLONIAL	true	true	BATCH-03
SRC-0041	Zeina Maasri	2026	Book Arts as Archives of Decolonization: The Design and Visuality of Arabic Books (1950s-1980s)	Journal of Design History	ARTICLE	A	39(1)	70-87	10.1093/jdh/epag002	Oxford University Press	https://academic.oup.com/jdh/article/39/1/70/8533985	English	DECOLONIAL_POSTCOLONIAL|NON_ENGLISH_TRANSLATED|GRAPHIC_DESIGN_HISTORY	true	true	BATCH-03
SRC-0042	M. Amah Edoh	2016	Redrawing Power? Dutch Wax Cloth and the Politics of 'Good Design'	Journal of Design History	ARTICLE	A	29(3)	258-272	10.1093/jdh/epw011	Oxford University Press	https://doi.org/10.1093/jdh/epw011	English	DECOLONIAL_POSTCOLONIAL|MATERIAL_CULTURE	true	true	BATCH-03
SRC-0043	Laura J. Allen	2024	Local Fabric: Mid-Century Modernisms, Textile and Fashion Design, and the Northwest Coast, 1940-1967	Arts	ARTICLE	A	13(2)	52	10.3390/arts13020052	MDPI	https://doi.org/10.3390/arts13020052	English	DECOLONIAL_POSTCOLONIAL|MATERIAL_CULTURE	true	true	BATCH-03
SRC-0044	Harriet Atkinson; Verity Clarkson	2017	Editors' Introduction	Design and Culture	SCHOLARLY_EDITORIAL	C	9(2)	117-122	10.1080/17547075.2017.1331686	Taylor & Francis	https://doi.org/10.1080/17547075.2017.1331686	English	GLOBAL_TRANSNATIONAL|INSTITUTIONAL_PROFESSIONAL	supplementary	true	BATCH-04
SRC-0045	Jonathan M. Woodham; Michael Thomson	2017	Cultural Diplomacy and Design in the Late Twentieth and Twenty-First Centuries	Design and Culture	ARTICLE	A	9(2)	225-241	10.1080/17547075.2017.1321370	Taylor & Francis	https://doi.org/10.1080/17547075.2017.1321370	English	GLOBAL_TRANSNATIONAL|INSTITUTIONAL_PROFESSIONAL	true	true	BATCH-04
SRC-0046	Yuko Kikuchi	2019	Transnationalism for Design History	A Companion to Contemporary Design since 1945	CHAPTER	B	chapter 4	75-99	10.1002/9781119112297.ch4	Wiley	https://doi.org/10.1002/9781119112297.ch4	English	GLOBAL_TRANSNATIONAL|FOUNDATIONAL_DESIGN_HISTORIOGRAPHY	scholarly_chapter	true	BATCH-04
SRC-0047	Jongkyun Kim	2021	Transnational Design History Based on Designer Han Do-ryong's Life and Works	Archives of Design Research	ARTICLE	A	34(1)	201-211	10.15187/adr.2021.02.34.1.201	Korean Society of Design Science	https://doi.org/10.15187/adr.2021.02.34.1.201	Korean|English	GLOBAL_TRANSNATIONAL|NON_ENGLISH_TRANSLATED	true	true	BATCH-04
SRC-0048	Sheilagh Quaile	2023	Imitation and Piracy in Paisley Shawl Design, 1805-1870	Journal of Design History	ARTICLE	A	36(1)	1-16	10.1093/jdh/epac017	Oxford University Press	https://academic.oup.com/jdh/article-abstract/36/1/1/6583348	English	MATERIAL_CULTURE|GLOBAL_TRANSNATIONAL	true	true	BATCH-01
SRC-0049	Alastair Durie	1993	Imitation in Scottish Eighteenth-Century Textiles: The Drive to Establish the Manufacture of Osnaburg Linen	Journal of Design History	ARTICLE	A	6(2)	71-76	10.1093/jdh/6.2.71	Oxford University Press	https://academic.oup.com/jdh/article-pdf/6/2/71/7285877/6-2-71.pdf	English	MATERIAL_CULTURE	true	true	BATCH-01
SRC-0050	Marianne Dahlén	2012	Copy or Copyright Fashion? Swedish Design Protection Law in Historical and Comparative Perspective	Business History	ARTICLE	A	54(1)	88-107	10.1080/00076791.2011.617211	Taylor & Francis	https://doi.org/10.1080/00076791.2011.617211	English	MATERIAL_CULTURE|INSTITUTIONAL_PROFESSIONAL	true	true	BATCH-01
