source_id	authors	year	title	venue	publisher	doi_or_identifier	stable_url	language	source_type	peer_reviewed	design_history_usage	source_cluster	source_metadata_verified
COMP-SRC-011	Gay McDonald	2010	The Modern American Home as Soft Power: Finland, MoMA and the 'American Home 1953' Exhibition	Journal of Design History 23.4	Oxford University Press	10.1093/jdh/epq038	https://academic.oup.com/jdh/article/23/4/387/426251	English	ARTICLE	true	true	COLD_WAR_EXHIBITION_TRANSFER	true
COMP-SRC-012	Todd P. Olson	2023	Cultural Transfer and Its Discontents: Recent Scholarship on the Mobility of Early Modern Prints	Oxford Art Journal 46.1	Oxford University Press	10.1093/oxartj/kcad007	https://doi.org/10.1093/oxartj/kcad007	English	BOOK_REVIEW	unknown	false	PRINT_MOBILITY	true
COMP-SRC-013	Tom Avermaete;Cathelijne Nuijsink	2021	Architectural Contact Zones: Another Way to Write Global Histories of the Post-War Period?	Architectural Theory Review 25.3	Taylor & Francis	10.1080/13264826.2021.1939745	https://www.tandfonline.com/doi/full/10.1080/13264826.2021.1939745	English	ARTICLE	true	true	ARCHITECTURAL_CONTACT_ZONES	true
COMP-SRC-014	Imam Santosa;I. Kadek Dwi Noorwatha	2025	Symbolic and Aesthetic Fusion in Keraton Surakarta: Colonial Influence and Javanese Cultural Resistance through Architectural Design Adaptation	Cogent Arts & Humanities 12.1	Taylor & Francis	10.1080/23311983.2025.2482456	https://doi.org/10.1080/23311983.2025.2482456	English	ARTICLE	true	true	JAVANESE_ARCHITECTURAL_DESIGN	true
COMP-SRC-015	Ana Trujillo Dennis	2019	Ehon Don Kihōte de Serizawa Keisuke: Don Quijote como puente entre culturas	Mirai. Estudios Japoneses 3	Universidad Complutense de Madrid	10.5209/mira.63100	https://doi.org/10.5209/mira.63100	Spanish	ARTICLE	true	true	JAPANESE_BOOK_DESIGN	true
COMP-SRC-016	Dirk Snelders;Kaj P. N. Morel;Pieter Havermans	2011	The Cultural Adaptation of Web Design to Local Industry Styles: A Comparative Study	Design Studies 32.5	Elsevier	10.1016/j.destud.2011.03.001	https://www.sciencedirect.com/science/article/abs/pii/S0142694X11000251	English	ARTICLE	true	false	CROSS_CULTURAL_DESIGN_RESEARCH	true
COMP-SRC-017	Hifsiye Pulhan;İbrahim Numan	2006	The Traditional Urban House in Cyprus as Material Expression of Cultural Transformation	Journal of Design History 19.2	Oxford University Press	10.1093/jdh/epi050	https://doi.org/10.1093/jdh/epi050	English	ARTICLE	true	true	CYPRUS_ARCHITECTURAL_HISTORY	true
COMP-SRC-018	Richard E. Blanton	2011	Cultural Transformation, Art, and Collective Action in Polity Building	Cross-Cultural Research 45.2	SAGE	10.1177/1069397110393145	https://journals.sagepub.com/doi/10.1177/1069397110393145	English	ARTICLE	true	false	COMPARATIVE_POLITY_RESEARCH	true
COMP-SRC-019	Sarah A. Lichtman;Jilly Traganou	2021	Introduction to Material Displacements	Journal of Design History 34.3	Oxford University Press	10.1093/jdh/epab027	https://academic.oup.com/jdh/issue/34/3	English	ARTICLE	true	true	MATERIAL_DISPLACEMENTS	true
COMP-SRC-020	Jane Hutton	2013	Reciprocal Landscapes: Material Portraits in New York City and Elsewhere	Journal of Landscape Architecture 8.1	Taylor & Francis	10.1080/18626033.2013.798922	https://www.tandfonline.com/doi/abs/10.1080/18626033.2013.798922	English	ARTICLE	true	true	LANDSCAPE_MATERIAL_CHAINS	true
COMP-SRC-021	Damon Taylor	2016	Laying Down Memories: the Cultural Mobility of Tejo Remy's Chest of Drawers	Journal of Design History 29.3	Oxford University Press	10.1093/jdh/epv047	https://academic.oup.com/jdh/article/29/3/245/1745258	English	ARTICLE	true	true	DESIGN_OBJECT_MOBILITY	true
COMP-SRC-022	Rebecca Earle;Susan Deans-Smith	2026	Mobility, Violence, and the Afterlives of a Peruvian Painting at Sea	Itinerario 50.1	Cambridge University Press	10.1017/S0165115326100552	https://www.cambridge.org/core/journals/itinerario/article/mobility-violence-and-the-afterlives-of-a-peruvian-painting-at-sea/0CCD9C903B8DDA855989858E63EEC238	English	ARTICLE	true	false	COLONIAL_ART_MOBILITY	true
COMP-SRC-023	Susan E. Reid	2017	Cold War Cultural Transactions: Designing the USSR for the West at Brussels Expo '58	Design and Culture 9.2	Taylor & Francis	10.1080/17547075.2017.1333388	https://www.tandfonline.com/doi/abs/10.1080/17547075.2017.1333388	English	ARTICLE	true	true	DESIGN_DIPLOMACY_GENEALOGY	true
COMP-SRC-024	Katarzyna Jeżowska	2024	Socialist, Humanist and Well-Designed: The Polish Welfare State at the International Labour Exhibition in Turin, 1961	Contemporary European History 33.1	Cambridge University Press	10.1017/S0960777322000029	https://www.cambridge.org/core/journals/contemporary-european-history/article/socialist-humanist-and-welldesigned-the-polish-welfare-state-at-the-international-labour-exhibition-in-turin-1961/94D125A40C5B3B013872B9A949430909	English	ARTICLE	true	true	DESIGN_DIPLOMACY_APPLICATION	true
COMP-SRC-025	Mark Ian Jones	2023	A Fleeting Glimpse? 'Sweden's Shop Window in Sydney' – the Sweden at David Jones' Exposition of 1954	Fabrications 33.2	Taylor & Francis	10.1080/10331867.2023.2282294	https://doi.org/10.1080/10331867.2023.2282294	English	ARTICLE	true	true	DESIGN_DIPLOMACY_APPLICATION	true
COMP-SRC-026	Daniele Burlando	2023	'Moroccan' Artek: Colonized Textiles within 1930s Modernist Interiors	Journal of Design History 36.1	Oxford University Press	10.1093/jdh/epac035	https://academic.oup.com/jdh/article/36/1/35/6691352	English	ARTICLE	true	true	COLONIALITY_DESIGN_HISTORY	true
COMP-SRC-027	Emilio Distretti	2023	The Coloniality of Italian Fascist Architecture	The Journal of Architecture 28.4	Taylor & Francis	10.1080/13602365.2023.2238284	https://doi.org/10.1080/13602365.2023.2238284	English	ARTICLE	true	true	COLONIALITY_ARCHITECTURAL_HISTORY	true
COMP-SRC-028	Karen Tucker	2018	Unraveling Coloniality in International Relations: Knowledge, Relationality, and Strategies for Engagement	International Political Sociology 12.3	Oxford University Press	10.1093/ips/oly005	https://academic.oup.com/ips/article/12/3/215/5025555	English	ARTICLE	true	false	COLONIALITY_ADVERSARIAL	true
COMP-SRC-029	Véronique Pouillard	2011	Design Piracy in the Fashion Industries of Paris and New York	Business History Review 85.2	Cambridge University Press	10.1017/S0007680511000407	https://www.cambridge.org/core/journals/business-history-review/article/abs/design-piracy-in-the-fashion-industries-of-paris-and-new-york-in-the-interwar-years/AB3FC3E1B56C0798123ABDF06BD62486	English	ARTICLE	true	false	FASHION_PIRACY_HISTORY	true
COMP-SRC-030	Patricia Lara-Betancourt;Livia Rezende	2019	Locating Design Exchanges in Latin America and the Caribbean	Journal of Design History 32.1	Oxford University Press	10.1093/jdh/epy048	https://doi.org/10.1093/jdh/epy048	English	ARTICLE	true	true	DESIGN_EXCHANGE_BASELINE	true
