review_unit_id	review_unit_type	subject_id	plain_language_definition	source_ids	evidence_ids	bounded_context	role_structure	directionality	qualification	contestation	current_system_decision	alternative_decisions	reviewer_questions	reviewer_answer_status
REVIEW-PAIR-C	PAIR_RESEARCH_QUESTION	PAIR-C	Two scholarly sources support historically situated contrast and reclassification questions, while a third supplies non-gate environmental support; no peer-reviewed design-history article clears the required gate.	COMP-SRC-006;COMP-SRC-007;COMP-SRC-008	COMP-EVID-005;COMP-EVID-006;COMP-EVID-007	Jurisdiction, authorization, market regime, rights regime, historical norm, and ethical position are mandatory.	COMP-EVID-005: subject=fashion originator; target=imitators and alleged design pirates; additional=associations;markets;appreciation norms | COMP-EVID-006: subject=fashion makers and alleged copiers; target=designs and rights claims; additional=jurisdiction;authorization;market regime | COMP-EVID-007: subject=design leader and imitator; target=market classification and audience response; additional=audience;trademark regime;retail channel	REGIME_CONDITIONED_RECLASSIFICATION_OR_CONTRAST	Jurisdiction, authorization, market regime, rights regime, historical norm, and ethical position are mandatory.	Imitation is never automatically piracy; no transitive, stronger-degree, or moralized default, and non-design-history support cannot fill the design-history gate.	DEFER_MORE_EVIDENCE	PAIR_ACTIVATION_CANDIDATE;INQUIRY_ONLY_SUPPORTED;DEFER_MORE_EVIDENCE;REJECT_COMPOSITION;REJECT_FLATTENING_RISK;REJECT_DIRECTIONALITY_RISK	Is the meaning faithful to design-history scholarship?;Is the technical role appropriate?;Are subject and target roles historically defensible?;Does the inquiry accidentally imply directionality?;Is the distinction meaningful?;Is an important qualification missing?;Is this a useful research question?;Would it mislead as a historical relation?;Does it act as a universal connector?;Should it remain deferred, be split, or be rejected?	NOT_COMPLETED
REVIEW-INSTANCE-001	RESEARCH_INQUIRY_INSTANCE_V2	INQUIRY-INSTANCE-001	How might professionalization be examined alongside institutionalization when occupational formation and durable institutional embedding are not assumed to have one historical direction?	GRAM-SRC-004;GRAM-SRC-005;GRAM-SRC-006;GRAM-SRC-007;GRAM-SRC-025;SRC-0009;SRC-0010;SRC-0011;SRC-0012	ATT-0009;ATT-0010;ATT-0011;ATT-0012;GRAM-ATT-004;GRAM-ATT-005;GRAM-ATT-006;GRAM-ATT-007;GRAM-ATT-008;GRAM-ATT-026	The available evidence does not authorize a historical pair rule, public export, active grammar, or semantic Image; external design-history review remains required.	ROOT_INQUIRY:INQUIRY_OPERATION | CONVERGENCE_BRANCH_A:INQUIRY_OPERATION | CONVERGENCE_BRANCH_B:INQUIRY_OPERATION | CONVERGENCE_INPUT_A:SEMANTIC_NODE_REFERENCE | CONVERGENCE_INPUT_B:SEMANTIC_NODE_REFERENCE | SHARED_REVIEW_PROBLEM:INQUIRY_OPERATION	INQUIRY_NAVIGATION_ONLY_NO_HISTORICAL_DIRECTION	institutionalization is degree- and mechanism-specific;professional standing is historically contested and may exclude	HISTORICALLY_SHIFTING	RESEARCH_CANDIDATE_ONLY	RETAIN;REFINE_TOPOLOGY;DEFER;REJECT	Is the meaning faithful to design-history scholarship?;Is the technical role appropriate?;Are subject and target roles historically defensible?;Does the inquiry accidentally imply directionality?;Is the distinction meaningful?;Is an important qualification missing?;Is this a useful research question?;Would it mislead as a historical relation?;Does it act as a universal connector?;Should it remain deferred, be split, or be rejected?	NOT_COMPLETED
REVIEW-INSTANCE-002	RESEARCH_INQUIRY_INSTANCE_V2	INQUIRY-INSTANCE-002	How might gendering be examined alongside commodification when the available composition evidence comes from only one source and the market and gender regimes must remain explicit?	GRAM-SRC-013;GRAM-SRC-014;GRAM-SRC-015;GRAM-SRC-026;SRC-0006;SRC-0017;SRC-0018	ATT-0019;ATT-0020;ATT-0021;ATT-0022;GRAM-ATT-014;GRAM-ATT-015;GRAM-ATT-016;GRAM-ATT-027	The available evidence does not authorize a historical pair rule, public export, active grammar, or semantic Image; external design-history review remains required. Frozen v1-era 'one source' wording means one qualifying design-history composition source; Round 13's independent non-design-history support does not clear that gate.	ROOT_INQUIRY:INQUIRY_OPERATION | PRIMARY_CONCEPT_QUESTION:SEMANTIC_NODE_REFERENCE | MANDATORY_QUALIFICATION_GATE:QUALIFICATION_NOTE | QUALIFIED_CONTINUATION:SEMANTIC_NODE_REFERENCE | QUALIFICATION_REVIEW:CONTESTATION_NOTE	INQUIRY_NAVIGATION_ONLY_NO_HISTORICAL_DIRECTION	gender is performed and historically situated, not inherent in form;what becomes exchangeable and by whose action must be named	CONTESTED	RESEARCH_CANDIDATE_ONLY	RETAIN;REFINE_TOPOLOGY;DEFER;REJECT	Is the meaning faithful to design-history scholarship?;Is the technical role appropriate?;Are subject and target roles historically defensible?;Does the inquiry accidentally imply directionality?;Is the distinction meaningful?;Is an important qualification missing?;Is this a useful research question?;Would it mislead as a historical relation?;Does it act as a universal connector?;Should it remain deferred, be split, or be rejected?	NOT_COMPLETED
REVIEW-INSTANCE-003	RESEARCH_INQUIRY_INSTANCE_V2	INQUIRY-INSTANCE-003	How might imitation be examined alongside piracy when legal, market, normative, and historical regimes determine whether the concepts remain distinct?	GRAM-SRC-021;GRAM-SRC-022;GRAM-SRC-023;GRAM-SRC-024;GRAM-SRC-027;GRAM-SRC-028;SRC-0048;SRC-0049;SRC-0050	ATT-0052;ATT-0053;ATT-0054;ATT-0055;GRAM-ATT-022;GRAM-ATT-023;GRAM-ATT-024;GRAM-ATT-025;GRAM-ATT-028;GRAM-ATT-029;GRAM-ATT-030	The available evidence does not authorize a historical pair rule, public export, active grammar, or semantic Image; external design-history review remains required.	ROOT_INQUIRY:INQUIRY_OPERATION | ALTERNATIVE_BRANCH_A:INQUIRY_OPERATION | ALTERNATIVE_BRANCH_B:INQUIRY_OPERATION | BRANCH_A_CONCEPT:SEMANTIC_NODE_REFERENCE | BRANCH_B_CONCEPT:SEMANTIC_NODE_REFERENCE	INQUIRY_NAVIGATION_ONLY_NO_HISTORICAL_DIRECTION	authorization, ownership claim, jurisdiction, legal or market status, ethical framework, and historical standard are mandatory;imitation must not be equated automatically with infringement or piracy	CONTESTED;HISTORICALLY_SHIFTING	RESEARCH_CANDIDATE_ONLY	RETAIN;REFINE_TOPOLOGY;DEFER;REJECT	Is the meaning faithful to design-history scholarship?;Is the technical role appropriate?;Are subject and target roles historically defensible?;Does the inquiry accidentally imply directionality?;Is the distinction meaningful?;Is an important qualification missing?;Is this a useful research question?;Would it mislead as a historical relation?;Does it act as a universal connector?;Should it remain deferred, be split, or be rejected?	NOT_COMPLETED
REVIEW-INSTANCE-004	RESEARCH_INQUIRY_INSTANCE_V2	INQUIRY-INSTANCE-004	How might canonization be investigated through bounded questions about selection and exclusion without inventing a second semantic concept?	GRAM-SRC-003;SRC-0007;SRC-0008	ATT-0007;ATT-0008;GRAM-ATT-003	The available evidence does not authorize a historical pair rule, public export, active grammar, or semantic Image; external design-history review remains required.	ROOT_INQUIRY:INQUIRY_OPERATION | ALTERNATIVE_BRANCH_A:INQUIRY_OPERATION | ALTERNATIVE_BRANCH_B:INQUIRY_OPERATION | BRANCH_A_CONCEPT:SEMANTIC_NODE_REFERENCE | BRANCH_B_CONTESTATION:CONTESTATION_NOTE	INQUIRY_NAVIGATION_ONLY_NO_HISTORICAL_DIRECTION	selection mechanisms and exclusions must be stated	CONTESTED	RESEARCH_CANDIDATE_ONLY	RETAIN;REFINE_TOPOLOGY;DEFER;REJECT	Is the meaning faithful to design-history scholarship?;Is the technical role appropriate?;Are subject and target roles historically defensible?;Does the inquiry accidentally imply directionality?;Is the distinction meaningful?;Is an important qualification missing?;Is this a useful research question?;Would it mislead as a historical relation?;Does it act as a universal connector?;Should it remain deferred, be split, or be rejected?	NOT_COMPLETED
REVIEW-INSTANCE-005	RESEARCH_INQUIRY_INSTANCE_V2	INQUIRY-INSTANCE-005	How might self-exoticization be investigated as a bounded reflexive research question while keeping agency, audience, external gaze, and power asymmetry explicit?	GRAM-SRC-019;SRC-0033;SRC-0037	ATT-0040;ATT-0041;GRAM-ATT-020	The available evidence does not authorize a historical pair rule, public export, active grammar, or semantic Image; external design-history review remains required.	ROOT_INQUIRY:INQUIRY_OPERATION | REFLEXIVE_CONCEPT_QUESTION:SEMANTIC_NODE_REFERENCE | SELF_POSITIONING_QUESTION:INQUIRY_OPERATION | NAVIGATION_RETURN:CONTESTATION_NOTE | RETURN_BOUNDARY:QUALIFICATION_NOTE	INQUIRY_NAVIGATION_ONLY_NO_HISTORICAL_DIRECTION	agency, external gaze, and power asymmetry must remain explicit	CONTESTED	RESEARCH_CANDIDATE_ONLY	RETAIN;REFINE_TOPOLOGY;DEFER;REJECT	Is the meaning faithful to design-history scholarship?;Is the technical role appropriate?;Are subject and target roles historically defensible?;Does the inquiry accidentally imply directionality?;Is the distinction meaningful?;Is an important qualification missing?;Is this a useful research question?;Would it mislead as a historical relation?;Does it act as a universal connector?;Should it remain deferred, be split, or be rejected?	NOT_COMPLETED
REVIEW-GAP-001	VOCABULARY_GAP	GAP-001	mediation role distinctions	COMP-SRC-009;COMP-SRC-010	COMP-EVID-008;COMP-EVID-009;COMP-EVID-010;COMP-EVID-011	Exact design-history uses exist, but the second applications explicitly depend on the PCM genealogy and universal-connector risk remains high.	COMP-EVID-008: subject=producer or institution; target=consumer or audience; additional=designed channel;object;meaning | COMP-EVID-009: subject=platform operator or producer; target=users and traded cultural objects; additional=mediating channel: interface or platform;algorithms;regulation;third parties | COMP-EVID-010: subject=producer or institution; target=user or consumer; additional=mediating device: specific designed good;practice;meaning;use | COMP-EVID-011: subject=producer or platform operator; target=user and third-party stakeholders; additional=mediating device: digital artifact;data flows;platform rules;algorithms	SOURCE_CHANNEL_TARGET;SOURCE_DEVICE_TARGET;MULTIPARTY_DEVICE_MEDIATION	No generic conduit, every-object, or algorithmic mediation Node.	No generic conduit, every-object, or algorithmic mediation Node.	NEEDS_ADDITIONAL_EVIDENCE	SOURCE_ATTESTED_SPLIT_CANDIDATE;STRUCTURAL_ANNOTATION_CANDIDATE;NEEDS_ADDITIONAL_EVIDENCE;REJECT_NO_DESIGN_HISTORY_ATTESTATION;REJECT_FLATTENING;REJECT_UNIVERSAL_NODE_RISK	Is the meaning faithful to design-history scholarship?;Is the technical role appropriate?;Are subject and target roles historically defensible?;Does the inquiry accidentally imply directionality?;Is the distinction meaningful?;Is an important qualification missing?;Is this a useful research question?;Would it mislead as a historical relation?;Does it act as a universal connector?;Should it remain deferred, be split, or be rejected?	NOT_COMPLETED
REVIEW-GAP-002	VOCABULARY_GAP	GAP-002	cultural translation distinctions	COMP-SRC-011;COMP-SRC-012;COMP-SRC-013;COMP-SRC-014;COMP-SRC-015;COMP-SRC-016;COMP-SRC-017;COMP-SRC-018	COMP-EVID-012;COMP-EVID-013;COMP-EVID-014;COMP-EVID-015;COMP-EVID-016;COMP-EVID-017;COMP-EVID-018;COMP-EVID-019	Each phrase has a peer-reviewed design or architectural-history use, a second independent scholarly use, and a distinct bounded role or time structure after source and semantic review.	COMP-EVID-012: subject=donor institution and selected content; target=receiving institution, host actors, and audience; additional=exhibition;agenda;route;reception | COMP-EVID-013: subject=print producers and circulating images; target=receiving publics and settings; additional=seriality;colonial project;circulation | COMP-EVID-014: subject=participants in contact; target=shared architectural problem or form; additional=contact zone;power;borrowing;rejection | COMP-EVID-015: subject=Keraton patrons and Javanese design actors; target=imported colonial architectural forms and political meanings; additional=colonial institutions;resistance;patronage;power asymmetry | COMP-EVID-016: subject=adapter/illustrator and source work; target=adapted illustrated book; additional=target cultural context;audience;retained features;modified visual form;commission | COMP-EVID-017: subject=designers and source interface; target=adapted local-industry web interface; additional=local audience;local style;trust;usability | COMP-EVID-018: subject=earlier Ottoman-period cultural configuration embodied in urban houses; target=later British-colonial cultural configuration embodied in altered houses; additional=historical actors;period;material expression;social practice | COMP-EVID-019: subject=collective actors and artistic phenomena; target=comparative polity-cultural configurations; additional=governance;leadership;morality;sample of thirty premodern states	CONTESTED_ASYMMETRIC_WITH_RECEIVING_AGENCY;SOURCE_TO_RECEIVER;MULTIDIRECTIONAL;ASYMMETRIC_SELECTIVE_ADAPTATION;SOURCE_TO_ADAPTED_VERSION;STATE_T0_TO_STATE_T1;NON_DIRECTIONAL_COMPARATIVE_ASSOCIATION	The phrases are not synonyms or universal connectors: transfer requires source, content, route, receiver, and receiving agency; negotiation requires actual unequal counterparts; adaptation requires source, adapter, and changed artifact; transformation requires named T0/T1 states, forces, period, and material evidence.	The phrases are not synonyms or universal connectors: transfer requires source, content, route, receiver, and receiving agency; negotiation requires actual unequal counterparts; adaptation requires source, adapter, and changed artifact; transformation requires named T0/T1 states, forces, period, and material evidence.	SOURCE_ATTESTED_SPLIT_CANDIDATE	SOURCE_ATTESTED_SPLIT_CANDIDATE;STRUCTURAL_ANNOTATION_CANDIDATE;NEEDS_ADDITIONAL_EVIDENCE;REJECT_NO_DESIGN_HISTORY_ATTESTATION;REJECT_FLATTENING;REJECT_UNIVERSAL_NODE_RISK	Is the meaning faithful to design-history scholarship?;Is the technical role appropriate?;Are subject and target roles historically defensible?;Does the inquiry accidentally imply directionality?;Is the distinction meaningful?;Is an important qualification missing?;Is this a useful research question?;Would it mislead as a historical relation?;Does it act as a universal connector?;Should it remain deferred, be split, or be rejected?	NOT_COMPLETED
REVIEW-GAP-003	VOCABULARY_GAP	GAP-003	displacement distinctions	COMP-SRC-019;COMP-SRC-020	COMP-EVID-020;COMP-EVID-021	Material displacement clears the bounded design-history and independent landscape-design evidence gate; forced-human, spatial, semantic, and strategic senses remain unresolved.	COMP-EVID-020: subject=material or designed object; target=receiving place, form, or context; additional=production;labor;ecology;boundary | COMP-EVID-021: subject=specified construction material; target=designed landscape; additional=production site;supply chain;labor;ecology	ORIGIN_TO_RECEIVING_CONTEXT;PRODUCTION_SITE_TO_DESIGNED_SITE	Not every material movement: require a named material, origin, destination, chain or force, and material/labor/ecological consequences; never infer forced-human movement, semantic change, or strategy.	Not every material movement: require a named material, origin, destination, chain or force, and material/labor/ecological consequences; never infer forced-human movement, semantic change, or strategy.	SOURCE_ATTESTED_SPLIT_CANDIDATE	SOURCE_ATTESTED_SPLIT_CANDIDATE;STRUCTURAL_ANNOTATION_CANDIDATE;NEEDS_ADDITIONAL_EVIDENCE;REJECT_NO_DESIGN_HISTORY_ATTESTATION;REJECT_FLATTENING;REJECT_UNIVERSAL_NODE_RISK	Is the meaning faithful to design-history scholarship?;Is the technical role appropriate?;Are subject and target roles historically defensible?;Does the inquiry accidentally imply directionality?;Is the distinction meaningful?;Is an important qualification missing?;Is this a useful research question?;Would it mislead as a historical relation?;Does it act as a universal connector?;Should it remain deferred, be split, or be rejected?	NOT_COMPLETED
REVIEW-GAP-004	VOCABULARY_GAP	GAP-004	cultural mobility roles	COMP-SRC-021;COMP-SRC-022	COMP-EVID-022;COMP-EVID-023	The moved-entity role has two independent scholarly object-history uses; carrier, infrastructure, and route labels did not clear the same gate.	COMP-EVID-022: subject=design object; target=successive cultural settings; additional=carrier;mediation;reception;iteration | COMP-EVID-023: subject=commissioned painting; target=unintended receiving settings; additional=warfare;ships;owners;prints;audiences	ITINERARY_WITHOUT_TRANSITIVITY	Not every moved object: require a bounded itinerary, origin, carrier or route, receiving context, and reception or material change; mobile object is a role, not a relation or automatic connector.	Not every moved object: require a bounded itinerary, origin, carrier or route, receiving context, and reception or material change; mobile object is a role, not a relation or automatic connector.	SOURCE_ATTESTED_SPLIT_CANDIDATE	SOURCE_ATTESTED_SPLIT_CANDIDATE;STRUCTURAL_ANNOTATION_CANDIDATE;NEEDS_ADDITIONAL_EVIDENCE;REJECT_NO_DESIGN_HISTORY_ATTESTATION;REJECT_FLATTENING;REJECT_UNIVERSAL_NODE_RISK	Is the meaning faithful to design-history scholarship?;Is the technical role appropriate?;Are subject and target roles historically defensible?;Does the inquiry accidentally imply directionality?;Is the distinction meaningful?;Is an important qualification missing?;Is this a useful research question?;Would it mislead as a historical relation?;Does it act as a universal connector?;Should it remain deferred, be split, or be rejected?	NOT_COMPLETED
