evidence_id	pair_or_gap_id	candidate_sense_ids	source_id	source_type	peer_reviewed	design_history_usage	exact_attested_terms	bounded_context	locator	composition_kind	subject_role	target_role	additional_roles	directionality	qualification	negation	contestation	same_source_cluster	source_metadata_verified	evidence_verified	semantic_review	adversarial_review
COMP-EVID-018	GAP-002	R13-SPLIT-004	COMP-SRC-017	ARTICLE	true	true	cultural transformation	Cypriot urban houses are read as material evidence of change between named Ottoman-period and British-colonial cultural configurations.	title; abstract; pp.105–119	TRANSFORMATION	earlier Ottoman-period cultural configuration embodied in urban houses	later British-colonial cultural configuration embodied in altered houses	historical actors;period;material expression;social practice	STATE_T0_TO_STATE_T1	both historical states, period, forces, and material evidence required	none	Transformation is not linear progress or a single external influence.	false	true	true	PASS_BOUNDED	PASS_WITH_RECORDED_LIMITS
COMP-EVID-019	GAP-002	R13-SPLIT-004	COMP-SRC-018	ARTICLE	true	false	cultural transformation	Comparative research associates artistic phenomena and collective action with differences among polity cultures.	title; abstract; pp.106–127	COMPARATIVE_ASSOCIATION	collective actors and artistic phenomena	comparative polity-cultural configurations	governance;leadership;morality;sample of thirty premodern states	NON_DIRECTIONAL_COMPARATIVE_ASSOCIATION	comparative cross-sectional support only; no within-case T0-to-T1 claim	none	Broad theory cannot substitute for design-historical material evidence or a documented temporal transition.	false	true	true	PASS_BOUNDED	PASS_WITH_RECORDED_LIMITS
COMP-EVID-020	GAP-003	R13-SPLIT-005	COMP-SRC-019	ARTICLE	true	true	material displacements	A design-history issue distinguishes movement and transformation of materials, objects, meanings, and sites.	abstract; pp.195–211	MATERIAL_DISPLACEMENT	material or designed object	receiving place, form, or context	production;labor;ecology;boundary	ORIGIN_TO_RECEIVING_CONTEXT	material entity and historical movement required	none	Do not infer forced-human or semantic displacement from material movement.	false	true	true	PASS_BOUNDED	PASS_WITH_RECORDED_LIMITS
COMP-EVID-021	GAP-003	R13-SPLIT-005	COMP-SRC-020	ARTICLE	true	true	material displacement	Landscape-material chains connect production and consumption sites with ecological and labor changes.	abstract; p.40	MATERIAL_DISPLACEMENT	specified construction material	designed landscape	production site;supply chain;labor;ecology	PRODUCTION_SITE_TO_DESIGNED_SITE	named material chain and consequences	none	Commodity exchange can conceal production relations.	false	true	true	PASS_BOUNDED	PASS_WITH_RECORDED_LIMITS
COMP-EVID-022	GAP-004	R13-SPLIT-006	COMP-SRC-021	ARTICLE	true	true	mobile object	A chest of drawers is treated as a culturally mobile object constituted through mediation and changing settings.	abstract; p.245	MOVED_ENTITY_ROLE	design object	successive cultural settings	carrier;mediation;reception;iteration	ITINERARY_WITHOUT_TRANSITIVITY	object biography and reception changes required	none	The noun identifies a role, not a universal relation.	false	true	true	PASS_BOUNDED	PASS_WITH_RECORDED_LIMITS
COMP-EVID-023	GAP-004	R13-SPLIT-006	COMP-SRC-022	ARTICLE	true	false	mobile object	A Peruvian painting's movement, violence, reception, and material change are traced as an object life cycle.	abstract; p.191; conclusion	MOVED_ENTITY_ROLE	commissioned painting	unintended receiving settings	warfare;ships;owners;prints;audiences	ITINERARY_WITHOUT_TRANSITIVITY	specific causes, routes, carriers, and receptions	none	Mobility does not erase colonial violence or infer an abstract route.	false	true	true	PASS_BOUNDED	PASS_WITH_RECORDED_LIMITS
COMP-EVID-024	GAP-005	R13-SPLIT-007	COMP-SRC-023	ARTICLE	true	true	design diplomacy	A Soviet exposition case uses design diplomacy as a lens for international persuasion, negotiation, and compromise.	abstract; p.123	DIPLOMATIC_MECHANISM	state exhibition organizers and designers	foreign publics and diplomatic counterparts	pavilion;graphic media;tradecraft;audience reception	INTENTIONAL_OUTWARD_WITH_NEGOTIATION_AND_CONTEXTUAL_RECEPTION	documented diplomatic intent, negotiating counterparts, and contingent receiving context	none	The source calls it a metaphor; reciprocity belongs to negotiation, not assumed audience reception.	false	true	true	PASS_BOUNDED	PASS_WITH_RECORDED_LIMITS
COMP-EVID-025	GAP-005	R13-SPLIT-007	COMP-SRC-024	ARTICLE	true	true	design diplomacy	A Polish exhibition case distinguishes design culture as diplomatic subject from designers participating in state action.	Design Diplomacy section p.175	DIPLOMATIC_MECHANISM	state institutions and exhibition makers	international audience	graphic design;facilities;policy experts	INTENTIONAL_OUTWARD	Cold War international exhibition	none	Application cites the prior genealogy; intellectual dependence is recorded.	false	true	true	PASS_BOUNDED	PASS_WITH_RECORDED_LIMITS
COMP-EVID-026	GAP-005	R13-SPLIT-007	COMP-SRC-025	ARTICLE	true	true	design diplomacy	A Swedish exposition combines propaganda, goodwill, trade, and national representation through designed display.	p.282	DIPLOMATIC_MECHANISM	state and exhibition intermediaries	Australian public and commercial counterparts	exposition;goods;media;retail venue	INTENTIONAL_OUTWARD_WITH_RECEPTION	Sweden in Sydney, 1954; application shares the design-diplomacy genealogy	none	Diplomatic intent does not prove audience acceptance.	true	true	true	PASS_BOUNDED	PASS_WITH_RECORDED_LIMITS
COMP-EVID-027	GAP-006	R13-ANNOT-001	COMP-SRC-026	ARTICLE	true	true	coloniality;modernity/coloniality	Coloniality describes a continuing structure conditioning textile appropriation, classification, and modernist display.	Colonized textiles section, pp.41–42	STRUCTURAL_CONDITION	imperial socioeconomic structures	Amazigh rugs and modernist interiors	markets;exhibitions;consumers;knowledge categories	STRUCTURAL_NON_EDGE	Morocco–Finland interwar case and named mechanisms	none	A bounded structure is not an edge connecting arbitrary concepts.	false	true	true	PASS_BOUNDED	PASS_WITH_RECORDED_LIMITS
COMP-EVID-028	GAP-006	R13-ANNOT-001	COMP-SRC-027	ARTICLE	true	true	coloniality of architecture	An architectural history traces long-lived power arrangements after formal colonial rule across buildings and institutions.	abstract; conclusion p.593	STRUCTURAL_ANNOTATION	historically constituted institutions and regimes	named architecture and urban setting	government;memorialization;aesthetics;period	STRUCTURAL_NON_EDGE	Italian Fascist architecture and FAO/Piazza case	none	Case-specific nominal use cannot become universal normalization.	false	true	true	PASS_BOUNDED	PASS_WITH_RECORDED_LIMITS
COMP-EVID-029	GAP-006	R13-ANNOT-001	COMP-SRC-028	ARTICLE	true	false	coloniality	Adversarial scholarship requires slow, context-specific analysis rather than a uniform unitary system.	abstract; pp.216–217	ADVERSARIAL_QUALIFICATION	dispersed racialized practices	specific political, economic, and epistemic sites	methodology;knowledge;affected communities	STRUCTURAL_NON_EDGE	empirical site and practice required	none	Uniform coloniality risks homogenizing subalternized knowledge.	false	true	true	PASS_BOUNDED	PASS_WITH_RECORDED_LIMITS
