row_kind	row_id	field	taxonomy_class	meaning	applicability	is_generic_missing	governance_state	state_counts_json	uncertainty_counts_json	qualifier_counts_json	diagnostic_presence_count	diagnostic_absence_count	missing_count	state_a	state_b	object_count	eligible_denominator	support_rate	interpretation	input_source	derivation_version	signal_status
FIELD_MATRIX	FIELD:creator	creator					PUBLIC_ROOT_METADATA_ANALYSIS_ONLY	{"OBSERVED":5806,"QUALIFIED_UNKNOWN_SOURCE_VALUE":162,"UNKNOWN_SOURCE_VALUE":2027}					0			7995	7995	1	FIELD_STATE_CENSUS	public Context selected-record metadata	trace-exploration-missingness-v1	SUPPORTING_SIGNAL
FIELD_MATRIX	FIELD:geography_mapping_state	geography_mapping_state					LEVEL_A_GOVERNED_DIRECT_FEATURE	{"aggregate_only":194,"mapped":7800,"unmapped":1}		{"MULTI_REGION":1,"QUALIFIED":467}						7995	7995	1	FIELD_STATE_CENSUS	governed Spacetime public projection	trace-exploration-missingness-v1	SUPPORTING_SIGNAL
FIELD_MATRIX	FIELD:medium	medium					LEVEL_A_GOVERNED_DIRECT_FEATURE	{"OBSERVED":7995}								7995	7995	1	FIELD_STATE_CENSUS	governed Context public projection	trace-exploration-missingness-v1	HIGH_POTENTIAL
FIELD_MATRIX	FIELD:movement_context	movement_context					LEVEL_A_GOVERNED_DIRECT_FEATURE	{"NO_PUBLISHED_MOVEMENT_CONTEXT":7885,"OBSERVED":110}								7995	7995	1	FIELD_STATE_CENSUS	governed Context public projection	trace-exploration-missingness-v1	SUPPORTING_SIGNAL
FIELD_MATRIX	FIELD:object_type	object_type					PUBLIC_ROOT_METADATA_ANALYSIS_ONLY	{"OBSERVED":7995}					0			7995	7995	1	FIELD_STATE_CENSUS	public Context selected-record metadata	trace-exploration-missingness-v1	SUPPORTING_SIGNAL
FIELD_MATRIX	FIELD:source	source					PUBLIC_ROOT_METADATA_ANALYSIS_ONLY	{"OBSERVED":7995}					0			7995	7995	1	FIELD_STATE_CENSUS	public Context selected-record metadata	trace-exploration-missingness-v1	SUPPORTING_SIGNAL
FIELD_MATRIX	FIELD:source_collection	source_collection					NOT_GOVERNED				7980	15	0			7995	7995	1	Internal source diagnostic only; absence is not public missingness.	immutable SQLite internal diagnostic	trace-exploration-missingness-v1	RESEARCH_ONLY
FIELD_MATRIX	FIELD:temporal_precision	temporal_precision					LEVEL_A_GOVERNED_DIRECT_FEATURE	{"approximate":305,"day":78,"month":27,"range":33,"year":7552}	{"APPROXIMATE":305,"RANGE":33,"UNKNOWN_SOURCE_VALUE":0}							7995	7995	1	FIELD_STATE_CENSUS	governed Spacetime public projection	trace-exploration-missingness-v1	SUPPORTING_SIGNAL
FIELD_MATRIX	FIELD:theme	theme					LEVEL_A_GOVERNED_DIRECT_FEATURE	{"OBSERVED":7995}								7995	7995	1	FIELD_STATE_CENSUS	governed Context public projection	trace-exploration-missingness-v1	HIGH_POTENTIAL
COOCCURRENCE	COOCCURRENCE:GEOGRAPHY:AGGREGATE_ONLY__CREATOR:UNKNOWN_SOURCE_VALUE													GEOGRAPHY:AGGREGATE_ONLY	CREATOR:UNKNOWN_SOURCE_VALUE	50	7995	0.00625390869293	OBSERVED_INTERSECTION_ONLY_NO_CAUSAL_INFERENCE	derived public missingness vectors	trace-exploration-missingness-v1	RESEARCH_ONLY
COOCCURRENCE	COOCCURRENCE:GEOGRAPHY:AGGREGATE_ONLY__GEOGRAPHY:QUALIFIED													GEOGRAPHY:AGGREGATE_ONLY	GEOGRAPHY:QUALIFIED	194	7995	0.0242651657286	OBSERVED_INTERSECTION_ONLY_NO_CAUSAL_INFERENCE	derived public missingness vectors	trace-exploration-missingness-v1	RESEARCH_ONLY
COOCCURRENCE	COOCCURRENCE:GEOGRAPHY:QUALIFIED__CREATOR:UNKNOWN_SOURCE_VALUE													GEOGRAPHY:QUALIFIED	CREATOR:UNKNOWN_SOURCE_VALUE	191	7995	0.023889931207	OBSERVED_INTERSECTION_ONLY_NO_CAUSAL_INFERENCE	derived public missingness vectors	trace-exploration-missingness-v1	RESEARCH_ONLY
COOCCURRENCE	COOCCURRENCE:GEOGRAPHY:UNMAPPED__CREATOR:UNKNOWN_SOURCE_VALUE													GEOGRAPHY:UNMAPPED	CREATOR:UNKNOWN_SOURCE_VALUE	1	7995	0.000125078173859	OBSERVED_INTERSECTION_ONLY_NO_CAUSAL_INFERENCE	derived public missingness vectors	trace-exploration-missingness-v1	RESEARCH_ONLY
COOCCURRENCE	COOCCURRENCE:GEOGRAPHY:UNMAPPED__GEOGRAPHY:QUALIFIED													GEOGRAPHY:UNMAPPED	GEOGRAPHY:QUALIFIED	1	7995	0.000125078173859	OBSERVED_INTERSECTION_ONLY_NO_CAUSAL_INFERENCE	derived public missingness vectors	trace-exploration-missingness-v1	RESEARCH_ONLY
COOCCURRENCE	COOCCURRENCE:MOVEMENT_CONTEXT:NO_PUBLISHED_MOVEMENT_CONTEXT__CREATOR:QUALIFIED_UNKNOWN_SOURCE_VALUE													MOVEMENT_CONTEXT:NO_PUBLISHED_MOVEMENT_CONTEXT	CREATOR:QUALIFIED_UNKNOWN_SOURCE_VALUE	162	7995	0.0202626641651	OBSERVED_INTERSECTION_ONLY_NO_CAUSAL_INFERENCE	derived public missingness vectors	trace-exploration-missingness-v1	RESEARCH_ONLY
COOCCURRENCE	COOCCURRENCE:MOVEMENT_CONTEXT:NO_PUBLISHED_MOVEMENT_CONTEXT__CREATOR:UNKNOWN_SOURCE_VALUE													MOVEMENT_CONTEXT:NO_PUBLISHED_MOVEMENT_CONTEXT	CREATOR:UNKNOWN_SOURCE_VALUE	2014	7995	0.251907442151	OBSERVED_INTERSECTION_ONLY_NO_CAUSAL_INFERENCE	derived public missingness vectors	trace-exploration-missingness-v1	RESEARCH_ONLY
COOCCURRENCE	COOCCURRENCE:MOVEMENT_CONTEXT:NO_PUBLISHED_MOVEMENT_CONTEXT__GEOGRAPHY:AGGREGATE_ONLY													MOVEMENT_CONTEXT:NO_PUBLISHED_MOVEMENT_CONTEXT	GEOGRAPHY:AGGREGATE_ONLY	175	7995	0.0218886804253	OBSERVED_INTERSECTION_ONLY_NO_CAUSAL_INFERENCE	derived public missingness vectors	trace-exploration-missingness-v1	RESEARCH_ONLY
COOCCURRENCE	COOCCURRENCE:MOVEMENT_CONTEXT:NO_PUBLISHED_MOVEMENT_CONTEXT__GEOGRAPHY:MULTI_REGION													MOVEMENT_CONTEXT:NO_PUBLISHED_MOVEMENT_CONTEXT	GEOGRAPHY:MULTI_REGION	1	7995	0.000125078173859	OBSERVED_INTERSECTION_ONLY_NO_CAUSAL_INFERENCE	derived public missingness vectors	trace-exploration-missingness-v1	RESEARCH_ONLY
COOCCURRENCE	COOCCURRENCE:MOVEMENT_CONTEXT:NO_PUBLISHED_MOVEMENT_CONTEXT__GEOGRAPHY:QUALIFIED													MOVEMENT_CONTEXT:NO_PUBLISHED_MOVEMENT_CONTEXT	GEOGRAPHY:QUALIFIED	417	7995	0.0521575984991	OBSERVED_INTERSECTION_ONLY_NO_CAUSAL_INFERENCE	derived public missingness vectors	trace-exploration-missingness-v1	RESEARCH_ONLY
COOCCURRENCE	COOCCURRENCE:MOVEMENT_CONTEXT:NO_PUBLISHED_MOVEMENT_CONTEXT__GEOGRAPHY:UNMAPPED													MOVEMENT_CONTEXT:NO_PUBLISHED_MOVEMENT_CONTEXT	GEOGRAPHY:UNMAPPED	1	7995	0.000125078173859	OBSERVED_INTERSECTION_ONLY_NO_CAUSAL_INFERENCE	derived public missingness vectors	trace-exploration-missingness-v1	RESEARCH_ONLY
COOCCURRENCE	COOCCURRENCE:MOVEMENT_CONTEXT:NO_PUBLISHED_MOVEMENT_CONTEXT__TEMPORAL:APPROXIMATE													MOVEMENT_CONTEXT:NO_PUBLISHED_MOVEMENT_CONTEXT	TEMPORAL:APPROXIMATE	301	7995	0.0376485303315	OBSERVED_INTERSECTION_ONLY_NO_CAUSAL_INFERENCE	derived public missingness vectors	trace-exploration-missingness-v1	RESEARCH_ONLY
COOCCURRENCE	COOCCURRENCE:MOVEMENT_CONTEXT:NO_PUBLISHED_MOVEMENT_CONTEXT__TEMPORAL:RANGE													MOVEMENT_CONTEXT:NO_PUBLISHED_MOVEMENT_CONTEXT	TEMPORAL:RANGE	33	7995	0.00412757973734	OBSERVED_INTERSECTION_ONLY_NO_CAUSAL_INFERENCE	derived public missingness vectors	trace-exploration-missingness-v1	RESEARCH_ONLY
COOCCURRENCE	COOCCURRENCE:TEMPORAL:APPROXIMATE__CREATOR:QUALIFIED_UNKNOWN_SOURCE_VALUE													TEMPORAL:APPROXIMATE	CREATOR:QUALIFIED_UNKNOWN_SOURCE_VALUE	26	7995	0.00325203252033	OBSERVED_INTERSECTION_ONLY_NO_CAUSAL_INFERENCE	derived public missingness vectors	trace-exploration-missingness-v1	RESEARCH_ONLY
COOCCURRENCE	COOCCURRENCE:TEMPORAL:APPROXIMATE__CREATOR:UNKNOWN_SOURCE_VALUE													TEMPORAL:APPROXIMATE	CREATOR:UNKNOWN_SOURCE_VALUE	57	7995	0.00712945590994	OBSERVED_INTERSECTION_ONLY_NO_CAUSAL_INFERENCE	derived public missingness vectors	trace-exploration-missingness-v1	RESEARCH_ONLY
COOCCURRENCE	COOCCURRENCE:TEMPORAL:APPROXIMATE__GEOGRAPHY:QUALIFIED													TEMPORAL:APPROXIMATE	GEOGRAPHY:QUALIFIED	5	7995	0.000625390869293	OBSERVED_INTERSECTION_ONLY_NO_CAUSAL_INFERENCE	derived public missingness vectors	trace-exploration-missingness-v1	RESEARCH_ONLY
COOCCURRENCE	COOCCURRENCE:TEMPORAL:RANGE__CREATOR:QUALIFIED_UNKNOWN_SOURCE_VALUE													TEMPORAL:RANGE	CREATOR:QUALIFIED_UNKNOWN_SOURCE_VALUE	1	7995	0.000125078173859	OBSERVED_INTERSECTION_ONLY_NO_CAUSAL_INFERENCE	derived public missingness vectors	trace-exploration-missingness-v1	RESEARCH_ONLY
COOCCURRENCE	COOCCURRENCE:TEMPORAL:RANGE__CREATOR:UNKNOWN_SOURCE_VALUE													TEMPORAL:RANGE	CREATOR:UNKNOWN_SOURCE_VALUE	5	7995	0.000625390869293	OBSERVED_INTERSECTION_ONLY_NO_CAUSAL_INFERENCE	derived public missingness vectors	trace-exploration-missingness-v1	RESEARCH_ONLY
COOCCURRENCE	COOCCURRENCE:TEMPORAL:RANGE__GEOGRAPHY:MULTI_REGION													TEMPORAL:RANGE	GEOGRAPHY:MULTI_REGION	1	7995	0.000125078173859	OBSERVED_INTERSECTION_ONLY_NO_CAUSAL_INFERENCE	derived public missingness vectors	trace-exploration-missingness-v1	RESEARCH_ONLY
