signal_id	family	signal_name	description	input_source	input_governance_state	direct_or_derived	derivation_level	coverage	cardinality	missing_rate	numerator_definition	denominator_definition	derivation_method	derivation_version	deterministic	explainable	public_safe	held_risk	pairwise_or_object_level	expected_fanout	computational_cost	materialization_risk	historical_relation	semantic_relation	known_failure_modes	status
SIG-CURATORIAL-FANOUT	CURATORIAL_STRUCTURE	Co-membership fanout thresholds	Per-object count of public neighbors sharing at least one, two, or three containers.	Curatorial aggregate analysis	INTERNAL_AGGREGATE_DERIVED	DERIVED	LEVEL_B_DETERMINISTIC_DERIVED_STATISTIC	{"denominator":7995,"numerator":7995,"rate":1.0,"state":"OBSERVED"}	{"count":7632,"denominator":7995,"unit":"bounded_integer_fanout_values"}	{"denominator":7995,"state":"ZERO_FANOUT_IS_OBSERVED_NOT_MISSING"}	Public objects with at least one co-membership neighbor.	All authoritative public objects.	Derive exact threshold fanout with container bitsets.	trace-exploration-round1-aggregate-v1	true	true	true	AGGREGATE_ONLY_SEPARATION_REQUIRED	OBJECT_LEVEL	VERY_HIGH_PAIRWISE	MEDIUM	HIGH	false	false	Large broad containers create pair explosion.	HIGH_POTENTIAL
SIG-CURATORIAL-HISTORICAL-RELATION	CURATORIAL_STRUCTURE	Historical relation from curation	Attempt to reinterpret project-curated overlap as historical relation.	Curatorial aggregate analysis	UNSUPPORTED_INFERENCE	DERIVED	LEVEL_C_COMPOUND_EXPLORATORY_SIGNAL	{"denominator":7995,"state":"UNSELECTED"}	{"denominator":7995,"state":"UNSELECTED"}	{"denominator":7995,"state":"UNSELECTED"}	Not computed because the candidate is unselected.	Authoritative public-object cohort, retained for provenance.	Explicitly prohibited by the Exploration boundary.	trace-exploration-round1-aggregate-v1	false	true	false	HIGH	PAIRWISE	UNSELECTED	NOT_EVALUATED	PROHIBITED	false	false	Curation cannot establish historical relation.	REJECT
SIG-CURATORIAL-JACCARD	CURATORIAL_STRUCTURE	Curated-set Jaccard diagnostic	Descriptive Jaccard of curated-container sets.	Curatorial aggregate analysis	INTERNAL_AGGREGATE_DERIVED	DERIVED	LEVEL_B_DETERMINISTIC_DERIVED_STATISTIC	{"denominator":31956015,"numerator":28008976,"rate":0.8764852563750518,"state":"OBSERVED"}	{"count":13,"denominator":31956015,"unit":"observed_jaccard_values"}	{"denominator":31956015,"state":"NO_SHARED_CONTAINER_NOT_GENERIC_MISSINGNESS"}	Possible public-object pairs sharing at least one curated container.	All unordered pairs in the authoritative public cohort.	Divide shared-container count by set-union size.	trace-exploration-round1-aggregate-v1	true	true	true	AGGREGATE_ONLY_SEPARATION_REQUIRED	PAIRWISE	VERY_HIGH_PAIRWISE	MEDIUM	HIGH	false	false	Jaccard is a benchmark diagnostic, not the selected similarity metric.	RESEARCH_ONLY
SIG-CURATORIAL-MEMBERSHIP	CURATORIAL_STRUCTURE	Curated-container membership	Analysis-only project-curated membership substrate.	Curatorial aggregate analysis	INTERNAL_AGGREGATE_ANALYSIS_ONLY	DERIVED	LEVEL_B_DETERMINISTIC_DERIVED_STATISTIC	{"denominator":7995,"numerator":7995,"rate":1.0,"state":"OBSERVED"}	{"count":118,"denominator":7995,"unit":"nonempty_public_curated_containers"}	{"denominator":7995,"numerator":0,"rate":0.0,"state":"OBSERVED"}	Public objects with at least one curated-container membership.	All authoritative public objects.	Reconcile public membership aggregates against the authoritative ledger.	trace-exploration-round1-aggregate-v1	true	true	true	AGGREGATE_ONLY_SEPARATION_REQUIRED	OBJECT_LEVEL	BOUNDED_MULTI_VALUE	LOW	LOW	false	false	Raw container identities are unsafe and curation is not history.	RESEARCH_ONLY
SIG-CURATORIAL-MEMBERSHIP-COUNT	CURATORIAL_STRUCTURE	Membership count per object	Number of curated containers assigned to a public object.	Curatorial aggregate analysis	INTERNAL_AGGREGATE_DERIVED	DERIVED	LEVEL_B_DETERMINISTIC_DERIVED_STATISTIC	{"denominator":7995,"numerator":7995,"rate":1.0,"state":"OBSERVED"}	{"count":3,"denominator":7995,"unit":"bounded_integer_membership_counts"}	{"denominator":7995,"numerator":0,"rate":0.0,"state":"OBSERVED"}	Public objects with a computed curated-membership count.	All authoritative public objects.	Count unique public container memberships per object.	trace-exploration-round1-aggregate-v1	true	true	true	NONE_PUBLIC_COHORT_ONLY	OBJECT_LEVEL	ONE_VALUE_PER_OBJECT	LOW	LOW	false	false	More memberships can reflect cataloguing density, not importance.	HIGH_POTENTIAL
SIG-CURATORIAL-SHARED-COUNT	CURATORIAL_STRUCTURE	Shared-container count	Exact number of curated containers shared by a public-object pair.	Curatorial aggregate analysis	INTERNAL_AGGREGATE_DERIVED	DERIVED	LEVEL_B_DETERMINISTIC_DERIVED_STATISTIC	{"denominator":31956015,"numerator":28008976,"rate":0.8764852563750518,"state":"OBSERVED"}	{"count":5,"denominator":31956015,"unit":"observed_shared_count_values"}	{"denominator":31956015,"state":"NO_SHARED_CONTAINER_NOT_GENERIC_MISSINGNESS"}	Possible public-object pairs sharing at least one curated container.	All unordered pairs in the authoritative public cohort.	Use inverted membership bitsets and exact shared-count thresholds.	trace-exploration-round1-aggregate-v1	true	true	true	AGGREGATE_ONLY_SEPARATION_REQUIRED	PAIRWISE	VERY_HIGH_PAIRWISE	MEDIUM	HIGH	false	false	Shared curation is structural overlap, not historical relation.	HIGH_POTENTIAL
SIG-CURATORIAL-SUPPORT	CURATORIAL_STRUCTURE	Curated-container support concentration	Distributional concentration of unique public-object container memberships.	Cross-dimensional aggregate analysis	ANALYSIS_ONLY_CURATORIAL_DERIVED	DERIVED	LEVEL_B_DETERMINISTIC_DERIVED_STATISTIC	{"assignmentCount":24102,"assignmentDenominator":24102,"denominator":7995,"dimensionConcentrationReceiptSha256":"fd1e80f99bb435a493de3a3fd53736a1a1416ecb38fc9d4f466b57743f5dd066","membershipPolicy":"UNIQUE_PER_OBJECT_VALUE_MEMBERSHIP","numerator":7995,"rate":1.0,"state":"OBSERVED"}	{"count":118,"denominator":24102,"diagnosticStatus":"ANALYSIS_DIAGNOSTIC_NOT_A_RELATION","dimensionConcentrationReceiptSha256":"fd1e80f99bb435a493de3a3fd53736a1a1416ecb38fc9d4f466b57743f5dd066","governanceState":"ANALYSIS_ONLY_CURATORIAL_DERIVED","hhi":0.15115428130139877,"normalizedEntropy":0.5292154358685331,"shannonEntropyNats":2.524719942927906,"shareDenominator":24102,"top1AssignmentCount":7105,"top1Share":0.29478881420628994,"top5AssignmentCount":18379,"top5Share":0.7625508256576218,"unit":"observed_distinct_values_per_unique_assignment_denominator"}	{"denominator":7995,"dimensionConcentrationReceiptSha256":"fd1e80f99bb435a493de3a3fd53736a1a1416ecb38fc9d4f466b57743f5dd066","numerator":0,"rate":0.0,"state":"OBSERVED"}	Public objects with at least one unique curated_container assignment.	Coverage and missingness use all authoritative public objects; concentration shares use 24102 unique object-value assignments.	Compute deterministic top-k, HHI, and entropy over unique per-object memberships.	trace-exploration-round1-aggregate-v1	true	true	true	AGGREGATE_ONLY_SEPARATION_REQUIRED	AGGREGATE	ONE_CORPUS_SUMMARY	LOW	LOW	false	false	Concentration can reflect broad project curation, not historical importance.	HIGH_POTENTIAL
SIG-DESCRIPTIVE-CREATOR	DESCRIPTIVE_METADATA	Creator attribution	Normalized public creator attribution for analysis only.	Normalized public descriptive metadata	PUBLIC_METADATA_ANALYSIS_ONLY	DERIVED	LEVEL_B_DETERMINISTIC_DERIVED_STATISTIC	{"denominator":7995,"numerator":7995,"rate":1.0,"state":"OBSERVED"}	{"count":2984,"denominator":7995,"unit":"observed_distinct_values"}	{"denominator":7995,"numerator":0,"rate":0.0,"state":"OBSERVED"}	Public objects with at least one observed creator value.	All authoritative public objects.	Normalize and hash public creator attribution for analysis-only identity.	trace-exploration-round1-aggregate-v1	true	true	true	NONE_PUBLIC_COHORT_ONLY	OBJECT_LEVEL	ONE_VALUE_PER_OBJECT	LOW	LOW	false	false	High cardinality and explicit unknown states complicate comparison.	RESEARCH_ONLY
SIG-DESCRIPTIVE-CREATOR-INTENT	DESCRIPTIVE_METADATA	Creator-intent inference	Attempt to infer creator intent from descriptive co-occurrence.	Normalized public descriptive metadata	UNSUPPORTED_INFERENCE	DERIVED	LEVEL_C_COMPOUND_EXPLORATORY_SIGNAL	{"denominator":7995,"state":"UNSELECTED"}	{"denominator":7995,"state":"UNSELECTED"}	{"denominator":7995,"state":"UNSELECTED"}	Not computed because the candidate is unselected.	Authoritative public-object cohort, retained for provenance.	No derivation permitted from current evidence.	trace-exploration-round1-aggregate-v1	false	true	false	NONE_PUBLIC_COHORT_ONLY	OBJECT_LEVEL	UNSELECTED	NOT_EVALUATED	PROHIBITED	false	false	Descriptive metadata cannot establish intent.	REJECT
SIG-DESCRIPTIVE-CREATOR-MEDIUM	DESCRIPTIVE_METADATA	Creator-medium intersection	Observed public cells across creator attribution and governed medium.	Cross-dimensional aggregate analysis	MIXED_PUBLIC_METADATA_GOVERNED_DERIVED	DERIVED	LEVEL_B_DETERMINISTIC_DERIVED_STATISTIC	{"denominator":7995,"numerator":7995,"rate":1.0,"state":"OBSERVED"}	{"count":3039,"denominator":7995,"unit":"observed_positive_cells"}	{"denominator":7995,"numerator":0,"rate":0.0,"state":"OBSERVED"}	Public objects jointly observable for the selected dimensions.	All authoritative public objects.	Count observed creator-medium cells with no zero-cell expansion.	trace-exploration-round1-aggregate-v1	true	true	true	NONE_PUBLIC_COHORT_ONLY	AGGREGATE_CELL	HIGH_CARDINALITY_OBSERVED_CELLS	MEDIUM	MEDIUM	false	false	High cardinality and unknown attribution can dominate the tail.	RESEARCH_ONLY
SIG-DESCRIPTIVE-OBJECT-TYPE	DESCRIPTIVE_METADATA	Object type	Normalized public object type for descriptive analysis.	Normalized public descriptive metadata	PUBLIC_METADATA_ANALYSIS_ONLY	DERIVED	LEVEL_B_DETERMINISTIC_DERIVED_STATISTIC	{"denominator":7995,"numerator":7995,"rate":1.0,"state":"OBSERVED"}	{"count":89,"denominator":7995,"unit":"observed_distinct_values"}	{"denominator":7995,"numerator":0,"rate":0.0,"state":"OBSERVED"}	Public objects with at least one observed object_type value.	All authoritative public objects.	Normalize and hash public object type for analysis-only identity.	trace-exploration-round1-aggregate-v1	true	true	true	NONE_PUBLIC_COHORT_ONLY	OBJECT_LEVEL	ONE_VALUE_PER_OBJECT	LOW	LOW	false	false	Object-type granularity can vary by source.	SUPPORTING_SIGNAL
SIG-DESCRIPTIVE-OBJECT-TYPE-MEDIUM	DESCRIPTIVE_METADATA	Object-type-medium intersection	Observed public cells across object type and medium.	Cross-dimensional aggregate analysis	MIXED_PUBLIC_METADATA_GOVERNED_DERIVED	DERIVED	LEVEL_B_DETERMINISTIC_DERIVED_STATISTIC	{"denominator":7995,"numerator":7995,"rate":1.0,"state":"OBSERVED"}	{"count":114,"denominator":7995,"unit":"observed_positive_cells"}	{"denominator":7995,"numerator":0,"rate":0.0,"state":"OBSERVED"}	Public objects jointly observable for the selected dimensions.	All authoritative public objects.	Count observed object-type-medium cells.	trace-exploration-round1-aggregate-v1	true	true	true	NONE_PUBLIC_COHORT_ONLY	AGGREGATE_CELL	OBSERVED_CELLS_ONLY	LOW	LOW	false	false	Taxonomic conventions can create artificial intersections.	SUPPORTING_SIGNAL
SIG-DESCRIPTIVE-SAME-CREATOR	DESCRIPTIVE_METADATA	Same-creator overlap	Pairwise equality of normalized creator attribution.	Cross-dimensional aggregate analysis	PUBLIC_METADATA_DERIVED	DERIVED	LEVEL_B_DETERMINISTIC_DERIVED_STATISTIC	{"denominator":7995,"numerator":7995,"rate":1.0,"state":"OBSERVED"}	{"count":2984,"denominator":7995,"unit":"observed_distinct_values"}	{"denominator":7995,"numerator":0,"rate":0.0,"state":"OBSERVED"}	Public objects with at least one observed creator value.	All authoritative public objects.	Compare normalized creator identifiers for equality.	trace-exploration-round1-aggregate-v1	true	true	true	NONE_PUBLIC_COHORT_ONLY	PAIRWISE	HIGH_CARDINALITY_PAIRWISE	MEDIUM	HIGH	false	false	Unknown and role-qualified attribution must not collapse together.	RESEARCH_ONLY
SIG-FREQUENCY-ONE-DIMENSION	FREQUENCY_INTERSECTION_CONCENTRATION	One-dimensional frequency	Observed value counts and support rates for usable dimensions.	Cross-dimensional aggregate analysis	MIXED_GOVERNED_CLASSIFIED_DERIVED	DERIVED	LEVEL_B_DETERMINISTIC_DERIVED_STATISTIC	{"denominator":7995,"numerator":7995,"rate":1.0,"state":"OBSERVED"}	{"count":3364,"denominator":7995,"unit":"observed_one_dimensional_value_rows"}	{"denominator":7995,"state":"DIMENSION_SPECIFIC_MISSINGNESS_RETAINED_SEPARATELY"}	Public cohort evaluated by the frequency registry.	All authoritative public objects.	Count unique public-object membership per observed value.	trace-exploration-round1-aggregate-v1	true	true	true	NONE_PUBLIC_COHORT_ONLY	AGGREGATE_CELL	ONE_ROW_PER_OBSERVED_VALUE	LOW	LOW	false	false	Frequency does not measure importance or quality.	HIGH_POTENTIAL
SIG-FREQUENCY-RARITY-BAND	FREQUENCY_INTERSECTION_CONCENTRATION	Observed rarity band	Frozen descriptive count bands over observed cells.	Cross-dimensional aggregate analysis	MIXED_GOVERNED_CLASSIFIED_DERIVED	DERIVED	LEVEL_B_DETERMINISTIC_DERIVED_STATISTIC	{"denominator":7995,"numerator":7995,"rate":1.0,"state":"OBSERVED"}	{"count":5,"denominator":7995,"unit":"observed_rarity_bands"}	{"denominator":7995,"state":"DIMENSION_SPECIFIC_MISSINGNESS_RETAINED_SEPARATELY"}	Public cohort evaluated by the frequency registry.	All authoritative public objects.	Assign deterministic bands from observed positive counts.	trace-exploration-round1-aggregate-v1	true	true	true	NONE_PUBLIC_COHORT_ONLY	AGGREGATE_CELL	ONE_BAND_PER_OBSERVED_CELL	LOW	LOW	false	false	Rare does not imply important or historically exceptional.	SUPPORTING_SIGNAL
SIG-GEOGRAPHY-ASSIGNMENT	GOVERNED_GEOGRAPHY	Governed geography	Governed geographic assignments for public objects.	Governed Spacetime public projection	PUBLIC_GOVERNED	DIRECT	LEVEL_A_GOVERNED_DIRECT_FEATURE	{"denominator":7995,"numerator":7995,"rate":1.0,"state":"OBSERVED"}	{"count":93,"denominator":7995,"unit":"observed_distinct_values"}	{"denominator":7995,"numerator":0,"rate":0.0,"state":"OBSERVED"}	Public objects with at least one observed geography value.	All authoritative public objects.	Read governed Spacetime geography identifiers.	trace-v49-normalized-public-direct-v1	true	true	true	NONE_PUBLIC_COHORT_ONLY	OBJECT_LEVEL	BOUNDED_MULTI_VALUE	LOW	LOW	false	false	Geography can describe several scopes, not a single point.	HIGH_POTENTIAL
SIG-GEOGRAPHY-CLASS	GOVERNED_GEOGRAPHY	Geography class	Governed class of geographic assignment.	Governed Spacetime public projection	PUBLIC_GOVERNED	DIRECT	LEVEL_A_GOVERNED_DIRECT_FEATURE	{"denominator":7995,"numerator":7995,"rate":1.0,"state":"OBSERVED"}	{"count":5,"denominator":7995,"unit":"observed_distinct_values"}	{"denominator":7995,"numerator":0,"rate":0.0,"state":"OBSERVED"}	Public objects with at least one observed geography_class value.	All authoritative public objects.	Read governed geography class.	trace-v49-normalized-public-direct-v1	true	true	true	NONE_PUBLIC_COHORT_ONLY	OBJECT_LEVEL	ONE_VALUE_PER_OBJECT	LOW	LOW	false	false	Class overlap is coarser than geographic identity.	SUPPORTING_SIGNAL
SIG-GEOGRAPHY-CONCENTRATION	GOVERNED_GEOGRAPHY	Geographic concentration	Distributional concentration across governed geography values.	Cross-dimensional aggregate analysis	PUBLIC_GOVERNED_DERIVED	DERIVED	LEVEL_B_DETERMINISTIC_DERIVED_STATISTIC	{"assignmentCount":7996,"assignmentDenominator":7996,"denominator":7995,"dimensionConcentrationReceiptSha256":"3f8ec2f5a6033d751b0a10ffee89571091631639009c78f7fcfe0b6256167f76","membershipPolicy":"UNIQUE_PER_OBJECT_VALUE_MEMBERSHIP","numerator":7995,"rate":1.0,"state":"OBSERVED"}	{"count":93,"denominator":7996,"diagnosticStatus":"ANALYSIS_DIAGNOSTIC_NOT_A_RELATION","dimensionConcentrationReceiptSha256":"3f8ec2f5a6033d751b0a10ffee89571091631639009c78f7fcfe0b6256167f76","governanceState":"PUBLIC_GOVERNED_DERIVED","hhi":0.19532871738520585,"normalizedEntropy":0.5576924624955911,"shannonEntropyNats":2.5277965728429077,"shareDenominator":7996,"top1AssignmentCount":3214,"top1Share":0.4019509754877439,"top5AssignmentCount":5609,"top5Share":0.7014757378689345,"unit":"observed_distinct_values_per_unique_assignment_denominator"}	{"denominator":7995,"dimensionConcentrationReceiptSha256":"3f8ec2f5a6033d751b0a10ffee89571091631639009c78f7fcfe0b6256167f76","numerator":0,"rate":0.0,"state":"OBSERVED"}	Public objects with at least one unique geography assignment.	Coverage and missingness use all authoritative public objects; concentration shares use 7996 unique object-value assignments.	Compute aggregate concentration diagnostics from observed counts.	trace-exploration-round1-aggregate-v1	true	true	true	NONE_PUBLIC_COHORT_ONLY	AGGREGATE	ONE_CORPUS_SUMMARY	LOW	LOW	false	false	Archive density is not historical representativeness.	RESEARCH_ONLY
SIG-GEOGRAPHY-DISTANCE	GOVERNED_GEOGRAPHY	Geographic distance	Candidate distance or hierarchy proximity between governed geographies.	Governed Spacetime public projection	UNSELECTED_MODEL	DERIVED	LEVEL_C_COMPOUND_EXPLORATORY_SIGNAL	{"denominator":7995,"state":"UNSELECTED"}	{"denominator":7995,"state":"UNSELECTED"}	{"denominator":7995,"state":"UNSELECTED"}	Not computed because the candidate is unselected.	Authoritative public-object cohort, retained for provenance.	No governed adjacency, hierarchy-distance, or distance policy selected.	trace-exploration-round1-aggregate-v1	true	true	false	NONE_PUBLIC_COHORT_ONLY	PAIRWISE	UNSELECTED	NOT_EVALUATED	HIGH	false	false	Map coordinates or centroid distance can be misread as historical proximity.	DEFER
SIG-GEOGRAPHY-MAPPING-STATE	GOVERNED_GEOGRAPHY	Geography mapping state	Mapped, aggregate-only, or unmapped governed state.	Governed Spacetime public projection	PUBLIC_GOVERNED	DIRECT	LEVEL_A_GOVERNED_DIRECT_FEATURE	{"denominator":7995,"numerator":7995,"rate":1.0,"state":"OBSERVED"}	{"count":3,"denominator":7995,"unit":"observed_distinct_values"}	{"denominator":7995,"numerator":0,"rate":0.0,"state":"OBSERVED"}	Public objects with at least one observed geography_mapping_state value.	All authoritative public objects.	Read governed mapping state.	trace-v49-normalized-public-direct-v1	true	true	true	NONE_PUBLIC_COHORT_ONLY	OBJECT_LEVEL	ONE_VALUE_PER_OBJECT	LOW	LOW	false	false	Unmapped does not mean geographically absent.	SUPPORTING_SIGNAL
SIG-GEOGRAPHY-MULTI-REGION	GOVERNED_GEOGRAPHY	Multi-region incidence	Deterministic flag for more than one governed geography assignment.	Missingness and uncertainty aggregate analysis	PUBLIC_GOVERNED_DERIVED	DERIVED	LEVEL_B_DETERMINISTIC_DERIVED_STATISTIC	{"denominator":7995,"numerator":7995,"rate":1.0,"state":"OBSERVED"}	{"count":2,"denominator":7995,"unit":"boolean_states"}	{"denominator":7995,"numerator":0,"rate":0.0,"state":"EXPLICIT_FLAG_NOT_GENERIC_MISSINGNESS"}	All public objects evaluated for GEOGRAPHY:MULTI_REGION; observed incidence is 1 of 7995.	All authoritative public objects.	Test governed geography assignment count greater than one.	trace-exploration-round1-aggregate-v1	true	true	true	NONE_PUBLIC_COHORT_ONLY	OBJECT_LEVEL	ONE_VALUE_PER_OBJECT	LOW	LOW	false	false	Multiple assignments do not imply travel, exchange, or influence.	SUPPORTING_SIGNAL
