tree_key	validation_kind	association_id	result	failure_count
R16-COMP-THEME-01|TRV:83a2bff84b1d599d9eed884a09666501c96224a0b3b7457699ef0be145e76e73	DIRECT	R14-ASSOC-005	PASS	0
R16-COMP-THEME-01|TRV:83a2bff84b1d599d9eed884a09666501c96224a0b3b7457699ef0be145e76e73	DIRECT	R14-ASSOC-008	PASS	0
R16-COMP-THEME-01|TRV:83a2bff84b1d599d9eed884a09666501c96224a0b3b7457699ef0be145e76e73	SKIP_ONE	R14-ASSOC-006	PASS	0
R16-COMP-THEME-01|TRV:c82d3d4865e41e2a263ff0427c4df2b8e3e43a85c835404d033d764468b3ba55	DIRECT	R14-ASSOC-006	PASS	0
R16-COMP-THEME-01|TRV:c82d3d4865e41e2a263ff0427c4df2b8e3e43a85c835404d033d764468b3ba55	DIRECT	R14-ASSOC-008	PASS	0
R16-COMP-THEME-01|TRV:c82d3d4865e41e2a263ff0427c4df2b8e3e43a85c835404d033d764468b3ba55	SKIP_ONE	R14-ASSOC-005	PASS	0
R16-COMP-THEME-02|TRV:9e44dae2c5ca8dc916878b28f5ec3720e42ea22d2add139759780727e6f487ce	DIRECT	R14-ASSOC-003	PASS	0
R16-COMP-THEME-02|TRV:9e44dae2c5ca8dc916878b28f5ec3720e42ea22d2add139759780727e6f487ce	DIRECT	R14-ASSOC-002	PASS	0
R16-COMP-THEME-02|TRV:9e44dae2c5ca8dc916878b28f5ec3720e42ea22d2add139759780727e6f487ce	SKIP_ONE	R14-ASSOC-004	PASS	0
R16-COMP-THEME-02|TRV:ab8e18ef4ebebeddc0b3152ce9c9006e14fc05242e3fc9ce32246ea6a9543074	DIRECT	R14-ASSOC-004	PASS	0
R16-COMP-THEME-02|TRV:ab8e18ef4ebebeddc0b3152ce9c9006e14fc05242e3fc9ce32246ea6a9543074	DIRECT	R14-ASSOC-002	PASS	0
R16-COMP-THEME-02|TRV:ab8e18ef4ebebeddc0b3152ce9c9006e14fc05242e3fc9ce32246ea6a9543074	SKIP_ONE	R14-ASSOC-003	PASS	0
R16-COMP-THEME-02|TRV:ad8c6f6e417a6d2db992c155701ed13494624142922d58eda2e4ad0fa4672fa8	DIRECT	R14-ASSOC-003	PASS	0
R16-COMP-THEME-02|TRV:ad8c6f6e417a6d2db992c155701ed13494624142922d58eda2e4ad0fa4672fa8	DIRECT	R14-ASSOC-004	PASS	0
R16-COMP-THEME-02|TRV:ad8c6f6e417a6d2db992c155701ed13494624142922d58eda2e4ad0fa4672fa8	SKIP_ONE	R14-ASSOC-002	PASS	0
R16-COMP-THEME-03|TRV:12c360cc0c3231a45d5841e63ee7f3377be76ee0fa28c3f4dda803186cbbc829	DIRECT	R14-ASSOC-019	PASS	0
R16-COMP-THEME-03|TRV:d27a4a1080657098835b014b8f47529c5be746cb60b043fb2400fec1a6948185	DIRECT	R14-ASSOC-019	PASS	0
R16-COMP-MEDIUM-01|TRV:25f3aeb51f1cc784d9d0bcc166bd876f80678d5528c3e5db0e627a3991ab8fea	DIRECT	R14-ASSOC-018	PASS	0
R16-COMP-MEDIUM-01|TRV:48047b49b975ee8880742ea2544b30e8965f1675df787e9d832f8e0c2db87630	DIRECT	R14-ASSOC-018	PASS	0
R16-COMP-MEDIUM-02|TRV:c460d6a56db8d84e6ee3a5c96c4a72ce1170116cab3ad0659544494547ecae77	DIRECT	R14-ASSOC-017	PASS	0
R16-COMP-MEDIUM-02|TRV:f921321aaedb0bb53398796772f843dc4a5963edfba778ee3a6bd9f592e21795	DIRECT	R14-ASSOC-017	PASS	0
R16-COMP-MOVEMENT-01|TRV:355543f790a3b210ecf36c82a2738896d9574c17e963a63633febac1f2386737	DIRECT	R14-ASSOC-020	PASS	0
R16-COMP-MOVEMENT-01|TRV:68bf0109c6f8a87bfa96d1ecd9503326ba35cf4a6086988a1d2c8a20fbef00d1	DIRECT	R14-ASSOC-020	PASS	0
R16-COMP-MOVEMENT-02|TRV:54d55704f5d7e2caa927feedf94edf8b9dd2ebfafc4b0aa68875bcbcbabaaa79	DIRECT	R14-ASSOC-001	PASS	0
R16-COMP-MOVEMENT-02|TRV:b1195fbfc5f343ebd84eb46acece15907e639a564f04af5d04d58c70e127a14b	DIRECT	R14-ASSOC-001	PASS	0
R16-COMP-MOVEMENT-03|TRV:20f9f4ed48de5d0e333c767bae2d1a50022c17b7aa2d67b9a00007ee179e4a97	DIRECT	R14-ASSOC-021	PASS	0
R16-COMP-MOVEMENT-03|TRV:54d55704f5d7e2caa927feedf94edf8b9dd2ebfafc4b0aa68875bcbcbabaaa79	DIRECT	R14-ASSOC-021	PASS	0
