vocabulary_id	canonical_label	academic_source_id	title	stable_url	peer_reviewed	status
TRV:c460d6a56db8d84e6ee3a5c96c4a72ce1170116cab3ad0659544494547ecae77	piracy	COMP-SRC-007	From Calico to Catwalk: Addressing the UK's Enduring Issue of Fashion Piracy	https://academic.oup.com/jiplp/article/20/2/71/7916754	True	PASS
TRV:c460d6a56db8d84e6ee3a5c96c4a72ce1170116cab3ad0659544494547ecae77	piracy	COMP-SRC-008	Design Piracy: An Interdisciplinary Investigation into Competitive Industrial Behavior	https://www.sciencedirect.com/science/article/pii/S0148296323003041	True	PASS
TRV:ab8e18ef4ebebeddc0b3152ce9c9006e14fc05242e3fc9ce32246ea6a9543074	production	COMP-SRC-009	The Production–Consumption–Mediation Paradigm	https://doi.org/10.1093/jdh/epp031	True	PASS
TRV:ab8e18ef4ebebeddc0b3152ce9c9006e14fc05242e3fc9ce32246ea6a9543074	production	COMP-SRC-010	Digital Design History: State of the Field, Definitions and Possibilities	https://academic.oup.com/jdh/article/39/2/113/8537083	True	PASS
TRV:be33e16d8f585c08bb0efe6f0df92659a22d534298639f5318d2a2580546fdcc	production site	COMP-SRC-020	Reciprocal Landscapes: Material Portraits in New York City and Elsewhere	https://www.tandfonline.com/doi/abs/10.1080/18626033.2013.798922	True	PASS
TRV:b1195fbfc5f343ebd84eb46acece15907e639a564f04af5d04d58c70e127a14b	professionalization	COMP-SRC-001	Introduction: Professionalization as a Focus in Interior Design History	https://academic.oup.com/jdh/article/21/1/1/361205	True	PASS
TRV:b1195fbfc5f343ebd84eb46acece15907e639a564f04af5d04d58c70e127a14b	professionalization	COMP-SRC-002	The Professional Project of Graphic Designers and Universities' Visual Identities	https://munin.uit.no/handle/10037/22810	True	PASS
TRV:c82d3d4865e41e2a263ff0427c4df2b8e3e43a85c835404d033d764468b3ba55	propaganda	COMP-SRC-023	Cold War Cultural Transactions: Designing the USSR for the West at Brussels Expo '58	https://www.tandfonline.com/doi/abs/10.1080/17547075.2017.1333388	True	PASS
TRV:c82d3d4865e41e2a263ff0427c4df2b8e3e43a85c835404d033d764468b3ba55	propaganda	COMP-SRC-024	Socialist, Humanist and Well-Designed: The Polish Welfare State at the International Labour Exhibition in Turin, 1961	https://www.cambridge.org/core/journals/contemporary-european-history/article/socialist-humanist-and-welldesigned-the-polish-welfare-state-at-the-international-labour-exhibition-in-turin-1961/94D125A40C5B3B013872B9A949430909	True	PASS
TRV:c82d3d4865e41e2a263ff0427c4df2b8e3e43a85c835404d033d764468b3ba55	propaganda	COMP-SRC-025	A Fleeting Glimpse? 'Sweden's Shop Window in Sydney' – the Sweden at David Jones' Exposition of 1954	https://doi.org/10.1080/10331867.2023.2282294	True	PASS
TRV:fd793986cd6d45968d3c7103e778813542e6a9979a85e9cf512450307c9f7342	rejection	COMP-SRC-013	Architectural Contact Zones: Another Way to Write Global Histories of the Post-War Period?	https://www.tandfonline.com/doi/full/10.1080/13264826.2021.1939745	True	PASS
TRV:177025b0eec6e5e441b7f637224e31440c6cc60afd1d06ced1ad993d4ac8988c	supply chain	COMP-SRC-019	Introduction to Material Displacements	https://academic.oup.com/jdh/issue/34/3	True	PASS
TRV:177025b0eec6e5e441b7f637224e31440c6cc60afd1d06ced1ad993d4ac8988c	supply chain	COMP-SRC-020	Reciprocal Landscapes: Material Portraits in New York City and Elsewhere	https://www.tandfonline.com/doi/abs/10.1080/18626033.2013.798922	True	PASS
TRV:276446ba01e3aa387c83b06f54fccc5ac65bdc6099157a2a828716eac9c6fd4d	trade	COMP-SRC-025	A Fleeting Glimpse? 'Sweden's Shop Window in Sydney' – the Sweden at David Jones' Exposition of 1954	https://doi.org/10.1080/10331867.2023.2282294	True	PASS
TRV:48047b49b975ee8880742ea2544b30e8965f1675df787e9d832f8e0c2db87630	typography	R16-SRC-002	Typographic Histories: Three Decades of Research	https://doi.org/10.1093/jdh/epab030	True	PASS
