relative_path	sha256	byte_count
frontend/src/lib/trace/exploration-build-contract.ts	36f3318df4edecd41759264fc64b1a5ce8a4bdb6156c5b473fca2aa3934411de	10965
frontend/src/lib/trace/exploration-constraint-kernel.ts	be5e018a9e36fb85f9a932f01e344755b0bed6c6603dd4a8e9dfa1ae69203f06	10576
frontend/src/lib/trace/exploration-inquiry-adapter.ts	7ed3ec3bf3426673f6a837035590ed9e4b61429f6b78b8abc0228ffd4a407b02	15227
frontend/src/lib/trace/exploration-runtime-guard.ts	1275d900cda76afada23921f42dacf852fe4aa297d7003b31ccdd36e7723c555	10799
schemas/trace/exploration/inquiry-seed-v1.schema.json	568bf88957b29aa1238661eaf224f9a71842964836193d7da05862cb7975c1fe	1927
schemas/trace/exploration/inquiry-tree-v1.schema.json	55dc30ebf5f9c2a3f59cf767b0fb184de7c0d161ea24633aa77aa4b3fce54963	2591
schemas/trace/exploration/research-candidate-freeze-v1.schema.json	16dea21120256a681223da7842987c7e148b9f0f39f3d712628328efd85c29f2	3260
schemas/trace/exploration/research-inquiry-instance-v1.schema.json	d9f1d93abd15212116fb471ecf19527115252ae022e89c6652a20fb8534deb7a	6808
scripts/trace-v49-exploration-inquiry-engine/canonical.py	a59325f18b87fbc29440a3fe86f63551441123a64cb2e1e7119d219e9699d021	2186
scripts/trace-v49-exploration-inquiry-engine/coverage.py	30e831377bb17045fa012948f7bf6340b03d3e7340d8be3854585f99babc9279	7606
scripts/trace-v49-exploration-inquiry-engine/fixtures/cross-runtime-fixtures.json	bb38a1c8fe77b69ffb24fda0faa5c99925fe7a8f900a401c076147bd5dfa3a88	104026
scripts/trace-v49-exploration-inquiry-engine/flow_planner.py	7caf11addeec0475003b0a96a5644dbb2cb26e4e6f3d2c97b6c3e0a3064f806c	1835
scripts/trace-v49-exploration-inquiry-engine/freeze.py	12f339aa8868162c801a9d73814062edf274723667702e607ed87b51496a0786	6952
scripts/trace-v49-exploration-inquiry-engine/generate_round1.py	bb5f4fbd0c658c0c20422d8a0912db5ba2c041ec0ec3d122c5267a9ddb0e09fd	29298
scripts/trace-v49-exploration-inquiry-engine/instance_compiler.py	daea9492a6d726f74612b3aab797211b556a95504a05b5f30d526a0d7a451c03	4578
scripts/trace-v49-exploration-inquiry-engine/model.py	967a9eb89c7cc02f7bb38aa3c0d0a901db232944272ec1ec2c0764b4b48f0bea	2929
scripts/trace-v49-exploration-inquiry-engine/seed_registry.py	1f1db4cc7097353bbd427f3c5d8533323fc3f802852dacfdf8fd4727da756f1b	4286
scripts/trace-v49-exploration-inquiry-engine/strict_parse.py	2711e871a8fce626284092006cfc9e21aa5d50b0bb80ca3b038c069e60fca92f	17560
scripts/trace-v49-exploration-inquiry-engine/test_reference_engine.py	d147f71481b3f35748fa6fdbe65e2ae5c7b12885e9c9ddbdbf1b93403fe84d70	10290
scripts/trace-v49-exploration-inquiry-engine/tree_engine.py	f119be204abfad44c90ae587ca89409a3f5a7b97d20ce9403f63cc86018e845a	3859
scripts/trace-v49-exploration-inquiry-engine/validate.py	260898e09d73854f1d6ac79fb6c0d575989a3a024e558af98688e9f29732afca	8194
