group_id	classification_unit	overall_disposition	rights_evidence_status	provider_policy_status	provider_mapping_status	legacy_image_state	legacy_rights_state	legacy_display_policy	rights_reviewed	has_image_frame	secondary_image_count	locator_roles	locator_hosts	locator_schemes	credit_present	license_label_present	rights_label_present	surface_count	visual_locator_occurrence_count	malformed_locator_occurrence_count	positive_rights_evidence_surface_count	member_surface_id_set_sha256	member_locator_occurrence_hash_set_sha256	representative_surface_ids	reason_codes	candidate_sha256	authority_role	recovery_reference
LVG-23f96a0f88a8874a	candidate_surface_visual_bundle	RIGHTS_UNKNOWN	RIGHTS_UNKNOWN	POLICY_UNKNOWN	UNMAPPED_PROVIDER	IMG03	open_candidate	open_image_frame	true	true	0	image.url	gallica.bnf.fr	https	true	true	true	267	267	0	0	9313cab436585666d96115e64fcf6afa18ea0b273ead47fe8f3b12bfabc0fe9a	8609799247511323c429bac4c884e08630b0dfeaca8191bcce50b257a1f72565	SURF-GA1970R001|SURF-GA1970R002|SURF-GA1970R003	LEGACY_RIGHTS_LABEL_IS_CANDIDATE_OR_UNREVIEWED|NO_POSITIVE_REMOTE_DISPLAY_PROOF|NO_STABLE_PROVIDER_FK_IN_CANDIDATE|NO_VERSIONED_PROVIDER_POLICY_IN_CANDIDATE	b16bb0158c3ea27cee2909e96631ab84f3c8f6d0356476e45e641eb27edb4f48	canonical_migration_input_lexical_bytes	0404c7f96f9189f576c4c5b1368061e4082e436b
LVG-2997b19d9b3202aa	candidate_surface_visual_bundle	RIGHTS_UNKNOWN	RIGHTS_UNKNOWN	POLICY_UNKNOWN	UNMAPPED_PROVIDER	IMG02	source_viewer_candidate	source_viewer_frame	false	true	0	image.url	digitalcollections.library.miami.edu	https	true	true	true	5	5	0	0	3d59e7b781c2fd4205da7b45c709ffab0ed9ac9b49c9db4d31826d0d36a0340f	d19999495fe641d51b612827bfc0af036c6bde29427b3e2f5b9342793491f224	SURF-SBC1970R0031|SURF-SBC1970R0032|SURF-SBC1970R0033	LEGACY_RIGHTS_LABEL_IS_CANDIDATE_OR_UNREVIEWED|NO_POSITIVE_REMOTE_DISPLAY_PROOF|NO_STABLE_PROVIDER_FK_IN_CANDIDATE|NO_VERSIONED_PROVIDER_POLICY_IN_CANDIDATE	b16bb0158c3ea27cee2909e96631ab84f3c8f6d0356476e45e641eb27edb4f48	canonical_migration_input_lexical_bytes	0404c7f96f9189f576c4c5b1368061e4082e436b
LVG-2bdf1b80626f87be	candidate_surface_visual_bundle	RIGHTS_UNKNOWN	RIGHTS_UNKNOWN	POLICY_UNKNOWN	UNMAPPED_PROVIDER	IMG02	source_viewer_candidate	source_viewer_frame	false	true	0	image.url	digitalcollections.smu.edu	https	true	true	true	3	3	0	0	7e2cc191d78bf636b829deb66a45d1d7e8a68cb6e8f68bb373de4fd15321aa14	379ad9fc8ffe8f7c294e7d80e9c69409d95c31a999c68895ddf2c5f55bbf5d8e	SURF-SBC1970R0028|SURF-SBC1970R0029|SURF-SBC1970R0030	LEGACY_RIGHTS_LABEL_IS_CANDIDATE_OR_UNREVIEWED|NO_POSITIVE_REMOTE_DISPLAY_PROOF|NO_STABLE_PROVIDER_FK_IN_CANDIDATE|NO_VERSIONED_PROVIDER_POLICY_IN_CANDIDATE	b16bb0158c3ea27cee2909e96631ab84f3c8f6d0356476e45e641eb27edb4f48	canonical_migration_input_lexical_bytes	0404c7f96f9189f576c4c5b1368061e4082e436b
LVG-3db1dc9c603e65bc	candidate_surface_visual_bundle	RIGHTS_UNKNOWN	RIGHTS_UNKNOWN	POLICY_UNKNOWN	UNMAPPED_PROVIDER	IMG02	source_viewer_candidate	source_viewer_frame	false	true	0	image.url	kura.aucklandlibraries.govt.nz	https	true	true	true	3	3	0	0	95f65887343ef95444970cfe4f439494e21d9db641d63e70277752b17df91a6b	892ec8210cdc6a8e4f60342aeb6689cf1d8177d4c5dec900e9496793a5fcc430	SURF-SBC1970R0001|SURF-SBC1970R0007|SURF-SBC1970R0008	LEGACY_RIGHTS_LABEL_IS_CANDIDATE_OR_UNREVIEWED|NO_POSITIVE_REMOTE_DISPLAY_PROOF|NO_STABLE_PROVIDER_FK_IN_CANDIDATE|NO_VERSIONED_PROVIDER_POLICY_IN_CANDIDATE	b16bb0158c3ea27cee2909e96631ab84f3c8f6d0356476e45e641eb27edb4f48	canonical_migration_input_lexical_bytes	0404c7f96f9189f576c4c5b1368061e4082e436b
LVG-400119a4e83cea90	candidate_surface_visual_bundle	RIGHTS_UNKNOWN	RIGHTS_UNKNOWN	POLICY_UNKNOWN	UNMAPPED_PROVIDER	IMG03	open_candidate	open_image_frame	true	true	0	image.url	collection-api.aucklandmuseum.com	https	true	true	true	15	15	0	0	665448df8686339afe5ec599247c1d8e532d7ba35e82d70021e0692f63275b44	bd9aae7f619938936e216431cb185f6ab1de0fff6be03234892908653670737b	SURF-DNZPOSTR003|SURF-DNZPOSTR013|SURF-DNZPOSTR015	LEGACY_RIGHTS_LABEL_IS_CANDIDATE_OR_UNREVIEWED|NO_POSITIVE_REMOTE_DISPLAY_PROOF|NO_STABLE_PROVIDER_FK_IN_CANDIDATE|NO_VERSIONED_PROVIDER_POLICY_IN_CANDIDATE	b16bb0158c3ea27cee2909e96631ab84f3c8f6d0356476e45e641eb27edb4f48	canonical_migration_input_lexical_bytes	0404c7f96f9189f576c4c5b1368061e4082e436b
LVG-45535c11e6384eb5	candidate_surface_visual_bundle	RIGHTS_UNKNOWN	RIGHTS_UNKNOWN	POLICY_UNKNOWN	UNMAPPED_PROVIDER	IMG03	open_candidate	open_image_frame	true	true	0	image.url	upload.wikimedia.org	https	true	true	true	6921	6921	0	0	f221be8986f0d38708bc516032dc566e13962a4c4cb388444b8ccf2ff5dbb73d	28a9b3eb4de89bc82cb176ea60a9d8c22d75255c370b7217e39e4834a1da07d1	SURF-CAW2026R00088|SURF-CAW2026R00104|SURF-CAW2026R00117	LEGACY_RIGHTS_LABEL_IS_CANDIDATE_OR_UNREVIEWED|NO_POSITIVE_REMOTE_DISPLAY_PROOF|NO_STABLE_PROVIDER_FK_IN_CANDIDATE|NO_VERSIONED_PROVIDER_POLICY_IN_CANDIDATE	b16bb0158c3ea27cee2909e96631ab84f3c8f6d0356476e45e641eb27edb4f48	canonical_migration_input_lexical_bytes	0404c7f96f9189f576c4c5b1368061e4082e436b
LVG-48f5d723565af08a	candidate_surface_visual_bundle	RIGHTS_UNKNOWN	RIGHTS_UNKNOWN	POLICY_UNKNOWN	UNMAPPED_PROVIDER	IMG02	source_viewer_candidate	source_viewer_frame	false	true	0	image.url	dgi.or.id	https	true	true	true	79	79	0	0	9acaa8ed643f39123519f1a83c3e039ce53f9813d962fd9e1387deed7be6e8de	b2c5ae31819e1fc1786df2091d19ae660c7d4e97d1a31079fc9a5e23a4853f4b	SURF-DGITRACE2026R0004|SURF-DGITRACE2026R0007|SURF-DGITRACE2026R0012	LEGACY_RIGHTS_LABEL_IS_CANDIDATE_OR_UNREVIEWED|NO_POSITIVE_REMOTE_DISPLAY_PROOF|NO_STABLE_PROVIDER_FK_IN_CANDIDATE|NO_VERSIONED_PROVIDER_POLICY_IN_CANDIDATE	b16bb0158c3ea27cee2909e96631ab84f3c8f6d0356476e45e641eb27edb4f48	canonical_migration_input_lexical_bytes	0404c7f96f9189f576c4c5b1368061e4082e436b
LVG-4b56f14912e72da8	candidate_surface_visual_bundle	RIGHTS_UNKNOWN	RIGHTS_UNKNOWN	POLICY_UNKNOWN	UNMAPPED_PROVIDER	IMG02	source_viewer_candidate	source_viewer_frame	false	true	0	image.url	media.collections.yale.edu	https	true	true	true	438	438	0	0	b94ca555416555688f56bffc5aa99e89199aa4281ad1e3cc13329716bf94b13f	1d735d8a6f64eae671132a82f688153322165e477e644fa8e57455f249740697	SURF-YALEDESIGNTRACE2026V2R0001|SURF-YALEDESIGNTRACE2026V2R0002|SURF-YALEDESIGNTRACE2026V2R0003	LEGACY_RIGHTS_LABEL_IS_CANDIDATE_OR_UNREVIEWED|NO_POSITIVE_REMOTE_DISPLAY_PROOF|NO_STABLE_PROVIDER_FK_IN_CANDIDATE|NO_VERSIONED_PROVIDER_POLICY_IN_CANDIDATE	b16bb0158c3ea27cee2909e96631ab84f3c8f6d0356476e45e641eb27edb4f48	canonical_migration_input_lexical_bytes	0404c7f96f9189f576c4c5b1368061e4082e436b
LVG-52960e01b844d29a	candidate_surface_visual_bundle	RIGHTS_UNKNOWN	RIGHTS_UNKNOWN	POLICY_UNKNOWN	UNMAPPED_PROVIDER	IMG03	open_candidate	open_image_frame	true	true	0	image.url	archivesonline.wcc.govt.nz	https	true	true	true	19	19	0	0	3f5f0bba858238741efe8b75aba288deefe2a5766b3b7b8f2dc2871a3687d6f7	f086ee1c8e4084cf86d7e6d27da5d142f6ffae1f3d3b9fc0c71b26b0aa8e2b60	SURF-DNZPOSTR022|SURF-DNZPOSTR029|SURF-DNZPOSTR037	LEGACY_RIGHTS_LABEL_IS_CANDIDATE_OR_UNREVIEWED|NO_POSITIVE_REMOTE_DISPLAY_PROOF|NO_STABLE_PROVIDER_FK_IN_CANDIDATE|NO_VERSIONED_PROVIDER_POLICY_IN_CANDIDATE	b16bb0158c3ea27cee2909e96631ab84f3c8f6d0356476e45e641eb27edb4f48	canonical_migration_input_lexical_bytes	0404c7f96f9189f576c4c5b1368061e4082e436b
LVG-532435770267c566	candidate_surface_visual_bundle	RIGHTS_UNKNOWN	RIGHTS_UNKNOWN	POLICY_UNKNOWN	UNMAPPED_PROVIDER	IMG02	source_viewer_candidate	source_viewer_frame	false	true	0	image.url	www.artic.edu	https	true	true	true	534	534	0	0	551bca2e3a30f1ac35f19c4fbc982a625a7f92ef289b3480a73718fce08f80c5	ec55e7016f33ea5687021d17bf9dec97a0af7e7244ca005165a399f962e86cd5	SURF-CONTEMPORARYAICTRACE2026V1R0001|SURF-CONTEMPORARYAICTRACE2026V1R0002|SURF-CONTEMPORARYAICTRACE2026V1R0003	LEGACY_RIGHTS_LABEL_IS_CANDIDATE_OR_UNREVIEWED|NO_POSITIVE_REMOTE_DISPLAY_PROOF|NO_STABLE_PROVIDER_FK_IN_CANDIDATE|NO_VERSIONED_PROVIDER_POLICY_IN_CANDIDATE	b16bb0158c3ea27cee2909e96631ab84f3c8f6d0356476e45e641eb27edb4f48	canonical_migration_input_lexical_bytes	0404c7f96f9189f576c4c5b1368061e4082e436b
LVG-5c1bb79b0c23c165	candidate_surface_visual_bundle	RIGHTS_UNKNOWN	RIGHTS_UNKNOWN	POLICY_UNKNOWN	UNMAPPED_PROVIDER	IMG02	source_viewer_candidate	source_viewer_frame	false	true	0	image.url	www.canterburystories.nz	https	true	true	true	1	1	0	0	9049171c1c6e5a4986a643aad9dabf9230e0e9b6ee23f648cc0661dd7823e57f	40f7419b29666eacda83adca1960ecdae21f677a9b4b4115493391256aac648a	SURF-DNZPOSTR116	LEGACY_RIGHTS_LABEL_IS_CANDIDATE_OR_UNREVIEWED|NO_POSITIVE_REMOTE_DISPLAY_PROOF|NO_STABLE_PROVIDER_FK_IN_CANDIDATE|NO_VERSIONED_PROVIDER_POLICY_IN_CANDIDATE	b16bb0158c3ea27cee2909e96631ab84f3c8f6d0356476e45e641eb27edb4f48	canonical_migration_input_lexical_bytes	0404c7f96f9189f576c4c5b1368061e4082e436b
LVG-5cbef8b52298c61b	candidate_surface_visual_bundle	NO_VISUAL_REFERENCE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	IMG00	rights_review_required	empty_rights_frame	false	true	0				false	true	true	36	0	0	0	b37f125206240e81d0ebc030f1547b19a0cb845b0ad7128db0b0d4c8bb4b6a75	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	SURF-ER1830R052|SURF-ER1830R064|SURF-ER1830R065	NO_EXTERNAL_VISUAL_LOCATOR	b16bb0158c3ea27cee2909e96631ab84f3c8f6d0356476e45e641eb27edb4f48	canonical_migration_input_lexical_bytes	0404c7f96f9189f576c4c5b1368061e4082e436b
LVG-5dd864d42c8568ec	candidate_surface_visual_bundle	RIGHTS_UNKNOWN	RIGHTS_UNKNOWN	POLICY_UNKNOWN	UNMAPPED_PROVIDER	IMG01	thumbnail_candidate	thumbnail_frame	false	true	0	image.url	tile.loc.gov	https	true	true	true	29	29	0	0	0bb8c45c4cb0196e95c2f5fdb6d4a6088ea32d8b0f8c2436e5673f4c38aaf8b1	0d291930bc73f207670c0bb4323f287b8c417bc899daeab76daf07a9a949431b	SURF-ER1830R011|SURF-ER1830R017|SURF-ER1830R025	LEGACY_RIGHTS_LABEL_IS_CANDIDATE_OR_UNREVIEWED|NO_POSITIVE_REMOTE_DISPLAY_PROOF|NO_STABLE_PROVIDER_FK_IN_CANDIDATE|NO_VERSIONED_PROVIDER_POLICY_IN_CANDIDATE	b16bb0158c3ea27cee2909e96631ab84f3c8f6d0356476e45e641eb27edb4f48	canonical_migration_input_lexical_bytes	0404c7f96f9189f576c4c5b1368061e4082e436b
LVG-5f71b62a19a9d44f	candidate_surface_visual_bundle	RIGHTS_UNKNOWN	RIGHTS_UNKNOWN	POLICY_UNKNOWN	UNMAPPED_PROVIDER	IMG02	source_viewer_candidate	source_viewer_frame	false	true	0	image.url	cdn.knowledgebank.org.nz	https	true	true	true	2	2	0	0	b223e7985c971dd381de7de872eeb408c731d1770b9f47dc595d21bfbc03d10a	521f7e32df504240aac09c47def1c2960415407b957ff9503907e1e11253c775	SURF-DNZPOSTR020|SURF-DNZPOSTR082	LEGACY_RIGHTS_LABEL_IS_CANDIDATE_OR_UNREVIEWED|NO_POSITIVE_REMOTE_DISPLAY_PROOF|NO_STABLE_PROVIDER_FK_IN_CANDIDATE|NO_VERSIONED_PROVIDER_POLICY_IN_CANDIDATE	b16bb0158c3ea27cee2909e96631ab84f3c8f6d0356476e45e641eb27edb4f48	canonical_migration_input_lexical_bytes	0404c7f96f9189f576c4c5b1368061e4082e436b
LVG-6107e5630edace42	candidate_surface_visual_bundle	RIGHTS_UNKNOWN	RIGHTS_UNKNOWN	POLICY_UNKNOWN	UNMAPPED_PROVIDER	IMG02	source_viewer_candidate	source_viewer_frame	false	true	0	image.url	asianfilmarchive.org	https	true	true	true	8	8	0	0	71dd0d7d47d658afce6f99048aa7534a38db1915fff2d3248a3162270a204c3b	20fa4bd6bd0c137da7bc99ed7c276698c062c3fb592c01227ab0bb352c8bae2f	SURF-EW1970R001|SURF-EW1970R002|SURF-EW1970R003	LEGACY_RIGHTS_LABEL_IS_CANDIDATE_OR_UNREVIEWED|NO_POSITIVE_REMOTE_DISPLAY_PROOF|NO_STABLE_PROVIDER_FK_IN_CANDIDATE|NO_VERSIONED_PROVIDER_POLICY_IN_CANDIDATE	b16bb0158c3ea27cee2909e96631ab84f3c8f6d0356476e45e641eb27edb4f48	canonical_migration_input_lexical_bytes	0404c7f96f9189f576c4c5b1368061e4082e436b
LVG-62a3c12d94ce3bc3	candidate_surface_visual_bundle	RIGHTS_UNKNOWN	RIGHTS_UNKNOWN	POLICY_UNKNOWN	UNMAPPED_PROVIDER	IMG02	source_viewer_candidate	source_viewer_frame	false	true	0	image.url	media.tepapa.govt.nz	https	true	true	true	55	55	0	0	30858efa1477c7d520e82e85192960278ddfe01d4c7d2db404f7a8c09c143958	c68c4f24bb8f70170ded32eb893836bf5a93f4c3c10115cf8c5cd5202986135e	SURF-GAPIT2026R001|SURF-GAPIT2026R002|SURF-GAPIT2026R003	LEGACY_RIGHTS_LABEL_IS_CANDIDATE_OR_UNREVIEWED|NO_POSITIVE_REMOTE_DISPLAY_PROOF|NO_STABLE_PROVIDER_FK_IN_CANDIDATE|NO_VERSIONED_PROVIDER_POLICY_IN_CANDIDATE	b16bb0158c3ea27cee2909e96631ab84f3c8f6d0356476e45e641eb27edb4f48	canonical_migration_input_lexical_bytes	0404c7f96f9189f576c4c5b1368061e4082e436b
